Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Adilabad,2488003,1112189,912287,210961,1364755
Nizamabad,2345685,1044788,971911,187695,1186079
Karimnagar,3491822,1661089,1458954,252605,1780263
Medak,2670097,1171134,1060051,233606,1376440
Hyderabad,3829753,2634949,1032298,87544,2709911
Rangareddi,3575064,2034381,1264403,173203,2137458
Mahbubnagar,3513934,1317521,1482426,340903,1690605
Nalgonda,3247982,1595643,1308907,285759,1653316
Warangal,3246004,1595745,1277468,288769,1679767
Khammam,2578927,1267944,1039322,205054,1334551
Srikakulam,2537593,1217659,870624,331192,1335777
Vizianagaram,2249254,997482,912375,261789,1075090
Visakhapatnam,3832336,2002316,1305584,297177,2229575
East Godavari,4901420,2807728,1614799,325415,2961206
West Godavari,3803517,2458822,1425708,252627,2125182
Krishna,4187841,2539974,1575433,266164,2346244
Guntur,4465144,2455965,1869886,320413,2274845
Prakasam,3059423,1532126,1306772,230772,1521879
Nellore,2668564,1522866,985312,226390,1456862
Cuddapah,2601797,1420752,931847,233719,1436231
Kurnool,3529494,1592172,1500598,244622,1784274
Anantapur,3640478,1774088,1471218,306318,1862942
Chittoor,3745875,2176990,1462690,290289,1992896
