Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Tawang,38924,15337,18134,3593,17197
West Kameng,74599,37687,28850,5512,40237
East Kameng,57179,18338,23543,2406,31230
Papum Pare *,122003,69982,38401,5731,77871
Lower Subansiri,98244,35933,37473,7932,52839
Upper Subansiri,55346,22379,21067,1348,32931
West Siang,103918,51216,36843,6242,60833
East Siang,87397,43495,29183,4369,53845
Upper Siang *,33363,13424,15395,1710,16258
Dibang Valley,57720,27854,22086,3614,32020
Lohit,143527,64445,51049,9302,83176
Changlang,125422,51291,49176,10869,65377
Tirap,100326,33404,43807,5267,51252
