Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Kokrajhar,905764,383541,234771,100078,570915
Dhubri,1637344,625369,399201,71159,1166984
Goalpara,822035,384670,209928,63997,548110
Bongaigaon,904835,439861,233087,60156,611592
Barpeta,1647201,752682,408537,108551,1130113
Kamrup,2522324,1608191,697810,144443,1680071
Nalbari,1148824,657925,291665,92267,764892
Darrang,1504320,684998,404428,123565,976327
Marigaon,776256,367292,200132,62692,513432
Nagaon,2314629,1165617,566195,161446,1586988
Sonitpur,1681513,830579,465283,169440,1046790
Lakhimpur,889010,506433,288052,209693,391265
Dhemaji,571944,304606,155431,94715,321798
Tinsukia,1150062,588302,349847,116504,683711
Dibrugarh,1185072,698148,342708,129711,712653
Sibsagar,1051736,672158,287319,143204,621213
Jorhat,999221,660591,285092,129256,584873
Golaghat,946279,557360,269896,118744,557639
Karbi Anglong,813311,382574,231638,98842,482831
North Cachar Hills,188079,106354,55031,15168,117880
Cachar,1444921,824437,364814,100920,979187
Karimganj,1007976,550119,235016,68278,704682
Hailakandi,542872,263547,138216,41665,362991
