Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Pashchim Champaran,3043466,932347,840563,313475,1889428
Purba Champaran,3939773,1164670,1025654,261189,2652930
Sheohar *,515961,144444,133348,27870,354743
Sitamarhi,2682720,817711,714136,141020,1827564
Madhubani,3575281,1195776,877412,350311,2347558
Supaul *,1732578,509025,526267,201955,1004356
Araria,2158608,589679,657446,195999,1305163
Kishanganj,1296348,313488,359819,57332,879197
Purnia,2543942,700070,782364,178336,1583242
Katihar,2392638,655119,664259,234067,1494312
Madhepura,1526646,431480,498367,185609,842670
Saharsa,1508182,465577,411566,177901,918715
Darbhanga,3295789,1167572,761464,267094,2267231
Muzaffarpur,3746714,1440954,895830,244000,2606884
Gopalganj,2152638,816173,466811,174861,1510966
Siwan,2714349,1118027,511578,218859,1983912
Saran,3248701,1347610,644618,216322,2387761
Vaishali,2718421,1098151,624452,158265,1935704
Samastipur,3394793,1211152,843356,228618,2322819
Begusarai,2349366,896444,571564,174511,1603291
Khagaria,1280354,414174,333262,133978,813114
Bhagalpur,2423172,965683,580731,274614,1567827
Banka *,1608773,547326,405608,231057,972108
Munger,1137797,554332,233688,97763,806346
Lakhisarai *,802225,303536,226192,66442,509591
Sheikhpura *,525502,202035,151504,42892,331106
Nalanda,2370528,1015473,700007,203137,1467384
Patna,4718592,2453501,1161984,263663,3292945
Bhojpur,2243144,1073010,491916,161895,1589333
Buxar *,1402396,642167,305398,102788,994210
Kaimur (Bhabua) *,1289074,561854,312872,130015,846187
Rohtas,2450748,1205287,544731,199452,1706565
Jehanabad ,1514315,674115,422789,158116,933410
Aurangabad,2013055,920766,476390,194621,1342044
Gaya,3473428,1405453,994459,283180,2195789
Nawada,1809696,679135,507934,166443,1135319
Jamui *,1398796,476261,392536,204081,802179
