Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Koriya *,586327,306668,181837,97989,306501
Surguja,1972094,873459,605013,377028,990053
Jashpur *,743160,395548,261952,135946,345262
Raigarh,1265529,746495,430725,170839,663965
Korba *,1011823,518372,302248,128754,580821
Janjgir - Champa*,1317431,720507,411510,164413,741508
Bilaspur,1998355,1048167,630504,227073,1140778
Kawardha *,584552,261036,231030,60618,292904
Rajnandgaon,1283224,823076,558996,90405,633823
Durg,2810436,1793890,965624,197209,1647603
Raipur,3016930,1713653,961507,303156,1752267
Mahasamund *,860257,484836,300907,110840,448510
Dhamtari *,706591,441921,268236,85994,352361
Kanker *,650934,396797,252484,99375,299075
Bastar,1306673,471780,407252,280163,619258
Dantewada*,719487,176944,284770,95474,339243
