Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Kachchh,1583225,794483,498186,107413,977626
Banas Kantha,2504244,1037619,830579,261622,1412043
Patan  *,1182709,599082,395470,137608,649631
Mahesana,1837892,1188224,665080,163439,1009373
Sabar Kantha,2082531,1171555,662249,278188,1142094
Gandhinagar,1334455,879834,467413,86923,780119
Ahmadabad,5816519,4012140,1799126,210239,3807154
Surendranagar,1515148,781155,512038,135571,867539
Rajkot,3169881,2033946,1076436,168370,1925075
Jamnagar,1904278,1083696,624057,110325,1169896
Porbandar  *,536835,316172,173594,41540,321701
Junagadh,2448173,1408878,785530,215312,1447331
Amreli,1393918,789978,470043,130776,793099
Bhavnagar,2469630,1368920,781166,163393,1525071
Anand  *,1856872,1193404,617669,167042,1072161
Kheda,2024216,1243363,694400,213780,1116036
Panch Mahals,2025277,1025835,616885,359841,1048551
Dohad  *,1636433,588074,496410,318180,821843
Vadodara,3641802,2228008,1202620,316225,2122957
Narmada  *,514404,259472,176372,82744,255288
Bharuch,1370656,875519,469551,101142,799963
Surat,4995174,3206404,1981266,201243,2812665
The Dangs,186729,89586,68599,24394,93736
Navsari  *,1229463,819146,457002,88213,684248
Valsad,1410553,833257,503333,146924,760296
