Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Kupwara,650393,232557,123713,88788,437892
Baramula,1169780,447075,270992,100529,798259
Srinagar,1202447,641267,330195,54474,817778
Badgam,629309,226167,152980,73012,403317
Pulwama,652607,281518,151135,61464,440008
Anantnag,1172434,463197,261678,133310,777446
Leh (Ladakh),117232,68278,38776,19349,59107
Kargil,119307,60803,38330,17315,63662
Doda,691929,274425,194309,123971,373649
Udhampur,743509,343429,245387,121043,377079
Punch,372613,156398,86507,114593,171513
Rajauri,483284,234228,118413,99799,265072
Jammu,1588772,1070574,434430,93901,1060441
Kathua,550084,307370,161823,43599,344662
