Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Belgaum,4214505,2305279,1537645,340129,2336731
Bagalkot *,1651892,794785,561559,158100,932233
Bijapur,1806918,866561,551972,166241,1088705
Gulbarga,3130922,1297445,1010430,339642,1780850
Bidar,1502373,768358,424985,132618,944770
Raichur,1669762,676799,544347,188415,937000
Koppal ,1196089,534547,422208,132298,641583
Gadag *,971835,551362,388763,69054,514018
Dharwad,1604253,992550,587018,97474,919761
Uttara Kannada,1353644,904024,455302,125976,772366
Haveri *,1439116,837509,531221,135493,772402
Bellary,2027140,980483,801369,119452,1106319
Chitradurga,1517896,849690,576035,145800,796061
Davanagere ,1790952,1045620,631726,152055,1007171
Shimoga,1642545,1068934,586832,127839,927874
Udupi *,1112243,810584,417287,70886,624070
Chikmagalur,1140905,723610,428830,87847,624228
Tumkur,2584711,1525485,1050291,266648,1267772
Kolar,2536069,1382267,1014667,220361,1301041
Bangalore,6537124,4782565,2378180,188734,3970210
Bangalore Rural,1881514,1071327,726652,165879,988983
Mandya,1763705,951460,682440,157979,923286
Hassan,1721669,1044584,702827,161884,856958
Dakshina Kannada,1897730,1391738,841509,104881,951340
Kodagu,548561,373541,247574,18804,282183
Mysore,2641027,1471155,926129,184135,1530763
Chamarajanagar *,965462,432700,336961,111408,517093
