Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Sheopur *,559495,207536,152553,76724,330218
Morena,1592714,837828,451530,139069,1002115
Bhind,1428559,827663,396769,128601,903189
Gwalior,1632109,955356,441815,88814,1101480
Datia,628240,373358,226330,89690,312220
Shivpuri,1441950,682555,507173,145097,789680
Guna,1666767,797993,496734,186254,983779
Tikamgarh,1202998,542498,395575,170602,636821
Chhatarpur,1474723,631370,441443,151027,882253
Panna,856558,420622,261183,112422,482953
Sagar,2021987,1118993,637857,201906,1182224
Damoh,1083949,548331,348890,137596,597463
Satna,1870104,984833,554667,190577,1124860
Rewa,1973306,991410,585034,277925,1110347
Umaria *,515963,247303,141725,75812,298426
Shahdol,1575303,767630,453017,228907,893379
Sidhi,1831152,759929,544069,213516,1073567
Neemuch *,726070,403371,282243,66019,377808
Mandsaur,1183724,694046,454507,115822,613395
Ratlam,1215393,672715,405049,142803,667541
Ujjain,1710982,1014882,588377,166911,955694
Shajapur,1290685,748357,436444,193347,660894
Dewas,1308223,656369,429159,151263,727801
Jhabua,1394561,396590,487387,244859,662315
Dhar,1740329,735243,595586,215829,928914
Indore,2465827,1575436,766796,126873,1572158
West Nimar,1529562,780796,589450,114989,825123
Barwani *,1081441,350354,390220,133530,557691
East Nimar,1713134,866818,628376,124319,960439
Rajgarh,1254085,548640,438139,187355,628591
Vidisha,1214857,608083,346221,105566,763070
Bhopal,1843510,1159823,500524,90930,1252056
Sehore,1078912,550972,308433,143009,627470
Raisen,1125154,658705,308803,102918,713433
Betul,1395175,770252,418604,197372,779199
Harda *,474416,257682,152079,61147,261190
Hoshangabad,1084265,635839,293965,93155,697145
Katni *,1064167,555204,295075,148620,620472
Jabalpur,2151203,1396120,624580,175022,1351601
Narsimhapur,957646,624793,310073,93390,554183
Dindori *,580730,261764,260447,70460,249823
Mandla,894236,446998,322151,142246,429839
Chhindwara,1849283,1020599,559318,220215,1069750
Seoni,1166608,636216,380973,188087,597548
Balaghat,1497968,870688,493229,260352,744387
