Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Nandurbar *,1311709,603221,458321,151712,701676
Dhule,1707947,1040837,573496,164445,970006
Jalgaon,3682690,2381376,1300086,263897,2118707
Buldana,2232480,1433889,908797,107218,1216465
Akola,1630239,1135245,582264,65979,981996
Washim *,1020216,630763,395651,59681,564884
Amravati,2607160,1856549,908363,187259,1511538
Wardha,1236736,865556,431330,119021,686385
Nagpur,4067637,2976205,1283079,255270,2529288
Bhandara,1136146,770662,365464,171421,599261
Gondiya *,1200707,808414,391890,187706,621111
Gadchiroli,970294,490121,336959,160145,473190
Chandrapur,2071101,1311008,683029,247762,1140310
Yavatmal,2458271,1537777,949453,169484,1339334
Nanded,2876259,1625685,965087,236950,1674222
Hingoli *,987160,543309,412838,47140,527182
Parbhani,1527715,842536,559917,84835,882963
Jalna,1612980,870399,611998,104902,896080
Aurangabad,2897013,1771659,1025531,151326,1720156
Nashik,4993796,3126188,1911340,274233,2808223
Thane,8131849,5635799,2782004,397977,4951868
Mumbai (Suburban) *,8640419,6617264,2971039,181470,5487910
Mumbai,3338031,2590613,1250710,61029,2026292
Raigarh,2207929,1458324,664689,249306,1293934
Pune,7232555,5039290,2645429,309053,4278073
Ahmadnagar,4040642,2598597,1611061,245985,2183596
Bid,2161250,1241434,830658,126926,1203666
Latur,2080285,1254534,712849,127669,1239767
Osmanabad,1486586,872022,555202,98320,833064
Solapur,3849543,2336825,1485967,257074,2106502
Satara,2808994,1908947,1044989,258669,1505336
Ratnagiri,1696777,1095833,557613,205774,933390
Sindhudurg,868825,612919,233827,171158,463840
Kolhapur,3523162,2364307,1394882,258088,1870192
Sangli,2583524,1717836,952241,266414,1364869
