Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Gurdaspur,2104011,1345447,568322,132235,1403454
Amritsar,3096077,1793999,938100,174100,1983877
Kapurthala,754521,487554,231222,31519,491780
Jalandhar,1962700,1352044,599324,77511,1285865
Hoshiarpur,1480736,1050378,415123,98228,967385
Nawanshahr *,587468,394429,238405,25293,323770
Rupnagar,1116108,760067,397119,40224,678765
Fatehgarh Sahib *,538041,347364,182020,24119,331902
Ludhiana,3032831,2036278,1041517,108121,1883193
Moga *,894854,494525,302602,56161,536091
Firozpur,1746107,903273,535889,112787,1097431
Muktsar *,777493,391658,264579,44993,467921
Faridkot,550892,295618,181873,27881,341138
Bathinda,1183295,632570,408924,91743,682628
Mansa *,688758,310632,227622,53869,407267
Sangrur,2000173,1041310,714076,100022,1186075
Patiala,1844934,1119824,589015,92936,1162983
