Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Ganganagar,1789423,965445,552559,167233,1069631
Hanumangarh *,1518005,795660,491225,137086,889694
Bikaner,1674271,766862,522482,138975,1012814
Churu,1923878,1028880,587431,266468,1069979
Jhunjhunun,1913689,1152872,495148,265762,1152779
Alwar,2992592,1488281,947587,511099,1533906
Bharatpur,2101142,1063582,573547,279366,1248229
Dhaulpur,983258,458782,273184,156130,553944
Karauli *,1209665,608672,355450,127660,726555
Sawai Madhopur,1117057,515913,366794,102370,647893
Dausa *,1317063,650576,417275,125259,774529
Jaipur,5251071,3027923,1584361,279694,3387016
Sikar,2287788,1317144,633421,254494,1399873
Nagaur,2775058,1287921,844039,285475,1645544
Jodhpur,2886505,1319879,829721,275288,1781496
Jaisalmer,508247,201960,153139,58548,296560
Barmer,1964835,902027,680208,239521,1045106
Jalor,1448940,528975,506324,220885,721731
Sirohi,851107,367938,245762,98143,507202
Pali,1820251,806297,518158,206725,1095368
Ajmer,2181670,1168856,690818,165991,1324861
Tonk,1211671,513474,425230,107452,678989
Bundi,962620,437773,305977,150960,505683
Bhilwara,2013789,839353,764916,174932,1073941
Rajsamand *,987024,449046,275912,125946,585166
Udaipur,2633312,1255399,724120,376760,1532432
Dungarpur,1107643,425440,272283,259093,576267
Banswara,1501589,529481,529393,180019,792177
Chittaurgarh,1803524,807105,749689,180650,873185
Kota,1568525,968781,420734,120628,1027163
Baran *,1021653,495121,300615,135760,585278
Jhalawar,1180323,556592,399386,155395,625542
