Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Thiruvallur,2754756,1865707,850994,186103,1717659
Chennai,4343645,3336695,1380757,107607,2855281
Kancheepuram,2877468,1952198,916295,228634,1732539
Vellore,3477317,2203552,1172645,254535,2050137
Dharmapuri,2856300,1516221,1188366,224884,1443050
Tiruvannamalai,2186125,1297151,829944,234839,1121342
Viluppuram,2960373,1650528,1125229,319948,1515196
Salem,3016346,1734442,1279846,174799,1561701
Namakkal   *,1493462,903802,770940,71700,650822
Erode,2581500,1521955,1317991,116414,1147095
The Nilgiris,762141,541099,310064,33321,418756
Coimbatore,4271856,2945278,1828629,148983,2294244
Dindigul,1923014,1181746,841893,131439,949682
Karur  *,935686,566728,445450,51014,439222
Tiruchirappalli,2418366,1673478,927788,136733,1353845
Perambalur  *,493646,286197,222600,43107,227939
Ariyalur  *,695524,388605,251606,94285,349633
Cuddalore,2285395,1420488,729764,243302,1312329
Nagapattinam  *,1488839,996580,468754,117980,902105
Thiruvarur,1169474,788302,386956,104047,678471
Thanjavur,2216138,1476256,750032,147091,1319015
Pudukkottai,1459601,907376,530282,148007,781312
Sivaganga,1155356,738000,408015,105487,641854
Madurai,2578201,1776654,949545,138998,1489658
Theni  *,1093950,692797,473708,46572,573670
Virudhunagar,1751301,1136574,802521,79282,869498
Ramanathapuram,1187604,757344,433443,87130,667031
Thoothukkudi,1572273,1131406,588596,90215,893462
Tirunelveli ,2723988,1829064,1120752,160365,1442871
Kanniyakumari,1676034,1308322,454378,93678,1127978
