Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Darjiling ,1609172,1008288,478851,90591,1039730
Jalpaiguri ,3401173,1810083,1025433,277703,2098037
Koch Bihar ,2479155,1386965,754311,212394,1512450
Uttar Dinajpur,2441794,923477,716483,219041,1506270
Dakshin Dinajpur *,1503178,799479,471187,141541,890450
Maldah ,3290468,1332704,967143,373563,1949762
Murshidabad ,5866569,2620538,1672311,332863,3861395
Birbhum,3015422,1553852,831699,296798,1886925
Barddhaman ,6895514,4205146,1902334,548907,4444273
Nadia ,4604827,2644461,1405724,209981,2989122
North Twenty Four Parganas,8934286,6151527,2623352,364808,5946126
Hugli ,5041976,3333988,1528040,331447,3182489
Bankura ,3192695,1734222,944216,483056,1765423
Puruliya,2536516,1182284,645506,481982,1409028
Medinipur ,9610788,6164316,2530112,1220945,5859731
Haora ,4273099,2895625,1224972,213902,2834225
Kolkata,4572876,3382103,1623779,93955,2855142
South  Twenty Four Parganas,6906689,4067343,1678130,564630,4663929
