Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Tawang,49977,26073,24430,4131,21416
West Kameng,83947,48492,34752,7741,41454
East Kameng,78690,38449,27123,4587,46980
Papum Pare,176573,121048,51157,14615,110801
Upper Subansiri,83448,45278,25717,7653,50078
West Siang,112274,64746,43000,6177,63097
East Siang,99214,62576,33578,6644,58992
Upper Siang,35320,18195,14524,3120,17676
Changlang,148226,73174,50765,12201,85260
Tirap,111975,47974,44262,5907,61806
Lower Subansiri,83030,54057,22669,7533,52828
Kurung Kumey,92076,36606,24372,13672,54032
Dibang Valley,8004,4436,2525,1030,4449
Lower Dibang Valley,54080,31849,19829,2497,31754
Lohit,145726,83062,50754,10191,84781
Anjaw,21167,9990,9264,1237,10666
