Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Pashchim Champaran,3935042,1759481,797544,681403,2456095
Purba Champaran,5099371,2276957,1132789,604750,3361832
Sheohar,656246,283698,137804,78568,439874
Sitamarhi,3423574,1436794,753645,360938,2308991
Madhubani,4487379,2155338,1074091,562847,2850441
Supaul,2229076,1033283,472649,405033,1351394
Araria,2811569,1195768,696410,373483,1741676
Kishanganj,1690400,745056,384416,144648,1161336
Purnia,3264619,1332326,776385,366933,2121301
Katihar,3071029,1280190,667602,345964,2057463
Madhepura,2001762,834577,443507,334039,1224216
Saharsa,1900661,804996,363326,286572,1250763
Darbhanga,3937385,1816634,731347,492293,2713745
Muzaffarpur,4801062,2509232,910304,637282,3253476
Gopalganj,2562012,1382998,363111,365090,1833811
Siwan,3330464,1930175,462104,470312,2398048
Saran,3951862,2157454,545520,494711,2911631
Vaishali,3495021,1926740,716006,344338,2434677
Samastipur,4261566,2142880,907433,435967,2918166
Begusarai,2970541,1548673,591811,346371,2032359
Khagaria,1666886,768028,306283,254522,1106081
Bhagalpur,3037766,1573066,534129,449399,2054238
Banka,2034763,965321,374097,396983,1263683
Munger,1367765,801817,233402,193256,941107
Lakhisarai,1000912,507270,201866,124710,674336
Sheikhpura,636342,328676,148002,76653,411687
Nalanda,2877653,1519933,740949,304471,1832233
Patna,5838465,3459679,1371267,510619,3956579
Bhojpur,2728407,1599151,512009,310484,1905914
Buxar,1706352,989807,328547,209775,1168030
Kaimur (Bhabua),1626384,920276,284646,226517,1115221
Rohtas,2959918,1799832,542439,382440,2035039
Aurangabad,2540073,1466002,480286,357484,1702303
Gaya,4391418,2297613,1007057,657005,2727356
Nawada,2219146,1091012,508509,308532,1402105
Jamui,1760405,858588,445352,282219,1032834
Jehanabad ,1125313,618881,251690,113688,759935
Arwal,700843,386351,161277,75077,464489
