Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Kachchh,2092371,1252319,686937,89291,1316143
Banas Kantha,3120506,1704923,1012080,236520,1871906
Patan  ,1343734,837913,446240,108590,788904
Mahesana,2035064,1502645,698768,113296,1223000
Sabar Kantha,2428589,1578734,795096,289782,1343711
Gandhinagar,1391753,1030494,451951,83025,856777
Ahmadabad,7214225,5435760,2332409,262543,4619273
Surendranagar,1756268,1093626,586364,137136,1032768
Rajkot,3804558,2725056,1324783,154267,2325508
Jamnagar,2160119,1396534,721253,126187,1312679
Porbandar ,585449,393678,195437,35732,354280
Junagadh,2743082,1842818,942709,181000,1619373
Amreli,1514190,995459,529153,127986,857051
Bhavnagar,2880365,1887255,992140,158492,1729733
Anand  ,2092745,1551253,690031,154763,1247951
Kheda,2299885,1660243,722134,211849,1365902
Panch Mahals,2390776,1440805,685141,412366,1293269
Dohad  ,2127086,1007171,553395,445729,1127962
Vadodara,4165626,2893080,1360660,332813,2472153
Narmada,590297,370336,193916,100879,295502
Bharuch,1551019,1118276,526541,100583,923895
The Dangs,228291,140968,88038,30219,110034
Navsari  ,1329672,1001909,510004,81830,737838
Valsad,1705678,1170657,577327,165918,962433
Surat,6081322,4571410,2405288,148254,3527780
Tapi,807022,490036,337579,113323,356120
