Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Panchkula,561293,405318,182831,28648,349814
Ambala,1128350,818025,319475,52664,756211
Yamunanagar,1214205,832457,339024,50209,824972
Kurukshetra,964655,646893,285904,50876,627875
Kaithal,1074304,646529,290663,83236,700405
Karnal,1505324,978013,411533,104529,989262
Panipat,1205437,786599,339016,73302,793119
Sonipat,1450001,998316,396763,126416,926822
Jind,1334152,832758,385851,137571,810730
Fatehabad,942011,557578,286258,82825,572928
Sirsa,1295189,782897,399169,102834,793186
Hisar,1743931,1114311,531227,160394,1052310
Bhiwani,1634445,1069871,445675,177331,1011439
Rohtak,1061204,747582,288949,57018,715237
Jhajjar,958405,676091,246457,80077,631871
Mahendragarh,922088,630255,212402,126182,583504
Rewari,900332,636947,250219,87508,562605
Gurgaon,1514432,1111116,487441,57275,969716
Mewat ,1089263,454897,204178,85786,799299
Faridabad,1809733,1272739,495316,83913,1230504
Palwal ,1042708,599796,216932,92631,733145
