Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Chamba,519080,323842,119632,174403,225045
Kangra,1510075,1152640,313915,361255,834905
Lahul & Spiti,31564,21845,15190,4105,12269
Kullu,437903,307672,193876,75208,168819
Mandi,999777,723747,284154,288517,427106
Hamirpur,454768,358091,126153,115778,212837
Una,521173,399715,134482,80864,305827
Bilaspur,381956,287620,103406,102465,176085
Solan,580320,428578,219235,79502,281583
Sirmaur,529855,362645,193906,86177,249772
Shimla,814010,612642,311770,119156,383084
Kinnaur,84121,60699,46782,9491,27848
