Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Kupwara,870354,439654,123837,105227,641290
Badgam,753745,335649,132003,82863,538879
Leh(Ladakh),133487,93770,57125,17954,58408
Kargil,140802,86236,28941,22932,88929
Punch,476835,261724,73247,88146,315442
Rajouri,642415,364109,130377,160535,351503
Kathua,616435,389204,142847,57584,416004
Baramula,1008039,545149,187959,116241,703839
Bandipore,392232,185979,75173,74144,242915
Srinagar,1236829,748584,330547,76641,829641
Ganderbal,297446,143276,52949,47941,196556
Pulwama,560440,293958,98306,90114,372020
Shupiyan,266215,136500,54703,33018,178494
Anantnag,1078692,545532,176800,212884,689008
Kulgam,424483,209085,77812,82178,264493
Doda,409936,219083,79377,72535,258024
Ramban,283713,124065,52051,35161,196501
Kishtwar,230696,107506,44718,38256,147722
Udhampur,554985,322354,152442,91230,311313
Reasi,314667,150542,88462,56305,169900
Jammu,1529958,1137135,410344,98278,1021336
Samba,318898,228139,74129,18397,226372
