Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Garhwa ,1322784,653476,175126,396305,751353
Chatra,1042886,510061,195502,202188,645196
Kodarma,716259,390249,143324,114094,458841
Giridih,2445474,1253475,412912,623365,1409197
Deoghar,1492073,793538,297146,254321,940606
Godda,1313551,604519,235735,316456,761360
Sahibganj,1150567,483263,322572,167630,660365
Pakur,900422,352881,252017,152567,495838
Dhanbad,2684487,1722204,546714,297790,1839983
Bokaro,2062330,1273520,380304,305064,1376962
Lohardaga,461790,259707,103001,118331,240458
Purbi Singhbhum,2293919,1507699,529578,307589,1456752
Palamu,1939869,1024563,283702,429473,1226694
Latehar,726978,350682,117311,196068,413599
Hazaribagh,1734495,1013249,327316,327320,1079859
Ramgarh,949443,596497,221112,91013,637318
Dumka,1321442,672409,237479,387300,696663
Jamtara,791042,426312,122434,204197,464411
Ranchi,2914253,1911433,756176,386691,1771386
Khunti,531885,284575,153087,106897,271901
Gumla,1025213,559720,278931,208577,537705
Simdega,599578,343483,155510,133135,310933
Pashchimi Singhbhum,1502338,727561,343008,351855,807475
Saraikela-Kharsawan,1065056,612993,228598,201453,635005
