Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Belgaum,4779661,3052032,1734501,371167,2673993
Bagalkot ,1889752,1113412,676407,141674,1071671
Bijapur,2177331,1248268,760083,167639,1249609
Bidar,1703300,1042673,551763,150845,1000692
Raichur,1928812,979769,725985,177428,1025399
Koppal,1389920,809085,508089,146677,735154
Gadag,1064570,700177,423451,72271,568848
Dharwad,1847023,1301664,690948,93885,1062190
Uttara Kannada,1437169,1081906,498304,110222,828643
Haveri,1597668,1085443,601951,128115,867602
Bellary,2452595,1421621,969388,147492,1335715
Chitradurga,1659456,1087392,667479,189108,802869
Davanagere,1945497,1308540,705099,170108,1070290
Shimoga,1752753,1263016,652789,127809,972155
Udupi,1177361,926429,459446,53795,664120
Chikmagalur,1137961,818345,480229,85545,572187
Tumkur,2678980,1813391,1078431,276215,1324334
Bangalore,9621551,7512276,3858342,388585,5374624
Mandya,1805769,1149649,714901,156507,934361
Hassan,1776421,1225256,752387,151193,872841
Dakshina Kannada,2089649,1666323,914476,83245,1091928
Kodagu,554519,412877,258753,20185,275581
Mysore,3001127,1962180,1082108,232160,1686859
Chamarajanagar,1020791,565279,381408,100285,539098
Gulbarga,2566326,1427368,844237,242791,1479298
Yadgir,1174271,510003,437241,110455,626575
Kolar,1536401,1016219,584590,133282,818529
Chikkaballapura,1255104,783222,535565,104213,615326
Bangalore Rural,990923,688749,389989,69902,531032
Ramanagara,1082636,674758,458841,72618,551177
