Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Ganganagar ,1969168,1193343,680563,232109,1056496
Hanumangarh,1774692,1034136,642109,193151,939432
Bikaner,2363937,1278801,752768,233440,1377729
Churu,2039547,1149269,628381,274448,1136718
Jhunjhunun,2137045,1370360,592813,301836,1242396
Alwar,3674179,2182476,1179461,529081,1965637
Bharatpur,2548462,1480869,694929,376225,1477308
Dhaulpur,1206516,683098,317617,205595,683304
Karauli,1458248,805849,438337,190389,829522
Sawai Madhopur,1335551,741748,418555,159513,757483
Dausa,1634409,938051,506214,178281,949914
Jaipur,6626178,4300965,2060010,404883,4161285
Sikar,2677333,1652117,698711,307793,1670829
Nagaur,3307743,1758624,985927,439955,1881861
Jodhpur,3687165,2031532,1056479,433262,2197424
Jaisalmer,669919,308653,175383,113520,381016
Barmer,2603751,1188322,741367,461115,1401269
Jalor,1828730,829582,660719,235925,932086
Sirohi,1036346,476806,313292,106537,616517
Pali,2037573,1085693,605288,237039,1195246
Ajmer,2583052,1526673,827181,226541,1529330
Tonk,1421326,749659,495797,153364,772165
Bundi,1110906,585044,361070,165021,584815
Bhilwara,2408523,1256126,883329,264836,1260358
Rajsamand,1156597,619139,362584,188247,605766
Dungarpur,1388552,681591,216411,425104,747037
Banswara,1797485,829343,542983,373591,880911
Chittaurgarh,1544338,821825,656904,145851,741583
Kota,1951014,1298345,577548,171263,1202203
Baran,1222755,693307,359785,192798,670172
Jhalawar,1411129,739792,475653,210297,725179
Udaipur,3068420,1582629,822355,543428,1702637
Pratapgarh,867848,401515,327445,153849,386554
