Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
Saharanpur,3466382,2077108,882701,154643,2429038
Muzaffarnagar,4143512,2417339,1085491,206153,2851868
Bijnor,3682713,2135393,839778,248258,2594677
Moradabad,4772006,2263848,1104968,312843,3354195
Rampur,2335819,1043666,564266,172995,1598558
Jyotiba Phule Nagar,1840221,983110,453567,145522,1241132
Meerut,3443689,2141488,890810,199729,2353150
Baghpat,1303048,797970,334519,82176,886353
Ghaziabad,4681645,3123264,1252911,267627,3161107
Gautam Buddha Nagar,1648115,1122947,458492,110617,1079006
Bulandshahr ,3499171,2031656,885216,288044,2325911
Aligarh,3673889,2092567,865799,308562,2499528
Mahamaya Nagar,1564708,942572,337295,146820,1080593
Mathura,2547184,1507746,594799,246140,1706245
Agra,4418797,2680510,1050562,339282,3028953
Firozabad,2498156,1521806,573649,187872,1736635
Mainpuri,1868529,1203885,424782,136058,1307689
Budaun,3681896,1547477,875763,231580,2574553
Bareilly,4448359,2191759,1043912,358059,3046388
Pilibhit,2031007,1061095,463415,155190,1412402
Shahjahanpur,3006538,1490930,699503,192711,2114324
Kheri,4021243,2034044,958249,306469,2756525
Sitapur,4483992,2283733,1023642,398960,3061390
Hardoi,4092845,2221601,969871,349075,2773899
Unnao,3108367,1773584,761831,362913,1983623
Lucknow,4589838,3127260,1152285,390521,3047032
Rae Bareli,3405559,1965843,644869,559841,2200849
Farrukhabad,1885204,1092677,474686,117581,1292937
Kannauj,1656616,1017087,419027,105649,1131940
Etawah,1581810,1062003,361588,144484,1075738
Auraiya,1379545,930836,325721,116302,937522
Kanpur Dehat,1796184,1170243,448651,180213,1167320
Kanpur Nagar,4581268,3243022,1229166,343066,3009036
Jalaun ,1689974,1075196,420266,200498,1069210
Jhansi,1998603,1304513,560041,254873,1183689
Lalitpur,1221592,641191,357033,146318,718241
Hamirpur,1104285,653299,290375,153280,660630
Mahoba,875958,488106,238712,110964,526282
Banda,1799410,1002937,483232,218457,1097721
Chitrakoot,991730,531072,282614,111583,597533
Fatehpur,2632733,1512166,670156,393773,1568804
Pratapgarh,3209141,1931559,553013,513588,2142540
Kaushambi,1599596,813424,415312,223774,960510
Allahabad ,5954391,3665727,1286732,825175,3842484
Bara Banki,3260699,1692458,834294,358556,2067849
Faizabad,2470996,1450901,496579,334630,1639787
Ambedkar Nagar,2397888,1486939,440998,346400,1610490
Sultanpur,3797117,2239902,690967,551665,2554485
Bahraich,3487731,1398368,743452,408708,2335571
Shrawasti,1117361,423313,232762,170993,713606
Balrampur,2148665,868357,458727,301526,1388412
Gonda,3433919,1679994,739663,430889,2263367
Siddharthnagar,2559297,1228926,447943,430955,1680399
Basti,2464464,1393783,443724,339964,1680776
Sant Kabir Nagar,1715183,954949,265453,274016,1175714
Mahrajganj,2684703,1419144,439293,554960,1690450
Gorakhpur,4440895,2700328,746381,605248,3089266
Kushinagar,3564544,1954820,523258,593715,2447571
Deoria,3100946,1875239,455382,420864,2224700
Azamgarh,4613913,2771917,784272,587760,3241881
Mau,2205968,1363044,396438,300309,1509221
Ballia,3239774,1963590,569522,449961,2220291
Jaunpur,4494204,2731677,896547,540828,3056829
Ghazipur,3620268,2197549,766881,437721,2415666
Chandauli,1952756,1174606,341927,310616,1300213
Varanasi,3676841,2403903,920761,299947,2456133
Sant Ravidas Nagar (Bhadohi),1578213,910146,286978,183630,1107605
Mirzapur,2496970,1428683,537091,344905,1614974
Sonbhadra,1862559,985708,397196,333203,1132160
Etah,1774480,1055202,415476,130508,1228496
Kanshiram Nagar,1436719,724850,354257,118508,963954
