Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
warangal,3457565,1961248,1407633,268336,1780742
krishna,4449474,2909286,1709668,295948,2443563
vizianagaram,2325112,1185950,944903,215062,1163340
srikakulam,2669167,1435180,922735,349350,1397068
khammam,2752249,1550315,1178311,196316,1376592
kurnool,3942788,2007420,1702837,266215,1973636
nellore,0,0,0,0,0
eastgodavari,5102698,3186232,1720600,341436,3040469
prakasam,3326979,1823357,1430724,235788,1660340
mahbubnagar,3938967,1796009,1743488,280253,1911060
guntur,4800193,2851868,2056759,283781,2458110
karimnagar,3717583,2084939,1563120,279347,1875031
anantapur,3988940,2191941,1635729,345854,2007203
adilabad,2688609,1400328,1033670,247210,1406847
hyderabad,3920342,2838779,1083016,245205,2565021
nizamabad,2508810,1312713,1038591,201503,1268715
medak,2956897,1531049,1167087,244030,1545632
chittoor,4084679,2561557,1626195,268656,2188794
westgodavari,3909906,2612493,1511833,241621,2156063
cuddapah,0,0,0,0,0
nalgonda,3439255,1912441,1454544,255355,1727939
visakhapatnam,4194751,2443521,1444234,383495,2365463
rangareddi,0,0,0,0,0
