Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
uppersubansiri,83447,45277,25716,7652,50077
westsiang,112273,64746,42999,6177,63097
lohit,145725,83061,50754,10190,84780
tirap,111974,47974,44262,5906,61806
changlang,148225,73173,50765,12201,85259
eastkameng,78690,38448,27122,4586,46980
lowersubansiri,83029,54056,22668,7533,52827
eastsiang,99214,62575,33578,6643,58992
tawang,49977,26072,24430,4131,21416
papumpare,176573,121048,51157,14614,110800
westkameng,83946,48491,34752,7741,41454
uppersiang,35319,18195,14524,3119,17675
dibangvalley,8004,4436,2524,1030,4448
