Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
kamrup,1063355,711376,295863,267849,568933
barpeta,1726892,1014300,462475,133079,1132978
tinsukia,1468562,988513,458517,172997,838158
golaghat,1160348,864921,382241,174096,608397
dibrugarh,1435123,1043876,429912,203305,805304
bongaigaon,641063,430075,167141,67075,409433
marigaon,0,0,0,0,0
jorhat,1162487,904909,381992,185741,599851
dhemaji,779375,532366,241375,132582,406726
sonitpur,2114465,1356850,634316,248563,1234612
karimganj,1411348,1029390,342684,143708,929835
darrang,662355,383597,168281,63319,431148
dhubri,2202317,1210654,595330,296729,1364545
lakhimpur,1164762,843091,280411,113926,837373
northcacharhills,0,0,0,0,0
sibsagar,0,0,0,0,0
hailakandi,755350,552552,187152,54979,513307
nagaon,3245430,2237759,882277,328078,2047858
karbianglong,1071125,724997,282784,143262,645715
cachar,1975176,1503855,563756,169269,1246472
nalbari,584018,458150,149390,58890,376387
goalpara,1163037,736306,314696,127956,724005
kokrajhar,874334,580252,266793,80456,529227
