Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
supaul,2344289,1190461,462599,465519,1434038
pashchimchamparan,4142528,1997772,789208,795873,2588380
begusarai,3113239,1727615,595945,397269,2131071
sitamarhi,3594682,1608249,761805,435575,2419536
jamui,1843249,965990,456739,301122,1086381
sheikhpura,661171,362273,147311,86091,430018
gaya,4602290,2534947,1009595,777445,2848210
aurangabad,2660996,1608909,481069,403710,1785216
vaishali,3675161,2156032,735868,402258,2548953
madhubani,4696012,2424870,1118429,618838,2963269
darbhanga,4079975,1984559,725468,556333,2813090
saran,4109795,2370374,527609,583716,3029461
rohtas,3073801,1950115,541981,435620,2107961
sheohar,688583,324703,138712,96664,459209
lakhisarai,1046202,562140,197324,141446,713193
madhepura,2113232,952286,433282,375696,1319162
kishanganj,1782555,885895,389533,174058,1227812
saharsa,1990649,898160,354378,315242,1330374
jehanabad,1060436,608389,226889,106429,729318
patna,6092505,3705831,1417445,582782,4104562
gopalganj,2652791,1536842,345317,423000,1906226
nalanda,2991417,1647614,749420,330139,1915437
purbachamparan,5369399,2603665,1155523,715319,3524893
araria,2964174,1377378,704475,424887,1845133
buxar,1774631,1079272,333383,241944,1206282
samastipur,4459851,2401915,920821,496046,3054421
siwan,3469545,2152908,452798,548062,2490720
purnia,3431607,1515319,775194,423893,2249123
munger,1419060,863249,233344,221474,970649
khagaria,1757199,868992,301155,289376,1176288
kaimur(bhabua),1703774,1015727,279314,253117,1178527
bhagalpur,3178252,1734320,525267,495922,2168309
muzaffarpur,5045156,2803618,913226,772182,3400891
katihar,3228236,1463744,668272,374083,2193361
bhojpur,2837393,1731994,516125,353671,1976427
nawada,2311542,1199510,508624,349065,1462557
banka,2132640,1081326,368094,442366,1331750
