Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
dhamtari,799781,546833,335368,67527,396886
raipur,4063872,2629749,1259137,498525,2306208
durg,3343871,2303377,1206792,290012,1847066
mahasamund,1032754,637963,340802,158458,533494
bastar,1413198,650862,394824,331706,686667
kawardha,0,0,0,0,0
korba,1206640,748758,350314,170872,685453
koriya,658917,397823,173056,134013,351846
kanker,0,0,0,0,0
rajnandgaon,1537133,1008379,595959,204133,737041
bilaspur,2663629,1596560,826567,376628,1460432
dantewada,0,0,0,0,0
janjgirchampa,1619707,1019633,461886,384578,773240
surguja,2359886,1187941,622589,533218,1204078
jashpur,851669,495415,291349,196011,364308
raigarh,1493984,951639,484874,205291,803816
