Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
kheda,2241900,1566956,716499,212233,1311811
amreli,1489332,950477,516764,128539,843860
junagadh,2681386,1746468,908938,187394,1583401
navsari,1308997,962354,498933,83068,726794
surat,5846669,4258373,2313780,157597,3371512
jamnagar,2106338,1327463,700672,122841,1282792
rajkot,3668191,2570207,1270906,156989,2239256
narmada,574271,344901,190272,96958,286981
gandhinagar,1380099,998427,455001,83790,840865
bhavnagar,2793086,1769864,945816,159460,1686713
anand,2043287,1471985,674910,157144,1210626
patan,1309864,783531,435589,113857,758844
mahesana,1994005,1433721,691896,121910,1176932
banaskantha,2986175,1543730,972854,241339,1769280
kachchh,1978880,1143375,644186,92652,1240157
bharuch,1513140,1064859,514614,100694,897660
vadodara,4055155,2745817,1327472,329427,2397996
surendranagar,1705154,1022451,570682,136821,997378
dohad,2018402,904417,541497,416669,1058749
sabarkantha,2355057,1487303,766548,287425,1300723
porbandar,575386,376788,190858,36824,347510
panchmahals,2312746,1346169,670910,401280,1240135
ahmadabad,6910100,5115445,2214400,251132,4444050
thedangs,219297,128749,83752,28952,106562
valsad,1642084,1093703,561705,161932,918106
