Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
ambala,1116402,800990,314795,52272,749301
yamunanagar,1195732,810692,332687,50742,812119
panchkula,551230,393014,179289,28612,343287
rewari,885826,620228,245263,90954,547903
jind,1318964,808893,384448,138756,795167
sirsa,1276119,759053,395498,103681,776477
bhiwani,1612187,1040497,443584,177997,989917
kurukshetra,949738,629794,282160,51528,615800
faridabad,1844965,1272444,505711,90369,1247269
mahendragarh,910497,613104,211619,128137,569871
panipat,1179214,760249,333649,75130,769296
rohtak,1048425,730399,288876,59188,699069
kaithal,1060741,626578,288326,85101,686617
karnal,1480437,950161,405549,104065,970720
gurgaon,1528421,1079782,485111,63667,975641
jhajjar,950267,661264,249281,82846,616176
fatehabad,927454,538298,283693,84513,558403
hisar,1722055,1083558,529768,159190,1032662
sonipat,1431938,974988,395411,127674,908149
