Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
kinnaur,83523,59757,46090,9269,28104
kullu,431914,300079,190971,72170,168439
una,513378,389968,132852,81036,299316
shimla,804360,600838,311158,112064,379885
lahul&spiti,31726,21821,15550,3796,12255
chamba,512944,315081,120486,165294,225578
kangra,1492030,1129432,316117,348523,826002
bilaspur,377635,281472,104108,96467,175893
sirmaur,522256,352703,192026,81604,248012
solan,571802,417824,214013,80598,276784
mandi,989468,708854,282608,276008,429059
hamirpur,450375,351631,125510,112325,212276
