Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
kupwara,797516,363192,123799,99998,571937
leh(ladakh),128387,85256,50856,18361,58616
anantnag,1105999,519402,198869,184994,714427
udhampur,605874,328536,175844,99306,329737
srinagar,1226412,714628,330441,69179,826064
badgam,714029,298159,137974,79775,494012
baramula,1054060,513658,209764,111285,730927
kargil,133975,77653,31486,21078,80444
kathua,595730,362595,148293,52972,393175
doda,479644,234397,103832,85188,288337
jammu,1547369,1116743,417426,96943,1032913
pulwama,586632,290169,111844,80341,391232
punch,442828,224264,76996,95365,262743
rajauri,0,0,0,0,0
