Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
palamu,1894698,1124944,247877,457158,1204214
gumla,944649,557190,242140,207570,499413
ranchi,2954165,2055381,757747,407034,1790806
bokaro,2156308,1402574,394654,361542,1411323
purbisinghbhum,2396378,1627200,554057,332554,1510746
giridih,2635982,1514389,437337,773434,1457384
dumka,1212657,666977,193457,414845,628635
chatra,1132878,617129,197545,242521,699718
deoghar,1606888,928763,301299,298564,1013809
sahibganj,1227307,571803,337140,190400,701564
dhanbad,2777242,1853303,564113,351366,1873333
garhwa,1423623,811799,161153,509193,791170
kodarma,798097,471674,155423,134691,509142
hazaribagh,1598412,996848,282790,351889,980949
godda,1405659,703987,234854,372817,807411
pashchimisinghbhum,1362084,692612,300159,343121,723378
lohardaga,495748,302203,103634,151040,250020
pakaur,0,0,0,0,0
