Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
kolar,1389867,955578,523548,120531,746075
tumkur,2698242,1877189,1084148,278169,1335945
bijapur,2260068,1342794,810307,167920,1284537
chamarajanagar,1032231,596318,390977,98197,543610
bangalorerural,871658,630505,344347,58807,468928
bellary,2547852,1531272,1007002,153845,1387012
mysore,3078836,2078523,1116324,243174,1719938
uttarakannada,1454482,1121479,507379,107315,840381
raichur,1985258,1055009,769020,175308,1044055
gulbarga,2466264,1454873,814434,227025,1425415
chikmagalur,1137373,838731,491225,85091,562311
kodagu,555718,421227,261048,20473,274279
udupi,1190835,951513,468375,50907,672433
bagalkot,1941285,1191069,702054,138599,1101967
koppal,1432303,879014,527257,149735,755445
chitradurga,1689314,1142381,687440,199205,804237
davanagere,1977970,1368578,720766,173968,1083380
shimoga,1775666,1305871,666844,127803,981261
dharwad,1899818,1374194,713845,93183,1093220
hassan,1787578,1264979,762710,149141,876052
bangalore,10394814,8222306,4250420,448965,5710248
haveri,1631415,1143221,617189,126688,888006
dakshinakannada,2130301,1727426,929811,79485,1122446
gadag,1084152,734449,430751,72932,580496
mandya,1814301,1193988,721576,156214,936591
belgaum,4901479,3228213,1776798,377706,2747075
bidar,1746601,1108319,581337,154780,1012267
