Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
kollam,2665941,2335276,720775,247464,1703678
pathanamthitta,1175972,1070232,297796,113306,768850
idukki,1097000,948230,425372,109701,564889
thrissur,3212844,2834408,1010289,179427,2029407
kannur,2594006,2245371,738032,124033,1734113
kasaragod,1373559,1142208,402568,90427,881307
kozhikode,3217678,2799309,839492,209849,2174819
kottayam,1987201,1800617,647213,152069,1197159
thiruvananthapuram,3342335,2931105,989049,372088,2002769
wayanad,840328,690779,293697,70135,480574
palakkad,2932132,2441838,946704,161275,1827272
malappuram,4436308,3698062,965462,229011,3245628
ernakulam,3393125,3035864,1159660,180357,2060120
alappuzha,2139045,1911473,628100,229838,1287185
