Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
dewas,1679375,1061650,574441,246100,861597
sidhi,928157,546886,209830,176381,549374
chhatarpur,1892576,1107194,606474,220551,1066990
mandsaur,1408746,898478,571155,158109,680610
mandla,1126984,682805,326370,286390,524130
eastnimar,0,0,0,0,0
narsimhapur,1150663,760228,379485,132062,639749
raisen,1424416,895418,398112,170495,857734
bhopal,2622174,1917111,810191,203077,1617846
bhind,1827018,1224594,432695,88732,1316663
guna,1103531,603935,308737,152183,643684
dhar,2394418,1255221,873581,257677,1264464
vidisha,1569694,992595,419757,177676,974116
shajapur,1611826,960826,541045,215665,855688
balaghat,1790747,1281663,546194,413828,835931
shahdol,911906,549017,187025,262234,479742
datia,860843,548548,256119,68432,546293
jhabua,906289,335708,332189,116994,459288
sagar,2538062,1758943,843986,237805,1456811
shivpuri,1854789,1006597,608618,198590,1048265
indore,3671349,2690713,1331456,132608,2215249
katni,1396314,910943,324986,270120,806324
betul,1653792,1017598,553871,315124,792085
ujjain,2109294,1344960,723666,238420,1148013
umaria,704868,412938,137369,199085,380627
sheopur,747106,393942,216958,83157,447691
panna,1088578,616273,283065,176829,630898
westnimar,0,0,0,0,0
rajgarh,1680696,937192,485938,318718,881331
neemuch,869821,558373,394489,57994,419854
chhindwara,2196198,1423177,725973,314633,1159246
barwani,1530436,658602,592399,125998,816102
jabalpur,2600452,1925427,798364,306792,1502385
dindori,761139,439007,246128,183857,344990
morena,2138713,1352728,551649,161905,1427078
hoshangabad,1310381,893353,392900,127300,791441
rewa,2542805,1674740,649301,401891,1494948
damoh,1344459,846473,407759,207629,730353
tikamgarh,1555173,850460,504201,190929,860902
seoni,1474611,976818,404416,339619,737843
sehore,1417761,896938,401181,251336,768495
harda,614125,399645,168710,69782,377023
gwalior,2218218,1561851,615458,144060,1459485
satna,2391057,1566223,637302,357753,1403625
ratlam,1563688,896502,500501,261250,806511
