Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
nuapada,654609,378392,162887,179491,314699
debagarh,333699,235249,91145,98912,146704
kandhamal,779648,477959,162778,226438,397024
khordha,2465926,2021873,726084,207003,1545028
sundargarh,2238641,1543292,564918,386566,1289930
anugul,1346510,989395,327219,243022,779730
kalahandi,1713454,1002466,374138,470153,886376
koraput,1491398,723709,419938,347310,727743
rayagada,1044537,522987,217511,302997,539234
baudh,479541,333349,133798,116210,231916
jajapur,1937928,1462672,441493,174710,1326493
malkangiri,676229,340349,192919,156237,328501
jharsuguda,617904,462280,195608,87558,337794
ganjam,3729031,2572053,944208,668239,2119467
jagatsinghapur,1178846,975863,314045,133294,736171
mayurbhanj,2682370,1631405,516392,867066,1349604
sonapur,0,0,0,0,0
balangir,1831186,1117829,430157,393832,1014531
cuttack,2778772,2273344,741527,277169,1763378
sambalpur,1098221,799705,368047,186208,546074
bargarh,1553703,1126861,526788,337697,702909
puri,1806146,1450781,494834,255044,1089730
dhenkanal,1261246,945524,285408,204529,781883
gajapati,609775,320785,165755,140517,306646
kendujhar,1935069,1221916,468251,387912,1085945
nayagarh,1016038,784608,241756,135091,641673
bhadrak,1600833,1246616,342223,182201,1085383
nabarangapur,1332050,604786,286560,388021,661785
baleshwar,2484395,1869294,698910,438787,1392064
kendrapara,1514958,1221886,337650,178697,1004802
