Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
amritsar,2283045,1642963,733941,116415,1433299
mansa,804755,479493,255458,95910,455608
muktsar,957062,590043,296788,49432,611626
patiala,1916375,1330843,563107,88680,1265641
gurdaspur,2380982,1767151,650355,131011,1599990
nawanshahr,0,0,0,0,0
kapurthala,840770,616567,255346,37902,547554
firozpur,2154709,1387739,654801,150104,1349932
jalandhar,2293380,1745324,729397,88020,1476208
ludhiana,3704562,2805786,1179999,164903,2361934
sangrur,1534448,986800,433318,59436,1048931
moga,1039219,690813,305795,53561,681856
faridkot,646357,422140,193943,32547,420270
fatehgarhsahib,626975,462281,197353,21121,409110
bathinda,1480259,948551,471463,99627,910455
rupnagar,563058,426117,145884,39168,382907
hoshiarpur,1631071,1265211,409377,85302,1138600
