Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
banswara,1765443,792949,541608,347287,871607
jhalawar,1386149,719038,467412,204029,714539
jhunjhunun,2113583,1346881,582236,298018,1233129
jaipur,6473834,4152635,2006632,390179,4076490
nagaur,3250167,1704686,970725,421331,1856776
karauli,1431247,783549,429244,182929,818600
udaipur,3021854,1546391,811959,523882,1684798
jalor,1786650,793079,643365,234376,908548
chittaurgarh,1568484,820340,665640,149005,753797
tonk,1398823,721820,488242,148003,762299
baran,1200980,670353,353378,186152,661155
sawaimadhopur,1311903,715300,413066,152592,745737
bikaner,2283783,1215050,725775,221641,1335981
sikar,2635564,1615102,691890,301995,1641525
sirohi,1016138,464606,305777,105666,604600
pali,2014721,1053867,595953,233817,1184861
dausa,1599503,904343,496527,172097,930721
churu,2027673,1136621,624160,273639,1129860
ajmer,2539795,1486440,812412,219604,1507537
bharatpur,2499746,1432656,681715,365191,1452624
alwar,3599556,2100501,1153923,527254,1917488
dhaulpur,1182079,656440,312866,200013,669112
jodhpur,3597994,1945784,1031259,414051,2151795
ganganagar,1950409,1168319,666529,224623,1057802
rajsamand,1138404,599567,352813,180831,603673
kota,1908901,1260879,559538,165364,1183433
barmer,2531466,1156012,735011,431879,1360772
bundi,1095103,568322,355141,163557,576374
bhilwara,2365795,1206491,870706,254077,1240345
hanumangarh,1747181,1007378,625138,186640,934335
dungarpur,1357518,650212,221438,404567,727897
jaisalmer,651669,295835,173020,106246,371586
