Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
nagapattinam,1698208,1364817,497187,243717,970815
erode,2074469,1475357,1002829,70014,1004809
namakkal,1883608,1377479,882942,52619,957348
pudukkottai,1721762,1253676,716890,107854,905299
kanniyakumari,1997633,1713704,621555,152368,1230084
thenilgiris,719798,587493,324361,29762,366706
thoothukkudi,1866439,1500399,702565,90908,1073492
chennai,4838643,4067354,1782224,284877,2814039
tiruvannamalai,2648907,1863570,1065263,290285,1294605
vellore,4240333,3184771,1486814,384035,2374080
theni,1347020,997541,567949,71818,707945
perambalur,613059,442562,276830,45567,290940
thiruvallur,4470241,3555405,1570152,378713,2533753
madurai,3352802,2635899,1333219,211564,1811918
salem,3795320,2697074,1758585,113062,1939049
dindigul,2315603,1697324,1043903,148971,1123069
tirunelveli,3310804,2590367,1371354,167921,1772326
ramanathapuram,1463868,1141926,520802,139305,805459
dharmapuri,1026659,679001,455917,59706,512584
tiruchirappalli,2922683,2295562,1187150,128691,1609326
ariyalur,792921,545952,285425,83834,425073
virudhunagar,2066737,1584325,886568,107843,1073862
sivaganga,1463092,1123608,496214,203524,769549
kancheepuram,4870639,3909960,1738603,365307,2772674
thiruvarur,1324808,1056224,428504,144477,752952
viluppuram,3797410,2605956,1349865,537440,1917825
coimbatore,3046204,2466109,1252195,112070,1682635
thanjavur,2527453,2011199,889653,135282,1504067
cuddalore,2819417,2103040,909235,401242,1515786
karur,1150139,844252,550548,27652,577550
