Area Name,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons
haora,4850029,3605205,1496266,323578,3030183
murshidabad,7103807,4055834,2022082,567824,4513899
bankura,3596674,2232991,916392,549827,2130454
maldah,3988845,2086431,1050994,486852,2450998
kochbihar,2819085,1850504,886357,241620,1691109
birbhum,3502403,2158446,912843,418758,2170800
medinipur,0,0,0,0,0
kolkata,4496694,3588136,1576418,219321,2700954
uttardinajpur,3007134,1489666,824342,251284,1931508
jalpaiguri,3872846,2498779,1153764,359145,2359936
northtwentyfourparganas,10009780,7608692,3055629,515994,6438157
dakshindinajpur,1676276,1083685,526470,176516,973289
puruliya,2930115,1624905,613397,636243,1680473
darjiling,1846822,1315585,532854,150871,1163096
southtwentyfourparganas,8161960,5531656,2003685,960809,5197467
nadia,5167600,3480555,1595879,246726,3324992
hugli,5519145,4078387,1714645,438224,3366274
barddhaman,7717562,5247207,2166741,744509,4806312
