Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Jammu & Kashmir,200355,98609,85199,93205,102632.0,33138,7993,24152,13566.0,10586,69776,36312,70310,94462,5046.0,185.0,86208,1638,7414,41634,893,2381.0,3997,361.0,3240.0,3601.0,10672,93.0,84512,872586,64171.0,113003,119525,118754,121453,126647,148377,66.0,12181.0,54874,150.0
Anantnag,9613,4090,6092,5931,1495.0,2590,545,978,589.0,389,5195,2460,5220,6198,324.0,,6023,131,717,4275,888,586.0,111,3.0,24.0,27.0,570,,4717,13760,4776.0,6384,6768,6652,6606,6165,15249,,705.0,3966,1.0
Badgam,12519,3744,6398,7398,5325.0,2112,426,2120,1940.0,180,1552,437,1557,3677,59.0,,3571,23,89,949,936,83.0,44,16.0,115.0,131.0,503,,5969,33207,2501.0,5312,7909,8011,7867,7606,7782,,771.0,1585,
Bandipora,7141,4236,3394,2406,483.0,1478,418,345,131.0,214,836,736,836,1181,4.0,,1196,7,73,669,942,133.0,66,31.0,12.0,43.0,368,,2550,24302,2182.0,3964,4753,4792,5570,4736,4601,,118.0,1147,5.0
Baramula,10962,6709,7576,5503,7892.0,546,519,1995,1804.0,191,3041,759,3041,5036,268.0,170.0,3580,54,111,291,1087,64.0,29,85.0,55.0,140.0,1920,4.0,3207,33138,3428.0,4477,9446,10067,10168,21580,21580,,862.0,2527,3.0
Doda,6683,3612,358,2603,1507.0,2630,285,2821,1401.0,1420,1749,1122,1749,4570,233.0,,4263,307,28,1849,965,,197,,41.0,41.0,176,,2819,30658,2572.0,4646,5374,5179,4971,3971,3960,6.0,1378.0,3307,1.0
Ganderbal,4199,2290,2478,2629,48.0,1419,45,205,126.0,79,999,821,1018,1223,41.0,,1212,11,5,1025,879,44.0,27,8.0,83.0,91.0,268,,2304,33745,1323.0,1168,3233,3201,3420,3424,3374,,272.0,449,
Jammu,60921,37744,19266,12328,17387.0,2650,381,1443,1112.0,331,15079,14037,15079,16522,429.0,,15749,12,2013,14181,788,35.0,667,62.0,696.0,758.0,1035,,11422,195092,9206.0,14897,11500,10895,12776,11341,13201,60.0,152.0,3404,12.0
Kargil,2292,499,697,962,64.0,266,49,439,180.0,259,716,395,716,1155,38.0,,963,47,147,140,973,61.0,14,,19.0,19.0,649,,1737,6970,199.0,1162,981,1062,1016,1147,3906,,221.0,1262,23.0
Kathua,8587,7153,4298,5851,4451.0,3276,704,2195,145.0,2050,1567,1037,1589,3784,365.0,,3612,70,246,1524,842,102.0,326,6.0,51.0,57.0,660,9.0,7732,116041,4843.0,6615,7358,7519,7584,7097,6988,,539.0,733,3.0
