Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Jharkhand,320904,85861,200172,264317,252443,40245.0,3448.0,146640,68129.0,78511,114766,76312.0,137760,284400,1638.0,1475.0,284442,2899,25060,154586.0,924,10150.0,6220.0,1461.0,10750,12211,40796,2637.0,557158,5758885,149779,322048,331704,331954,336583,321636,309905,308.0,424.0,2256.0,325.0
Bokaro,16746,3769,12858,11778,10951,9335.0,1847.0,4864,3980.0,884,4207,2067.0,8566,13430,74.0,475.0,13430,72,1914,5250.0,907,637.0,239.0,91.0,559,650,1329,467.0,47480,425688,7753,18728,18839,18390,18217,18211,17665,149.0,,74.0,19.0
Chatra,8172,458,5622,7953,6713,922.0,,4498,2384.0,2114,3068,3068.0,3136,7634,,,7512,54,600,6011.0,760,,,1.0,129,130,1338,,5551,120316,4074,8362,11655,12525,12120,9772,8282,,,,
Deoghar,10058,6805,6330,8845,9616,,,2292,947.0,1345,5424,5393.0,5424,7716,15.0,,7702,106,402,7384.0,985,115.0,73.0,,35,35,1220,31.0,12921,146830,6426,12576,11959,11235,10408,9958,9958,,,,33.0
Dhanbad,24725,18943,15900,21474,24838,,,6460,,6460,10268,7736.0,16126,22586,403.0,,22514,72,5160,9384.0,802,436.0,287.0,50.0,1790,1840,4902,444.0,103018,1077365,10484,28644,27494,26515,26870,28060,23548,,,,12.0
Dumka,13442,2116,8552,10792,13561,,,5766,2608.0,3158,4008,4003.0,4299,10065,5.0,158.0,10065,102,866,6907.0,911,53.0,12.0,28.0,92,120,696,35.0,14322,41511,8204,11525,11165,10937,11278,11682,11682,,,64.0,2.0
Garhwa,14185,3974,8881,12784,13406,1093.0,213.0,4260,,4260,5876,4881.0,5973,10233,8.0,88.0,10043,249,821,8616.0,1059,54.0,,,144,144,1548,,17131,150972,4804,14762,15188,15259,15508,14463,14110,,,521.0,
Giridih,20846,1599,9632,18113,11570,8806.0,7.0,9142,6721.0,2421,4239,2559.0,5798,14940,,,14828,159,1215,1615.0,909,28.0,25.0,2.0,158,160,1540,,21104,335049,6554,25350,26087,25700,24589,22398,21950,58.0,,,20.0
Godda,13371,2445,7867,10906,12827,,,4515,1807.0,2708,3257,3257.0,3257,7772,,,7710,68,978,4721.0,864,70.0,68.0,60.0,214,274,698,,16755,16681,3257,8288,13332,14385,14444,12705,12705,,,333.0,27.0
Gumla,11041,2067,7382,9502,9791,643.0,83.0,5629,2579.0,3050,4035,2745.0,4297,9926,15.0,42.0,9818,114,622,9065.0,1069,545.0,34.0,180.0,122,302,1109,190.0,19009,218274,5149,11693,11363,11040,12380,11950,11941,27.0,15.0,485.0,42.0
Hazaribagh,14900,4929,8406,12565,8709,81.0,,6662,,6662,7106,5991.0,7626,14288,29.0,,14329,117,2028,8260.0,956,89.0,89.0,11.0,2041,2052,1585,,26962,330733,10130,14354,16571,17343,18102,15866,15366,,,52.0,
Jamtara,8278,1065,6568,7889,9771,4425.0,,4240,2321.0,1919,2286,2286.0,2312,6552,,,6421,131,1076,6395.0,932,,,,29,29,1392,,18163,129125,5140,8863,9358,9661,9840,9339,9319,,,,67.0
Khunti,5741,1356,4124,5026,4304,364.0,24.0,1539,708.0,831,2484,2386.0,2484,4023,,,4011,12,227,3991.0,927,27.0,22.0,,19,19,981,,7003,105948,3929,3929,6657,6798,7089,8657,7530,,,,8.0
Kodarma,10550,1402,4508,6079,7533,198.0,114.0,2874,,2874,1762,1762.0,3353,6227,,571.0,6356,56,447,3349.0,835,,,3.0,159,162,766,,5166,68749,4293,7293,6822,6763,6573,6329,6251,,,,
Latehar,8406,3202,6423,7132,5953,3661.0,480.0,6173,2312.0,3861,1282,1230.0,1287,7460,26.0,5.0,7454,58,1050,4463.0,907,42.0,23.0,78.0,135,213,1655,1.0,11869,68813,3114,8248,8769,8882,9154,8844,8095,1.0,10.0,353.0,8.0
Lohardaga,5486,500,3616,4861,4246,,,2381,539.0,1842,1908,1833.0,2616,4997,10.0,,4796,78,411,1896.0,918,46.0,45.0,23.0,104,127,285,7.0,13838,153185,2261,5688,5151,5175,5324,5851,5851,5.0,,,
Pakaur,9502,1153,4719,8453,6372,1736.0,509.0,5168,3714.0,1454,2303,554.0,2428,7596,,9.0,7487,109,605,3211.0,1031,,,,94,94,1638,,12079,93943,5842,8732,10741,10721,9805,8729,8729,,,91.0,
Palamu,20474,6002,14277,19847,19462,,,14914,7764.0,7150,4968,3010.0,6388,21302,117.0,,21212,300,1469,,954,,,1.0,386,387,3940,,20798,278990,11308,20996,22261,22390,23649,20780,20221,,389.0,,
Pashchimi Singhbhum,15856,2461,11054,12987,17130,781.0,88.0,5803,2107.0,3696,4615,4304.0,4615,10418,23.0,,10386,107,625,8048.0,961,56.0,41.0,60.0,28,88,1307,,26830,179178,3459,15012,15229,15432,15247,15939,15848,,,181.0,
Purbi Singhbhum,24986,3073,16309,16141,8983,,,5316,1277.0,4039,8613,,12009,17325,,,17084,283,1214,15867.0,895,94.0,,205.0,751,956,1138,308.0,32904,362425,9832,21272,19356,20245,22052,20381,19978,,,,
Ramgarh,5745,937,3409,4825,3639,280.0,30.0,3690,1575.0,2115,2496,2471.0,2929,6619,,122.0,6610,28,285,5328.0,822,6.0,,85.0,504,589,745,245.0,9054,59758,3517,6532,6816,6789,6024,5470,5453,14.0,,3.0,10.0
Ranchi,24270,7807,12806,18983,15049,239.0,16.0,21947,16738.0,5209,23144,7734.0,25375,47322,907.0,,48890,317,1835,14672.0,947,7697.0,5226.0,487.0,3138,3625,6483,875.0,63440,644834,16441,29437,26459,26069,27416,26764,26722,,,,
Sahibganj,16631,3393,8469,12304,13689,7601.0,37.0,6157,32.0,6125,3710,3697.0,3755,9912,6.0,5.0,9771,145,474,5499.0,980,37.0,3.0,2.0,22,24,2428,34.0,19997,234364,5798,14612,12401,12492,12700,12739,12383,53.0,,,62.0
Saraikela,12051,1508,8504,10223,8921,80.0,,8170,5065.0,3105,2353,2235.0,2353,10523,,,10507,132,478,9148.0,958,85.0,,27.0,65,92,1152,,15151,228204,4112,11092,11757,11725,11848,11286,10855,1.0,10.0,11.0,
Simdega,5442,4897,3956,4855,5409,,,4180,2951.0,1229,1354,1110.0,1354,5534,,,5506,30,258,5506.0,910,33.0,33.0,67.0,32,99,921,,16613,287950,3898,6060,6274,5483,5946,5463,5463,,,88.0,15.0
