Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Karnataka,1140111,928338,1123482,327048,1233196,1101086,30012,1268,483,785,345978,10548,910527,911795,137244,142641,907525,8847,87745,858110,947,25753,16780,770,279996,280766,178941,30412,1883638,16470048,861025,1041430,3249,1770,2229,15077,1054412,8189,450654,678486,10669
Bagalkote,40761,32957,34755,15128,29414,38704,1404,15,8,7,20850,44,40048,40063,2591,7930,39937,219,2812,38253,964,404,80,26,12759,12785,5669,728,64421,609017,32119,44145,0,0,0,0,39152,3,6958,3300,198
Bangalore Rural,14979,12898,13074,2870,14869,11272,76,5,4,1,2836,174,8032,8037,1562,1873,8015,43,587,8015,979,579,507,36,3176,3212,3336,171,55628,433048,7995,8591,73,43,43,142,14198,46,10276,35068,28
Bangalore Urban,209635,142526,234911,39745,242506,144399,3529,58,20,38,63868,378,120114,120172,18777,14626,119027,1487,10775,110215,932,2770,3437,102,29093,29195,20134,12940,280672,2382853,120994,147140,416,112,169,200,166907,162,34352,75263,1041
Belgaum,98126,85564,93075,36728,102074,120184,4316,31,14,17,32401,180,71616,71647,7454,13943,71303,766,4937,66468,945,3176,759,132,22076,22208,13703,1018,73922,526100,78242,94565,202,101,199,1272,91459,217,21763,27628,515
Bellary,57841,52578,52072,15749,59282,66102,2690,104,20,84,10008,455,44644,44748,7772,5607,44223,659,2743,39694,953,815,905,30,16730,16760,9747,183,95950,688130,35432,51277,41,1,27,134,52791,318,15320,35544,502
Bidar,34139,25630,32265,14908,66417,45190,1384,57,21,36,6884,972,29486,29543,2823,3724,29581,130,2701,27154,933,317,325,65,9041,9106,7653,171,29701,238206,24961,33964,204,106,232,2234,33642,105,8551,3385,275
Bijapur,57276,47504,47350,10579,53888,46657,1096,10,7,3,16402,157,44150,44160,3020,3545,44093,415,3636,41182,983,659,224,17,13521,13538,6297,15,87724,561634,38628,57151,277,132,205,150,53224,81,5791,12402,457
Chamrajnagar,12126,11195,10485,840,11685,6694,171,8,3,5,1225,63,8968,8976,2224,783,8904,66,942,8556,976,182,221,1,3656,3657,2583,60,34334,513274,8741,8865,0,0,1,17,10944,148,4874,7757,50
Chikkaballapur,18078,16707,16981,945,18133,17738,442,11,5,6,2759,13,15230,15241,4572,1948,15160,136,1691,15078,936,716,314,16,6633,6649,5326,73,60256,547648,14532,15043,4,3,9,71,17475,622,6792,10201,141
Chikmagalur,13587,11575,17008,1809,11913,17858,118,35,3,32,3617,1,12431,12466,3479,2626,12418,73,1374,12321,955,597,294,4,4387,4391,2296,336,32738,427471,12206,12767,0,0,0,93,14354,91,6000,42752,76
Chitradurga,28071,23654,28098,8864,28905,28987,555,33,6,27,5564,13,20556,20589,5399,3709,20515,191,2475,20365,916,785,957,34,6873,6907,4876,167,83656,840735,19563,22992,42,21,31,318,25118,20,10130,5646,236
Dakshina Kannada,30348,22916,30362,6354,32105,29925,291,16,7,9,28147,40,35972,35988,3157,9803,35983,310,4719,32679,958,1096,421,19,3703,3722,3399,1262,51079,530147,35443,35477,5,3,2,0,31373,7,80124,78804,442
Davanagere,32104,25976,27804,13857,32733,25062,234,8,1,7,7268,8,30110,30118,5985,2303,30115,142,5566,27564,936,1229,1476,18,15555,15573,4107,3448,65435,374269,27739,30457,55,41,99,833,32161,351,10776,57448,476
Dharwad,34426,29215,34137,14054,34415,36263,616,2,2,0,15057,1321,35893,35895,5077,6942,35269,659,2938,34022,934,797,461,87,9568,9655,8617,539,46334,388650,32466,33468,14,3,87,598,33241,1,23676,58720,557
Gadag,21372,20787,20912,9233,20920,17157,380,26,26,0,5254,134,17966,17992,3186,2772,17810,227,633,17765,977,621,49,3,5863,5866,7409,770,73202,613488,18275,18416,8,8,3,3,19235,2069,6478,7093,136
Gulbarga,60256,44037,60756,22094,64243,67404,2118,101,35,66,13878,1625,48038,48139,5432,6026,48195,540,4558,47155,965,708,456,9,16593,16602,5112,583,30023,193931,43279,68509,177,124,137,1066,59014,300,2658,5932,979
