Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Kerala,527626,437967,523084,16528,625607,135663,2172,467,114,353,314209,21120,460383,460850,56894,130903,464530,1712,51471,429358,958,12502,2255,658,70364,71022,30420,6163,43366,1896821,435866,456084,1863,1396,1403,6488,456525,3207,335181,820184,1662
Alappuzha,23667,20439,30814,466,37679,3057,36,15,5,10,7310,39,15850,15865,4065,4300,15881,36,1733,13879,953,531,255,188,2824,3012,1524,92,2323,145583,15677,16122,3,4,10,848,22369,98,23833,47232,76
Ernakulam,37579,30414,33022,2349,34135,14273,179,17,3,14,32066,0,41392,41409,4593,16125,42207,121,5778,31104,959,1152,145,72,6917,6989,2116,780,9506,303028,41757,42705,36,28,10,129,38252,72,58158,116130,184
Idukki,13136,11557,15615,597,18815,3389,31,27,3,24,6321,24,10403,10430,2079,3280,10609,45,1429,10038,977,657,294,13,2178,2191,1140,61,665,44066,10738,10943,20,0,3,185,13322,18,14174,26442,23
KOZHIKKODE,49307,44060,47743,1671,100562,8080,87,13,4,9,29716,14,52219,52232,8339,11812,52381,375,5207,50304,952,652,204,40,7657,7697,4061,397,4781,152980,51866,52553,45,44,52,1032,42718,218,23515,24577,293
Kannur,40324,33314,37008,432,43349,8631,90,18,4,14,31711,4347,41311,41329,4311,12995,41575,168,4314,39166,952,959,18,43,6248,6291,2277,82,2756,82844,40067,41043,76,64,63,517,36820,90,17625,83858,146
Kasaragod,25583,22393,33754,819,42137,8448,74,20,6,14,13654,821,18454,18474,1291,3554,18151,57,2139,16676,936,813,23,19,1060,1079,2027,128,3431,83044,14463,16952,25,7,9,1215,22694,726,4815,9643,40
Kollam,31899,28067,38777,482,51002,7050,87,19,8,11,15274,141,25381,25400,4473,8842,25161,18,2328,24683,970,577,104,8,6329,6337,1888,315,1725,116879,25605,24842,9,8,9,173,31079,792,17301,109848,19
Kottayam,20036,16648,27575,560,28671,9867,307,8,3,5,13599,1288,22512,22520,3527,6674,22663,139,2331,20577,983,641,250,115,2974,3089,2441,209,3501,107009,21673,21812,71,6,7,73,21325,29,18242,50578,96
Malappuram,100746,84483,89357,3381,80936,26330,372,193,33,160,71414,10862,88507,88700,4843,22882,90044,266,8529,85686,953,2287,2,18,8420,8438,3587,2297,4540,135381,74675,85476,176,176,213,364,79257,265,51629,73802,143
Palakkad,43093,37924,41496,1335,48546,8272,435,27,4,23,24851,1444,33427,33454,3346,8644,33160,55,3768,28712,949,832,193,20,5901,5921,3019,287,1401,48057,33224,33997,302,225,220,149,40031,257,13013,17881,50
Pathanamthitta,12058,9608,14046,311,19401,6284,34,13,3,10,9997,104,14411,14424,1984,5613,14529,22,2013,14338,987,375,112,2,2634,2636,889,224,1016,49911,14595,14647,1,1,1,21,12914,30,21952,27271,15
Thiruvananthapuram,74715,51395,57581,2099,78261,14784,270,18,10,8,19354,1098,40360,40378,8093,9730,41388,244,6104,39071,966,1202,541,32,9231,9263,1819,376,3740,426813,38661,41299,1020,788,750,1518,41027,171,30948,32864,422
Thrissur,41468,34564,43588,950,29479,13101,106,17,0,17,29828,938,41641,41658,4460,12744,42130,114,3817,40473,953,1106,47,57,6025,6082,2591,789,2074,130753,38228,39043,75,41,54,264,41653,10,34986,161070,134
Wayanad,14015,13101,12708,1076,12634,4097,64,62,28,34,9114,0,14515,14577,1490,3708,14651,52,1981,14651,958,718,67,31,1966,1997,1041,126,1907,70473,14637,14650,4,4,2,0,13064,431,4990,38988,21
