Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Madhya Pradesh,997879.0,474227.0,791433.0,852962.0,826616.0,167316.0,27214.0,160519.0,53389.0,107130.0,581713.0,402041.0,644915.0,805434.0,12769.0,8142.0,797391.0,13100.0,137629.0,613923.0,929,11434.0,7154.0,4835.0,58188.0,63023.0,225940.0,7646.0,2994263.0,35512458.0,582280.0,825096.0,822700.0,795129.0,793933.0,848423.0,830367.0,478.0,31896.0,52271.0,12331.0
Agar Malwa,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Alirajpur,15751.0,4397.0,12203.0,11142.0,15327.0,4060.0,134.0,5412.0,603.0,4809.0,5436.0,5251.0,5436.0,10848.0,,,11319.0,145.0,1615.0,11096.0,975,66.0,100.0,24.0,291.0,315.0,2273.0,,75911.0,148401.0,5689.0,12830.0,11150.0,10629.0,10391.0,11408.0,11407.0,,2070.0,24.0,197.0
Anuppur,12003.0,6025.0,9446.0,10569.0,11443.0,551.0,63.0,169.0,116.0,53.0,8299.0,8299.0,8741.0,8910.0,2.0,,8853.0,63.0,1184.0,7773.0,879,175.0,123.0,158.0,104.0,262.0,666.0,,18716.0,261135.0,8271.0,8419.0,9228.0,9291.0,8945.0,9135.0,8832.0,4.0,,58.0,184.0
Ashok Nagar,13951.0,4783.0,9853.0,11917.0,10887.0,2178.0,284.0,778.0,778.0,,7811.0,5714.0,8258.0,9036.0,1.0,,8943.0,93.0,574.0,8428.0,850,46.0,37.0,1.0,280.0,281.0,2534.0,,14321.0,53678.0,8005.0,9035.0,10977.0,10658.0,10439.0,11924.0,11899.0,11.0,12.0,411.0,268.0
Balaghat,16351.0,8533.0,14498.0,15710.0,12910.0,1191.0,69.0,3323.0,,3323.0,11059.0,10146.0,11119.0,14442.0,904.0,309.0,15103.0,508.0,1143.0,13434.0,973,169.0,64.0,282.0,2971.0,3253.0,980.0,,42694.0,391751.0,11859.0,15823.0,14454.0,13889.0,13545.0,15262.0,15230.0,21.0,934.0,954.0,352.0
Barwani,17987.0,9574.0,15161.0,12719.0,13270.0,5104.0,776.0,6153.0,4028.0,2125.0,11064.0,7612.0,11113.0,17266.0,110.0,31.0,17028.0,291.0,5193.0,12469.0,938,144.0,125.0,43.0,3407.0,3450.0,2034.0,,53757.0,921745.0,11107.0,17627.0,18542.0,17630.0,16585.0,16225.0,13895.0,,1404.0,1427.0,438.0
Betul,17806.0,8853.0,15001.0,16488.0,10925.0,4786.0,363.0,3709.0,602.0,3107.0,11229.0,11134.0,12563.0,16272.0,60.0,2.0,16101.0,229.0,4530.0,12516.0,953,457.0,105.0,34.0,1726.0,1760.0,2510.0,,107956.0,1424574.0,7748.0,15555.0,15733.0,14881.0,14652.0,15127.0,15127.0,34.0,520.0,983.0,389.0
Bhind,26231.0,12105.0,19511.0,25231.0,19540.0,4245.0,637.0,2312.0,282.0,2030.0,12896.0,11991.0,12964.0,15276.0,12.0,,15324.0,174.0,1042.0,12385.0,900,376.0,123.0,59.0,54.0,113.0,8029.0,,21778.0,2160548.0,15937.0,18083.0,19441.0,19366.0,19222.0,22950.0,22944.0,,206.0,870.0,213.0
Bhopal,28624.0,4562.0,30775.0,27655.0,28211.0,1855.0,70.0,1910.0,1877.0,33.0,16233.0,16233.0,16550.0,18460.0,606.0,,18438.0,22.0,84.0,16528.0,959,99.0,538.0,328.0,2317.0,2645.0,2446.0,,58590.0,738560.0,18438.0,18438.0,18031.0,17475.0,16968.0,17769.0,18237.0,21.0,1545.0,836.0,412.0
Burhanpur,11573.0,5388.0,10862.0,10552.0,9811.0,2674.0,705.0,1490.0,925.0,565.0,7904.0,7262.0,7905.0,9395.0,274.0,30.0,9324.0,72.0,2064.0,8416.0,896,12.0,20.0,68.0,720.0,788.0,32224.0,29.0,35249.0,486786.0,5863.0,9052.0,9605.0,9404.0,9063.0,8980.0,9587.0,,515.0,566.0,50.0
Chhatarpur,25332.0,11007.0,18805.0,23381.0,17061.0,3840.0,345.0,2255.0,561.0,1694.0,19400.0,13465.0,20953.0,23208.0,303.0,426.0,22837.0,419.0,1403.0,19916.0,902,145.0,566.0,20.0,64.0,84.0,5567.0,,79434.0,895260.0,17010.0,21825.0,23521.0,21796.0,20590.0,21118.0,21118.0,18.0,627.0,774.0,540.0
Chhindwada,23980.0,14529.0,19894.0,22853.0,18485.0,4525.0,3320.0,1115.0,351.0,764.0,22114.0,7775.0,22114.0,23229.0,835.0,,21958.0,1271.0,6109.0,12160.0,946,181.0,163.0,277.0,2734.0,3011.0,5987.0,,145324.0,963412.0,21958.0,21958.0,19823.0,18878.0,18569.0,24099.0,23518.0,1.0,817.0,668.0,139.0
Damoh,19061.0,7621.0,13855.0,15882.0,10601.0,1674.0,845.0,4816.0,560.0,4256.0,9370.0,5832.0,9539.0,14355.0,179.0,,14242.0,461.0,2383.0,8667.0,922,93.0,98.0,1.0,75.0,76.0,3819.0,1017.0,12901.0,168805.0,10624.0,16312.0,13876.0,13265.0,13197.0,16141.0,15659.0,6.0,,,108.0
Datia,10018.0,1538.0,7055.0,8729.0,8645.0,1616.0,82.0,965.0,599.0,366.0,6715.0,4324.0,6715.0,7680.0,1.0,,7603.0,81.0,1422.0,5699.0,891,74.0,36.0,14.0,4.0,18.0,2443.0,,23431.0,259504.0,5570.0,7755.0,6308.0,6500.0,6179.0,6989.0,7913.0,,33.0,476.0,283.0
Dewas,20304.0,11427.0,18383.0,19714.0,19520.0,3940.0,260.0,654.0,,654.0,12007.0,12007.0,13510.0,14164.0,16.0,38.0,14112.0,198.0,811.0,11221.0,929,53.0,40.0,106.0,2291.0,2397.0,3303.0,,62435.0,890088.0,12783.0,15585.0,19433.0,19056.0,18918.0,17860.0,17518.0,,33.0,775.0,151.0
Dhar,29992.0,13152.0,23641.0,25680.0,27682.0,7677.0,679.0,5201.0,3224.0,1977.0,16129.0,8996.0,18625.0,23826.0,50.0,574.0,23433.0,393.0,8705.0,23433.0,952,1042.0,865.0,68.0,4633.0,4701.0,6906.0,105.0,64424.0,812996.0,13638.0,20299.0,26476.0,25091.0,26014.0,27322.0,27291.0,,99.0,2968.0,248.0
Dindori,8950.0,3107.0,7962.0,8488.0,7605.0,1798.0,43.0,5320.0,308.0,5012.0,3591.0,3111.0,3591.0,8911.0,,,8777.0,144.0,726.0,3193.0,951,53.0,9.0,,2.0,2.0,920.0,,38717.0,441694.0,3078.0,7350.0,8384.0,7771.0,7467.0,7830.0,7804.0,,,,203.0
Guna,19171.0,13004.0,14483.0,16197.0,15935.0,715.0,196.0,452.0,,452.0,14332.0,3437.0,15097.0,15549.0,183.0,63.0,15358.0,194.0,1581.0,10204.0,887,200.0,191.0,42.0,214.0,256.0,4422.0,10.0,34848.0,189240.0,12836.0,15094.0,15726.0,15560.0,15284.0,16366.0,14607.0,38.0,806.0,1245.0,361.0
Gwalior,25897.0,12085.0,15875.0,17544.0,27228.0,5071.0,612.0,378.0,125.0,253.0,14914.0,13911.0,18250.0,18628.0,1114.0,1480.0,18817.0,106.0,1417.0,18106.0,852,29.0,236.0,625.0,795.0,1420.0,3799.0,367.0,19885.0,213715.0,7224.0,22279.0,15077.0,14691.0,14885.0,22187.0,21131.0,5.0,33.0,215.0,113.0
Harda,7885.0,3144.0,6174.0,7351.0,5512.0,601.0,29.0,2040.0,1876.0,164.0,4390.0,2993.0,4390.0,6430.0,77.0,,6321.0,108.0,3739.0,4701.0,906,192.0,40.0,105.0,480.0,585.0,1467.0,,36324.0,870470.0,3772.0,6979.0,6010.0,5805.0,6049.0,6297.0,5980.0,,98.0,201.0,107.0
Hoshangabad,13765.0,5634.0,10684.0,11838.0,11095.0,1273.0,85.0,1595.0,3.0,1592.0,8001.0,385.0,10484.0,12079.0,209.0,1117.0,11906.0,173.0,1815.0,11078.0,955,119.0,137.0,31.0,258.0,289.0,2629.0,,53267.0,1352673.0,11611.0,13526.0,10914.0,10469.0,10616.0,11351.0,11351.0,,293.0,412.0,45.0
Indore,53212.0,30594.0,44437.0,40124.0,42678.0,20380.0,3335.0,1278.0,952.0,326.0,16208.0,7730.0,39467.0,40745.0,1283.0,2447.0,40630.0,120.0,5434.0,38244.0,977,3601.0,182.0,655.0,7914.0,8569.0,9844.0,26.0,203679.0,996297.0,36224.0,43305.0,41874.0,41069.0,41116.0,39177.0,38946.0,6.0,4617.0,19410.0,16.0
Jabalpur,32306.0,20864.0,21994.0,15849.0,30917.0,10926.0,1116.0,3095.0,1449.0,1646.0,16018.0,3135.0,25559.0,28654.0,1348.0,,28298.0,369.0,8147.0,26950.0,917,404.0,463.0,163.0,1585.0,1748.0,8345.0,,83664.0,817549.0,24345.0,29294.0,27254.0,26948.0,27724.0,27753.0,26964.0,6.0,910.0,438.0,339.0
Jhabua,20433.0,5305.0,15668.0,17189.0,20364.0,3315.0,506.0,4745.0,15.0,4730.0,10716.0,10716.0,13505.0,18250.0,52.0,318.0,18010.0,270.0,2727.0,18010.0,955,393.0,315.0,14.0,2420.0,2434.0,4735.0,,44682.0,360548.0,6996.0,18146.0,16429.0,15367.0,15147.0,15956.0,15956.0,,145.0,104.0,398.0
Katni,16615.0,7431.0,12827.0,14343.0,11310.0,2110.0,110.0,1235.0,265.0,970.0,12584.0,10942.0,13284.0,14519.0,143.0,411.0,14113.0,375.0,1408.0,13486.0,962,266.0,97.0,187.0,195.0,382.0,3658.0,53.0,100274.0,668971.0,11515.0,13751.0,12597.0,12536.0,12883.0,13030.0,12778.0,,207.0,239.0,386.0
Khandwa,18259.0,11639.0,16182.0,16731.0,14244.0,1724.0,127.0,4434.0,16.0,4418.0,11065.0,9963.0,11550.0,15984.0,150.0,,15849.0,135.0,1627.0,9757.0,894,90.0,29.0,135.0,2072.0,2207.0,3148.0,,59705.0,776668.0,6267.0,15419.0,16157.0,15566.0,15622.0,16465.0,16465.0,,107.0,319.0,305.0
Khargone,28097.0,12656.0,21337.0,24272.0,24673.0,4170.0,669.0,4309.0,2226.0,2083.0,14356.0,13239.0,16571.0,20880.0,537.0,134.0,20617.0,263.0,6425.0,17765.0,945,90.0,70.0,37.0,4182.0,4219.0,3347.0,180.0,97888.0,1442289.0,15626.0,20538.0,24706.0,23721.0,22864.0,24764.0,24256.0,30.0,7060.0,1360.0,415.0
Mandla,10539.0,5903.0,8654.0,9110.0,8176.0,1899.0,593.0,3043.0,2265.0,778.0,7504.0,4502.0,7504.0,10547.0,34.0,14.0,10403.0,144.0,2547.0,7178.0,993,84.0,84.0,179.0,1104.0,1283.0,881.0,,30374.0,314039.0,3834.0,10821.0,10034.0,9381.0,9759.0,10092.0,10092.0,,259.0,410.0,641.0
Mandsaur,20028.0,9108.0,15862.0,19325.0,19303.0,2121.0,47.0,2239.0,,2239.0,11569.0,10513.0,12293.0,14532.0,405.0,220.0,15259.0,312.0,481.0,15124.0,960,208.0,71.0,88.0,2727.0,2815.0,3767.0,17.0,67503.0,1622415.0,16007.0,18074.0,17183.0,16747.0,16576.0,17349.0,17322.0,,735.0,751.0,238.0
Morena,28227.0,12369.0,16851.0,23613.0,23919.0,1868.0,260.0,751.0,172.0,579.0,20484.0,17729.0,21989.0,22740.0,46.0,125.0,22398.0,265.0,3850.0,17053.0,876,269.0,119.0,47.0,50.0,97.0,6070.0,,46351.0,1269442.0,17789.0,22256.0,19659.0,19684.0,20504.0,24008.0,20296.0,,,15.0,202.0
Narsinghpur,13887.0,6863.0,10370.0,15589.0,13979.0,5112.0,830.0,2809.0,750.0,2059.0,9764.0,4329.0,9764.0,12573.0,255.0,,12403.0,170.0,666.0,7190.0,847,122.0,134.0,46.0,359.0,405.0,1786.0,,4917.0,57160.0,5900.0,9059.0,8709.0,8564.0,8972.0,10260.0,11236.0,,263.0,1669.0,224.0
Neemuch,11281.0,3783.0,8858.0,9436.0,11265.0,1118.0,252.0,3623.0,89.0,3534.0,4902.0,4902.0,5902.0,9525.0,112.0,46.0,9444.0,81.0,3345.0,5571.0,940,11.0,28.0,135.0,1263.0,1398.0,1983.0,,996.0,83550.0,5919.0,9407.0,8760.0,8608.0,8474.0,8303.0,9229.0,,119.0,175.0,21.0
Panna,13940.0,10399.0,9008.0,11414.0,12332.0,1175.0,85.0,1976.0,1345.0,631.0,8947.0,7404.0,8947.0,10923.0,45.0,,11209.0,260.0,797.0,9240.0,924,66.0,134.0,3.0,1.0,4.0,2867.0,,20780.0,584559.0,8526.0,12579.0,12529.0,11799.0,11433.0,13225.0,13096.0,15.0,114.0,134.0,182.0
Raisen,18899.0,11241.0,16368.0,18033.0,14714.0,1895.0,751.0,4087.0,2789.0,1298.0,11460.0,6692.0,11499.0,15586.0,15.0,,15229.0,357.0,2245.0,10270.0,934,116.0,218.0,5.0,7.0,12.0,4667.0,161.0,67496.0,560536.0,14538.0,16058.0,14994.0,15018.0,15437.0,15894.0,16586.0,,2.0,27.0,57.0
Rajgarh,17346.0,13221.0,14378.0,13814.0,18830.0,1899.0,477.0,4541.0,1929.0,2612.0,13196.0,9292.0,13196.0,17737.0,87.0,,17604.0,291.0,1963.0,11246.0,951,123.0,83.0,1.0,95.0,96.0,10265.0,4943.0,83584.0,1056189.0,12857.0,17653.0,16646.0,15690.0,15577.0,17493.0,17467.0,27.0,49.0,135.0,54.0
Ratlam,19286.0,8928.0,16501.0,14520.0,17885.0,7867.0,777.0,3294.0,1554.0,1740.0,11714.0,4473.0,11730.0,15024.0,421.0,11.0,14196.0,744.0,4423.0,12912.0,904,364.0,306.0,125.0,1480.0,1605.0,6247.0,264.0,41955.0,438407.0,16155.0,17061.0,14905.0,15563.0,16941.0,17562.0,17562.0,,143.0,958.0,577.0
Rewa,34705.0,13815.0,23517.0,25211.0,20481.0,1065.0,167.0,7707.0,1859.0,5848.0,17483.0,2445.0,17483.0,25190.0,380.0,,24936.0,254.0,1914.0,14873.0,930,128.0,108.0,15.0,129.0,144.0,8747.0,175.0,64410.0,375641.0,14276.0,23839.0,23811.0,22466.0,21393.0,28164.0,23842.0,,445.0,1696.0,176.0
Sagar,34406.0,10884.0,29916.0,25643.0,19583.0,1574.0,446.0,12705.0,1224.0,11481.0,15453.0,15453.0,17339.0,30044.0,314.0,,29534.0,513.0,890.0,10475.0,961,234.0,92.0,83.0,424.0,507.0,3159.0,,60161.0,691809.0,20490.0,31707.0,29099.0,28151.0,28388.0,28916.0,28684.0,,484.0,867.0,99.0
Satna,26994.0,11864.0,22041.0,23496.0,20232.0,6116.0,1395.0,4745.0,1614.0,3131.0,15431.0,2019.0,15431.0,20176.0,8.0,,20093.0,286.0,1634.0,17342.0,924,174.0,94.0,33.0,19.0,52.0,4631.0,53.0,86935.0,787187.0,16052.0,22519.0,22120.0,22218.0,23604.0,23924.0,23923.0,1.0,300.0,613.0,865.0
Sehore,18453.0,8924.0,15668.0,16758.0,14355.0,577.0,316.0,1824.0,444.0,1380.0,13501.0,13442.0,13519.0,15343.0,94.0,6.0,15143.0,228.0,4397.0,13501.0,958,,352.0,84.0,1149.0,1233.0,6837.0,,188336.0,2287101.0,13318.0,17518.0,16342.0,15995.0,16488.0,16326.0,16326.0,10.0,142.0,706.0,259.0
Seoni,12496.0,6268.0,10694.0,11583.0,9461.0,3370.0,695.0,2275.0,311.0,1964.0,11035.0,10753.0,11035.0,13310.0,383.0,120.0,13024.0,407.0,3709.0,11720.0,943,82.0,12.0,53.0,1178.0,1231.0,4734.0,,150634.0,1062691.0,10935.0,12818.0,11631.0,10466.0,10986.0,12605.0,12605.0,,436.0,639.0,527.0
Shahdol,14862.0,6121.0,12722.0,13820.0,12359.0,3280.0,407.0,4355.0,3210.0,1145.0,11029.0,10929.0,11415.0,15770.0,214.0,,15409.0,361.0,2448.0,8463.0,957,53.0,55.0,90.0,697.0,787.0,1359.0,3.0,69575.0,91060.0,5471.0,15294.0,13427.0,12553.0,12127.0,13785.0,13785.0,,3945.0,259.0,134.0
Shajapur,25321.0,14201.0,20502.0,23693.0,22520.0,1953.0,153.0,429.0,,429.0,12555.0,12156.0,12555.0,12984.0,59.0,11.0,12817.0,171.0,11297.0,12817.0,960,56.0,102.0,109.0,1682.0,1791.0,7218.0,160.0,78422.0,1031169.0,12384.0,12874.0,25693.0,25393.0,25891.0,26093.0,26093.0,,132.0,669.0,182.0
Sheopur,10377.0,5128.0,6732.0,9623.0,10250.0,1195.0,260.0,1367.0,1.0,1366.0,7110.0,6776.0,7110.0,8477.0,21.0,,8398.0,133.0,1362.0,7012.0,904,33.0,27.0,7.0,32.0,39.0,2494.0,,17060.0,410572.0,5176.0,8141.0,8221.0,7901.0,7871.0,8719.0,8679.0,,20.0,81.0,189.0
Shivpuri,22643.0,11985.0,19391.0,21853.0,23897.0,3025.0,1955.0,2476.0,430.0,2046.0,15746.0,10756.0,15746.0,18222.0,263.0,,18080.0,267.0,1342.0,17443.0,898,148.0,21.0,39.0,126.0,165.0,4020.0,,46329.0,586139.0,15485.0,19816.0,20858.0,19319.0,19084.0,21022.0,20596.0,5.0,125.0,336.0,171.0
Sidhi,20153.0,10446.0,15287.0,20078.0,17419.0,3213.0,545.0,5055.0,3942.0,1113.0,8303.0,4512.0,8303.0,13358.0,75.0,,13218.0,196.0,3206.0,6200.0,961,237.0,32.0,28.0,20.0,48.0,2062.0,20.0,35498.0,235010.0,7359.0,14953.0,17708.0,16724.0,16676.0,15180.0,11970.0,,,63.0,20.0
Singroli,18394.0,10793.0,13115.0,13797.0,9413.0,1088.0,280.0,10595.0,3990.0,6605.0,5785.0,1666.0,5785.0,16380.0,138.0,,16320.0,60.0,7038.0,8571.0,928,95.0,6.0,5.0,72.0,77.0,1684.0,46.0,15099.0,8641.0,8027.0,14924.0,16184.0,15110.0,14853.0,15569.0,13325.0,134.0,,78.0,38.0
Tikamgarh,18544.0,9585.0,16410.0,16702.0,13882.0,1300.0,14.0,4156.0,1713.0,2443.0,12758.0,7199.0,12758.0,16914.0,127.0,,16608.0,172.0,815.0,10718.0,877,57.0,105.0,4.0,18.0,22.0,3764.0,17.0,103164.0,1067516.0,8308.0,17228.0,16832.0,16807.0,16854.0,16466.0,16466.0,9.0,,12.0,95.0
