Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
_Maharashtra,2174182.0,1293711.0,1348059.0,2104478.0,1937472.0,59746.0,13032.0,158795.0,64048.0,94747.0,796263.0,113009.0,1674779.0,1833574.0,64737.0,61341.0,1841834.0,24887.0,234115.0,488309.0,870,99694.0,102526.0,24416.0,468052.0,492468.0,358188.0,15661.0,2943564.0,26279332.0,1439971.0,1985721.0,1954728.0,1895317.0,1914354.0,1846408.0,1759922.0,926.0,7970.0,10612.0,33419.0
Ahmednagar,100221.0,71752.0,75093.0,96376.0,78019.0,,,2550.0,1264.0,1286.0,29298.0,,89491.0,92041.0,413.0,3165.0,92610.0,887.0,4940.0,,816,6405.0,5163.0,96.0,23301.0,23397.0,21522.0,,28336.0,1375925.0,59458.0,97688.0,92635.0,87484.0,85629.0,88380.0,72667.0,9.0,,,1116.0
Akola,36669.0,25511.0,19982.0,36562.0,33636.0,4334.0,1866.0,2170.0,658.0,1512.0,14786.0,3019.0,33884.0,36054.0,829.0,189.0,36970.0,330.0,3507.0,18955.0,923,1481.0,1716.0,1022.0,6920.0,7942.0,5004.0,,48506.0,366684.0,23521.0,35666.0,31097.0,30628.0,31798.0,29177.0,20104.0,40.0,,,441.0
Amravati,48674.0,37546.0,44150.0,66001.0,43951.0,4921.0,64.0,4883.0,868.0,4015.0,37460.0,456.0,43525.0,48408.0,500.0,2317.0,53151.0,1133.0,10082.0,39565.0,902,2374.0,4059.0,1410.0,11197.0,12607.0,7831.0,,163662.0,514289.0,37769.0,48845.0,46160.0,44852.0,44221.0,43087.0,43087.0,11.0,4477.0,7299.0,1126.0
Aurangabad,71648.0,45264.0,51847.0,64190.0,90687.0,18.0,,9874.0,6556.0,3318.0,18223.0,8206.0,51883.0,61757.0,262.0,1449.0,61001.0,756.0,8177.0,51883.0,852,4612.0,4236.0,92.0,13330.0,13422.0,12531.0,,79064.0,1342746.0,41872.0,65062.0,70437.0,67964.0,65375.0,64645.0,58674.0,,,,819.0
Bhandara,21994.0,17301.0,17819.0,20732.0,20666.0,,,2507.0,794.0,1713.0,14079.0,,15580.0,18087.0,2005.0,627.0,15896.0,308.0,2602.0,,935,632.0,296.0,1255.0,5505.0,6760.0,3541.0,,25238.0,360739.0,12869.0,18564.0,18780.0,18513.0,18351.0,17697.0,17697.0,,,,
Bid,47714.0,30213.0,33474.0,44761.0,50026.0,,,1954.0,1060.0,894.0,19891.0,,38309.0,40263.0,808.0,536.0,41653.0,511.0,2348.0,,810,1956.0,954.0,71.0,12868.0,12939.0,12470.0,,122570.0,916580.0,37316.0,45653.0,47944.0,45880.0,44630.0,41223.0,40404.0,,,,625.0
Brihan Mumbai,193587.0,18172.0,22596.0,188875.0,167386.0,,,1688.0,1113.0,575.0,94334.0,,178474.0,180162.0,28103.0,,169247.0,2430.0,62794.0,,915,14374.0,15814.0,2082.0,21151.0,23233.0,43460.0,,223272.0,4869337.0,160338.0,180798.0,188802.0,179468.0,198044.0,178050.0,178050.0,30.0,,,6479.0
Buldana,53115.0,36123.0,34242.0,51508.0,51306.0,,,5152.0,1857.0,3295.0,20475.0,9970.0,41379.0,46531.0,824.0,689.0,45887.0,644.0,4313.0,7056.0,870,2248.0,1983.0,419.0,10740.0,11159.0,5687.0,,69231.0,966680.0,26453.0,42364.0,45540.0,46200.0,48075.0,44408.0,44408.0,,,,1137.0
Chandrapur,39889.0,29867.0,32797.0,35730.0,40976.0,,,3347.0,993.0,2354.0,17625.0,,31339.0,34686.0,,,37818.0,750.0,6575.0,15134.0,909,2159.0,2023.0,2139.0,10332.0,12471.0,7815.0,,59860.0,438084.0,19313.0,35559.0,36483.0,35655.0,35617.0,34399.0,34399.0,,,,969.0
Dhule,46749.0,24391.0,34755.0,42972.0,61206.0,26.0,,19814.0,10819.0,8995.0,24101.0,20560.0,32327.0,52141.0,229.0,75.0,51855.0,172.0,5799.0,11058.0,844,557.0,873.0,621.0,9606.0,10227.0,6333.0,99.0,72299.0,820110.0,24953.0,42636.0,40728.0,38159.0,39160.0,38834.0,36746.0,,1247.0,1119.0,745.0
Gadchiroli,20964.0,16408.0,17353.0,18309.0,20592.0,,,5658.0,4013.0,1645.0,12424.0,,13086.0,18744.0,2159.0,88.0,21529.0,388.0,2657.0,5312.0,835,1689.0,434.0,3001.0,2817.0,5818.0,1561.0,,11188.0,645455.0,8418.0,18749.0,17442.0,17574.0,17871.0,16559.0,16147.0,,,,418.0
Gondiya,21855.0,17163.0,19130.0,21259.0,20592.0,,,2849.0,439.0,2410.0,13025.0,,14964.0,17813.0,1431.0,808.0,17506.0,457.0,2196.0,,942,494.0,306.0,2624.0,6630.0,9254.0,3404.0,18.0,22060.0,284008.0,14867.0,23136.0,19932.0,19796.0,20218.0,19580.0,18241.0,,,,486.0
Hingoli,23334.0,13328.0,20004.0,17190.0,26467.0,,,2851.0,600.0,2251.0,5526.0,,16648.0,19499.0,59.0,438.0,19184.0,324.0,1348.0,,809,344.0,223.0,67.0,5840.0,5907.0,2297.0,447.0,21699.0,451950.0,18769.0,20009.0,23610.0,22489.0,21644.0,20861.0,20029.0,,,,311.0
Jalgaon,87661.0,47939.0,57734.0,79640.0,70031.0,,,8594.0,4866.0,3728.0,27488.0,6771.0,62317.0,70911.0,774.0,2247.0,72744.0,798.0,5685.0,59062.0,807,2198.0,2999.0,393.0,21770.0,22163.0,12064.0,1001.0,134449.0,1262020.0,50941.0,77894.0,74764.0,70383.0,71210.0,69341.0,66033.0,,,,900.0
