,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10,2010-11,2009-10
_Jammu & Kashmir,449864,399543,175846,196999,258718,245366,39.1,49.3,57.5,61.4,189100,173034,197126,194076,42,43.3,43.8,48.6,282164,389498,62.7,97.5,87156,76529,18374,19184,21.1,25.1,2.3,2.6,43257,51053,16674,26906,26583,24147,38.5,52.7,3990,4523,9.2,8.9,138566,135413,72805,78820,52.5,58.2,141278,137135,31.4,34.3,184535,188188,76.6,72.9,85.6,87.2,23.4,27.1,22101,10492,21,288,15.7,7.9,15.9,7.7,0.8,16.7,98.1,98.7,71.9,52,36.2,25.9,1.9,1.3,65848,42829,41895,26389,35.7,22.8,22.7,14,153338,170087,83.1,90.4,3422,3289,97.8,98.1,108098,95882,70.5,56.4,9337,12289,8.6,12.8,106445,90280,69.4,53.1,10197,15457,23.6,30.3,909,891,6.6,4.1,13.5,25.1,12.2,13.7,21.3,30.9,0.4,0.7,9961,5873,12516,8731,125.7,148.7,86.4,84.1,13.6,15.9,97.4,94.7,2.6,5.3,2.8,2.2,2.7,4.1,1117,1446,18139,18666,19256,20112,5.8,7.2,94.2,92.8,3907,4484,10010,9944,4775,5363,333,206,6,2,20.3,22.3,52,49.4,24.8,26.7,1.7,1,1.2,0.6,75.7,88.4,13.2,6.3,11,5.3,99.8,99.6,91.7,100,100,95.8,,11,21947,22383,118,186,22065,22569,,,0,0,0,0,53.4,52.9,237871,202147,2107812,1958102,8385,8823,130693,2198509,230172,231739,85.2,1292.6,150.1,136.2,222226,237035,217794,235137,220627,247944,,,,,,,229878,251454,149.9,147.8,234464,274782,0.1,-8.5,196564,224239,128.2,131.8,46.9,26.8,104,397,86.2,86.6,75,74.8,0.3,0,0.1,0.1,0,0,0.2,0,0,0,3.9,4,94.6,94.8,0.8,1.1,55.9,52.5,21.4,33.6,33.3,42.7,0.3,0.9,610705,305676,13297529,9965420,4.6,3.1,43688,32840,213843,126616,17,20.6,,,0,0,621503,376819,4.7,3.8,556321,299632,4.2,3,32798,12609,9.4,10.1,1,0.8,0.4,1.5,0.6,1.3,1.3,1.8,0.1,0.2,106,275,14,8.9,8.6,5,10.8,4.5,10.8,24.3,1.1,24.3,4.3,6.4,0,0.5,50.5,26.2
Anantnag,36031,27014,13675,14516,31263,22451,38,53.7,86.8,83.1,47225,18822,12017,12696,131.1,69.7,33.4,47,11878,7295,33,27,1230,6848,119,1708,9.7,24.9,0.7,2,1257,1854,1183,1300,74,554,94.1,70.1,551,101,43.8,5.4,13539,11054,2972,8153,22,73.8,13539,11079,37.6,41,14796,12933,91.5,85.7,99.5,95.7,8.5,14.3,2479,868,,,18.3,7.8,18.3,7.9,,0,100,99.8,56.7,85.8,14.6,26.9,0,0.2,12053,6838,3876,4539,81.5,52.9,26.2,35.1,14316,12564,96.8,97.1,519,416,96.5,96.8,14342,11761,100.2,93.6,605,1208,4.2,10.3,14274,10488,99.7,83.5,1244,3266,99,176.2,966,899,5.8,1.4,47.1,23.5,146.8,6.6,67.9,134,0.3,1.7,1694,1300,31,178,1.8,13.7,93.5,64.6,6.5,35.4,100,87.7,0,12.3,0.1,0.7,15.3,6.7,2,5,571,402,573,407,0.3,1.2,99.7,98.8,1,2,77,73,495,332,,,,,0.2,0.5,13.4,17.9,86.4,81.6,0,0,0,0,0,37.1,21.5,14.7,78.5,48.3,,100,100,100,100,100,,,1058,1237,,,1058,1237,,,0,0,0,0,64.9,75.2,19747,15020,49089,38642,27,698,9627,9866,17073,14400,67.2,78.5,119.3,114.6,11915,14472,11956,14636,12200,15219,,,,,,,11122,13996,77.7,111.4,11089,22559,34.9,2.8,11007,12734,76.9,101.4,47.7,33.7,,,92.1,86.9,90.9,82.6,0,1.8,0,0.9,0,0,0,0,0,0,5.9,5.8,94.1,89.6,0,1.8,63.3,72.9,16,39.8,50,38.6,0,0.4,50936,17931,561448,415733,9.1,4.3,3149,1962,19983,10817,13.6,15.4,,,0,0,6208,12613,1.1,3,18106,15095,3.2,3.6,615,1256,1.1,9.8,1.7,0,0,1.2,0,0.8,0.2,6.1,0,0,,2,,0,,0,,0,,0,,0,,0,,0,,100
Badgam,26133,23257,15435,8466,20381,16574,59.1,36.4,78,71.3,13616,11239,13254,13256,52.1,48.3,50.7,57,12835,21088,49.1,90.7,10036,4960,2449,815,24.4,16.4,8.2,4.4,1697,3833,897,2971,800,862,52.9,77.5,170,101,10,2.6,3918,2521,2964,1252,75.7,49.7,3918,2565,15,11,5615,6398,69.8,40.1,85.8,86.5,30.2,59.9,504,225,,,12.9,8.8,12.9,8.9,,0,100,98.3,123.8,61.4,41.4,23.6,0,1.7,3411,2126,3493,1455,60.7,33.2,62.2,22.7,5716,6446,101.8,100.8,36,101,99.4,98.5,4885,1498,85.5,23.2,1088,186,22.3,12.4,5069,2719,88.7,42.2,566,137,33.4,3.6,912,943,14.1,25.5,18.8,5.7,4.8,3.7,10.3,1.2,0.5,2.7,443,242,103,209,23.3,86.4,82.5,67.5,17.5,32.5,99,94.6,1,5.4,0.4,0.9,2.2,5.2,90,83,542,364,632,447,14.2,18.6,85.8,81.4,1,32,457,295,174,120,,,,,0.2,7.2,72.3,66,27.5,26.8,0,0,0,0,31.9,50.8,63.8,40.9,4.2,8.2,100,100,100,100,100,100,,,933,981,,,933,981,,,0,0,0,0,59.6,68.7,7994,9921,74333,66729,298,491,4442,4162,7373,8736,77.7,64.6,129,135.5,14187,13388,14583,13774,14435,13697,,,,,,,12931,12939,226.2,200.7,12755,14120,-75.4,-48.1,12974,12427,227,192.8,61.6,39.9,,1,80.5,74,75.6,68.1,0,0,0,0.2,0,0,0,0,0,0,3.1,1.1,96.9,98.6,0,0,49.7,,16.1,100,50,0.2,0,10.5,44769,4415,779451,609617,5.7,0.7,2315,1526,4594,3597,33.5,29.8,,,0,0,66229,30753,8.5,5,55988,42857,7.2,7,6685,813,8.1,5.6,0.1,,0.1,,0.1,,0.7,0,0,0,,,,,,,,,,,,,,,,,,
Bandipora,10939,12856,6242,7855,7364,5173,57.1,61.1,67.3,40.2,4230,5473,5100,4127,38.7,42.6,46.6,32.1,3733,743,34.1,5.8,3767,3645,832,852,22.1,23.4,3.5,4.3,1557,907,768,180,789,727,49.3,19.8,258,208,16.6,22.9,2386,1842,2160,1611,90.5,87.5,3092,1857,28.3,14.4,4649,2764,66.5,67.2,83,73.7,33.5,32.8,179,65,,,5.8,3.5,7.5,3.5,0,0,77.2,99.2,136,142.9,79.4,81.4,22.8,0.8,1038,818,929,770,22.3,29.6,20,27.9,4184,2532,90,91.6,43,19,99,99.3,3018,1466,72.1,57.9,393,168,13,11.5,2993,1712,71.5,67.6,580,192,37.3,21.2,978,937,0.6,0.4,0,962.5,0,13.9,0,0,0,0.1,304,286,30,80,9.9,28,53.3,88.8,46.7,11.3,100,100,0,0,0.3,0.6,0,5.4,19,65,191,133,210,198,9,32.8,91,67.2,8,3,202,187,,8,,,,,3.8,1.5,96.2,94.4,0,4,0,0,0,0,14.1,0,48.7,91,37.2,9,100,,100,100,100,100,,,585,566,,,585,566,,,0,0,0,0,73.6,74.1,9209,5536,51666,37025,127,300,2928,2976,8385,7343,70,117.5,200.4,290,8915,9076,8536,9105,8413,9800,,,,,,,7538,8434,180.2,333.1,7332,8243,10.1,-14.9,3901,6742,93.2,266.3,52.7,51.6,,,97,94.6,89.2,90.7,0,0.2,0,0,0,0,0,0,0,0,2.1,0.9,97.3,98.9,0.6,0,47.2,50,16.3,57.4,0,53.1,0,3.4,10560,4732,428387,342696,2.5,1.4,459,488,2753,2498,14.3,16.3,,,0,0,13231,13752,3.1,4,10686,16626,2.5,4.9,146,49,18.8,22,0,0,0,0,0,0,0,0,0,0,,7,,,,,,,,,,,,,,,,
Baramula,29079,27115,12790,12998,19818,18703,44,47.9,68.2,69,12102,15204,21182,14132,41.6,56.1,72.8,52.1,16260,20932,55.9,77.2,10404,5304,3847,2534,37,47.8,2.1,1.9,1584,3668,675,2999,909,669,42.6,81.8,165,2413,10.4,65.8,9687,6295,6491,3431,67,54.5,10171,6385,35,23.5,11755,10053,86.5,63.5,92.3,93.3,13.5,36.5,1540,823,,273,15.1,17.2,15.9,13.1,0,303.3,95.2,98.6,107.3,65.8,75.1,16.5,4.8,1.4,6874,3516,3129,1410,58.5,35,26.6,14,8005,7378,68.1,73.4,150,118,98.2,98.4,6482,4658,81,63.1,993,589,15.3,12.6,6194,2374,77.4,32.2,496,2943,31.3,80.2,918,1019,2.7,10,14.7,2.7,6.4,3.2,44,16.3,0.6,0.8,646,348,69,91,10.7,26.1,79.7,85.7,20.3,14.3,100,100,0,0,0.2,0.3,0.2,0,4,117,500,795,504,912,0.8,12.8,99.2,87.2,4,226,446,591,54,95,,,,,0.8,24.8,88.5,64.8,10.7,10.4,0,0,0,0,6,67.2,77,28.8,17,4,100,100,100,100,100,100,,8,2232,3798,,4,2232,3802,,,0,0,0,0,81.6,80.7,18628,11994,115183,90456,670,13,8725,7145,17558,9802,109,96.8,219.3,132.9,20741,20153,19663,20788,20401,21226,,,,,,,20810,39569,260,536.3,19009,38926,-18.5,-303.7,20369,39128,254.5,530.3,55,14.9,98,75,88.4,83.2,70.8,76.4,0.3,0,0.8,0.7,0,0,0,0,0,0,15,28.1,83.9,71.2,0,0,52.2,51.7,11.9,38.4,45.8,64.4,0,1.3,51142,40177,1345949,1041940,3.8,3.9,4633,2330,23268,7298,16.6,24.2,,,0,0,37770,11919,2.8,1.1,85486,17268,6.4,1.7,3392,2252,15.5,18.3,0,0,0.1,0,0.1,0,0.3,0,0,0,11,18,0,15.4,57.1,23.1,14.3,0,14.3,38.5,0,0,0,0,0,7.7,14.3,15.4
Doda,20868,17039,7782,7585,8348,8558,37.3,44.5,40,50.2,7117,3226,5912,6384,34.1,18.9,28.3,37.5,7311,9070,35,53.2,1483,3617,359,809,24.2,22.4,2.6,1.5,5371,6184,1635,2544,3736,3640,30.4,41.1,,3,0,0,3522,3186,1998,1884,56.7,59.1,3522,3186,16.9,18.7,8893,9370,39.6,34,58,61.2,60.4,66,545,452,,,15.5,14.2,15.5,14.2,,,100,100,87.9,96.5,17.4,22.2,0,0,1351,1230,702,665,15.2,13.1,7.9,7.1,8886,9034,99.9,96.4,17,344,99.8,96.3,2754,3003,31,33.2,74,67,2.7,2.2,2646,3048,29.8,33.7,146,403,2.7,6.5,913,952,5.9,13.4,0.5,7,0.2,12,99,28.2,0.6,0.1,60,40,342,369,570,922.5,69,79.1,31,20.9,100,100,0,0,1.6,2.2,0,0.5,6,18,1091,1175,1097,1193,0.5,1.5,99.5,98.5,345,659,616,367,136,167,,,,,31.4,55.2,56.2,30.8,12.4,14,0,0,0,0,100,99.3,0,0,0,0.7,100,100,,,,100,,,301,341,,,301,341,,,0,0,0,0,21.5,22.2,9364,7124,63518,71139,145,105,3196,4138,9228,9872,36,45.8,103.8,109.3,10442,10659,9927,10115,9556,9491,,,,,,,8135,8330,91.5,92.2,8135,8323,11.8,15.6,6346,6031,71.4,66.8,14.9,26.5,,33,87.8,89.1,68.6,79,0.5,0,0,0.1,0,0,0,0,0.1,0,9.6,4.2,89.5,93.9,0.3,1.8,50.5,51.6,27.7,81.8,32.7,42.2,0.3,1.9,14405,5297,548568,499043,2.6,1.1,1655,1960,12224,8528,11.9,18.7,,,0,0,16795,17452,3.1,3.5,7172,6202,1.3,1.2,145,,11.6,10.8,20.4,8.2,3.5,18,6.9,14.5,3.6,0.4,0,0.4,,1,,100,,0,,0,,0,,0,,0,,0,,0
Ganderbal,7679,9958,4857,5156,4707,4610,63.3,51.8,61.3,46.3,4126,6247,4446,5302,53.7,62.7,57.9,53.2,3907,5813,50.9,58.4,2109,3263,341,153,16.2,4.7,4.8,2.9,357,600,186,447,171,153,52.1,74.5,23,18,6.4,3,2024,1721,1556,1235,76.9,71.8,2024,1740,26.4,17.5,2381,2340,85,74.4,92.8,93.5,15,25.6,194,74,,,9.6,4.3,9.6,4.3,,0,100,98.9,107.8,101.7,16.2,32.5,0,1.1,1857,973,1036,485,78,41.6,43.5,20.7,2292,2246,96.3,96,18,26,99.2,98.9,2188,1707,95.5,76,39,20,1.8,1.2,2078,1958,90.7,87.2,184,126,51.5,21,910,900,6.4,7.6,7.8,24.8,2.7,11.5,0,0,0.3,0,227,129,125,116,55.1,89.9,60,65.5,40,34.5,97.7,99.1,2.3,0.9,1.6,1.2,0,6.4,8,12,165,210,173,222,4.6,5.4,95.4,94.6,110,3,63,131,,88,,,,,63.6,1.4,36.4,59,0,39.6,0,0,0,0,66.7,52.9,4.8,30.5,28.5,16.7,100,100,100,100,100,100,,,559,517,,,559,517,,,0,0,0,0,76.4,70,6566,5891,49220,66731,522,554,1575,2193,1643,2485,68.7,97.6,71.7,110.6,4554,6003,4489,6124,4606,6408,,,,,,,4304,6272,187.8,279.3,3604,6486,-162,-152.4,2004,6292,87.4,280.1,31.1,58.3,,,93.6,95.9,85.5,95.3,3.6,0,0,0.5,0,0,0,0,0,0,24.9,22.7,70.7,71.3,0.8,5.5,51.3,,17.8,100,,6.3,0,1.2,14598,1288,472195,347179,3.1,0.4,816,979,2627,1126,23.7,46.5,,,0,0,23369,6455,4.9,1.9,33446,15654,7.1,4.5,655,68,11,6.3,0.6,,0.1,,0.3,,0,0,0,0,,,,,,,,,,,,,,,,,,
Jammu,96056,105438,12133,65336,23977,53958,12.6,62,25,51.2,10933,26813,13796,20935,11.4,25.4,14.4,19.9,30133,27748,31.4,26.3,9701,5370,1518,2343,15.6,43.6,0.4,1.3,1729,2690,893,2196,836,494,51.6,81.6,133,61,7.7,2.3,25474,31400,16989,29803,66.7,94.9,25474,31400,26.5,29.8,27203,34090,93.6,92.1,96.9,98.6,6.4,7.9,4424,921,,,17.4,2.9,17.4,2.9,,,100,100,40,21.6,31.9,20.1,0,0,10045,3908,5409,2025,36.9,11.5,19.9,5.9,26867,32071,98.8,94.1,150,18,99.4,99.9,19431,28961,72.3,90.3,429,2209,2.2,7.6,19937,29902,74.2,93.2,391,1392,22.6,51.7,817,811,0.5,0.5,1.5,48.7,0.5,5.6,10,19,0,0.2,33,54,5322,1520,6127.3,2814.8,81,87.4,19,12.6,100,99.9,0,0.1,5.5,1.4,7.2,1.3,83,162,3894,3927,3977,4089,2.1,4,97.9,96,853,930,1640,1405,1387,1629,97,125,,,21.4,22.7,41.2,34.4,34.9,39.8,2.4,3.1,0,0,99.4,99.9,0,0,0.5,0.1,100,100,100,,100,100,,,1963,2270,,,1963,2270,,,0,0,0,0,33,35.7,26177,25576,347433,438118,2077,103,25146,26737,31803,37734,93.6,83.4,118.4,117.7,19295,22154,18966,21080,21328,29962,,,,,,,22544,23759,83.9,74.1,37917,22991,29.1,37,19243,15844,71.6,49.4,63.2,36,,60,92.6,94.8,80.3,80.4,0,0,0,0,0,0,0,0,0,0,1.4,0,94.9,99.8,3.7,0.2,62.5,47.2,26.2,31.7,37.7,36.5,0.7,0.3,86399,26596,1626250,896468,5.3,3,4492,2480,17369,9611,20.5,20.5,,,0,0,89634,63279,5.5,7.1,63160,42000,3.9,4.7,4081,2214,8.9,3.3,0.7,0.6,0,0.3,0.4,0.4,0.4,0.6,0.2,0.4,5,18,40,0,0,9.1,20,0,0,0,0,0,0,0,0,0,40,90.9
Kargil,3167,4004,1242,919,2559,2330,39.2,23,80.8,58.2,1408,1312,9765,1716,44.5,32.8,308.3,42.9,1477,266,46.6,6.6,995,587,70,105,7,17.9,1.7,2.5,974,893,536,387,438,506,55,43.3,75,51,7.7,5.7,1621,1356,1416,869,87.4,64.1,1638,1356,51.7,33.9,2612,2249,62.7,60.3,83.2,77.5,37.3,39.7,157,73,,,9.6,5.4,9.7,5.4,0,,99,100,93,89.5,55.6,38.8,1,0,1344,781,484,568,51.5,34.7,18.5,25.3,2546,1531,97.5,68.1,47,68,98.2,95.7,626,923,24.6,60.3,430,367,68.7,39.8,1453,428,57.1,28,36,35,3.7,3.9,1052,988,5.4,1,8,14.3,12.7,2,11.4,0,0,0,148,94,44,55,29.7,58.5,93.2,96.4,6.8,3.6,100,100,0,0,1.4,1.4,0,0,,,58,31,58,31,0,0,100,100,4,15,,,54,16,,,,,6.9,48.4,0,0,93.1,51.6,0,0,0,0,58.6,61.3,34.5,38.7,6.9,0,100,100,100,100,100,,,,992,970,,,992,970,,,0,0,0,0,94.5,96.9,4049,3224,18597,15159,1,2,1111,455,2436,2087,43.6,29.7,95.7,136.3,2139,1859,1996,2004,2055,1942,,,,,,,2061,2051,81,134,9419,11205,15.4,1.7,2098,1784,82.4,116.5,10.4,5.7,,2,86.6,86.1,82.1,83.6,7.3,0.1,0.5,0,0,0,5.2,0,0,0,0,0,83.5,99.9,3.5,0,57.2,56.8,26.3,45.2,49.2,54.9,0.9,1.4,7465,3658,190602,179001,3.9,2,546,399,5920,2573,8.4,13.4,,,0,0,2662,2,1.4,0,12773,7428,6.7,4.1,14,2,15.8,5.8,0,,0,,0,,,,,,6,25,33.3,33.3,0,0,0,0,0,22.2,0,0,0,11.1,0,0,66.7,33.3
Kathua,13489,16294,5631,12447,10823,10366,41.7,76.4,80.2,63.6,7662,8381,11237,10980,56.8,51.4,83.3,67.4,12868,11582,95.4,71.1,6919,5623,381,968,5.5,17.2,0.3,3.6,3762,4460,251,225,3511,4235,6.7,5,62,44,1.6,1,4339,3430,2613,2390,60.2,69.7,4368,3794,32.4,23.3,8130,8254,53.7,46,56.8,48.7,46.3,54,1099,807,21,,25.6,21.3,25.3,23.5,72.4,0,99.3,90.4,113.4,106.6,94.7,88.7,0.7,9.6,3005,3026,1523,1219,37,36.7,18.7,14.8,8079,8007,99.4,97,40,85,99.5,98.9,3274,3596,40.5,44.9,127,512,3.9,14.2,4033,2383,49.9,29.8,107,951,2.8,21.3,883,858,12,0.3,0.6,4145.5,6.7,77.4,13.4,4036.4,2.6,3.6,1095,162,1050,665,95.9,410.5,88.3,96.1,11.7,3.9,100,95.7,0,4.3,7.8,4.1,0.5,4,236,217,1370,1704,1606,1921,14.7,11.3,85.3,88.7,439,768,1084,1039,83,114,,,,,27.3,40,67.5,54.1,5.2,5.9,0,0,0,0,100,100,0,0,0,0,100,100,,,,,,,861,1139,,9,861,1148,,,0,0,0,0,34.9,37.4,16956,16685,286757,247869,15,4681,3579,6308,11902,13089,44.3,78.8,147.3,163.5,13251,14958,13020,14998,12599,14766,,,,,,,12512,13976,154.9,174.5,12320,13689,-5.1,-6.8,11990,13665,148.4,170.7,60.2,0,,,84.2,90.7,72.7,72.3,0,0,0,0,0,0,0,0,0,0,0,0,100,99.7,0,0.3,55.8,51.7,29.9,23.9,47.4,31.7,0.1,0.7,26253,18824,882636,696748,3,2.7,1829,1190,3214,1724,36.3,40.8,,,0,0,74507,49681,8.4,7.1,27696,17075,3.1,2.5,4608,641,4.7,9.1,1,14.5,0.5,7.4,0.6,9.1,0.1,0.1,0,0,,3,,0,,0,,0,,0,,100,,0,,0,,0
