,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18
_Jammu & Kashmir,399307,258865,64.8,247859,174937,56517,62.1,58,214965,53.8,238068,15103,62.7,2.8,11947,985,10962,8.2,166793,79329,47.6,14450,1294,9,181243,45.4,193190,93.8,94.3,6.2,57863,12850,39,34.7,88.9,92,8,35393,145200,296.3,75.2,190694,98.7,3652,98.1,187237,98.2,10266,5.5,171584,90,958,2.4,175.7,108751,27.2,63138,15.8,43665,10.9,624,0.2,76325,39,19.1,417.9,150,112,5,11143,5483,37.6,95.5,4.5,81.5,18.5,1.4,357,12405,12762,2.8,97.2,,,,,434,12328,3.4,96.6,39.1,22.6,35,3.3,97.3,95.5,96.1,100,1,0,1,0,11,0,11,24465,416,28.8,4.2,66.1,17235,7073,573,437479,51934,2948509,8217,798,42,,85,143031,183553,202739,169454,96.3,106.3,88.9,902,603,589,224279,220607,221167,219992,246,115.5,217803,-8.5,115.2,95.3,248,0,1966,93.7,91.5,5578,3242,1993,69,22,0,95,169,268,87,61925,13766,246,42,24,19,203266,106,58.7,24.4,44.6,0.2,998450,26130851,1531121,27661972,3.6,125943,581066,17.8,17130,13.6,5.5,1215012,4.4,4.6,0.1,13.1,0,0.1,0.1,0,1426,13.5,12.7,2.5,0.2,0.5,0,15506,,
Anantnag,27773,25353,91.3,19526,21546,6002,70.3,99.2,14662,52.8,20178,81,57,2.5,10,9,1,90,13890,553,4,267,11,4.1,14157,51,14167,99.9,100,0.1,5399,227,39.7,38.9,85,98.1,1.9,9,14922,90,105.3,14002,98.8,265,98.1,14002,100,1033,7.4,13822,98.7,961,1.3,1.6,3419,12.3,1270,4.6,14309,51.5,18,0.1,18476,0,66.5,,,7,0,1618,0,0,,,,,0,4,561,565,0.7,99.3,,,,,1,564,0.2,99.8,0,26.2,73.8,0,,99.3,100,,0,0,0,0,0,0,0,1543,0,19.4,2.2,73.2,1243,300,0,37463,1762,150379,348,24,6,,0,16547,15528,15600,15309,110.9,111.4,109.3,0,0,0,16689,16584,16781,16834,0,120.2,16832,-7.9,120.2,90.4,0,0,460,98.5,93.6,841,315,338,0,0,0,1,0,20,0,2684,1048,0,0,0,0,15705,0,58.6,16.9,43.9,0.2,109239,1888059,124894,2012953,5.4,6327,24679,20.4,156,2.5,6.2,141880,7,0.1,0,36.7,0,0,0,0,73,6.8,17.8,0,0,2.7,0,267,,
Badgam,12592,12104,96.1,9707,11465,1366,77.1,101.9,10347,82.2,6402,34,82.9,2.1,2,0,2,0,3789,16,0.4,,,,3789,30.1,3791,99.9,99.9,0.1,1399,,36.9,36.9,,100,0,1,3716,50,98,3777,99.6,16,99.6,3777,100,42,1.1,3777,100,1022,6.8,74,2656,21.1,8827,70.1,76,0.6,0,0,9,0,0.1,,,1,0,232,2,0.9,100,0,100,0,0,68,394,462,14.7,85.3,,,,,,462,0,100,38.3,49.2,11.4,1,100,100,100,100,0,0,0,0,0,0,0,1141,,13.8,4.2,71.2,983,158,0,25004,1071,163045,403,74,0,,0,6497,3777,4126,3776,100,109.2,100,,,,12479,12573,12906,13055,,345.6,13060,-216.4,343.7,140.1,0,0,0,89.5,99.5,0,0,0,0,0,0,0,0,0,0,17,11,,,,,12581,,54.1,16.6,,0,52405,1723684,134873,1858557,2.8,4444,28880,13.3,722,16.2,7.3,124353,6.7,0.2,0,22,0,0,,,21,4.8,19,0,0,0,0,,,
Bandipora,7641,6279,82.2,5167,5436,2030,67.6,97.7,4891,64,4961,198,81.8,2.5,129,32,97,24.8,3043,2531,83.2,,,,3043,39.8,3172,95.9,96.9,4.1,367,,12.1,12.1,,100,0,1262,2585,978.3,81.5,3146,99.2,34,98.9,3027,96.2,46,1.5,2841,90.3,1013,2,4.6,4024,52.7,399,5.2,317,4.1,1,0,1758,1,23,100,,9,0,219,0,0,,,,,0,5,161,166,3,97,,,,,,166,0,100,0,97.5,1.9,0.6,,100,100,100,0,0,0,0,0,0,0,290,,1.7,0.2,63.6,283,5,2,9299,1140,41990,203,7,2,,0,4695,3198,3640,2742,101.7,115.7,87.2,3,2,0,7335,7261,7260,7152,0,227.3,7142,-96.5,229.6,89.6,0,0,1,98.4,98,40,7,0,0,0,0,0,0,6,0,1859,230,0,0,0,0,6636,0,53.6,23.1,100,0,22507,638236,26389,664625,3.4,1415,13311,9.6,355,25.1,4,56411,8.5,2.2,0,1.6,0,0,,,18,11.1,11.1,5.6,0,0,0,,,
Baramula,25103,20940,83.4,22510,14386,9418,89.7,94.8,23461,93.5,20493,692,94.3,1.8,238,14,224,5.9,10591,5859,55.3,1312,152,11.6,11903,47.4,12141,98,98.2,2,3996,1237,44,37.7,94.3,89,11,413,12183,173.5,100.3,12021,99,187,98.5,11979,99.7,354,3,11921,99.2,997,4.1,96.8,22214,88.5,4599,18.3,6121,24.4,137,0.5,2128,0,8.5,,,12,0,982,1,1,100,0,10,90,0,22,531,553,4,96,,,,,53,500,9.6,90.4,6,83.4,10.5,0,65.6,91.9,89.3,,0,0,0,0,0,0,0,1178,0,11.8,1.3,68.1,1030,139,9,33414,3730,182367,843,0,0,,7,9497,11505,13687,11173,95.7,113.9,92.9,0,0,0,19200,19049,19208,18439,0,153.4,19651,-34.7,148.1,123.5,1,0,0,93.4,99.6,213,209,35,0,0,0,19,1,38,0,2347,1141,0,0,0,0,17110,0,53.1,17.2,16.7,0,92330,2487973,136918,2624891,3.5,9687,79121,10.9,2355,24.3,5.2,163759,6.2,0.9,0,17.9,0,0,0,0,116,5.2,4.3,11.2,0,1.7,0,472,,
Doda,8281,5709,68.9,3999,5707,1666,48.3,89,7724,93.3,1356,1,10,1.2,1851,59,1792,3.2,4262,2213,51.9,,,,4262,51.5,6113,69.7,70.7,30.3,637,,14.9,14.9,,100,0,2885,5003,155.9,81.8,5807,95,61,99,5652,97.3,78,1.4,5216,89.8,946,2,161.2,4313,52.1,3369,40.7,694,8.4,15,0.2,755,19,9.1,0,,0,0,114,249,68.6,100,0,100,0,3,0,98,98,0,100,,,,,,98,0,100,100,0,0,0,100,,,,0,0,0,0,0,0,0,518,,8.5,1,84.1,474,44,0,18047,1223,124736,1290,22,0,,0,5776,5566,6495,4352,95.8,111.8,74.9,0,0,0,8019,7513,7317,6340,0,109.2,6370,2.4,108.2,47.6,15,0,0,99.4,97.9,41,0,26,12,0,0,0,0,0,0,582,139,0,0,0,0,5235,0,52.5,33.5,61.5,0.1,28521,597303,24764,622067,4.6,1461,31710,4.4,765,52.4,4,23188,3.7,0.3,0,3.6,0,0,0,0,6,0,0,0,0,0,0,,,
Ganderbal,5548,5133,92.5,4166,4491,946,75.1,98,4658,84,2562,210,78.1,5.2,41,0,41,0,1697,631,37.2,,,,1697,30.6,1738,97.6,97.6,2.4,243,,14.3,14.3,,100,0,130,2120,317.1,122,1725,99.3,17,99,1679,97.3,35,2.1,1609,93.3,971,3.4,0,1335,24.1,394,7.1,237,4.3,7,0.1,328,0,5.9,,,1,0,92,0,0,,,,,0,0,192,192,0,100,,,,,,192,0,100,0,88,12,0,,100,100,,0,0,0,0,0,0,0,872,,33.4,17.1,82,579,291,2,13528,1094,96401,467,39,0,,21,4733,1765,1979,1689,102.3,114.7,97.9,19,12,6,5236,5315,5233,5419,32,316,5287,-173.8,313.7,140.7,0,0,0,98.6,89.9,59,54,1,0,0,0,0,0,2,0,4056,644,32,8,0,0,5189,25,50,27.2,,0,16743,914575,79304,993879,1.7,1290,11347,10.2,25,1.9,8,70640,7.1,0.8,0,19.9,0,0,,,28,3.6,0,3.6,0,0,0,,,
Jammu,70043,31685,45.2,29253,16836,5200,41.8,31.5,18094,25.8,29034,3268,51.6,4.4,169,25,144,14.8,29239,18684,63.9,3338,713,21.4,32577,46.5,32746,99.5,99.6,0.5,11131,2689,42.4,38.1,80.6,89.8,10.2,4927,27430,2915.4,83.8,32247,98.5,711,97.8,32479,100.7,2501,7.7,24107,74.8,924,3.7,228.1,10835,15.5,4355,6.2,3496,5,119,0.2,11361,16,16.2,0,,21,0,2218,1709,50.8,88.6,11.4,74.5,25.5,2.4,15,2533,2548,0.6,99.4,,,,,42,2506,1.6,98.4,39.4,0.5,45.2,14.8,98.1,0,99,100,0,0,0,0,1,0,0,2699,26,32.2,3,51.7,1470,870,385,30045,6397,402758,220,59,14,,0,13915,31739,32281,26433,98.4,100.1,82,151,41,40,23947,22945,23261,24977,67,77.7,24963,22.6,69.1,58.1,0,0,0,92.4,85.7,1056,842,49,0,2,0,33,18,32,9,6693,1295,67,34,24,19,23320,65,56,23.2,49,0.6,88894,2569846,81467,2651313,3.4,14564,52288,21.8,2145,14.7,3.1,74722,2.8,16.2,0.1,11.7,0.1,0.1,0.1,0,61,13.1,18,14.8,0,0,0,3338,,
Kargil,2356,1156,49.1,986,1466,739,41.9,93.6,2547,108.1,1704,27,27.6,1.6,104,58,46,55.8,2243,352,15.7,,,,2243,95.2,2347,95.6,98,4.4,374,,16.7,16.7,,100,0,391,1518,376,64.7,2281,97.2,6,99.7,2142,93.9,180,8.4,1841,80.7,973,8.9,109.6,441,18.7,173,7.3,0,0,0,0,5,0,0.2,,,0,0,150,0,0,,,,,0,0,52,52,0,100,,,,,,52,0,100,7.7,48.1,42.3,1.9,100,100,100,100,0,0,0,0,0,0,0,470,,29.4,6.2,90,310,138,22,3071,20,20036,531,7,0,,3,336,2158,2260,1948,94.6,99.1,85.4,2,0,0,2393,2457,2486,2214,147,103.5,1394,2,103.1,74.6,4,0,0,99.3,106.7,1,52,90,0,0,0,0,0,0,0,3103,338,147,0,0,0,2064,1,55.4,34.9,51.7,0.4,15456,242657,3847,246504,6.3,1228,11147,9.9,353,28.7,1.6,25329,10.3,5.4,0,34.8,0,0,,,24,25,0,0,0,0,0,,,
Kathua,11605,9297,80.1,7623,7943,2621,65.7,91,10843,93.4,14900,31,14,0.2,1617,3,1614,0.2,5662,170,3,248,0,0,5910,50.9,7527,78.5,78.6,21.5,1560,230,30.3,27.6,92.7,95.8,4.2,1577,2164,97.5,28.7,7416,98.5,147,98.1,7404,99.8,64,0.9,7356,99.2,885,0,,7434,64.1,5085,43.8,2619,22.6,0,0,4267,0,36.8,,,2,,834,917,52.4,100,0,100,0,7.9,81,1102,1183,6.8,93.2,,,,,,1183,0,100,61.3,4.4,34.4,0,100,100,100,,0,0,0,0,0,0,0,1905,,63,21.2,61.7,696,1200,9,23012,2917,251879,324,24,0,,0,8404,7522,8832,7001,101.4,119.1,94.4,2,0,0,11232,10856,10769,11259,0,151.8,11264,-27.5,151.1,95.2,0,0,1,99.4,84.2,1789,1465,377,0,0,0,0,2,6,9,5607,1151,0,0,0,0,10821,0,60.7,28.5,0,0,26301,979760,97300,1077060,2.4,2967,9501,23.8,1436,48.4,9,48322,4.5,3,1.4,7.5,0.6,1,0,0,3,0,0,0,0,0,0,,,
