,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19
_Jammu & Kashmir,358624,395092,240775,266690,67.1,67.5,284406,288808,173749,176547,51909,55651,79.3,73.1,62.9,58.8,159228,140277,44.4,35.5,282491,290697,33820,29515,64,64.8,2.8,3.2,10503,10396,730,694,9773,9702,7,6.7,166858,172065,73825,78553,44.2,45.7,16007,16923,1765,1911,11,11.3,182865,188988,51,47.8,193368,199384,94.6,94.8,94.9,95.1,5.4,5.2,65147,62388,14310,15014,43.5,41,39,36.3,89.4,88.7,91.2,91,8.8,9,12913,28955,126915,148677,122.9,278.5,65.6,74.6,191384,195931,99,98.3,3530,3814,98.2,98.1,188832,195112,98.7,99.6,10451,10488,5.5,5.4,178766,175781,93.4,89.7,943,944,5.8,3.9,118.5,187.3,107973,147928,30.1,37.4,64369,66833,17.9,16.9,82370,57438,23,14.5,2140,1330,0.6,0.3,84055,91496,1912,942,23.4,23.2,0.5,1.9,0,,90,79,394,1,9036,9572,4435,4784,38.7,38.7,96.5,93.8,3.5,6.2,77.6,79.1,22.4,20.9,1.2,1.2,334,305,9537,10684,9871,10989,3.4,2.8,96.6,97.2,,,,,,,,,620,547,9251,10442,6.3,5,93.7,95,44.2,35.2,22.4,20.4,22.2,38.6,11.1,5.8,95.9,96.5,89.9,91.9,90.7,94.6,97.6,99.5,0,0,0,0,0,0,0,0,0,0,2,4,5,6,17503,18671,302,426,21.6,28.2,2.3,3.1,64.3,63.5,13311,13006,3823,5298,671,793,458562,429393,54497,49471,2917806,2811798,28128,13144,15799,10249,7498,4105,4319,,3572,764,158819,170841,190819,193849,205700,208940,170540,167559,99.7,98.9,107.5,106.6,89.1,85.5,0,36,1,11,8,15,231925,229975,224394,221165,223663,218607,486,110377,229280,121410,120.1,118.3,226903,204938,99.8,47.2,108,100.4,100.3,105.2,246,137,1,0,5778,2591,94.4,93.1,92.1,92,5537,5231,5587,3395,1505,1959,10,6,251,46,1,0,62,132,20,28,244,515,140,73,54776,78137,14846,21026,229280,121410,117706,71,96787,18,82732,13,901,106208,215265,80461,61.9,61.4,28,27.9,43,43.6,0.1,0.1,1245707,1187612,27667213,25962931,1635097,1559036,29302310,27521967,4.3,4.3,127200,130340,563417,581030,18.4,18.3,15022,20459,11.8,15.7,5.6,5.7,1298958,1254205,4.4,4.6,3.8,4.5,0.1,0.1,20.4,17,0,1.1,0.1,0.5,0.6,0.3,0,0,4618,2143,13.6,14,4.7,16.1,2.7,4,0.1,0.2,0.4,0.3,0.2,0,16649,17319,,,,
Anantnag,19497,28918,17301,24691,88.7,85.4,14724,16029,16117,20516,3395,6025,75.5,55.4,100.1,91.8,15615,8009,80.1,27.7,14073,16997,132,63,75.9,79.7,4.1,3,0,4,0,4,0,0,,100,12636,14376,3267,1546,25.9,10.8,277,260,43,41,15.5,15.8,12913,14636,66.2,50.6,12913,14640,100,100,100,100,0,0,5462,6092,234,209,44.1,43.1,43.2,42.4,84.5,80.4,97.9,98.2,2.1,1.8,0,4,11176,14147,,100,86.5,96.6,12814,14533,99.2,99.3,190,220,98.5,98.5,12810,14526,100,100,1349,1659,10.5,11.4,11640,13341,90.8,91.8,975,952,6.9,5.6,99.7,100,941,7125,4.8,24.6,480,925,2.5,3.2,5221,13651,26.8,47.2,0,4,0,0,12784,18227,0,0,65.6,63,,,,,3,5,3,0,1260,1329,0,0,0,0,,,,,,,,,0,0,1,0,483,452,484,452,0.2,0,99.8,100,,,,,,,,,24,16,460,436,5,3.5,95,96.5,0,0,42.7,35.6,57.3,63.3,0,1.1,,,100,100,91.3,95.5,,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,947,1371,0,0,8,12.3,0.6,1.2,66.2,75.2,871,1203,76,168,0,0,42911,33147,1479,2456,127898,153779,239,1266,910,872,410,207,216,,132,10,18700,20576,15375,16379,15309,16323,14671,16265,120,112.7,119.5,112.3,114.5,111.9,0,0,0,0,0,0,16321,16857,16510,16570,16398,16587,0,7986,16744,9504,130.7,120.3,16744,17490,100,51.1,130.5,118.4,95.7,92.4,5,0,0,0,1131,660,100,99.9,93.4,93.5,378,630,203,297,286,413,0,0,0,0,0,0,0,0,0,0,16,16,0,0,2401,2885,1510,2551,16744,9504,8425,0,7239,18,5964,13,0,8073,15708,7743,60.7,61.8,21.7,21.2,51.1,48.3,0.3,0.3,120528,120454,1969793,1962024,143735,124975,2113528,2086999,5.7,5.8,7495,7402,19140,21784,28.1,25.4,12,15,0.2,0.2,6.8,6,164579,148764,7.8,7.1,0.7,0.6,0,0,84.7,41.4,0,0,0,0,,0,,0,23,46,0,0,0,0,0,4.3,0,0,0,0,0,0,278,260,,,,
Badgam,12284,12379,12233,12289,99.6,99.3,9983,9632,11961,12060,0,27,81.3,77.8,97.4,97.6,11000,8592,89.5,69.4,5014,6609,125,58,100,100,1.3,1.8,1,2,1,2,0,0,100,100,3691,3505,0,1,0,0,,,,,,,3691,3505,30,28.3,3692,3507,100,99.9,100,100,0,0.1,1832,1312,,,49.6,37.4,49.6,37.4,,,100,100,0,0,1,0,3855,3669,100,0,104.4,104.6,3685,3509,99.8,100.1,10,8,99.7,99.8,3685,3509,100,100,39,46,1.1,1.3,3685,3509,100,100,942,969,5.3,5.6,100,100,7430,6153,60.5,49.7,4881,7928,39.7,64,173,48,1.4,0.4,0,0,0,0,0,0,0,0,0,0,,,,,0,7,0,0,322,225,0,0,0,0,,,,,,,,,0,0,3,54,353,314,356,368,0.8,14.7,99.2,85.3,,,,,,,,,,,356,368,0,0,100,100,28,17.5,46.5,65.3,25.5,17.2,0,0,100,100,100,100,100,100,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821,937,,,28.5,26.6,6.3,7.1,69.8,71.8,587,688,234,249,0,0,27798,27227,1000,1348,170212,164396,612,675,1273,1274,819,565,574,,377,76,9320,9376,3685,3511,4180,3927,3685,3511,100,100.1,113.4,111.9,100,100.1,,0,,0,,0,13498,13266,13466,13546,13750,13402,0,6052,14271,5358,387.3,325.2,14271,11410,100,-54.1,387.5,369.9,136.8,145.8,0,0,0,0,0,0,87.9,87.2,99.6,99.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,32,0,25,14271,5358,6590,,5885,,5592,,0,6281,13945,4535,56.5,55.1,14.9,16.3,,,0,0,56393,53097,1855435,1765155,155390,138780,2010825,1903935,2.8,2.8,4409,4210,18878,34156,18.9,11,1177,801,26.7,19,7.7,7.3,143590,137175,7.1,7.2,1.7,0.3,0,0,27.2,25.3,0,0,0,0,,,,,19,19,0,5.3,5.3,10.5,0,0,0,0,0,5.3,0,0,,,,,,
Bandipora,7170,7140,5929,5954,82.7,83.4,5130,5155,5037,5337,1622,1883,71.5,72.2,92.9,101.1,5210,5602,72.7,78.5,5425,5200,103,202,85.8,75.7,1.5,2,90,111,18,14,72,97,20,12.6,2521,3053,1804,2354,71.6,77.1,,,,,,,2521,3053,35.2,42.8,2611,3164,96.6,96.5,97.2,96.9,3.4,3.5,601,569,,,23.8,18.6,23.8,18.6,,,100,100,0,0,1022,1157,2098,2538,1135.6,1042.3,80.4,80.2,2600,3147,99.6,99.5,20,28,99.2,99.1,2528,3016,97.2,95.8,32,31,1.3,1,2075,2712,79.8,86.2,943,941,1.4,2.4,0,0,3915,5536,54.6,77.5,685,590,9.6,8.3,0,0,0,0,0,0,0,0,1316,2026,0,0,18.4,28.4,,,,,0,2,0,0,210,209,1,0,0.5,0,100,,0,,100,,0,,0,0,11,1,149,94,160,95,6.9,1.1,93.1,98.9,,,,,,,,,,,160,95,0,0,100,100,26.2,0,63.8,90.4,10.1,9.6,0,0,100,,100,100,100,100,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,217,,,16.3,7.8,1.9,0.6,64.4,69.6,242,200,47,17,0,0,10644,9919,1368,1323,32672,39964,586,663,413,404,294,149,203,,151,55,4708,5147,2711,3079,3100,3567,2412,2739,104.3,97.8,119.2,113.3,92.8,87,0,0,0,0,0,0,6966,7341,6947,7312,6891,7249,1,2918,6809,2699,261.9,178.5,6780,5617,100,18.2,251.3,203.1,72.9,78.8,2,0,0,0,56,1,96.1,98.7,97.5,98.7,81,27,74,2,3,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,720,762,191,143,6809,2699,3184,0,2726,0,2330,0,26,2726,6550,2302,57.1,57.2,25.2,22.2,,,0,0,27093,23931,650719,646201,24456,28698,675175,674899,4,3.5,1346,1430,10588,11680,11.3,10.9,35,498,2.6,34.8,3.6,4.3,52644,55600,7.8,8.2,2.2,2.7,0,0.1,4.5,1.3,0,0,0,0,,,,,12,18,8.3,5.6,8.3,0,0,0,0,5.6,8.3,5.6,0,0,,,,,,
Baramula,23071,22241,20789,18756,90.1,84.3,21653,20931,13879,15479,6318,7796,93.9,94.1,87.5,104.6,21998,21892,95.3,98.4,18377,31540,1115,892,99.5,92.3,0.7,1.2,72,161,43,76,29,85,59.7,47.2,12377,11643,6026,6329,48.7,54.4,1633,1711,68,63,4.2,3.7,14010,13354,60.7,60,14082,13515,99.5,98.8,99.8,99.4,0.5,1.2,5691,4482,1568,1651,51.8,45.9,46,38.5,96,96.5,88.3,87.2,11.7,12.8,72,345,13705,12356,100,214.3,97.3,91.4,14021,13473,99.6,99.7,212,197,98.5,98.6,13983,13471,99.7,100,483,384,3.5,2.9,13912,13411,99.2,99.5,988,988,5.4,5.9,92.9,84.1,21746,21570,94.3,97,4606,4996,20,22.5,10179,6918,44.1,31.1,216,205,0.9,0.9,3695,2231,0,0,16,10,,,,,11,6,0,0,596,681,0,0,0,0,,,,,,,,,0,0,0,40,389,403,389,443,0,9,100,91,,,,,,,,,163,103,226,340,41.9,23.3,58.1,76.7,2.3,1.5,82,85.1,15.7,13.4,0,0,0,100,60.8,77.8,52.5,50,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1128,1095,,,9.7,17.9,0.9,1.7,74.4,71.2,1018,894,109,196,1,5,43510,36344,2337,2480,147585,179558,2130,1505,712,304,427,107,278,,185,29,10517,10133,13571,13402,15611,14744,13050,13148,96.8,99.5,111.3,109.4,93.1,97.6,0,0,0,0,0,0,19790,19698,18821,18987,18738,18627,0,11164,21313,11206,152,166,21239,20624,100,24.3,150.1,149.3,122.1,109.3,1,5,0,0,1,11,93.4,94.8,97.4,98.6,368,324,41,197,21,21,0,0,0,1,0,0,1,15,0,0,4,45,0,0,4573,10996,3859,8714,21313,11206,9133,0,7139,0,6390,0,0,9279,19617,7277,51.4,51.4,22.3,22.9,45.5,31.7,0,0.1,88783,88528,2579142,2416767,173638,151301,2752780,2568068,3.2,3.4,5759,10118,77696,80853,6.9,11.1,374,2802,6.5,27.7,6.3,5.9,136789,122588,5,4.8,1.4,1,0,0,25.7,24.9,0,0,0,0,0,0,0,0,92,87,0,3.4,2.2,4.6,2.2,10.3,2.2,1.1,1.1,0,0,0,452,519,,,,
Doda,8453,8059,5929,5330,70.1,66.1,5287,4386,5524,5397,1654,1486,62.5,54.4,84.9,85.4,4953,5023,58.6,62.3,1598,743,4,0,100,,1,0.2,1615,1730,59,19,1556,1711,3.7,1.1,4641,3924,2459,1831,53,46.7,,,,,,,4641,3924,54.9,48.7,6256,5654,74.2,69.4,75.1,69.7,25.8,30.6,828,481,,,17.8,12.3,17.8,12.3,,,100,100,0,0,3026,2690,5449,5015,187.4,155.5,87.1,88.7,6219,5597,99.4,99,85,62,98.7,98.9,6006,5531,96.6,98.8,117,91,1.9,1.6,5261,5133,84.6,91.7,887,895,2.5,0,378.3,,2826,3977,33.4,49.3,3576,3171,42.3,39.3,1437,711,17,8.8,0,17,0,0.2,1158,518,0,0,13.7,6.4,,,,,0,1,0,1,188,120,396,475,67.8,79.8,100,66.5,0,33.5,100,100,0,0,4.7,5.9,0,0,144,178,144,178,0,0,100,100,,,,,,,,,,,144,178,0,0,100,100,91,100,0.7,0,8.3,0,0,0,100,100,100,,100,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,348,,,15.7,25.9,1.1,2.3,68.9,66.2,260,258,50,90,9,0,18585,18215,1168,1156,160573,138687,1081,1667,114,104,13,22,14,,54,12,2764,4202,5501,5075,6321,6066,4014,3677,88.5,90.7,101.6,108.4,64.5,65.7,0,0,0,0,0,0,8478,7879,7927,7209,7672,6723,0,3494,6635,2606,106.7,109,6604,5838,100,42.4,86.6,91.1,56,58.7,0,0,0,0,0,1,99,98.4,97.8,98.6,103,29,30,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,202,46,0,6635,2606,4025,0,3429,0,3004,0,0,3014,5593,2229,53.1,53.7,36.5,37.1,43.3,41.2,0.1,0.2,35621,28473,642854,568415,24852,17097,667706,585512,5.3,4.9,2523,1404,32161,30084,7.3,4.5,1018,1239,40.3,88.2,3.7,2.9,24260,20388,3.6,3.5,0.5,0,0,0.1,7.5,2.6,0,0,0,0.1,0,0,0,0,7,11,14.3,0,0,0,14.3,0,0,0,0,0,0,0,,,,,,
Ganderbal,5277,5040,4981,4686,94.4,93,4527,5000,4235,4086,774,774,85.8,99.2,94.9,96.4,3616,3662,68.5,72.7,4176,4207,195,171,75.3,78.1,2.6,3.8,13,35,10,22,3,13,76.9,62.9,1606,1772,1236,1426,77,80.5,,,,,,,1606,1772,30.4,35.2,1619,1807,99.2,98.1,99.8,99.3,0.8,1.9,335,193,,,20.9,10.9,20.9,10.9,,,100,100,0,0,4,71,1379,2009,30.8,202.9,85.2,111.2,1605,1730,99.1,95.7,14,12,99.1,99.3,1541,1666,96,96.3,44,89,2.9,5.3,1373,1578,85.5,91.2,1042,973,0,3.9,,0,866,3887,16.4,77.1,137,292,2.6,5.8,174,336,3.3,6.7,0,0,0,0,274,626,0,0,5.2,12.4,,,,,0,0,,0,75,102,1,0,1.3,0,100,,0,,100,,0,,0,0,0,0,85,116,85,116,0,0,100,100,,,,,,,,,,,85,116,0,0,100,100,0,0.9,98.8,97.4,0,0.9,1.2,0.9,,100,100,100,,100,100,100,,0,,0,,0,,0,,0,,0,,1,656,684,,,25,32.9,10.2,12.7,88.5,85.5,469,439,164,225,23,20,15220,13308,1127,1030,103386,98913,2220,1104,831,162,578,77,297,,228,72,4007,3767,1553,1854,1797,1976,1521,1747,96.8,107.2,112,114.2,94.8,101,0,0,0,0,0,0,5573,5561,5563,5205,5500,5274,0,2822,5506,2318,343.1,297.1,5499,5010,100,-42.8,338.4,301.6,125.1,112.3,0,0,0,0,0,4,99.1,97.9,90.7,86.7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,210,445,20,34,5506,2318,2579,20,2224,0,1986,0,0,2670,5489,2340,56.1,52.9,19.5,21.4,,,0,0,17568,18500,911362,809224,90017,102098,1001379,911322,1.8,2,1292,1412,13224,8798,8.9,13.8,127,230,9.8,16.3,9,11.2,55543,62179,5.5,6.8,2.6,4.2,0,0.3,60.5,41.1,0,0,0,0.2,,,,,1,3,0,0,0,0,100,0,0,0,0,0,0,0,,,,,,
Jammu,66863,69497,27816,28894,41.6,41.6,65815,41755,16421,15938,7031,6857,98.4,60.1,35.1,32.8,13011,14209,19.5,20.4,59032,50728,29524,25310,85.8,101.1,2.8,3.7,143,189,21,18,122,171,14.7,9.5,29570,31089,17258,19090,58.4,61.4,4055,3745,851,900,21,24,33625,34834,50.3,50.1,33768,35023,99.6,99.5,99.6,99.5,0.4,0.5,12183,11961,3412,3077,46.4,43.2,41.2,38.5,84.1,82.2,87.9,89.2,12.1,10.8,604,3806,8002,26546,422.4,2013.8,23.7,75.8,33459,34032,99.1,97.2,668,810,98,97.7,33342,34910,99.7,102.6,2659,2430,8,7,31142,25660,93.1,75.4,909,916,19.1,11.1,65.7,119,11404,12590,17.1,18.1,6348,4614,9.5,6.6,13542,3432,20.3,4.9,703,235,1.1,0.3,19421,21951,12,44,29,31.6,41.7,36.4,0,,12,11,0,0,2308,2170,1368,1460,48.6,49.9,91.2,98.1,8.8,1.9,62.8,67.7,37.2,32.3,2,2.1,28,12,2848,2483,2876,2495,1,0.5,99,99.5,,,,,,,,,24,40,2852,2455,0.8,1.6,99.2,98.4,28.2,26.3,3.1,0.6,33.7,50.5,35,22.6,97.9,99.8,96.6,0,99.9,98,99.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1453,1975,0,4,20,27.8,1,1.8,33.6,44.2,676,929,290,549,487,501,29263,39890,6595,4576,332192,336495,1278,224,1656,162,363,67,136,,55,21,13858,15942,33948,33816,34085,34065,30134,27253,101.5,99.4,101.9,100.1,90.1,80.1,0,0,0,0,0,0,24171,24448,22839,23253,23286,23351,0,11970,23572,5527,70.5,51.4,21841,16365,100,64.9,62.7,49.8,70.3,77.5,2,0,0,0,25,0,96.5,90.7,88.6,87.3,1508,2060,302,762,98,40,0,0,0,0,1,0,34,34,4,5,3,40,117,12,4778,7680,1167,1290,23572,5527,12441,0,10412,0,8894,0,0,11585,23485,3907,71.2,69.8,30.3,26.7,41.2,40.6,0.3,0.3,145240,136672,3093670,2686732,95291,84675,3188961,2771407,4.6,4.9,19900,15205,49719,47793,28.6,24.1,1363,2198,6.8,14.5,3,3.1,86270,82593,2.7,3,9.1,11.5,0.3,0.1,15.2,14.5,0.1,7.2,0.2,2.2,2.6,0,0,0,625,968,13.4,16.8,21.8,20.5,4.3,5.7,0,0.1,0,0.1,0,0,4055,3745,,,,
Kargil,2278,2364,1269,1238,55.7,52.4,1195,1295,1413,1431,568,731,52.5,54.8,87,91.5,1770,1988,77.7,84.1,1850,1840,35,41,21.5,11.7,1.4,16.2,59,62,34,48,25,14,57.6,77.4,2008,2101,139,227,6.9,10.8,,,,,,,2008,2101,88.1,88.9,2067,2163,97.1,97.1,98.8,99.4,2.9,2.9,471,416,,,23.5,19.8,23.5,19.8,,,100,100,0,0,256,560,2016,2601,433.9,903.2,97.5,120.2,2050,2172,99.2,100.4,11,13,99.5,99.4,1960,2066,95.6,95.1,163,152,8.3,7.4,1792,1800,87.4,82.9,1052,907,23.2,12.6,68.8,112.5,1508,1318,66.2,55.8,229,332,10.1,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0.2,,,,,1,0,0,0,269,212,0,0,0,0,,,,,,,,,0,0,0,0,130,52,130,52,0,0,100,100,,,,,,,,,,,130,52,0,0,100,100,4.6,53.8,50.8,38.5,40.8,7.7,3.8,0,100,100,100,100,100,100,100,,0,0,0,0,0,0,0,0,0,0,2,0,4,0,478,516,,,24.1,45.5,5.7,11.2,78.6,90.8,332,205,115,235,31,76,3319,2741,88,118,17881,15836,545,213,176,57,67,46,38,,46,17,1347,1838,1925,2102,1881,2078,1774,1907,93.9,96.8,91.8,95.7,86.5,87.8,0,6,0,8,7,6,2333,2773,2229,2494,2259,2555,481,1733,3287,951,183.8,123.6,2417,1509,74.4,16.6,113.5,112.3,102.6,101.4,2,0,0,0,13,0,99.7,99.9,106,110.1,9,173,23,73,42,97,0,3,0,0,0,0,0,0,0,0,0,1,12,13,2728,1679,67,120,3287,951,1643,51,1011,0,932,0,728,1417,1759,534,57.6,60,36.9,34.7,39.5,42.9,0.5,0.5,14822,15672,227486,213066,7696,10802,235182,223868,6.3,7,1764,1939,9187,9500,16.1,17,452,407,25.6,21,3.3,4.8,33861,25919,14.4,11.6,4.8,5.9,1.1,0,27.3,23.3,0,0,0.5,0,,,,,44,38,9.1,28.9,6.8,13.2,0,0,0,0,11.4,0,0,0,,,,,,
Kathua,12098,11684,9397,9199,77.7,78.7,8427,7151,8233,7937,2794,2695,69.7,61.2,91.1,91,7211,6538,59.6,56,14739,12797,141,32,81,37.2,4.6,3.9,1751,1538,0,0,1751,1538,0,0,6516,5604,459,216,7,3.9,297,375,,,0,0,6813,5979,56.3,51.2,8564,7517,79.6,79.5,79.6,79.5,20.4,20.5,1804,1426,276,360,30.5,29.9,27.7,25.4,92.9,96,95.6,93.7,4.4,6.3,1517,1308,251,351,86.6,85,2.9,4.7,8457,7399,98.8,98.4,138,151,98.4,98,8073,7403,95.5,100.1,236,104,2.9,1.4,8042,7139,95.1,96.5,909,914,0,0,,,7247,7351,59.9,62.9,2639,3158,21.8,27,134,2466,1.1,21.1,0,1,0,0,4520,4878,1,1,37.4,41.7,0,0,,,2,1,,,109,466,584,586,84.3,55.7,99.5,100,0.5,0,100,100,0,0,4.8,5,23,51,736,743,759,794,3,6.4,97,93.6,,,,,,,,,,,759,794,0,0,100,100,98.5,87.5,0.8,0.3,0.7,11.6,0,0.7,100,100,100,100,100,100,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,1122,,,21.8,59.5,2.7,11.9,51.8,58.6,636,444,178,668,1,10,18894,20955,2256,2045,195764,188756,274,69,468,223,97,36,62,,6,5,4382,8137,8219,7274,8788,7838,7038,6146,97.2,98.3,103.9,105.9,83.2,83.1,0,0,0,0,0,0,12012,11145,11572,10879,11607,10623,0,4647,11194,4926,132.4,129.4,11194,9569,100,40.7,127,113.8,105,127.6,1,5,0,0,6,0,99.8,99.5,85.6,83.4,567,331,297,302,218,10,0,0,0,0,0,0,1,0,0,6,2,5,0,1,2006,5342,588,140,11194,4926,5678,0,4536,0,3779,0,0,5255,10945,3958,58,62.4,22.9,30.6,,0,0,0,32543,29062,1074408,990631,88167,86731,1162575,1077362,2.8,2.7,3012,2340,9895,11337,23.3,17.1,1602,1261,53.2,53.9,7.6,8.1,52697,49581,4.5,4.6,2.3,2.5,1,0.5,13.1,9.4,0.8,0.6,0.9,0.5,0.1,0.4,0,0,15,10,6.7,0,0,0,13.3,0,0,0,0,0,0,0,,,,,,
