,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11
_Jharkhand,734914,762847,157942,201620,676768,685587,21.5,26.4,92.1,89.9,444663,471578,576443,601596,60.5,61.8,78.4,78.9,270571,561503,36.8,73.6,92903,64770,2023,3236,2.2,5,2.5,3,212417,242198,43979,67969,168438,174229,20.7,28.1,19596,26248,9.2,10.8,310921,289268,289493,237189,93.1,82,371807,345136,50.6,45.2,584224,587334,63.6,58.8,71.2,70.3,36.4,41.2,7245,4272,10258,11308,4.7,4.5,2.3,1.5,16.8,20.2,83.6,83.8,73.9,72.8,56.9,55.7,16.4,16.2,360795,332080,260932,241613,61.8,56.5,44.7,41.1,588779,591953,100.8,100.8,10303,7377,98.3,98.8,523577,484792,88.9,81.9,34808,41487,6.6,8.6,539266,491878,91.6,83.1,148737,164006,70,67.7,912,908,3.2,2.2,13.7,11.8,8.9,3.9,4.8,2.2,0.4,0.8,15738,12914,1556,2693,9.9,20.9,81.9,75.2,18.1,24.8,24.1,34.5,75.9,65.5,0.2,0.4,8.3,0.7,13105,13178,118209,114537,131314,127715,10,10.3,90,89.7,2502,868,74267,75160,20627,17102,,4841,2157,1125,1.9,0.7,56.6,58.8,15.7,13.4,0,3.8,25.8,23.3,10,10.5,88.5,86.2,1.5,3.2,41.1,52.1,77,77.6,59.7,81.7,4,60,99238,104063,4188,9871,103426,113934,0,,0,0,0,0,44.1,47.1,1033894,1135764,7542144,9019783,31528,224500,336206,370874,679914,748625,57.1,62.7,115.5,126.5,708064,739386,682522,706234,661282,685745,,,,,,,683076,750447,116,126.8,642207,564366,-0.5,-0.2,566954,536463,96.3,90.6,167.3,13.6,9713,6000,94.6,93.8,72,67.4,0.2,0.3,0.1,0.3,0.1,0,0.2,0.2,0,0,9.6,7.2,45.9,46.3,43.9,45.7,59.9,60.2,17.7,19.1,41,54.3,0.6,1,608394,403518,10812530,10240760,5.6,3.9,25659,12268,35495,27332,42,31,,,0,0,45652,125350,0.4,1.2,19833,24421,0.2,0.2,28287,12098,7.3,8.3,3.9,3.1,5.9,3.3,5.1,3.2,2.7,3.6,1.8,2.6,723,857,2.5,4.3,2.5,3.9,18.6,17.7,7,7.9,1,1.3,7,7.4,0,0.6,61.3,57
Bokaro,53925,45404,11607,9976,51184,41484,21.5,22,94.9,91.4,32339,28017,38210,32529,60,61.7,70.9,71.6,14292,32047,26.5,70.6,4121,13750,127,1151,3.1,8.4,3.1,23.1,10389,10544,2379,2407,8010,8137,22.9,22.8,568,5609,5.5,53.2,10163,13119,9585,8087,94.3,61.6,21931,23176,40.7,51,32320,33720,67.9,68.7,75.2,75.9,32.1,31.3,8,108,397,294,1.8,1.7,0.1,0.8,3.4,2.9,46.3,56.6,47.3,96.3,27.6,68.4,53.7,43.4,23407,17874,17440,17732,72.4,53,54,52.6,32434,34584,100.4,102.6,290,277,99.1,99.2,29509,27373,91,79.1,2113,2156,7.2,7.9,29463,26741,90.8,77.3,8104,8608,78,81.6,878,909,2.2,10.4,0.2,0,0.1,0,0,0,0.2,6.4,2338,1402,16,35,0.7,2.5,50,0,50,100,0.8,2.6,99.2,97.4,0,0.1,0,0,2480,2302,10347,9507,12827,11809,19.3,19.5,80.7,80.5,0,,3877,754,1503,5086,,3171,1396,460,0,0,30.2,6.4,11.7,43.1,0,26.9,58.1,23.7,4,0.2,95.2,95.5,0.8,4.3,0,30,43.6,78.3,0,13,1,,4850,5059,1617,1290,6467,6349,,,0,0,0,0,33.5,35,54349,105520,460289,906034,1231,178,20509,13401,45040,48251,63.2,38.7,138.9,139.5,47880,48479,46344,47647,45244,47114,,,,,,,43227,43860,133.3,126.8,42294,43552,4,9.1,44216,43675,136.3,126.3,225.7,0.6,401,449,91.2,91.9,50.2,64.5,0,0,0,0,0,0,0,0,0,0,8.4,17.1,60.1,73.4,31.5,9.5,71.6,46.1,5.4,11.6,,,0,0,10118,9754,443142,440734,2.3,2.2,462,,1836,160,20.1,0,,,0,,8,,0,0,0,,0,0,44,557,2.9,1.3,0.5,2.3,0.6,1.2,0.6,1.6,1.3,1.4,0.9,0.4,34,45,0,2.2,3.8,4.4,15.4,20,15.4,2.2,0,0,7.7,0,0,0,57.7,71.1
Chatra,20865,18780,4398,3714,17258,18780,21.1,19.8,82.7,100,12353,12177,16133,16517,59.2,64.8,77.3,87.9,13109,14206,62.8,75.6,1653,362,31,28,1.9,7.7,6.4,1.2,5990,8268,2176,3303,3814,4965,36.3,39.9,682,,11.4,0,9336,9940,8808,9940,94.3,100,9336,10223,44.7,54.4,15326,18491,60.9,55.3,75.1,73.1,39.1,44.7,0,,,,0,0,0,0,,0,100,97.2,56.2,6.7,43.4,5.7,0,2.8,11029,8140,8834,6435,72,44,57.6,34.8,15986,17963,104.3,97.1,295,117,98.2,99.4,13032,10943,81.5,60.9,920,1666,7.1,15.2,14337,11898,89.7,66.2,3669,3440,61.3,41.6,869,945,0.5,0,13.3,100,0.5,2.2,0,0,0.2,0,167,5,82,,49.1,0,84.1,,15.9,,97.6,,2.4,,0.4,0,140,0,1086,277,3385,4244,4471,4521,24.3,6.1,75.7,93.9,0,,3633,3689,838,832,,,,,0,0,81.3,81.6,18.7,18.4,0,0,0,0,0,0,98.3,100,1.7,0,,,100,100,100,,0,,1264,2566,,,1264,2566,,,0,0,0,0,22,36.2,21607,11898,94817,83346,526,15,8515,9486,22233,22784,53.3,52.8,139.1,126.8,23780,22083,22006,20172,20884,18263,,,,,,,23197,13314,145.1,74.1,19242,13382,-4.3,41.6,17899,9293,112,51.7,122.5,32.6,20,,81.6,88.1,67.8,87.2,0,0,0,0,0,0,0,0,0,0,9.5,0,26.6,28.5,63.9,71.5,48.2,59,47,46.8,50,,0,0,37001,37434,287866,328936,12.9,11.4,565,,417,,57.5,,,,0,,0,,0,0,0,,0,0,245,,4.3,3.8,1.2,1.6,11.4,1.8,7.6,1.7,6.9,9.9,0.5,0.5,5,,0,,0,,0,,0,,0,,0,,0,,100,
Deoghar,34148,33869,7429,7389,30448,32074,21.8,21.8,89.2,94.7,19556,22652,30167,29458,57.3,66.9,88.3,87,15540,26418,45.5,78,1839,1586,18,41,1,2.6,1.4,1.1,8116,10674,2903,4533,5213,6141,35.8,42.5,935,927,11.5,8.7,18528,16219,14578,12716,78.7,78.4,18528,16617,54.3,49.1,26644,27291,69.5,60.9,80.4,77.5,30.5,39.1,34,55,,66,0.2,0.7,0.2,0.3,,16.6,100,97.6,47.5,72.5,46,45.5,0,2.4,15441,14168,13692,11776,58,51.9,51.4,43.1,26573,28748,99.7,105.3,649,446,97.6,98.5,23304,21270,87.7,74,1457,1618,6.3,7.6,24545,22948,92.4,79.8,5362,6737,66.1,63.1,902,942,14.6,0.4,6.2,0,34,0,2.7,0,0.4,1.5,519,508,106,129,20.4,25.4,50.9,32.6,49.1,67.4,93.8,30.6,6.2,69.4,0.3,0.4,0.9,0,129,312,8294,6381,8423,6693,1.5,4.7,98.5,95.3,93,,4930,5013,3400,792,,,,2,1.1,0,58.5,74.9,40.4,11.8,0,0,0,13.3,0,0.3,99.9,99.5,0,0.3,100,100,100,86,100,100,1,,3288,3026,,59,3288,3085,,,0,0,0,0,28.1,31.6,11552,14517,47889,83423,631,642,23840,23236,33543,34673,89.7,80.8,126.2,120.6,35701,34158,34374,33591,33266,34234,,,,,,,32449,197088,122.1,685.6,31081,25032,3.3,-468.4,14676,21252,55.2,73.9,89.7,9.2,45,110,95.1,97,76.2,71.7,0,0,0.1,1.9,0.1,0,0,0.1,0,0,12.2,12.4,61.8,58.9,25.8,26.7,75.2,67.6,29.1,24.3,42,42.7,2.2,1.7,23706,26499,446941,376774,5.3,7,86,83,943,1755,8.4,4.5,,,0,0,0,7,0,0,2196,857,0.5,0.2,113,55,4,4.5,1.4,0.8,0.3,0.3,0.6,0.5,0,0.1,0.1,0,15,5,0,0,10,0,10,0,0,0,20,0,10,0,0,0,50,100
Dhanbad,43795,61886,10947,20711,34262,44872,25,33.5,78.2,72.5,20651,34833,33835,53756,47.2,56.3,77.3,86.9,18793,52373,42.9,84.6,3306,2189,72,16,2.2,0.7,4.2,3.3,8907,10027,2648,2688,6259,7339,29.7,26.8,3414,4136,38.3,41.2,9425,27994,9001,17739,95.5,63.4,22914,28910,52.3,46.7,31821,38937,72,74.2,80.3,81.2,28,25.8,0,525,2690,,11.7,1.8,0,1.9,19.9,0,41.1,96.8,72.9,35.6,56.4,27.4,58.9,3.2,20824,24370,17608,21441,65.4,62.6,55.3,55.1,33538,40093,105.4,103,278,216,99.2,99.5,27684,34564,82.5,86.2,1941,4435,7,12.8,28229,35099,84.2,87.5,7203,8175,80.9,81.5,866,761,0.6,0.5,0.7,0,0.1,0,0,0,0.4,0.1,402,470,20,415,5,88.3,70,64.8,30,35.2,24.1,100,75.9,0,0,0.7,0,0,818,369,9240,12077,10058,12446,8.1,3,91.9,97,372,,4539,6811,,259,,1026,303,144,3.7,0,45.1,54.7,0,2.1,0,8.2,51.2,35,12,11.4,88,87.2,0,1.3,13.2,100,52.2,60.1,100,100,0,5,5253,12740,98,991,5351,13731,,,0,0,0,0,34.7,52.5,64799,179336,335357,896676,4758,17144,20558,23971,46260,62767,61.3,59.8,137.9,156.6,45052,61595,43618,59593,42468,60462,,,,,,,46912,51081,139.9,127.4,43923,48820,-1.4,18.6,29518,52431,88,130.8,194.2,0.6,275,305,97.7,98,63.1,50.3,0.1,0.2,0.3,0,0.3,0,0.3,2,0,0,50,18.6,35.3,46.5,13.8,32.8,76.2,86.6,13.7,10.3,37.5,40.3,0.6,6.6,4125,4434,454956,448906,0.9,1,1775,,533,256,76.9,0,,,0,,297,,0.1,0,11,,0,0,621,,5,14.6,1.2,0.2,1.2,0.1,1.2,0.1,0.5,0.2,0.6,1.2,16,27,20,13.3,0,0,40,0,0,13.3,0,6.7,0,0,0,0,40,66.7
Dumka,31626,33128,5899,7880,31411,32819,18.7,23.8,99.3,99.1,18213,19854,25367,26737,57.6,59.9,80.2,80.7,7333,29268,23.2,88.3,5642,3585,69,67,1.2,1.9,2.6,1.9,12093,12989,1413,2717,10680,10272,11.7,20.9,2145,2483,17.7,19.1,13475,10392,13411,9947,99.5,95.7,14556,11670,46,35.2,26649,24659,54.6,47.3,59.9,58.3,45.4,52.7,15,42,572,542,4,5,0.1,0.4,52.9,42.4,92.6,89,76.9,65.7,62.1,52.2,7.4,11,14738,15604,10710,11716,55.3,63.3,40.2,47.5,26485,24427,99.4,99.1,328,357,98.8,98.6,22313,20680,84.2,84.7,1463,1744,6.6,8.4,23847,21222,90,86.9,4754,9614,39.3,74,917,937,0.5,3.1,12.2,5.9,1.1,3.4,13.5,0,0,0.1,877,1089,33,57,3.8,5.2,90.9,100,9.1,0,4.8,6.7,95.2,93.3,0.1,0.2,0,0,142,164,3439,4200,3581,4364,4,3.8,96,96.2,393,11,2820,3936,239,275,,,0,7,11,0.3,78.7,90.2,6.7,6.3,0,0,3.6,3.3,0,0,97.1,98.2,2.9,1.8,,,96.1,96.7,100,100,1,2,2374,2496,190,194,2564,2690,0,,0,0,0,0,41.7,38.1,33416,35914,198502,323844,1579,791,15041,21249,26842,30711,56.8,87,101.3,125.7,28163,30472,27379,29547,26730,28976,,,,,,,26840,26702,101.3,109.3,25002,25272,0,13.1,14166,23140,53.5,94.7,149.9,2.3,761,500,95.5,96.8,83,63.5,0.4,0.7,0.1,0.9,0,0,0,0,0,0,5.8,3.6,51.5,57.3,42.1,37.5,72.2,66.4,9.7,12.4,35.9,42.1,1.7,1.8,19343,16946,588297,582621,3.3,2.9,1234,498,1255,1895,49.6,20.8,,,0,0,0,,0,0,901,658,0.2,0.1,1642,56,3.6,4.5,0.6,0.7,0.2,0.3,0.3,0.4,1.7,3.8,3.7,9,19,17,0,6.7,0,6.7,6.7,20,20,13.3,6.7,0,13.3,0,0,0,53.3,53.3
Garhwa,29862,30279,4203,5524,29841,29562,14.1,18.2,99.9,97.6,14875,17580,22894,22624,49.8,58.1,76.7,74.7,8825,22156,29.6,73.2,5107,3388,178,133,3.5,3.9,0.4,0.8,6438,8097,893,954,5545,7143,13.9,11.8,43,382,0.7,4.7,14661,12573,14309,11293,97.6,89.8,16420,13164,55,43.5,22858,21261,71.8,61.9,75.7,66.4,28.2,38.1,37,25,0,33,0.2,0.4,0.3,0.2,0,5.6,89.3,95.5,84.3,102.9,63.5,81.2,10.7,4.5,13800,10972,7664,9409,60.4,51.6,33.5,44.3,22589,21207,98.8,99.7,519,530,97.8,97.6,20844,17474,92.3,82.4,1372,1160,6.6,6.6,21802,18943,96.5,89.3,4059,5215,63,64.4,953,917,11,1.5,0,10.4,0,8.2,3.4,25.4,0.1,0,106,202,1,19,0.9,9.4,100,57.9,0,42.1,100,100,0,0,0,0.1,0,0,53,119,8895,7589,8948,7708,0.6,1.5,99.4,98.5,0,,1649,2840,604,26,,,18,6,0,0,18.4,36.8,6.8,0.3,0,0,74.8,62.8,0,0,99.7,100,0.3,0,,,24.7,36.3,100,,0,,1563,1610,0,,1563,1610,,,0,0,0,0,14.9,17.3,15480,21084,86117,192131,118,1011,11078,9600,27939,30107,49,45.3,123.7,142,29730,31317,28371,29492,27341,27797,,,,,,,27588,21821,122.1,102.9,25834,20081,1.3,27.5,29806,19873,131.9,93.7,248.9,8.5,17,,92.5,89.6,82.6,72.4,0.2,0,0,0,0,0,0,0.1,0,0,5.8,10.3,28.1,33.3,65.9,56.4,67.7,66.6,9.9,16.1,50.2,51.2,1.8,2.3,16765,14339,444537,491187,3.8,2.9,580,797,2110,1988,21.6,28.6,,,0,0,1916,2942,0.4,0.6,1494,2098,0.3,0.4,2068,177,6.6,5.2,5.5,0.6,5.4,0.6,5.4,0.6,9.7,13.2,1.2,1.8,23,,0,,10,,15,,10,,5,,25,,0,,35,
Giridih,42274,49357,7040,9258,38927,45124,16.7,18.8,92.1,91.4,22373,27516,33429,40812,52.9,55.7,79.1,82.7,18490,35689,43.7,72.3,5842,2924,11,99,0.2,3.4,1.9,1.5,16510,20368,3679,6377,12831,13991,22.3,31.3,934,776,5.7,3.8,16627,18074,14224,13711,85.5,75.9,17069,20157,40.4,40.8,33579,40525,50.8,49.7,61.8,65.5,49.2,50.3,64,94,132,356,1.1,2.2,0.4,0.5,29.9,17.1,97.4,89.7,55.4,45.3,37.4,33.9,2.6,10.3,17735,23270,14405,17441,52.8,57.4,42.9,43,34007,39648,101.3,97.8,749,530,97.8,98.7,25577,31380,75.2,79.1,948,2460,3.7,7.8,26134,31109,76.8,78.5,10003,12359,60.6,60.7,905,920,0.9,0.9,0.7,10.9,0.1,2.5,0,0,0.2,0.5,549,394,45,241,8.2,61.2,100,100,0,0,100,46,0,54,0.1,0.5,,0,669,714,3186,6491,3855,7205,17.4,9.9,82.6,90.1,0,,3655,4084,200,1964,,,,,0,0,94.8,56.7,5.2,27.3,0,0,0,16.1,0,0,96.2,100,3.8,0,,,100,82.2,100,,0,,5084,6482,,727,5084,7209,,,0,0,0,0,56.9,50,25864,40557,136291,163662,771,31,7888,15896,44442,55930,23.2,40.1,130.7,141.1,51639,57471,49030,53215,46092,51073,,,,,,,41508,37159,122.1,93.7,38105,36227,6.6,33.6,38409,35457,112.9,89.4,177.3,11.3,1347,523,99.4,92.9,49.7,40.6,0,0,0,0.1,0,0,0,0.1,0,0,21,13.3,25.5,22.9,53.6,63.6,78.9,88.2,4.4,4.7,0,92.3,0,9.6,8615,10455,289132,317088,3,3.3,1051,,226,358,82.3,0,,,0,,0,,0,0,31,,0,0,981,424,2.6,4.3,1.9,3.1,1.2,1.5,1.5,2,5,6.6,0.2,0.3,8,8,0,,0,,16.7,,0,,0,,0,,0,,83.3,
Godda,31893,29372,7991,9571,25253,26546,25.1,32.6,79.2,90.4,19263,16179,25105,24315,60.4,55.1,78.7,82.8,18823,27013,59,92,2387,228,103,7,4.3,3.1,2.7,0.8,10189,9089,1384,2960,8805,6129,13.6,32.6,1251,1126,12.3,12.4,15148,12437,13076,11602,86.3,93.3,15148,12437,47.5,42.3,25337,21526,59.8,57.8,65.2,71.5,40.2,42.2,93,13,,,0.6,0.1,0.6,0.1,,,100,100,69.3,71.3,62.5,59.9,0,0,19010,13822,15669,11360,75,64.2,61.8,52.8,26074,21510,102.9,99.9,326,243,98.8,98.9,21638,19251,83,89.5,1799,1436,8.3,7.5,24274,18713,93.1,87,7023,6415,68.9,70.6,910,852,1.3,2,294.8,23.6,65.7,25.4,4.7,0,4.2,0.3,233,102,38,88,16.3,86.3,94.7,100,5.3,0,100,86.3,0,13.7,0.1,0.3,0,0,702,450,4724,4599,5426,5049,12.9,8.9,87.1,91.1,135,,5043,4746,248,303,,,,,2.5,0,92.9,94,4.6,6,0,0,0,0,0,3,98.1,97,1.9,0,,100,100,100,100,,0,10,4723,2287,,,4723,2287,,,0,0,0,0,46.5,31.2,43808,32373,310774,242865,1020,197,9820,9694,29637,31765,37.7,45.1,113.7,147.7,30804,30382,28144,26895,26023,24529,,,,,,,27142,20521,104.1,95.4,25677,20459,8.4,35.4,25279,19415,97,90.3,142.6,16.6,917,103,92.8,88.4,70.5,59.7,0,0,0,0,0,0,0,0,0,0,8.3,4,70.5,56.8,21.2,39.2,62.1,63.7,22.8,0,42.9,42.1,0.5,0.8,45470,20635,323434,320227,14.1,6.4,1042,276,230,185,81.9,59.9,,,0,0,0,,0,0,395,247,0.1,0.1,586,,3.8,19.2,0,0.8,0.3,1,0.2,0.9,2.6,3.9,0.8,1.5,5,4,,,,,,,,,,,,,,,,
Gumla,23377,27516,4526,6188,20084,21654,19.4,22.5,85.9,78.7,16382,18919,20558,21930,70.1,68.8,87.9,79.7,10416,22718,44.6,82.6,9478,6138,176,126,1.9,2.1,2.8,1.8,7505,8965,1500,2801,6005,6164,20,31.2,668,818,8.9,9.1,13014,10993,11478,8903,88.2,81,13911,11968,59.5,43.5,21416,20933,65,57.2,72,70.6,35,42.8,124,67,268,310,2.8,3.2,1,0.6,29.9,31.8,93.6,91.9,100.6,80.7,68.6,61.3,6.4,8.1,14937,11917,10179,8106,69.7,56.9,47.5,38.7,21647,20969,101.1,100.2,573,308,97.4,98.6,20004,18519,92.4,88.3,1589,1178,7.9,6.4,19640,17565,90.7,83.8,5273,5908,70.3,65.9,936,937,2.4,0.3,3.6,0,1.9,0,21.4,0,0.2,0.2,1330,1411,220,122,16.5,8.6,87.3,86.9,12.7,13.1,16.3,11.1,83.7,88.9,0.9,0.4,1.4,0,1297,866,2435,1882,3732,2748,34.8,31.5,65.2,68.5,0,,3686,2608,40,48,,,6,26,0,0,98.8,94.9,1.1,1.7,0,0,0.2,3.3,0,0,99.6,100,0.4,0,,,100,96.5,100,,0,,7420,5732,914,637,8334,6369,,,0,0,0,0,69.1,69.9,67172,57063,371459,511856,150,885,12287,11638,21255,22495,56.8,55.5,98.2,107.3,21256,22644,21184,22863,21050,22437,,,,,,,21294,19877,98.4,94.8,19942,19547,-0.2,11.6,21165,20071,97.8,95.7,116.6,15.6,88,90,98.2,95.9,84.9,77.9,1.3,0.6,0,0,0,0,0,0,0,0,11.7,6.2,50.6,39.3,36.4,53.9,65.2,61.3,18.7,20.4,40.5,42.1,2,2.9,19654,16522,434373,492374,4.5,3.4,483,200,1732,1324,21.8,13.1,,,0,0,2275,2278,0.5,0.5,323,,0.1,0,1768,11,4.3,5.8,4.6,0.4,6.7,0.1,6,0.2,0.4,0.4,2.5,5.3,23,74,4.8,8.8,9.5,1.8,4.8,38.6,4.8,5.3,0,3.5,0,3.5,0,0,76.2,38.6
