,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18
_Jharkhand,959918,495766,51.6,754716,663471,160766,78.6,85.9,661398,68.9,408109,4835,29.1,1.3,35125,12700,22425,36.2,536542,461137,85.9,189564,114064,60.2,726106,75.6,761231,95.4,97.1,4.6,16810,36954,7.4,3.1,19.5,73.9,26.1,172196,354757,490.2,46.6,759132,99.7,9442,98.8,710613,93.6,50569,7.1,696437,91.7,921,2.4,21.6,328910,34.3,207443,21.6,44126,4.6,1143,0.1,115713,653,12.1,47.2,100,904,125,18476,3737,30.7,93.1,6.9,45.8,54.2,0.4,1585,99953,101538,1.6,98.4,,,,,44954,56584,44.3,55.7,4.8,89.9,4.9,0.4,65.8,53.7,72.9,88.6,3,0,3,0,3,46,456,126036,3011,40.3,9.5,56,76565,50986,1496,784102,88033,3502656,34844,1697,566,,0,306660,504541,795899,348073,66.5,104.8,45.9,2110,934,1620,803924,779411,773190,809334,0,106.6,805502,-1.7,86.8,65.7,1854,5,6989,99,89.1,1771,293,219,62,12,7,332,92,1199,7989,18733,3344,0,0,0,0,648336,0,72.9,15.7,41.1,0.6,669164,14553467,368842,14922309,4.5,56810,208408,21.4,15953,28.1,2.5,104746,0.7,3.3,0.7,13.8,0.7,0.7,1.4,0.9,4022,4.5,3.3,3.6,1.6,3.1,0.1,33418,,
Bokaro,56123,32888,58.6,46169,36015,8939,82.3,80.1,32202,57.4,12101,139,37,4.4,2039,891,1148,43.7,18590,18152,97.6,27180,15237,56.1,45770,81.6,47809,95.7,97.6,4.3,179,1297,3.2,1,4.8,40.6,59.4,2067,20372,101.4,42.6,47763,99.9,211,99.6,44204,92.5,4536,10.3,44052,92.2,890,4.1,1.9,27976,49.8,8893,15.8,253,0.5,23,0,3422,6,6.1,0,,21,0,1693,198,61,100,0,7.5,92.5,0.4,142,7705,7847,1.8,98.2,,,,,4513,3334,57.5,42.5,0.6,92.6,6.4,0.4,0,44.9,13.3,100,0,0,0,0,0,0,1,2590,926,29.5,4.1,30.9,2644,824,48,35114,3006,126241,1066,93,11,,0,11764,31777,50128,22560,66.5,105,47.2,0,0,0,46956,45312,45389,49696,0,104,49727,0.9,115,32,59,0,362,96.3,69.7,149,21,2,0,0,0,1,1,17,50,308,34,0,0,0,0,37794,0,78.3,12.5,65.7,0.4,18591,631678,18352,650030,2.9,315,5787,5.2,30,9.5,2.8,4507,0.7,2.1,0.9,6.9,0.6,0.8,0.2,0.1,223,4.9,3.1,2.2,0,1.8,0,14643,,
Chatra,33233,11379,34.2,24305,23741,10722,73.1,103.7,27784,83.6,6800,144,27.9,0.9,3200,1376,1824,43,21794,21685,99.5,20,20,100,21814,65.6,25014,87.2,92.7,12.8,4,0,0,0,0,99.9,0.1,11908,14733,372.1,58.9,24916,99.6,208,99.2,22308,89.5,1002,4.5,23023,92.4,928,0.2,0,11639,35,9301,28,289,0.9,26,0.1,383,5,1.2,0,,18,0,72,61,45.9,100,0,100,0,0.2,43,2250,2293,1.9,98.1,,,,,0,2293,0,100,0,100,0,0,,100,,,0,0,0,0,0,0,0,3799,0,43.1,7.5,62.4,2159,1636,4,18188,2018,78675,3715,324,11,,0,4144,13755,23033,8687,55.2,92.4,34.9,201,137,367,26813,25629,24507,27617,0,110.8,27722,-19.9,98.7,76.1,340,0,174,100.1,93.1,4,2,0,0,0,0,1,7,14,303,345,53,0,0,0,0,19558,0,70.2,29.3,0,0,24162,294646,1467,296113,8.2,11,638,1.7,4,36.4,0.5,388,0.1,2.5,0.4,8.1,0.3,0.4,4.9,0.1,167,4.2,11.4,1.2,0,0.6,0,,,
Deoghar,42691,25020,58.6,30504,29340,6266,71.5,83.4,33575,78.6,12694,106,37.6,0.3,2165,761,1404,35.2,26802,24885,92.8,5868,3338,56.9,32670,76.5,34835,93.8,96,6.2,321,2575,8.9,1.2,43.9,82,18,14314,18836,661.2,54.1,34596,99.3,358,99,34287,99.1,2042,6,33763,97.6,871,2.9,20.1,11912,27.9,9849,23.1,0,0,0,0,9209,2,21.6,0,,44,2,634,239,27.4,100,0,100,0,0.6,13,6215,6228,0.2,99.8,,,,,1380,4848,22.2,77.8,0,98.4,1.6,0,,77.4,100,100,0,0,0,0,0,0,3,5229,164,55.1,10.7,46.4,2438,2881,74,24389,8273,126077,251,6,0,,0,15155,24166,36075,20409,69.9,104.3,59,0,0,0,36974,36091,35863,33837,0,97.8,33593,6.2,94.9,73.3,4,0,10,98.9,88.6,161,157,0,5,0,0,6,6,1,10,410,49,0,0,0,0,30284,0,77.7,21.1,39.2,0.9,35809,530426,9710,540136,6.6,374,5555,6.3,10,2.7,1.8,8103,1.5,0.8,0.8,19.8,0.3,0.5,0,0,103,2.9,1,2.9,1,1,0,0,,
Dhanbad,72035,23307,32.4,64502,48820,10845,89.5,82.8,33156,46,5331,94,8.9,0.3,2057,626,1431,30.4,15734,13551,86.1,41604,33823,81.3,57338,79.6,59395,96.5,97.6,3.5,1448,6741,14.3,9.2,16.2,27.4,72.6,13953,9460,678.3,15.9,59177,99.6,347,99.4,45779,77.4,2119,4.6,42629,72,946,0.2,0,9602,13.3,7182,10,978,1.4,34,0,10540,0,14.6,,,33,0,547,42,29,52.4,47.6,18.8,81.2,0.1,17,4772,4789,0.4,99.6,,,,,2511,2278,52.4,47.6,0,90.7,9.3,0,,42.7,93.9,,1,0,1,0,0,0,2,1771,55,39.1,4.4,27.6,1123,693,10,33335,3264,70924,461,0,0,,0,6768,34414,60779,19342,58.2,102.7,32.7,120,95,187,60330,59236,60297,66486,0,112.4,66420,-9.4,66.1,38.8,144,0,261,97,80.6,0,0,0,0,0,0,1,2,43,70,307,0,0,0,0,0,48959,0,96.9,3.4,100,0,15477,449236,14758,463994,3.3,1726,1724,50,0,0,3.2,1122,0.2,2,1,10,1.4,1.2,0.1,0,26,7.7,0,0,3.8,0,0,1461,,
Dumka,39625,28151,71,31813,29089,6432,80.3,89.6,22903,57.8,19901,37,10.2,1.4,504,182,322,36.1,25446,23784,93.5,2725,2660,97.6,28171,71.1,28675,98.2,98.9,1.8,81,703,2.8,0.3,25.8,90.3,9.7,581,7092,115.3,24.7,28409,99.1,429,98.5,28215,99.3,2412,8.5,27865,98.1,943,1.7,12,12159,30.7,17293,43.6,775,2,0,0,6404,44,16.2,13.6,,51,0,1877,72,22.4,100,0,13.3,86.7,0.2,10,2377,2387,0.4,99.6,,,,,786,1601,32.9,67.1,0,98.4,1.6,0,,66.4,100,,0,0,0,0,1,0,45,4727,68,52.7,9.8,66.8,2234,2491,70,21802,4459,92313,72,0,0,,0,20288,19932,30747,17134,70.2,108.2,60.3,11,0,1,32378,32013,32070,32479,0,114.3,32348,-5.6,96.8,50,336,0,677,99.3,91.2,107,4,36,0,0,0,2,5,39,303,1334,117,0,0,0,0,24728,0,73.9,12.8,38.1,1,35637,705438,22243,727681,4.9,14,3000,0.5,0,0,3.1,6295,0.9,2.2,0.3,12.7,0.2,0.2,0.3,0.5,317,2.2,2.2,6.6,0,0.6,0,0,,
Garhwa,47248,22823,48.3,35349,28090,8131,74.8,76.7,43579,92.2,10762,69,20.8,0.3,861,58,803,6.7,34133,31491,92.3,151,83,55,34284,72.6,35145,97.6,97.7,2.4,383,0,1.1,1.1,0,99.6,0.4,20141,8594,2339.3,24.5,35218,100.2,664,98.1,34218,97.2,2043,6,34139,96.9,910,1.2,57.9,5526,11.7,2039,4.3,345,0.7,0,0,90,0,0.2,,,30,5,89,78,46.7,100,0,100,0,0.2,24,9593,9617,0.2,99.8,,,,,6398,3219,66.5,33.5,0.2,98.5,1.3,0,100,32.3,100,,0,0,0,0,0,0,0,2594,0,51.4,3.9,21.2,1200,1333,61,14223,3249,56751,427,54,3,,0,12683,18789,32348,14862,53.4,91.9,42.2,239,177,161,34389,32986,32578,32773,0,93.1,32567,-1.3,87.1,82,0,0,0,102.8,95,72,0,0,0,0,0,3,0,36,173,530,160,0,0,0,0,29716,0,74,19.1,41.5,0.6,26577,479479,15490,494969,5.4,1083,6329,14.6,84,7.8,3.1,3257,0.7,9.1,0,6.4,1.4,1.4,3.6,0.3,42,0,0,4.8,4.8,0,0,,,
Giridih,64795,22304,34.4,53215,52138,8571,82.1,93.7,58494,90.3,21950,47,6.3,0.5,4631,2445,2186,52.8,36932,36403,98.6,14207,5429,38.2,51139,78.9,55770,91.7,96.1,8.3,244,5440,11.1,0.7,38.3,72.2,27.8,4361,16040,94.2,28.8,56181,100.7,521,99.1,42861,76.3,1706,4,42688,76,863,1,6.4,52308,80.7,13074,20.2,310,0.5,0,0,1911,9,2.9,100,,28,0,438,92,17.4,97.8,2.2,100,0,0.1,55,9998,10053,0.5,99.5,,,,,6664,3389,66.3,33.7,0,96.3,3.6,0,,33.3,36.8,100,0,0,0,0,0,3,184,6723,2,32.4,5.9,40.1,4540,2181,4,32252,3651,170760,442,1,0,,0,22525,23234,61633,19148,41.4,109.7,34.1,148,53,31,63316,61579,61137,59040,0,105.1,58077,4.2,89.9,52,112,1,282,98,86.6,15,7,0,0,0,0,8,0,229,373,364,1,0,0,0,0,52088,0,77.6,12,,0,36698,412070,22266,434336,8.4,226,9209,2.4,81,35.8,5.1,3247,0.7,2.9,1.7,10.1,1.8,1.7,4,0.2,95,8.4,3.2,0,0,1.1,0,0,,
Godda,38659,27407,70.9,32179,28895,7628,83.2,94.5,34865,90.2,24894,95,10,1.1,191,111,80,58.1,31964,16929,53,770,691,89.7,32734,84.7,32925,99.4,99.8,0.6,487,292,2.4,1.5,37.9,97.6,2.4,1878,25686,983.2,78,32608,99,563,98.3,32151,98.6,1969,6.1,31625,97,966,4.3,1.8,21125,54.6,13554,35.1,2371,6.1,288,0.7,9301,124,24.1,99.2,100,25,5,201,143,41.6,97.2,2.8,100,0,0.4,141,3790,3931,3.6,96.4,,,,,0,3931,0,100,0.4,97.1,2.5,0,100,100,100,,0,0,0,0,0,14,11,6797,0,38.9,8.3,63.4,4118,2647,32,25842,4473,153491,1880,63,46,,0,24511,21023,32393,18090,64.5,99.3,55.5,83,49,70,33262,31869,31697,31507,0,96.6,31280,2.7,83.2,57,195,1,904,98.1,93.6,17,19,0,1,0,0,12,4,246,408,1459,155,0,0,0,0,24208,0,82.9,22.7,41.8,0.3,38980,622470,6791,629261,6.2,1706,4288,28.5,950,55.7,1.1,3864,0.6,1,0.4,17.7,2.3,1.9,1,0.2,43,7,7,2.3,4.7,0,2.3,0,,
Gumla,30881,17674,57.2,22554,26823,631,73,88.9,4895,15.9,27844,685,50.1,1.3,803,256,547,31.9,20191,19568,96.9,1400,1040,74.3,21591,69.9,22394,96.4,97.6,3.6,419,321,3.4,2.1,22.9,93.5,6.5,3195,8612,397.9,38.5,22044,98.4,414,98.2,21453,97.3,3073,14.3,21013,95.3,959,5.2,37.6,3352,10.9,1513,4.9,11419,37,32,0.1,13301,0,43.1,,,48,6,1731,430,40,95.8,4.2,37.3,62.7,1.4,92,1368,1460,6.3,93.7,,,,,536,924,36.7,63.3,0,93.3,3.2,3.5,,61.1,79.5,100,0,0,0,0,2,0,0,5047,47,31.5,7.9,77.7,3454,1588,52,35990,2840,218007,635,102,8,,0,17247,17601,22629,10844,79.8,102.7,49.2,0,0,0,25345,25296,25104,27584,0,125.1,27520,-21.9,122.7,75.2,32,1,69,99.7,95.8,7,2,31,9,0,0,41,17,56,339,1237,153,0,0,0,0,21316,0,69.9,21,32.6,2.2,21726,540645,8445,549090,4,117,3467,3.3,3,2.6,1.5,3750,0.7,9.2,0.2,21.2,0.2,0.2,0.9,1.5,243,2.1,4.1,4.1,0.4,6.2,0,,,
