,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19
_Jharkhand,953011,940941,634431,550682,66.6,58.5,747405,750214,641529,625185,169964,149116,78.4,79.7,85.2,82.3,759763,875573,79.7,93.1,531849,465065,11023,6906,65.6,44.7,1.2,1.1,29522,34020,11905,12077,17617,21943,40.3,35.5,520283,512774,426622,424115,82,82.7,183567,191189,107356,118607,58.5,62,703850,703963,73.9,74.8,733372,737983,96,95.4,97.6,97,4,4.6,22822,19788,35865,36400,8.3,8,4.4,3.9,19.5,19,73.9,72.8,26.1,27.2,53356,131546,369160,354142,180.7,386.7,50.3,48,731400,732000,99.7,99.2,9025,9106,98.8,98.8,712080,687295,97.4,93.9,49974,49635,7,7.2,701334,678134,95.9,92.6,921,921,2.4,2.1,43.6,45.6,591479,538171,62.1,57.2,296494,231571,31.1,24.6,90643,60924,9.5,6.5,1320,826,0.1,0.1,385402,211538,751,1867,40.4,22.5,13.7,74.6,7.1,7.8,786,757,156,239,19768,18323,5536,4286,29.8,29.3,92.3,93.1,7.7,6.9,66.1,56.4,33.9,43.6,0.6,0.5,1352,1482,79150,94848,80502,96330,1.7,1.5,98.3,98.5,,,,,,,,,17763,30119,62739,66211,22.1,31.3,77.9,68.7,6.8,6.5,83.6,86.8,8.4,6,1.2,0.8,65.8,59.5,79.8,69.1,65,70.6,99.8,75,0,92,0,0,0,92,0,0,3,2,177,295,928,494,148980,136461,2726,12766,55.1,49.9,15.8,13.3,65.3,60.8,66852,73646,82335,72160,2519,3421,1620637,1002479,202902,94781,8757180,5760422,229052,68715,37112,11409,16612,4495,9164,,7679,1718,573237,393642,544051,457060,788235,781844,422815,359169,74.4,62.4,107.8,106.8,57.8,49.1,1145,2471,711,1019,921,1679,795952,789172,779463,760653,772458,742840,10443,96441,786344,581082,108.9,92.6,783410,653490,98.7,87.7,107.8,74.2,120.1,88.2,1460,1907,10,6,11224,9219,97.2,98.6,89.6,88.8,2043,3018,505,376,413,937,41,75,5,85,4,69,453,415,84,138,489,654,6299,5528,25556,17266,6489,3190,786344,581082,767899,665647,748620,562667,740519,493234,15717,96100,654900,371947,72.1,72.1,14,18.9,57.9,58.2,0.9,0.8,762025,757347,15779651,14479898,529028,564534,16308679,15044432,4.7,5,85361,61451,143816,122315,37.2,33.4,21555,24026,25.3,39.1,3.2,3.8,231947,161607,1.4,1.1,2.2,2.5,0.6,0.4,17,15.9,0.5,0.7,0.6,0.6,0.8,1,0.3,0.5,5150,4480,4.2,4.3,6.1,3.4,3.7,4.1,2,1.1,2.4,2.2,0.2,0.1,30913,33101,,,,
Bokaro,53004,56498,34509,34675,65.1,61.4,40457,44859,30699,32230,10225,10891,76.3,79.4,77.2,76.3,38651,34676,72.9,61.4,24845,16227,580,226,86.6,46.4,0.6,0.8,1273,1840,641,701,632,1139,50.4,38.1,19940,18784,18827,17973,94.4,95.7,21463,27330,18694,23189,87.1,84.8,41403,46114,78.1,81.6,42676,47954,97,96.2,98.5,97.6,3,3.8,1051,368,1934,1201,7.2,3.4,5.3,2,9,4.4,48.2,40.7,51.8,59.3,1148,3354,20384,20760,90.2,182.3,47.8,43.3,42581,47871,99.8,99.8,181,198,99.6,99.6,40259,45547,94.5,95.1,2073,2287,5.1,5,39479,44961,92.7,93.9,897,902,0.4,0.3,174.4,59.3,37419,29241,70.6,51.8,14040,10715,26.5,19,165,477,0.3,0.8,0,3,0,0,41688,27041,11,4,78.7,47.9,0,225,,,26,19,3,5,1743,1677,358,227,48,42.3,100,92.5,0,7.5,22.2,18.5,77.8,81.5,0.7,0.4,86,106,6660,7704,6746,7810,1.3,1.4,98.7,98.6,,,,,,,,,3481,4123,3265,3687,51.6,52.8,48.4,47.2,1.8,1,91.2,93.4,6.6,5.1,0.3,0.4,0,2.5,49.9,49.1,40.4,22.8,100,16.7,0,91,0,0,0,91,0,0,0,0,0,0,0,0,3374,3424,901,1285,54.2,53.6,9.2,9.8,38.8,37.6,2359,2833,1890,1845,26,31,64692,45515,9366,3519,398394,194900,7805,4007,1756,556,720,195,419,,267,37,24469,13998,32685,28153,44573,50441,18869,20975,76.8,58.8,104.7,105.4,44.3,43.8,0,38,0,24,0,41,45989,47215,44595,45138,44890,44879,0,10826,46003,29988,108,85.3,45281,39326,100,78.5,76.1,46.1,103.6,124.6,49,115,0,0,639,712,96.6,97.4,75.6,68.3,0,0,0,13,0,0,0,0,0,0,0,0,2,3,2,0,12,5,2,16,209,253,382,66,46003,29988,43634,40350,41967,35135,42558,32050,0,7748,34748,18344,80,78.7,9.9,10.8,45.6,52.9,0.7,0.4,25171,16568,728930,652702,28048,32112,756978,684814,3.3,2.4,1098,387,5276,7819,17.2,4.7,929,169,84.6,43.7,3.7,4.7,13501,8155,1.8,1.2,2.1,1.9,0.7,0.9,10.6,8.3,0.4,0.6,0.5,0.7,0,0.1,0,0,216,245,5.6,1.6,3.2,4.1,0.9,2,0.9,0,0,0.4,0,0,9179,15256,,,,
Chatra,30789,31254,15222,13370,49.4,42.8,23905,27048,20245,21430,5423,4881,77.6,86.5,83.4,84.2,26433,35668,85.9,114.1,11206,8304,45,90,6.2,14.6,1.2,1.2,1120,1454,571,542,549,912,51,37.3,21733,21950,21534,21392,99.1,97.5,182,92,182,92,100,100,21915,22042,71.2,70.5,23035,23496,95.1,93.8,97.6,96.1,4.9,6.2,26,12,0,0,0.1,0.1,0.1,0.1,0,0,99.2,99.6,0.8,0.4,2050,9233,12879,16684,183,635,55.9,71,22890,23134,99.4,98.5,189,260,99.2,98.9,22273,22321,97.3,96.5,930,1254,4.2,5.6,22343,22683,97.6,98.1,921,896,0.3,0.3,10.8,0,20830,15375,67.7,49.2,11623,11831,37.8,37.9,578,739,1.9,2.4,1,21,0,0.1,4454,1939,102,158,14.5,6.2,0,41.1,,,33,12,0,0,146,226,57,142,28.1,38.6,100,100,0,0,100,100,0,0,0.2,0.5,23,60,3095,3714,3118,3774,0.7,1.6,99.3,98.4,,,,,,,,,,0,3118,3774,0,0,100,100,0.4,1.2,99.5,98.4,0.1,0,0,0.4,100,100,100,100,100,,,100,0,0,0,0,0,0,0,0,0,0,18,1,154,19,4771,5229,,0,52.2,44.5,11.5,10.6,60.5,58.1,2251,2841,2490,2325,30,63,22345,29024,5627,1326,118781,132536,5860,1950,1184,628,599,355,400,,376,169,13779,6157,14846,13173,22936,23133,12800,12231,64.9,56.9,100.2,100,55.9,52.9,27,349,4,278,4,361,26636,27385,25946,25910,25178,24498,193,3325,24314,15260,107.1,80.3,23869,16133,99.2,85.6,114.6,85,75.3,58.9,149,369,0,0,498,336,95.9,99.7,94,91,58,121,2,0,14,4,0,0,0,0,0,0,38,11,4,18,24,40,51,122,439,486,25,27,24314,15260,25500,22691,24546,18327,23526,14998,2269,3317,20486,10687,74.8,67.1,9.3,25,43.3,38.5,0.2,0.1,16900,22703,308196,305135,10446,19488,318642,324623,5.3,7,0,15,2074,2783,0,0.5,0,0,,0,3.3,6,4108,1860,1.3,0.6,2.2,2.5,5.3,0.4,8.3,11,2.5,5.4,3.7,3.6,0.9,3.3,0,0.1,135,151,3.7,3.3,0,0,0,0.7,0,0,0,0.7,0.7,0,,,,,,
Deoghar,38707,42212,28023,26728,72.4,63.3,29283,31424,30009,29925,5924,6010,75.7,74.4,92.8,85.1,32639,31801,84.3,75.3,14327,14756,116,106,72.5,44.2,0.5,0.3,1013,1698,538,759,475,939,53.1,44.7,27170,26725,24952,25820,91.8,96.6,8509,8136,4818,4961,56.6,61,35679,34861,92.2,82.6,36692,36559,97.2,95.4,98.7,97.4,2.8,4.6,1012,497,3563,3175,12.8,10.5,3.7,1.9,41.9,39,76.2,76.7,23.8,23.3,1681,4580,17613,20354,165.9,269.7,48,55.7,36463,36346,99.4,99.4,398,333,98.9,99.1,36308,36155,99.6,99.5,1959,2007,5.4,5.6,35171,35683,96.5,98.2,873,886,2.5,2.6,28.4,31.2,26297,28637,67.9,67.8,11268,7913,29.1,18.7,156,0,0.4,0,61,0,0.2,0,18566,19064,2,6,48,45.2,50,33.3,,,32,29,0,0,398,425,400,275,63.9,58.1,98.3,100,1.8,0,56.9,46.6,43.1,53.4,1,0.7,42,27,6257,6663,6299,6690,0.7,0.4,99.3,99.6,,,,,,,,,1629,1865,4670,4825,25.9,27.9,74.1,72.1,0,0,96.6,98.3,3,1.6,0.3,0.1,,,73.1,71.6,100,100,100,100,0,0,0,0,0,0,0,0,0,0,5,0,8,0,7923,7303,136,204,69.7,69.3,20.3,18.9,56.1,52.9,2453,2158,5523,5061,83,288,36467,35797,10161,9984,292557,240849,5239,5263,1094,300,284,24,89,,113,1,23646,19768,25583,24137,38563,38167,22855,20900,70.2,66.4,105.8,105,62.7,57.5,0,10,0,0,0,9,37362,35525,35884,34414,34976,33192,0,3391,38032,22529,104.3,71.3,38094,25583,100,91.1,95.1,64,117.4,112.3,0,1,0,0,5,123,96,98.4,88.1,88.5,44,75,64,124,0,0,0,0,0,0,0,0,1,6,1,0,3,0,1,8,315,470,85,0,38032,22529,37004,32007,35498,27152,34539,23621,274,5720,30063,13974,74.4,76.8,10.4,21.8,33.5,36.4,1.2,0,43165,47277,629980,556155,21734,13566,651714,569721,6.6,8.3,124,172,4937,4510,2.5,3.7,24,15,19.4,8.7,3.3,2.4,13672,11151,2.1,2,0.4,0.9,0.4,0.4,32.4,29.3,0.3,0.2,0.4,0.3,0,0,0,0,137,140,5.1,10,0.7,3.6,2.2,2.1,0,0.7,1.5,0.7,0,0,0,0,,,,
Dhanbad,70611,70322,35327,20853,50,29.7,60191,60145,45787,42177,12906,10047,85.2,85.5,83.1,74.3,48205,38496,68.3,54.7,9900,7084,68,38,23.1,3.5,0.6,0.3,1287,1398,555,466,732,932,43.1,33.3,17282,16372,14654,13204,84.8,80.6,36096,39669,28162,24102,78,60.8,53378,56041,75.6,79.7,54665,57439,97.6,97.6,98.7,98.4,2.4,2.4,1820,1938,5362,7329,13.5,16.5,10.5,11.8,14.9,18.5,32.4,29.2,67.6,70.8,4843,3968,14069,9384,376.3,283.8,25.7,16.3,55315,57182,101.2,99.6,384,358,99.3,99.4,53595,32984,96.9,57.7,1600,958,3,2.9,51907,30030,93.8,52.5,890,920,0.3,0.2,0,0,46814,32363,66.3,46,18209,10135,25.8,14.4,4859,5013,6.9,7.1,10,18,0,0,9111,4559,5,1,12.9,6.5,0,0,,,24,23,30,30,114,121,30,9,36.3,6.9,96.7,44.4,3.3,55.6,46.2,100,53.8,0,0,0,48,37,5694,4228,5742,4265,0.8,0.9,99.2,99.1,,,,,,,,,2169,1879,3573,2386,37.8,44.1,62.2,55.9,22,1.9,64.5,91.2,13.1,6.8,0.4,0,23.2,54.9,67.2,52.7,100,97.2,100,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3022,1440,33,4,48.7,48.1,8.5,4.2,34.7,25.3,1568,752,1471,692,16,0,45628,30933,8929,2563,234524,169003,9644,2201,814,110,383,16,227,,164,60,21862,9272,44249,25037,68177,56116,31705,16413,80,43.8,123.3,98.1,57.3,28.7,134,26,57,17,62,25,61160,54285,60285,53639,60569,53366,147,3434,65879,46063,119.4,86.6,64687,48499,99.8,93.9,98.2,57.5,69.4,62.8,158,238,0,0,246,117,96.9,96.4,77.1,81.9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,21,0,0,119,215,2,10,65879,46063,58484,42069,57408,36694,57116,33149,564,3373,51667,28540,94.9,77.9,5.2,5.4,,66.7,0,0,16483,16398,535826,480415,38165,13438,573991,493853,2.9,3.3,1894,1685,1134,1411,62.5,54.4,46,359,2.4,21.3,6.6,2.7,7716,3689,1.3,0.7,1,1.4,0.2,0,10,7.9,0,0.1,0.1,0,0,0,0,0,118,33,0.8,0,0,3,0,3,1.7,0,1.7,3,0,0,1698,1419,,,,
Dumka,38321,39745,32225,30799,84.1,77.5,34586,34107,27192,28902,6337,6078,90.3,85.8,87.5,88,32319,30989,84.3,78,23141,22785,198,145,90,70,1.7,1.6,787,859,328,335,459,524,41.7,39,22875,24633,20387,22852,89.1,92.8,2989,2866,2375,2787,79.5,97.2,25864,27499,67.5,69.2,26651,28358,97,97,98.3,98.2,3,3,137,86,616,602,2.9,2.5,0.6,0.3,20.6,21,88.4,89.6,11.6,10.4,769,2108,10333,6963,97.7,245.4,38.8,24.6,26463,28078,99.3,99,437,459,98.4,98.4,26390,27937,99.7,99.5,2074,2537,7.9,9.1,26077,27731,98.5,98.8,942,950,2.3,2.4,12.5,16,23803,29256,62.1,73.6,18194,17033,47.5,42.9,982,2507,2.6,6.3,1,0,0,0,15536,10355,75,116,40.5,26.1,1.3,740.5,,,52,41,0,0,1993,1805,100,117,21.7,25.6,99,98.3,1,1.7,18.1,18.8,81.9,81.2,0.3,0.3,22,3,2829,2953,2851,2956,0.8,0.1,99.2,99.9,,,,,,,,,1037,871,1814,2085,36.4,29.5,63.6,70.5,0,0,99.1,96.9,0.5,0.5,0.4,2.6,,,63,69.5,100,100,100,100,0,0,0,0,0,0,0,0,0,0,2,0,0,40,6459,3933,124,59,60.6,66.9,17.1,10.7,69.8,57.5,2472,1291,3952,2630,159,71,136535,30438,20531,7112,416723,185703,24227,598,2258,514,511,123,335,,139,212,38054,22769,19529,16324,30279,29806,15597,14686,73.8,58.1,114.4,106.2,58.9,52.3,0,0,0,0,0,7,31998,32584,31604,31469,31501,30921,0,0,33617,19690,127,70.1,33516,19547,100,100,142.7,70.6,101.9,73.5,68,67,0,0,1062,656,96.9,99.3,92.1,91.6,173,255,2,0,0,0,0,0,0,0,0,0,23,130,4,2,18,35,67,131,1402,1150,75,191,33617,19690,31534,29358,31024,24522,30993,21109,0,155,28071,14178,67.8,66.2,20.7,15.3,37.8,39.7,1.1,0.8,56580,51584,710008,702275,31736,36381,741744,738656,7.6,7,531,1094,10678,7157,4.7,13.3,0,0,0,0,4.3,4.9,8160,6541,1.1,0.9,0.9,0.8,0.4,0.4,5.6,10.8,0.7,0.4,0.5,0.4,7.2,0,0,0.1,403,366,5.5,2.7,2.7,3.6,12.4,7.1,0.2,2.5,2,1.4,0,0,0,0,,,,
Garhwa,44648,42334,24325,20740,54.5,49,32430,30754,26765,25907,9488,7990,72.6,72.6,81.2,80.1,47317,42191,106,99.7,21471,14196,440,137,40.7,23.9,1,1,644,666,169,64,475,602,26.2,9.6,32155,31069,27271,26664,84.8,85.8,1680,0,1680,0,100,,33835,31069,75.8,73.4,34479,31735,98.1,97.9,98.6,98.1,1.9,2.1,293,300,0,,0.9,1,0.9,1,0,,95,100,5,0,6483,16932,15599,13180,1006.7,2542.3,45.2,41.5,33671,31632,97.7,99.7,592,585,98.3,98.2,31348,31217,93.1,98.7,2158,1668,6.9,5.3,31316,31109,93,98.3,941,922,1.5,0.5,63,114.5,29837,10076,66.8,23.8,6929,5676,15.5,13.4,431,370,1,0.9,0,0,0,0,3482,892,87,34,7.8,2.1,0,5.9,,100,25,24,2,15,156,147,175,81,52.9,35.5,90.3,93.8,9.7,6.2,100,100,0,0,0.4,0.2,18,43,4780,5385,4798,5428,0.4,0.8,99.6,99.2,,,,,,,,,0,0,4798,5428,0,0,100,100,0,0.1,98,98,1.8,1.9,0.3,0,,100,100,100,100,100,100,,0,1,0,0,0,1,0,0,0,0,50,34,113,8,3376,3305,0,0,56.4,45.2,5.9,4.8,41.3,37.8,1391,1687,1905,1495,80,123,48119,24390,6850,3141,298509,197480,8589,1722,2077,947,1029,373,507,,323,120,18950,15545,18126,15971,30806,31582,13700,13019,53.8,50.5,91.5,99.8,40.7,41.2,199,125,86,104,279,66,35315,34626,33753,32668,32786,31285,2728,3508,29631,27799,96.1,99,30495,29684,91.1,88.9,110.4,81.1,152.7,76.1,0,22,0,0,21,29,98.3,99.4,95.1,95.3,0,0,0,0,0,44,0,40,0,84,0,62,15,42,0,36,15,12,225,190,1249,418,919,25,29631,27799,34139,27608,32174,21540,31177,17841,2651,3820,24887,18755,68.1,66.7,23,24.4,,,0,0,28953,28936,535033,474206,54275,40370,589308,514576,4.9,5.6,1156,707,6072,5505,16,11.4,238,19,20.6,2.7,9.2,7.8,7575,3338,1.3,0.6,3,4.4,0.8,0.6,3.8,3.7,0.3,0.1,0.4,0.2,1.9,2.2,0.1,0.1,113,70,8,2.9,5.3,0,5.3,5.7,1.8,0,0.9,0,0,0,0,0,,,,
Giridih,68808,61561,43932,26913,63.8,43.7,52363,45234,48833,46284,14044,8862,76.1,73.5,91.4,89.6,63865,55549,92.8,90.2,23984,19375,418,267,58.7,53.7,0.6,0.4,5237,5522,2432,2386,2805,3136,46.4,43.2,31001,30779,30576,30462,98.6,99,18168,11630,2408,3195,13.3,27.5,49169,42409,71.5,68.9,54406,47931,90.4,88.5,94.8,93.5,9.6,11.5,471,379,4970,3659,11.1,9.5,1.5,1.2,27.4,31.5,63,72.6,37,27.4,3509,5107,18069,13182,67,92.5,33.2,27.5,54049,47296,99.3,98.7,347,421,99.4,99.1,52067,44140,96.3,93.3,2716,1597,5.2,3.6,52052,43982,96.3,93,886,879,0.9,0.6,26.6,4.5,62594,56086,91,91.1,27594,19263,40.1,31.3,1951,48,2.8,0.1,0,0,0,0,18747,2695,4,1,27.2,4.4,50,100,,,24,45,0,3,225,396,106,112,32,22,100,100,0,0,100,100,0,0,0.2,0.2,49,51,6276,9679,6325,9730,0.8,0.5,99.2,99.5,,,,,,,,,2624,4863,3701,4867,41.5,50,58.5,50,0,0,91,92.9,9,6.9,0,0.1,,,62.7,52.8,12.8,9.1,,100,0,0,0,0,0,0,0,0,0,0,5,0,8,16,8844,7436,0,1,34.9,35.9,10,8.7,58.3,43.3,5740,4762,3085,2667,19,8,58596,50652,6611,1672,429215,352411,7233,1773,1514,220,864,120,569,,278,107,37168,20234,28493,23398,57983,57235,25010,21338,52.7,49.5,107.3,121,46.3,45.1,0,94,0,17,0,31,60845,59473,59603,57089,58253,56057,0,8939,55022,40682,101.8,104.9,54462,47939,100,84.4,104.4,92.3,143.8,86.2,76,50,2,0,233,171,96.1,95.9,83.1,82.3,59,148,17,4,15,0,3,6,2,0,1,0,3,0,1,2,45,86,103,255,446,645,57,12,55022,40682,60207,54513,58889,46340,57657,40494,133,7156,47125,25374,69.4,74.4,12.4,8.8,53.3,33.3,0,0,59096,59582,418259,401251,28273,25120,446532,426371,13.2,14,532,364,11428,12752,4.4,2.8,479,300,90,82.4,6.3,5.9,3972,3803,0.9,0.9,5.6,3.5,1.6,1.8,10.9,11.9,0.9,1,1.2,1.3,1,2.5,0,0.1,137,190,3.6,8.9,2.9,1.6,2.9,3.7,0,0,2.2,0,0,0,0,,,,,
Godda,39097,39251,31325,30829,80.1,78.5,30912,34182,29219,29104,7733,7521,79.1,87.1,94.5,93.3,34912,33504,89.3,85.4,21675,31086,187,141,41.8,18.1,0.7,1.2,393,324,238,231,155,93,60.6,71.3,30867,31152,15424,15788,50,50.7,428,685,327,685,76.4,100,31295,31837,80,81.1,31688,32161,98.8,99,99.5,99.7,1.2,1,562,411,29,53,1.9,1.5,1.8,1.3,6.8,7.7,98.6,97.8,1.4,2.2,235,1860,24940,28453,59.8,574.1,78.7,88.5,31471,31856,99.3,99.1,457,504,98.6,98.4,31117,31516,98.9,98.9,2386,1947,7.7,6.2,30681,31054,97.5,97.5,934,950,2.9,4.5,8.2,1.5,32182,28203,82.3,71.9,18842,14973,48.2,38.1,319,1201,0.8,3.1,0,0,0,0,10216,6522,112,29,26.1,16.6,1.8,6.9,,,11,35,2,1,324,284,304,145,48.4,33.8,98.4,90.3,1.6,9.7,100,100,0,0,0.8,0.4,161,87,4399,3985,4560,4072,3.5,2.1,96.5,97.9,,,,,,,,,0,0,4560,4072,0,0,100,100,1.1,0.1,94,97,4.9,2.8,0,0.1,100,100,100,100,100,100,,100,0,0,0,0,0,0,0,0,0,0,5,8,32,0,8673,7163,0,0,65.2,46.3,18.3,10.6,65.5,63.8,3001,3804,5651,3314,21,45,40052,34086,8343,5529,483089,287909,6915,1781,2191,980,933,381,549,,335,88,30157,25166,21264,20229,32819,33186,18968,18872,67.6,63.5,104.3,104.2,60.3,59.2,26,83,44,71,93,104,35435,33392,34868,31253,33835,30079,191,2625,32845,29215,105,99.9,32773,31307,99.4,92.1,104.9,89.9,105.8,55.5,261,308,0,0,1017,1429,96.8,98.6,95.1,94.3,20,9,19,0,31,0,4,0,0,0,0,0,31,12,6,0,35,45,580,493,1267,2202,111,676,32845,29215,35073,31772,34335,26051,33347,22569,456,2522,28136,16027,85.3,84.6,15.6,24.9,45.5,45.3,0.4,0.2,39209,38804,592264,571081,28920,19531,621184,590612,6.3,6.6,4182,1436,618,3282,87.1,30.4,625,587,14.9,40.9,4.7,3.3,7197,4981,1.2,0.8,1.1,1.2,1.2,0.4,13.8,17.5,0.3,0.7,0.7,0.6,0.4,0.2,0.1,0.1,82,127,9.8,7.9,6.1,1.6,3.7,3.9,1.2,0,0,0.8,2.4,0,0,0,,,,
Gumla,29820,27737,19929,15567,66.8,56.1,19138,15873,26313,23498,1123,705,64.2,57.2,92,87.3,22657,8856,76,31.9,29901,25309,1481,443,79.2,21.2,3.1,1.9,2014,1982,393,543,1621,1439,19.5,27.4,17163,16328,15975,15392,93.1,94.3,1000,1027,735,586,73.5,57.1,18163,17355,60.9,62.6,20177,19337,90,89.8,92,92.6,10,10.2,814,762,264,310,5.9,6.2,4.7,4.7,26.4,30.2,94.5,94.1,5.5,5.9,1099,1543,5895,3674,54.6,77.9,29.2,19,19986,19074,99.1,98.6,417,378,98,98.1,19683,18888,98.5,99,3966,3837,20.1,20.3,19216,18652,96.1,97.8,951,940,13.2,12,20.5,23.9,20747,8220,69.6,29.6,4801,1902,16.1,6.9,9390,9147,31.5,33,73,29,0.2,0.1,21744,13932,0,2,72.9,50.2,,50,,,62,44,15,11,2170,1611,471,453,32.2,40.3,94.7,89.8,5.3,10.2,45.7,41.6,54.3,58.4,1.6,1.6,168,131,1359,1665,1527,1796,11,7.3,89,92.7,,,,,,,,,3,567,1524,1229,0.2,31.6,99.8,68.4,0.2,0,92.6,97.7,6.3,1.7,0.9,0.7,0,,100,66.3,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6618,5883,26,69,49.5,37.8,19.1,13.6,81.3,76.8,3301,3623,3278,2224,65,105,53580,39087,6915,2526,519883,323253,7916,1862,4195,801,2078,387,1116,,650,88,31201,17520,16825,13992,21300,20273,12788,11590,84.2,73.4,106.6,106.3,64,60.8,0,0,0,0,0,0,23760,23178,23629,23158,23165,23222,0,3720,25349,20906,126.8,129.1,25217,24444,100,81.7,140.5,129,118.3,62.5,140,108,1,1,568,237,97.6,99.3,95.9,95,52,48,33,47,9,11,17,0,0,0,0,0,15,29,7,11,36,29,121,120,1043,1130,220,253,25349,20906,23709,21057,23475,19104,22977,17331,0,3034,22595,17048,70.3,68.2,16.3,18.4,46.4,36.8,2.2,1.8,25969,25804,633602,582258,10213,10904,643815,593162,4,4.4,989,910,4906,4514,16.8,16.8,0,2,0,0.2,1.6,1.8,11225,5964,1.7,1,4.9,3.1,0.1,0.1,25.1,24.1,0.1,0.1,0.1,0.1,0.2,0.9,0.3,1.4,257,236,5.1,4.2,5.8,3.4,1.6,2.5,0.8,0.8,3.5,3.4,0.8,0.8,,,,,,
