,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11,2011-12,2010-11
_Karnataka,1590922,1606448,990377,944747,714528,649829,62.3,58.8,44.9,40.5,1463352,1299742,1259195,1183952,92,80.9,79.1,73.7,1410373,1207165,88.7,75.1,870764,670385,61534,55066,7.1,8.2,3.5,2.9,23538,48430,14719,33306,8819,15124,62.5,68.8,2232,8700,9.5,18,590295,651902,233997,375299,39.6,57.6,788977,720358,49.6,44.8,812515,768788,97.1,93.7,98.9,98,2.9,6.3,74963,88077,69391,13060,18.3,14,12.7,13.5,34.9,19.1,74.8,90.5,63.3,38.9,9.5,7.2,25.2,9.5,680316,581397,648324,483575,83.7,75.6,79.8,62.9,899315,845674,110.7,110,16458,14935,98.2,98.3,842084,788208,93.6,93.2,97178,97085,11.5,12.3,802867,746165,89.3,88.2,17658,40086,75,82.8,935,923,6.3,6,32.7,22.1,29.7,20,36.3,14.8,0.9,0.8,24980,21324,18555,20433,74.3,95.8,70.9,75.5,29.1,24.5,58.4,92.4,41.6,7.6,1.2,1.3,2,2.6,3896,6787,308886,324061,312782,330848,1.2,2.1,98.8,97.9,56997,57455,45474,63799,145982,137449,,58790,265,132,18.2,17.4,14.5,19.3,46.7,41.5,0,17.8,20.6,4,50.3,48.7,28.8,29.4,20.9,21.9,88.6,98.6,73.2,93.9,65.1,92.7,5,,170661,206668,24844,12817,195505,219485,,,0,0,0,0,38.5,39.9,1314532,1442233,11537553,14839600,75222,349307,946028,914176,1179001,1119537,105.2,108.1,131.1,132.4,1145014,1222023,1109147,1068644,1130382,1101858,,,,,,,1062108,1041558,118.1,123.2,1180438,1166039,9.9,7,853553,1011446,94.9,119.6,65.1,100.1,7341,9387,95.4,95,71.3,68,0,0,0,0,0,0,0,0,0,0,2,3.1,94.6,90.1,3.3,6.8,59.4,61.5,15.1,14.7,34.9,33.8,1.1,0.9,3221843,2148960,46836197,32728863,6.9,6.6,305324,149230,291388,140690,51.2,51.5,,,0,0,793297,488502,1.7,1.5,262571,158055,0.6,0.5,106705,59090,7.2,11.2,12.4,4.4,10.9,2.7,11.3,3.1,1.1,1.3,0.1,0.1,3170,5390,7.5,6.5,16.4,19.3,19.6,26.6,9.9,6.4,0.8,0.4,3.2,1.6,0.1,0.1,42.6,39.1
Bagalkote,50266,70853,30301,39139,23511,20843,60.3,55.2,46.8,29.4,40441,42647,47863,50695,80.5,60.2,95.2,71.5,16767,35641,33.4,50.3,25055,29399,4450,13912,17.8,47.3,5.7,3.5,765,2137,505,1512,260,625,66,70.8,53,562,6.9,26.3,21170,29762,13713,22866,64.8,76.8,37921,33911,75.4,47.9,38686,36048,98,94.1,99.3,98.3,2,5.9,425,2781,3171,636,9.5,10.1,2,9.3,18.9,15.3,55.8,87.8,32.3,25.1,1,0.6,44.2,12.2,33106,27290,28264,20084,85.6,75.7,73.1,55.7,39627,36940,102.4,102.5,448,766,98.9,98,36911,35438,93.1,95.9,4142,3358,11.2,9.5,37780,34841,95.3,94.3,617,1896,80.7,88.7,901,905,3.2,6.9,31.1,21.5,13.3,19.9,51.5,15.9,0.7,2.5,197,350,93,381,47.2,108.9,53.8,57.5,46.2,42.5,49.5,96.9,50.5,3.1,0.2,0.5,1.4,3.1,22,127,12419,12859,12441,12986,0.2,1,99.8,99,1931,2579,1560,2813,4879,6069,,1095,0,11,15.5,19.9,12.5,21.7,39.2,46.7,0,8.4,32.7,3.3,31.3,27.3,43,44.4,25.8,28.3,73,98.3,69.1,94.9,57,98.2,0,,8572,9017,500,170,9072,9187,,,0,0,0,0,42.2,41.4,51400,82260,490122,734277,3996,11007,33456,29802,51312,46321,84.4,80.7,129.5,125.4,46312,44004,44871,43480,48780,46005,,,,,,,44696,43462,112.8,117.7,43639,42701,12.9,6.2,41938,41380,105.8,112,22,73.2,153,47,96.5,114.4,70.9,76.5,0,0,0,0,0,0,0,0,0,0,8.2,7.3,60.7,57.9,31.1,34.9,66.3,65.1,15.6,13,37.9,46,0.5,0.5,100166,92377,1330834,1198706,7.5,7.7,7488,10384,14715,10296,33.7,50.2,,,0,0,11917,7324,0.9,0.6,3878,1633,0.3,0.1,1232,1311,23.7,19.2,10.1,15.5,9.2,6.3,9.5,8.6,0.3,1.5,0.2,0.2,134,233,14.9,8.6,24,13.8,11.6,22.4,6.6,7.3,0,0.9,2.5,0.9,0,0,40.5,46.1
Bangalore Rural,23263,24016,15743,14826,12333,12989,67.7,61.7,53,54.1,35919,24743,21184,16640,154.4,103,91.1,69.3,14410,19496,61.9,81.2,13544,8523,1989,869,14.7,10.2,5,2.6,54,101,43,77,11,24,79.6,76.2,2,25,3.7,24.8,6201,9382,2372,5019,38.3,53.5,10182,10851,43.8,45.2,10236,10952,99.5,99.1,99.9,99.8,0.5,0.9,599,1830,1917,208,24.7,18.8,9.7,19.5,48.2,14.2,60.9,86.5,43,46.2,3.6,0.9,39.1,13.5,7507,7767,7072,6936,73.3,70.9,69.1,63.3,10173,11395,99.4,104,74,64,99.3,99.4,9730,10825,95.6,95,1046,966,10.8,8.9,9562,10358,94,90.9,34,74,63,73.3,934,909,3.8,5.4,97.7,10.7,32.9,9.9,58.4,18.4,3,1.5,396,354,126,451,31.8,127.4,86.5,73.6,13.5,26.4,13.9,98.3,86.1,1.7,0.5,1.9,1.4,2.2,94,40,4769,5850,4863,5890,1.9,0.7,98.1,99.3,0,40,0,30,4089,3518,,2020,2,,0,0.7,0,0.5,84.1,59.7,0,34.3,15.9,4.8,77.4,70.4,10.5,14.4,12.1,15.2,95.7,98.8,51.4,86.2,35.5,87,0,,2300,3501,1143,311,3443,3812,,,0,0,0,0,41.5,39.3,31082,29753,173354,227543,726,1603,11599,12412,16311,15339,114,108.9,160.3,134.6,18379,16692,18255,16718,19362,18038,,,,,,,19306,17077,189.8,149.9,18352,16969,-18.4,-11.3,15864,17197,155.9,150.9,104.6,103.8,1,,92.9,98.2,60.8,54.7,0,0,0,0,0,0,0,0,0,0,1.8,1.5,97.1,80,1.1,18.5,52.5,54.4,11.9,26.1,50.9,34.4,0.7,1.1,44161,22147,956348,680106,4.6,3.3,7763,4308,21327,9786,26.7,30.6,,,0,0,1825,143,0.2,0,1751,1051,0.2,0.2,818,876,5.6,10.4,14.5,1.4,14.6,1.5,14.6,1.5,1.1,1.4,0,0.1,2,44,0,10,0,27.5,0,17.5,0,2.5,0,0,0,0,0,0,100,42.5
Bangalore Urban,241224,198763,117355,96723,36810,27232,48.6,48.7,15.3,13.7,183117,143108,150101,141787,75.9,72,62.2,71.3,328185,113294,136,57,64151,39119,5755,5741,9,14.7,3,1.7,37,57,29,47,8,10,78.4,82.5,18,8,48.6,14,45073,38615,14465,10174,32.1,26.3,53508,41799,22.2,21,53545,41856,99.9,99.9,100,100,0.1,0.1,13288,7283,1496,832,27.6,19.4,29.5,18.9,17.7,26.1,84.2,92.4,20.3,14.3,31.8,0.6,15.8,7.6,45515,27173,39966,23557,85,64.9,74.6,56.3,64985,50833,121.4,121.4,1583,762,97.6,98.5,50162,43256,77.2,85.1,7358,2818,14.7,6.5,47367,41277,72.9,81.2,14,43,37.8,75.4,925,926,7.7,2.9,20.1,24.5,11.3,8.5,16.4,20.8,1.3,0.7,2230,670,7036,3123,315.5,466.1,80.5,90.6,19.5,9.4,95.5,96.6,4.5,3.4,2.9,1.6,0.9,1,955,624,37025,44233,37980,44857,2.5,1.4,97.5,98.6,45,1418,16103,29449,6233,5374,,6830,98,,0.1,3.2,42.4,65.7,16.4,12,0,15.2,41.1,4,53.7,58.2,23.4,26.5,22.8,15.3,62,98.1,46.3,93.5,61.2,92.2,0,,27421,32520,3003,1567,30424,34087,,,0,0,0,0,44.5,43.2,248442,239733,1861852,1926139,6225,12888,104193,108016,115099,124818,160.3,212.5,177.1,245.5,126909,251192,119741,121003,125121,125929,,,,,,,119657,123402,184.1,242.8,170151,148863,-4,1.1,69028,106922,106.2,210.3,48.3,61.6,14,5,93.7,92.6,29.1,20,0,0,0,0,0,0,0,0,0,0,3.4,1.4,90.2,85.1,6.5,13.5,57.5,57.7,10.8,8.1,10.9,74.5,2.7,0.3,221261,66653,3731495,1131602,5.9,5.9,19801,4697,11630,1651,63,74,,,0,0,45273,3494,1.2,0.3,27585,2239,0.7,0.2,5487,581,4.3,7.9,14.2,5,11.3,6.3,12.1,5.9,1.1,0.5,0.3,0,18,27,0,14.8,23.5,11.1,0,7.4,5.9,0,0,0,5.9,0,0,0,64.7,66.7
Belgaum,177771,128436,110867,84788,52229,43698,62.4,66,29.4,34,130777,98454,98697,87968,73.6,76.7,55.5,68.5,102621,70350,57.7,54.8,113444,68074,9085,4004,8,5.9,2.5,3.1,2271,5453,1914,4119,357,1334,84.3,75.5,285,797,12.5,14.6,47505,51873,24662,33840,51.9,65.2,57311,57103,32.2,44.5,59582,62556,96.2,91.3,99.4,97.9,3.8,8.7,3950,3575,2549,650,11.3,7.4,8.3,6.9,26,12.4,82.9,90.8,18.9,16.9,0.9,1.7,17.1,9.2,59889,51742,49121,40304,100.5,82.7,82.4,64.4,72486,71327,121.7,114,1304,1007,98.2,98.6,67359,67593,92.9,94.8,9291,12483,13.8,18.5,65687,65108,90.6,91.3,1853,5512,81.6,101.1,921,925,4.3,6.2,45.8,27.2,25.5,24,37.6,11.5,0.8,0.7,2273,2476,1160,1321,51,53.4,49,61.2,51,38.8,55.7,78.9,44.3,21.1,0.7,1,4.1,4.3,513,681,30454,23814,30967,24495,1.7,2.8,98.3,97.2,7745,7228,2541,2721,8737,7835,,5039,24,1,25,29.5,8.2,11.1,28.2,32,0,20.6,38.6,6.8,22.3,20.1,51.5,51.3,26.2,28.6,69.1,97.5,65.1,93.2,45.5,89.3,1,,15400,15460,4278,996,19678,16456,,,0,0,0,0,38.9,40.2,58840,78962,289620,772850,3647,14041,91674,76444,110746,88450,126.5,107.2,152.8,124,99618,89201,96846,87012,95209,87823,,,,,,,86296,79572,119.1,111.6,95445,89931,22.1,10,45538,73499,62.8,103,61.6,113.6,21,88,98.5,98.9,91.7,90.8,0,0,0,0,0,0,0,0,0,0,2.7,2.9,91.5,94,5.8,3.1,69.1,66.7,15.5,13.1,38.6,35.9,1,0.6,190026,137530,2075169,1530552,9.2,9,22368,12806,18984,21733,54.1,37.1,,,0,0,69143,64377,3.3,4.2,21094,15627,1,1,9320,12886,10.5,15.6,25.2,8.5,19.6,3.9,20.8,4.8,1.4,1.5,0.2,0,131,514,6.3,5.5,18.8,20.7,13.4,26.8,14.3,8.7,0.9,0,0,0.6,0,0,46.4,37.8
Bellary,64522,72773,44698,41747,38408,35290,69.3,57.4,59.5,48.5,51426,57588,67024,65942,79.7,79.1,103.9,90.6,34535,34327,53.5,47.2,46424,28587,1525,1045,3.3,3.7,3.7,1.9,1933,4993,1215,4166,718,827,62.9,83.4,65,1034,3.4,20.7,30606,35748,2847,22461,9.3,62.8,44104,40981,68.4,56.3,46037,45974,95.8,89.1,98.4,98.2,4.2,10.9,2089,3501,4155,1357,14.2,11.9,6.8,9.8,30.8,25.9,69.4,87.2,48.9,30.1,35.4,9.2,30.6,12.8,42604,34836,51145,35628,92.5,75.8,111.1,77.5,46396,48328,100.8,105.1,911,1074,98.1,97.8,45695,46107,98.5,95.4,3180,3608,7,7.8,45244,46392,97.5,96,1789,4296,92.6,86,931,928,6.9,5.1,26.5,10.6,33.3,15.9,22.2,7.5,1,0.8,1061,616,977,1063,92.1,172.6,70.9,75.9,29.1,24.1,54.3,79.4,45.7,20.6,1.5,1.5,0.9,2.2,412,465,18445,16066,18857,16531,2.2,2.8,97.8,97.2,3909,3315,2241,2085,9695,7964,,2576,0,1,20.7,20.1,11.9,12.6,51.4,48.2,0,15.6,16,3.6,42.4,41.7,31.5,22.6,26.1,35.7,95.1,98.5,78,94.2,71.9,95.2,1,,8985,8788,889,448,9874,9236,,,0,0,0,0,34.4,35.8,48532,26586,499880,399388,3767,1892,34830,45605,59506,64259,75.1,94.4,128.3,133,57332,59237,56901,57611,59652,62017,,,,,,,53644,58229,115.6,120.5,50157,56665,9.9,9.4,26021,55453,56.1,114.7,38.9,23.2,2,3,98.9,97,64.5,61,0,0,0,0,0,0,0,0,0,0,0.8,2.1,93.6,93.9,5.6,4,67.2,63.5,13,13.6,35.2,35.6,0.8,0.7,84866,53861,1387377,916252,6.1,5.9,8777,2255,5468,1409,61.6,61.5,,,0,0,22893,15504,1.7,1.7,7392,2067,0.5,0.2,5748,1315,4.9,5.3,7.1,3.3,4.3,1,4.7,1.3,0.8,0.9,0.1,0.2,198,484,3.8,5.1,20.9,19.2,15.8,28.2,15.8,5.8,1.3,0.2,2.5,1.5,0,0.2,39.9,39.7
Bidar,46737,65567,27398,34319,25578,24078,58.6,52.3,54.7,36.7,49601,48546,44029,45675,106.1,74,94.2,69.7,31870,49057,68.2,74.8,57531,40356,3069,2092,5.3,5.2,4.5,2.7,617,1626,422,1135,195,491,68.4,69.8,24,99,3.9,6.1,27167,26131,10290,16517,37.9,63.2,30653,26669,65.6,40.7,31270,28295,98,94.3,99.4,98.3,2,5.7,1943,1736,1018,64,9.7,6.7,7.2,6.6,29.2,11.9,88.6,98,49,37.2,4.7,2.3,11.4,2,28712,24576,21685,16348,91.8,86.9,69.3,57.8,33691,31383,107.7,110.9,669,410,98.1,98.7,32472,29979,96.4,95.5,2396,2093,7.4,7,30651,29806,91,95,435,1442,70.5,88.7,954,930,5.1,5.5,59.5,10.1,44,8.3,88,39.8,0.7,0.5,709,364,252,352,35.5,96.7,55.2,66.2,44.8,33.8,30,97.8,70,2.2,0.5,0.5,2.6,2.2,119,254,6855,7167,6974,7421,1.7,3.4,98.3,96.6,839,242,1160,1219,3026,3908,,1716,18,5,12,3.3,16.6,16.4,43.4,52.7,0,23.1,27.9,4.5,13.2,3.9,71.9,76.4,14.9,19.7,62.6,100,69.9,95.7,89.2,93.4,0,,2509,4442,708,194,3217,4636,,,0,0,0,0,31.6,38.5,14039,25887,153061,283887,706,1074,34745,35571,42054,40764,103.1,113.3,124.8,129.9,34902,34192,33300,32707,34629,34302,,,,,,,31873,31357,94.6,99.9,32756,34559,24.2,23.1,23070,32430,68.5,103.3,36.9,80.1,121,114,94.5,94.3,68.1,68.3,0,0,0,0,0,0,0,0,0,0,1.4,2.8,97.6,95.5,1,1.7,60.1,57.8,19.9,19.5,58,47.3,1.6,1.1,99887,66550,1783260,1312339,5.6,5.1,7501,2762,6215,3212,54.7,46.2,,,0,0,10539,1706,0.6,0.1,8278,3019,0.5,0.2,4022,1920,6,7.1,3.4,2.7,2.8,0.7,2.9,1.1,1.7,0.8,0,0.1,73,257,4.8,2.8,12.7,24.6,33.3,33.7,6.3,4.4,0,0,3.2,3.6,0,0,39.7,31
Bijapur,65849,70962,32908,34779,32469,29134,50,49,49.3,41.1,47908,49460,66263,56609,72.8,69.7,100.6,79.8,38240,48144,58.1,67.8,26813,16610,1270,975,4.7,5.9,3.2,2.1,3404,4653,2805,3729,599,924,82.4,80.1,249,446,7.3,9.6,29425,34472,12361,17863,42,51.8,39753,37016,60.4,52.2,43157,41669,92.1,88.8,98.6,97.8,7.9,11.2,690,853,2880,187,9,2.8,2.3,2.5,27.9,7.4,74,93.1,35.6,19.2,1.5,1.3,26,6.9,31969,29606,24722,24258,74.1,71.1,57.3,58.2,43318,41975,100.4,100.7,632,596,98.6,98.6,41881,40756,96.7,97.1,3106,2745,7.4,6.7,41873,40293,96.7,96,2693,3689,79.1,79.3,929,954,1.8,2.3,119.2,20.4,41.8,11.8,36.8,10.1,0.5,0.4,800,377,679,357,84.9,94.7,49.6,67.8,50.4,32.2,58.8,91.5,41.2,8.5,1,0.5,5.6,2.2,90,276,12929,11003,13019,11279,0.7,2.4,99.3,97.6,3785,3388,787,2785,7536,3897,,1104,13,,29.1,30,6,24.7,57.9,34.6,0,9.8,7,0.9,69.1,74.1,16.3,16.8,14.6,9.1,99.2,99.8,67.4,95.4,92.3,99.4,0,,6708,8260,450,102,7158,8362,,,0,0,0,0,35.5,42.6,29710,60495,546666,655392,2985,15431,39284,37919,57384,58737,90.7,90.3,132.5,139.9,50813,54439,49783,52623,50080,53125,,,,,,,45943,48157,106.1,114.7,43047,44463,19.9,18,40063,51042,92.5,121.6,35.2,102.1,12,40,95.9,95.9,76.6,77.6,0,0,0,0,0,0,0,0,0,0,3.7,4.5,92.1,87,4.2,8.6,57.1,59.2,11.8,16.5,40,38.8,0.7,0.7,121643,78935,1625374,823539,7.5,9.6,13912,2823,26184,2274,34.7,55.4,,,0,0,82830,34760,5.1,4.2,976,229,0.1,0,1921,411,8.5,9.3,8.7,11.7,7.7,3.2,7.9,4.8,1,0.8,0.3,0.1,238,370,2.4,6.2,6.8,13.8,21,28.7,9.8,3.9,1,0.3,7.8,2,0,0.6,51.2,44.5
Chamrajnagar,16414,17860,13239,13041,14347,14002,80.7,73,87.4,78.4,17005,16441,28427,16114,103.6,92.1,173.2,90.2,7484,13963,45.6,78.2,10936,10300,720,408,6.6,4,1.9,3.7,272,338,139,210,133,128,51.1,62.1,28,72,10.3,21.3,11938,11569,119,4714,1,40.7,13248,12013,80.7,67.3,13520,12351,98,97.3,99,99,2,2.7,1351,1217,453,30,13.6,10.4,11.3,10.5,34.6,6.8,90.1,96.3,10.8,17.1,0.6,1.6,9.9,3.7,11493,9820,12118,7372,85,79.5,89.6,59.7,13331,12000,98.6,97.2,238,190,98.2,98.4,12898,11760,96.8,98,1608,1792,12.5,15.2,11857,10914,88.9,91,186,289,68.4,85.5,935,962,11.1,3.5,9,13.7,43.3,8.7,15.3,13.7,0.2,0.3,439,301,207,342,47.2,113.6,63.3,74,36.7,26,63.3,98.8,36.7,1.2,1.3,1.9,1.9,2.3,58,73,5662,7399,5720,7472,1,1,99,99,1386,1073,614,651,3651,4260,,1405,1,,24.2,14.4,10.7,8.7,63.8,57,0,18.8,1.2,1.1,67.9,45.6,26.7,22.9,5.4,31.5,100,98.5,98.8,98.8,83.7,99.5,0,,1847,2570,53,93,1900,2663,,,0,0,0,0,24.9,26.3,34890,31463,372246,327970,2700,9346,11698,10551,14690,14431,87.8,87.9,110.2,120.3,15144,14300,14628,14070,14749,14256,,,,,,,14458,13449,108.5,112.1,14528,13772,1.6,6.8,13610,12584,102.1,104.9,95.9,63.9,5,34,93.9,90.1,72.3,78.9,0,0,0,0,0,0,0,0,0,0,1,2.8,98.5,96,0.5,1.2,64.3,58.1,15.8,8.6,59.4,36.1,1.5,0.6,48724,44816,926030,786805,5.3,5.7,7853,1590,2876,1487,73.2,51.7,,,0,0,174,504,0,0.1,1397,1163,0.2,0.1,1737,1076,4.9,10.6,47.9,3,43.8,1.8,44.9,2.1,1.9,1.9,0,0,141,93,2.3,11.2,14.8,15.7,24.2,28.1,8.6,14.6,3.1,0,1.6,3.4,0,0,45.3,27
Chikkaballapur,29370,27700,20765,18344,19023,17946,70.7,66.2,64.8,64.8,32425,25896,28024,25635,110.4,93.5,95.4,92.5,43162,52091,147,188.1,18002,16026,1235,1188,6.9,7.4,2,2.9,255,778,177,440,78,338,69.4,56.6,38,143,14.9,18.4,15440,17465,7873,11648,51,66.7,16485,17889,56.1,64.6,16740,18667,98.5,95.8,99.5,98.2,1.5,4.2,3220,2483,807,199,24.4,15,20.9,14.2,77.2,46.9,93.7,97.6,42.2,32,3.3,2.9,6.3,2.4,14007,15245,10583,9784,83.7,81.7,63.2,52.4,20255,19183,121,102.8,316,349,98.5,98.2,21993,22331,108.6,116.4,1718,1744,7.8,7.8,19293,18118,95.3,94.4,197,471,77.3,60.5,928,929,2.1,7.2,39,3.7,23.5,5.9,58.4,10.5,0.3,0.5,460,753,316,404,68.7,53.7,50.9,62.4,49.1,37.6,73.5,91.8,26.5,8.2,1.1,1.5,4.2,2,28,269,6589,6833,6617,7102,0.4,3.8,99.6,96.2,116,100,0,2,6254,4338,,2561,5,2,1.8,1.4,0,0,94.5,61.1,0,36.1,3.7,1.4,39.6,44.4,52.1,40.8,8.3,14.8,99.6,99.6,95.3,98.3,87.6,96,0,,4502,5765,269,167,4771,5932,,,0,0,0,0,41.9,45.5,21172,11087,243792,302465,2375,1236,22833,20480,25481,23650,112.7,106.8,125.8,123.3,24900,23347,24167,23070,24846,24339,,,,,,,21990,22348,108.6,116.5,29181,34664,13.7,5.5,20195,24047,99.7,125.4,62.5,198.5,3667,6052,79.5,73.9,57.6,43,0,0,0,0,0,0,0,0,0,0,2.9,1.8,94.7,87.8,2.5,10.4,62.1,57.4,10.6,10.2,38.5,38.9,1,0.9,52895,43894,950357,814147,5.6,5.4,7578,1578,4637,2633,62,37.5,,,0,0,6279,10260,0.7,1.3,2787,1887,0.3,0.2,4138,4502,11,18,2.6,2.2,3,0.6,2.9,0.9,1.5,1,0,0,24,84,0,8.4,31.6,16.9,10.5,20.5,21.1,4.8,0,0,0,0,0,0,36.8,49.4
