,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18
_Karnataka,1097374,867878,79.1,1104198,893400,324705,100.6,111,1150448,104.8,1112032,33398,45.5,4.3,2346,1032,1314,44,569927,52983,9.3,340892,16209,4.8,910819,83,913165,99.7,99.9,0.3,123144,133139,28.1,21.6,39.1,62.6,37.4,105634,873614,4502.7,95.7,915244,100.2,10054,98.9,899691,98.3,90097,10,859396,93.9,940,5.7,53.4,827786,75.4,667722,60.8,189392,17.3,11933,1.1,555587,10338,50.6,8.9,76.7,788,167,23821,15237,55.3,77,23,51.7,48.3,1.4,898,306217,307115,0.3,99.7,,,,,97578,209537,31.8,68.2,52.3,27.6,18.8,1.3,76.7,57,62.3,47.8,4,0,4,1,48,30,101,173032,41948,36.9,11.2,41.2,139224,72403,3353,1883638,20890,15910087,35931,6352,1288,,63,650882,874783,1049034,783241,95.6,114.6,85.6,6934,4419,5053,1112853,1081568,1096884,85610,1009930,119.7,1050504,91.8,113.5,108.8,867,16,6535,96,77.9,17790,18780,4186,47,4,1,1358,167,709,2743,212627,34889,1009930,3136,2185,2088,47308,944919,59.2,17.1,41.5,0.7,6519714,90495697,3891804,94387501,6.9,438498,505309,46.5,58821,13.4,4.1,1329603,1.4,3.9,1.2,85.5,1.1,1.1,0.3,0.1,12024,11,15,4.4,0.5,1.1,0.1,375172,,
Bagalkote,42968,33559,78.1,36041,32202,18104,83.9,117.1,27044,62.9,46157,1787,34.5,1.9,21,10,11,47.6,18566,162,0.9,23011,290,1.3,41577,96.8,41598,99.9,100,0.1,1537,9983,27.7,8.3,43.4,44.7,55.3,363,24939,1728.6,60,41549,99.9,214,99.5,40259,96.9,2385,5.9,38771,93.3,954,0.5,31.3,19726,45.9,14576,33.9,3259,7.6,0,0,7684,1,17.9,0,,15,0,176,40,49.7,67.5,32.5,23,77,0.1,22,18469,18491,0.1,99.9,,,,,12557,5934,67.9,32.1,31.2,49.9,16.7,2.2,49.5,25.6,19.5,24.9,0,0,0,0,1,0,0,4537,393,14.2,3.5,21,4110,708,112,64421,395,563093,1752,44,4,,0,10101,36704,48419,34517,88.3,116.5,83.1,0,0,0,43356,41784,44145,565,42096,102.7,41517,98.8,86.4,17.9,0,0,14,94.6,74.3,22,6,6,0,0,0,2,3,2,1,845,261,42096,0,0,0,448,33320,67.6,15.4,67.4,0.4,146879,2258590,198936,2457526,6,4368,2879,60.3,1736,39.7,8.1,13920,0.6,11.3,4,59.9,2.2,3,0.2,0,196,3.6,12.8,1.5,0,0.5,0,27783,,
Bangalore Rural,14891,12607,84.7,14033,12831,2609,94.2,103.7,14294,96,15553,374,43.4,4.9,3,1,2,33.3,5435,175,3.2,3300,419,12.7,8735,58.7,8738,100,100,0,1461,2168,41.5,26.9,65.7,62.2,37.8,2983,11446,9433.3,131,8688,99.4,48,99.5,8645,99.5,744,8.6,8553,98.4,953,6,25.2,10509,70.6,9702,65.2,2485,16.7,37,0.2,6030,241,40.5,19.5,0.5,6,0,870,442,54.2,88.7,11.3,42.9,57.1,3,48,3933,3981,1.2,98.8,,,,,291,3690,7.3,92.7,75.5,9.4,15,0.1,97.8,66,83.2,100,0,0,0,0,0,0,0,4012,392,36.4,26.9,52.5,2811,1501,92,55628,910,577165,931,153,26,,0,14984,8349,9238,8224,96.1,106.3,94.7,133,18,30,14805,14543,14643,6075,8428,166.9,13652,34.2,200.6,109.7,28,1,24,97.3,68.1,1237,2536,80,0,0,0,23,1,8,7,4957,457,8428,17,0,0,833,12661,58,10,33.3,0.1,137929,1771052,26727,1797779,7.7,11002,32665,25.2,367,3.3,1.5,25178,1.4,2.6,1.4,78,0.8,1.2,0,0,25,8,8,4,0,4,0,3300,,
Bangalore Urban,155302,106447,68.5,214412,165429,31081,138.1,126.5,215463,138.7,122634,3722,43.7,6.5,11,5,6,45.5,56742,950,1.7,49752,5803,11.7,106494,68.6,106505,100,100,0,17544,12062,27.8,30.9,24.2,53.3,46.7,3976,64201,6145.5,60.3,105568,99.1,1454,98.6,105400,99.8,11081,10.5,98258,93.1,926,7.5,38.8,171877,110.7,102045,65.7,54441,35.1,3380,2.2,122646,182,79,33,97.7,77,67,2281,3239,74.9,86.6,13.4,47.5,52.5,2.1,129,38235,38364,0.3,99.7,,,,,24267,14097,63.3,36.7,68.4,10.8,18.7,2,29.7,25.8,69.7,22.6,0,0,0,0,2,0,3,20780,19137,49.6,18.2,51,24478,14933,506,280672,657,2309363,1089,1044,171,,22,76533,105180,132495,101911,99.6,125.5,96.5,890,673,686,152516,151541,155733,9604,135748,137.7,146932,92.8,144.9,115.2,12,1,22,98.2,57.3,1223,2120,303,8,1,0,168,18,27,91,12639,2317,135748,523,498,497,1832,139057,59.7,22.1,36.3,1.5,441753,6828404,34099,6862503,6.4,42529,77908,35.3,6164,14.5,0.5,130700,1.9,2.2,1.3,64.9,0.8,1.1,0,0,1366,26.3,13.8,2.5,0.4,2.1,0.1,66222,,
Belgaum,99638,81476,81.8,97924,67040,40522,98.3,108,100116,100.5,159413,4004,53,2.9,23,16,7,69.6,42210,591,1.4,34435,316,0.9,76645,76.9,76668,100,100,0,6793,11404,23.7,16.1,33.1,55.1,44.9,852,84290,3704.3,109.9,76212,99.4,846,98.9,73623,96.6,6720,9.1,71191,93.4,949,2.8,125.7,72990,73.3,73549,73.8,7096,7.1,333,0.3,47424,414,47.6,28.3,0,100,1,2106,598,37.4,84.1,15.9,47.5,52.5,0.6,133,25716,25849,0.5,99.5,,,,,8120,17729,31.4,68.6,31.9,50.5,17.1,0.5,84.4,67.1,42.3,76.5,1,0,1,0,0,0,13,13364,3053,36.1,11.4,38.8,11026,5178,213,73922,1936,451398,1226,435,103,,16,46278,81506,99748,55893,106.9,130.9,73.3,501,244,338,98023,94591,94305,8678,87517,126.2,93149,91.3,111,97.5,40,0,9,99,88.1,1538,1101,198,0,0,1,122,15,47,22,11272,1323,87517,26,0,8,4001,87398,63.5,14.8,63.3,0.8,462259,4763769,326431,5090200,9.1,22818,22136,50.8,1828,8,6.4,90734,1.8,5.1,1.5,89.6,1.3,1.4,0,0,593,8.4,15.2,4.7,0.5,1,0.8,39080,,
Bellary,57917,51604,89.1,61075,47791,15224,105.5,108.8,58481,101,62311,1877,53.4,2.1,177,40,137,22.6,34459,1136,3.3,9332,239,2.6,43791,75.6,43968,99.6,99.7,0.4,7231,5529,29.1,21,59.2,78.7,21.3,2317,54184,1309,123.2,43349,98.6,691,98.4,43382,100.1,2967,6.8,40649,93.8,934,5.9,66.6,32545,56.2,35736,61.7,7118,12.3,229,0.4,31685,119,54.7,3.4,0,66,0,640,695,56.6,60.4,39.6,83.2,16.8,1.2,56,17103,17159,0.3,99.7,,,,,3052,14107,17.8,82.2,39.7,39.7,20.1,0.5,94.9,77.1,67.7,61.4,0,0,0,0,0,0,0,8601,706,16.3,4.1,35.2,7590,1479,238,95950,585,654506,5969,188,26,,4,37347,37669,52463,34774,86.9,121,80.2,89,47,90,57170,55524,57383,7695,47550,127.4,53657,85.3,88.4,92.4,68,0,361,99.1,77.4,243,351,10,0,0,0,17,0,38,32,12989,1902,47550,189,7,6,2060,43095,63,14.8,57.1,0.4,196943,2972803,94235,3067038,6.4,10880,9146,54.3,1788,16.4,3.1,24123,0.8,4.5,1.1,61.6,0.9,1,0.2,0,481,7.3,26.4,2.7,0,2.1,0,11325,,
Bidar,37490,27537,73.5,31890,28703,14738,85.1,115.9,39961,106.6,47788,1111,21.7,4.7,110,49,61,44.5,25124,7200,28.7,7527,1070,14.2,32651,87.1,32761,99.7,99.8,0.3,2841,3105,18.2,11.3,41.3,76.9,23.1,12798,27184,1634.5,83,33208,101.4,237,99.3,31967,96.3,2817,8.8,30704,92.5,876,8.3,47,21139,56.4,15792,42.1,5086,13.6,234,0.6,12902,2101,34.4,11.4,566.7,17,0,680,253,48.7,58.5,41.5,39.2,60.8,0.7,59,9047,9106,0.6,99.4,,,,,5451,3655,59.9,40.1,12.3,79.8,6,1.8,27.8,38.3,71.2,84.8,1,0,1,1,5,0,0,8727,221,66.8,23.2,49.6,2907,5886,155,29701,824,185437,1310,492,112,,0,22725,29224,36331,26303,88,109.4,79.2,608,380,288,41301,38662,38192,2593,33079,107.4,33346,92.9,100.2,92,44,0,28,91.5,81.1,434,412,150,1,0,0,24,15,36,47,8297,1316,33079,57,41,33,3120,27987,61.1,10.9,69.6,1.2,165992,2119011,101435,2220446,7.5,7570,2653,74,3813,50.4,4.6,18229,0.8,4.7,1.5,72.3,1.4,1.5,2,1,431,1.2,28.8,1.6,0,0,0,7613,,
Bijapur,56874,44330,77.9,44776,49890,11732,78.7,108.3,69973,123,39277,1401,40.4,3.1,24,12,12,50,27071,3107,11.5,16475,718,4.4,43546,76.6,43570,99.9,100,0.1,1947,3141,11.7,7.2,19.1,62.2,37.8,12214,30501,891.7,70,44075,101.2,288,99.4,43264,98.2,2892,6.7,41873,95,984,2.3,9,66868,117.6,27130,47.7,11136,19.6,499,0.9,22726,555,40,0,,19,0,425,93,26,48.4,51.6,62.4,37.6,0.2,0,10400,10400,0,100,,,,,722,9678,6.9,93.1,84,10.8,4.9,0.3,99.7,45.7,84.2,72.7,0,0,0,0,0,0,0,5522,106,24.9,5.1,35.1,4129,1435,64,87724,615,644900,1323,194,25,,0,19092,39282,52474,35164,89.1,119.1,79.8,373,135,188,54021,52611,52420,4869,49135,122.5,49688,90.7,110.5,43.6,47,2,143,97.4,84.2,459,332,7,5,0,0,40,0,0,4,3712,700,49135,0,0,0,3658,44914,60.6,19.5,35.4,0.3,201440,2059163,198879,2258042,8.9,7006,10095,41,916,13.1,8.8,15151,0.7,3.4,1.7,55.7,2.3,2.1,0.3,0,551,3.6,13.8,2.9,0.2,1.1,0.2,16479,,
Chamrajnagar,12013,10681,88.9,11720,11817,1313,97.6,109.3,11973,99.7,7332,229,63.6,4.8,24,7,17,29.2,7796,95,1.2,1421,144,10.1,9217,76.7,9241,99.7,99.8,0.3,2178,759,31.9,27.9,53.4,84.6,15.4,24,11331,100,122.6,9189,99.4,54,99.4,9162,99.7,1003,10.9,8944,97.3,915,2.6,120.7,10138,84.4,8255,68.7,1288,10.7,70,0.6,1929,29,16.1,0,,6,0,256,212,48.8,64.2,35.8,86.9,13.1,1.8,5,3686,3691,0.1,99.9,,,,,92,3599,2.5,97.5,78.4,6.5,14.8,0.4,99.7,95.8,87.9,56.3,0,0,0,0,3,0,0,2292,71,30.4,8.9,39,1636,703,24,34334,0,487938,0,29,0,,0,5845,9063,9351,7875,98.6,101.8,85.7,0,0,0,13556,13324,13691,153,13142,144.7,13281,98.4,150.7,126.7,24,0,136,96.2,80,772,624,222,0,0,0,12,1,7,7,4427,914,13142,0,0,0,0,11718,56,21.1,35.7,0.3,104189,2164667,20360,2185027,4.8,5251,8630,37.8,1149,21.9,0.9,35961,1.6,3.2,1.6,138,0.9,1.3,0.3,0,63,3.2,1.6,6.3,3.2,1.6,0,1421,,
Chikkaballapur,18455,17009,92.2,16804,18092,1113,91.1,104.1,18422,99.8,15645,478,73.7,2.1,27,6,21,22.2,12408,172,1.4,3363,4,0.1,15771,85.5,15798,99.8,99.9,0.2,4114,2244,40.3,33.2,66.7,78.7,21.3,5555,20709,574.1,131.1,15622,98.9,139,99.1,15632,100.1,1799,11.5,15580,99.7,898,2.4,293.9,17871,96.8,17311,93.8,1443,7.8,9,0,14162,5,76.7,20,,10,0,486,403,54.2,72.2,27.8,70,30,2.2,53,6936,6989,0.8,99.2,,,,,273,6716,3.9,96.1,44.8,24.4,30.4,0.3,99.5,93.3,93.1,100,1,0,1,0,1,0,0,5864,163,32.1,15.2,46.3,4044,1910,73,60256,31,432312,285,309,44,,0,19367,15006,15361,14288,96.1,98.3,91.5,7,0,9,19322,18544,18689,394,18114,118.5,18391,97.4,126.1,135.2,2,1,945,99.4,94.3,1063,450,114,1,0,0,5,0,6,0,8611,1426,18114,8,6,6,110,16703,60.6,21,39.5,0.5,97793,2406788,15937,2422725,4,7406,11321,39.5,2824,38.1,0.7,27814,1.1,4.1,0.9,95.8,0.8,0.8,0,0,203,5.4,6.9,7.9,0,1,0,4352,,
