,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09,2009-10,2008-09
_Kerala,304185,297749,195655,152040,93649,,64.3,51.1,30.8,0,224845,220217,250261,209130,73.9,74,82.3,70.2,106926,211164,35.2,70.9,31598,,881,,2.8,,1.8,0,773,870,86,127,687,743,11.1,14.6,163,,21.1,0,77660,93624,24827,,32,0,245030,93624,80.6,31.4,245803,94494,99.7,99.1,99.7,99.2,0.3,0.9,29259,29531,49901,38478,32.3,72.6,37.7,31.5,29.8,,31.7,100,48.8,0,49.7,0,68.3,0,147609,,157795,,60.1,0,64.2,0,244891,248638,99.6,263.1,1096,1270,99.6,99.5,227916,252326,93.1,101.5,22038,31772,9.7,12.6,200187,,81.7,0,496,,64.2,0,956,952,6.6,14.2,5.2,0,15.3,,11,0,0.3,0,11490,12429,3693,,32.1,0,94.7,,5.3,,66.6,,33.4,,1.2,0,8.9,0,1402,2338,49114,64992,50516,67330,2.8,3.5,97.2,96.5,1438,2226,3436,11951,25544,25939,,1813,44,102,2.8,3.3,6.8,17.7,50.6,38.5,0,2.7,39.8,37.7,18.9,14.6,4.4,4.6,76.8,80.8,73.5,73.1,64,72.7,55.4,58.2,,,27374,30870,3319,3146,30693,34016,,,0,0,0,0,37.8,33.6,167234,167765,3973956,3071583,11394,,249538,243431,267117,252741,101.9,97.9,109.1,101.7,271541,228743,263857,217288,259538,216201,,,,,,,249761,238087,102,95.8,245670,227482,6.5,5.8,198959,61386,81.2,24.7,62.9,2.8,620,1,96.7,98.1,71.7,0,0,,0.1,,0,,0,,0,,1.9,,97.3,,0.7,,58.1,,22.2,,34,,0.8,,788479,,26994565,,2.9,,62197,,44188,,58.5,,,,0,,578,,0,,60842,,0.2,,4770,,1.8,,1.4,,0.8,,1,,0.1,,0,,228,1972,0,0,0,0,0,0,0,0,0,0,33.3,0,0,0,66.7,100
Alappuzha,14556,17302,10415,7099,8038,,71.6,41,55.2,0,11204,11852,13908,8515,77,68.5,95.5,49.2,2486,12903,17.1,74.6,363,,16,,4.4,,1.1,0,5,4,2,1,3,3,40,25,,,0,0,6224,9673,1967,,31.6,0,10795,9673,74.2,55.9,10800,9677,100,100,100,100,0,0,2906,3378,2269,1104,47.9,46.3,46.7,34.9,49.6,,57.7,100,48.6,0,7.4,0,42.3,0,10080,,8261,,93.3,0,76.5,0,10796,12509,100,129.3,47,48,99.6,99.6,10794,12509,100,100,1019,911,9.4,7.3,9878,,91.5,0,4,,80,0,907,953,0.7,0.4,26.3,0,13,,69.7,0,0,0,628,937,286,,45.5,0,97.2,,2.8,,57.1,,42.9,,2,0,8.5,0,106,236,2670,3200,2776,3436,3.8,6.9,96.2,93.1,1,,,45,2106,2294,,590,1,,0,0,0,1.3,75.9,66.8,0,17.2,24.1,14.8,10.7,7.8,8.7,6.2,80.6,86,90.9,95.6,68.4,89.3,73.6,82.7,,,1101,1141,115,84,1216,1225,,,0,0,0,0,30.5,26.3,9207,7136,152205,301017,418,,11927,14090,11938,14090,110.5,112.6,110.6,112.6,14218,13351,13746,12882,13822,12745,,,,,,,13862,12427,128.4,99.3,13749,12427,-16.1,11.8,11764,7609,109,60.8,51.4,0,35,,99.8,,105,,0,,0,,0,,0,,0,,0.3,,99.4,,0.3,,57,,16.8,,29.8,,1.1,,35368,,2162182,,1.6,,1377,,745,,64.9,,,,0,,,,0,,4983,,0.2,,176,,3.7,,0.5,,0.2,,0.3,,0.2,,0,,22,57,,0,,0,,0,,0,,0,,0,,0,,100
Ernakulam,30368,28614,24616,15059,6021,,81.1,52.6,19.8,0,24003,22981,29363,17897,79,80.3,96.7,62.5,6871,21549,22.6,75.3,1677,,15,,0.9,,1.8,0,9,9,1,,8,9,11.1,0,4,,44.4,0,4645,4225,1206,,26,0,20400,4225,67.2,14.8,20409,4234,100,99.8,100,99.8,0,0.2,3108,2721,8683,6689,57.8,222.7,66.9,64.4,55.1,,22.8,100,58.6,0,6.1,0,77.2,0,19185,,19555,,94,0,95.8,0,20480,18809,100.3,444.2,33,47,99.8,99.8,20480,18809,100,100,1437,1540,7,8.2,20452,,99.9,0,5,,55.6,0,962,950,1.6,1.2,25.1,0,15.3,,37.6,0,0.2,0,1019,1108,493,,48.4,0,99,,1,,79.8,,20.2,,1.6,0,2.1,0,94,88,5401,8600,5495,8688,1.7,1,98.3,99,29,53,,15,2512,2374,,3,7,44,0.5,0.6,0,0.2,45.7,27.3,0,0,53.8,71.9,19.3,14.6,0.8,1.8,79.9,83.6,61.7,44.4,51.1,16.8,41.4,25.3,,,1953,2530,535,375,2488,2905,,,0,0,0,0,31.2,25.1,23035,19115,453220,367815,673,,25908,19690,26647,19690,126.5,104.7,130.1,104.7,25194,21823,25212,21853,26458,22755,,,,,,,26126,22504,127.6,119.6,25282,22504,2,-14.3,20580,3536,100.5,18.8,61.8,2,295,,99.8,,63.3,,0,,0,,0,,0,,0,,2.5,,96.1,,1.3,,50.6,,12.2,,35.2,,0.6,,114490,,2447709,,4.7,,6726,,4027,,62.5,,,,0,,,,0,,7801,,0.3,,229,,0.8,,2.4,,1.7,,1.9,,0.1,,0,,21,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
Idukki,9232,9090,7880,7613,5034,,85.4,83.8,54.5,0,8953,7982,8319,8650,97,87.8,90.1,95.2,7540,7958,81.7,87.5,1561,,26,,1.7,,2.8,0,65,97,4,5,61,92,6.2,5.2,13,,20,0,2435,3477,1681,,69,0,7218,3477,78.2,38.3,7283,3574,99.1,97.3,99.2,97.4,0.9,2.7,943,797,2240,88,44.1,25.5,38.7,22.9,46.8,,33.7,100,68,0,1120.8,0,66.3,0,6280,,8595,,86.2,0,118,0,7298,7536,100.2,210.9,30,45,99.6,99.4,7283,7491,99.8,99.4,404,507,5.5,6.8,7229,,99.1,0,59,,90.8,0,920,924,8.3,3.7,3,0,7,,2.2,0,0,0,360,557,277,,76.9,0,98.9,,1.1,,89.4,,10.6,,3,0,13.9,0,145,367,1907,2897,2052,3264,7.1,11.2,92.9,88.8,91,1224,198,1874,1193,17,,71,,6,4.4,37.5,9.6,57.4,58.1,0.5,0,2.2,27.8,2.4,13.5,10.4,4.3,4.7,82.2,85,93,97.3,82.9,97,65.7,97.6,,,1785,2155,51,28,1836,2183,,,0,0,0,0,47.2,40.1,8017,10191,154418,116474,113,,8923,7516,8942,7508,122.3,99.7,122.5,99.6,10286,7958,10295,7722,10195,7776,,,,,,,8567,7896,117.4,104.8,8476,7880,4.2,-5.2,6446,5727,88.3,76,63.7,1,11,,99.8,,76.3,,0,,0,,0,,0,,0,,0.2,,99.7,,0.1,,57.6,,15.5,,49.6,,1.4,,32143,,1367657,,2.4,,2331,,5855,,28.5,,,,0,,,,0,,9302,,0.7,,156,,0.5,,1,,0.3,,0.4,,0.1,,0,,4,67,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100
KOZHIKKODE,25857,24529,19426,17615,6203,,75.1,71.8,24,0,20015,19509,22178,24077,77.4,79.5,85.8,98.2,9239,20131,35.7,82.1,1936,,7,,0.4,,1.1,0,23,14,11,7,12,7,47.8,50,2,,8.7,0,12287,12857,2565,,20.9,0,26768,12857,103.5,52.4,26791,12871,99.9,99.9,100,99.9,0.1,0.1,3652,3929,3688,2927,27.4,53.3,29.7,30.6,25.5,,45.9,100,8.4,0,39,0,54.1,0,4982,,8445,,18.6,0,31.5,0,26542,27298,99.1,212.1,226,258,99.2,99.1,25858,27297,97.4,100,3145,3696,12.2,13.5,23776,,89.6,0,27,,117.4,0,943,995,6.4,12.1,0,0,0,,0.1,0,0.3,0,1671,1128,148,,8.9,0,75.7,,24.3,,99.3,,0.7,,0.6,0,2.1,0,116,240,3572,5662,3688,5902,3.1,4.1,96.9,95.9,263,1,426,1784,2665,3419,,,1,3,7.1,0,11.6,30.2,72.3,57.9,0,0,9.1,11.8,7.7,10.9,6.9,7.5,85.4,81.6,100,88.8,96.7,98.6,89.3,86.6,,,2425,2442,46,38,2471,2480,,,0,0,0,0,40.1,29.6,11223,7723,349246,234428,725,,26510,26039,30418,26404,99.9,95.4,114.6,96.7,27135,19034,26110,17022,24649,15630,,,,,,,22998,20816,86.6,76.3,26118,20761,24.4,21.2,19924,2047,75.1,7.5,19.4,0,9,,98.3,,76.3,,0,,0.4,,0,,0,,0,,1.4,,97.3,,0.9,,60.3,,45.3,,43.9,,0.6,,40620,,2555425,,1.6,,401,,356,,53,,,,0,,1,,0,,2328,,0.1,,95,,1.8,,1.8,,0,,0.3,,0.2,,0,,60,373,,0,,0,,0,,0,,0,,0,,0,,100
Kannur,24891,23412,12355,11772,5433,,49.6,50.3,21.8,0,17493,15523,17840,19247,70.3,66.3,71.7,82.2,3679,16667,14.8,71.2,1911,,153,,8,,2.4,0,29,17,9,,20,17,31,0,14,,48.3,0,5557,6042,674,,12.1,0,22343,6042,89.8,25.8,22372,6059,99.9,99.7,99.9,99.7,0.1,0.3,2739,1814,2586,4339,23.8,101.8,49.3,30,15.4,,24.9,100,73,0,6.9,0,75.1,0,10291,,13024,,46,0,58.2,0,22288,21315,99.6,351.8,127,114,99.4,99.5,19268,21315,86.5,100,1061,2489,5.5,11.7,8764,,39.3,0,22,,75.9,0,964,949,12.7,152.1,0.2,0,1.2,,6.9,0,0,0,802,936,102,,12.7,0,98,,2,,54.5,,45.5,,0.4,0,5.7,0,147,82,2250,5193,2397,5275,6.1,1.6,93.9,98.4,12,336,12,57,845,2295,,,20,1,0.5,6.4,0.5,1.1,35.3,43.5,0,0,63.7,49,12.2,6.1,3.6,5.5,84.2,88.4,14.2,0.3,24.7,40.7,36.1,54.2,,,2678,2152,61,71,2739,2223,,,0,0,0,0,53.3,29.6,7776,12007,314159,304368,861,,19338,21601,20292,21605,86.8,101.3,91,101.4,20009,16701,19271,15884,20309,16372,,,,,,,19674,18946,88.3,88.9,21232,18155,3,12.3,16194,1046,72.7,4.9,37,0,15,,99.4,94.8,28.8,0,0,,0,,0,,0,,0,,2.4,,95.7,,1.9,,59.2,,17.1,,34.6,,0.5,,103665,,1643999,,6.3,,4349,,4717,,48,,,,0,,,,0,,1657,,0.1,,103,,2,,0.8,,0.2,,0.3,,0.2,,0,,14,112,,0,,0,,0,,0,,0,,0,,0,,100
Kasaragod,11658,11083,7508,4201,3080,,64.4,37.9,26.4,0,8128,8154,12948,5840,69.7,73.6,111.1,52.7,381,8415,3.3,75.9,1614,,36,,2.2,,1,0,29,79,3,7,26,72,10.3,8.9,7,,24.1,0,1460,1302,811,,55.5,0,13402,1302,115,11.7,13431,1381,99.8,94.3,99.8,94.8,0.2,5.7,308,307,1808,1409,15.8,131.8,21.1,23.6,15.1,,10.9,100,133.4,0,30.7,0,89.1,0,6523,,6223,,48.6,0,46.3,0,13537,9729,100.8,704.5,29,65,99.8,99.3,10256,9602,75.8,98.7,389,616,3.8,6.4,10251,,75.7,0,13,,44.8,0,916,904,5.1,9.5,4.1,0,23.5,,3.1,0,0,0,875,366,21,,2.4,0,81,,19,,5.1,,94.9,,0.2,0,0.6,0,71,26,1329,1332,1400,1358,5.1,1.9,94.9,98.1,,,137,342,562,337,,,2,1,0,0,9.8,25.2,40.1,24.8,0,0,50.1,50,30.7,29.8,2.1,1.4,67.2,68.8,90,88.2,3.6,83.3,29.3,31.5,,,1408,1320,98,,1506,1320,,,0,0,0,0,51.8,49.3,6893,5306,128584,90877,71,,8994,7979,12949,9714,66.4,82,95.7,99.8,11767,8135,11594,7641,11350,7712,,,,,,,10525,13170,77.7,135.4,10400,7349,18.7,-35.6,10402,313,76.8,3.2,37,0,91,,99.8,,41.3,,0,,0,,0,,0,,0,,3.1,,95,,1.9,,57.5,,18.7,,35.7,,0.9,,23092,,973188,,2.4,,862,,870,,49.8,,,,0,,112,,0,,1767,,0.2,,111,,2.6,,1,,0.4,,0.6,,1,,0.1,,4,111,,0,,0,,0,,0,,0,,0,,0,,100
Kollam,25112,25884,16770,11893,10911,,66.8,45.9,43.4,0,17914,20121,18432,16639,71.3,77.7,73.4,64.3,2077,20307,8.3,78.5,3698,,25,,0.7,,1.8,0,23,34,6,34,17,,26.1,100,70,,304.3,0,6694,6988,1083,,16.2,0,16714,6988,66.6,27,16737,7022,99.9,99.5,99.9,100,0.1,0.5,3654,3251,5116,5777,52.5,129.2,54.6,46.5,51.1,,40.1,100,74.9,0,21.7,0,59.9,0,13400,,16990,,80.1,0,101.5,0,16532,22236,98.8,316.7,22,66,99.9,99.7,15751,22236,95.3,100,1007,1064,6.4,4.8,15608,,94.4,0,22,,95.7,0,963,935,1.7,0,64,,39.2,,182.7,,0,0,663,935,188,,28.4,0,100,,0,,64.6,,35.4,,0.7,0,4,0,1,423,3440,3652,3441,4075,0,10.4,100,89.6,39,,,513,2210,2866,,27,,,1.1,0,0,12.6,64.2,70.3,0,0.7,34.6,16.4,5.1,7.8,3.7,4,91.2,88.2,71,85.2,67.7,81.5,64.9,81.4,,,2015,2471,184,24,2199,2495,,,0,0,0,0,39,38,14215,16151,270899,220080,860,,16063,22110,16174,22110,97.2,99.4,97.8,99.4,17847,20115,17894,19539,18381,20960,,,,,,,18498,20695,111.9,93.1,18671,20695,-14.4,6.4,15314,6167,92.6,27.7,86.5,4.1,7,,99.6,98.5,87.5,0,0,,0,,0,,0,,0,,0.8,,99.1,,0.2,,63.3,,15.9,,39.6,,0.7,,46618,,1677736,,2.8,,4264,,2555,,62.5,,,,0,,,,0,,3858,,0.2,,54,,0.8,,0.5,,0.2,,0.2,,0,,0,,3,107,,0,,0,,0,,0,,0,,0,,0,,100
Kottayam,18343,15160,12515,7860,5606,,68.2,51.8,30.6,0,16259,12312,12855,9231,88.6,81.2,70.1,60.9,12735,12578,69.4,83,873,,45,,5.2,,0.9,0,2,3,1,,1,3,50,0,,,0,0,4975,6112,962,,19.3,0,10599,6112,57.8,40.3,10601,6115,100,100,100,100,0,0,1914,2175,2228,,39.1,35.6,38.5,35.6,39.6,,46.9,100,29,0,3.8,0,53.1,0,8069,,8080,,76.1,0,76.2,0,10515,12573,99.2,205.6,32,48,99.7,99.6,8550,12573,81.3,100,1002,1185,11.7,9.4,7375,,70.1,0,4,,200,0,974,935,7.4,0.4,0.1,0,0.6,,0.3,0,1.3,0,593,813,514,,86.7,0,91.4,,8.6,,90.8,,9.2,,2.8,0,51.3,0,205,361,3107,3535,3312,3896,6.2,9.3,93.8,90.7,279,,286,,1823,2497,,913,,,8.4,0,8.6,0,55,64.1,0,23.4,27.9,12.5,20.4,15.4,1.4,2,78.2,82.6,75.8,86.9,75,98.6,68.7,85.8,,,3102,3208,44,28,3146,3236,,,0,0,0,0,48.7,45.4,17816,14989,272874,97393,452,,12852,12573,12614,12573,122.2,100,120,100,13366,12926,13321,12775,13228,13169,,,,,,,12893,12883,122.6,102.5,12674,12883,-2.2,-2.5,11265,5560,107.1,44.2,43.8,4.8,26,,98.9,,79.6,,0,,0,,0,,0,,0,,4.2,,94.8,,1,,53.2,,16.6,,27,,0.7,,37628,,1795718,,2.1,,3827,,1626,,70.2,,,,0,,312,,0,,8855,,0.5,,156,,2.2,,0.8,,0.1,,0.3,,0.1,,0,,,85,,0,,0,,0,,0,,0,,0,,0,,100
Malappuram,40465,41755,21733,21169,8299,,53.7,50.7,20.5,0,24671,26296,33338,24353,61,63,82.4,58.3,27819,31981,68.7,76.6,6377,,96,,1.5,,2.2,0,191,157,26,40,165,117,13.6,25.5,11,,5.8,0,7605,8818,9276,,122,0,40380,8818,99.8,21.1,40571,8975,99.5,98.3,99.6,98.7,0.5,1.7,1471,1742,6482,6892,19.7,97.9,19.3,19.8,19.8,,18.8,100,22,0,1.2,0,81.2,0,12683,,17628,,31.3,0,43.4,0,39987,42286,98.6,471.2,223,164,99.4,99.6,35193,42372,88,100.2,4500,8077,12.8,19.1,30840,,77.1,0,77,,40.3,0,933,935,3.1,0,1.3,,1.8,,16.3,,1,0,1580,1422,45,,2.8,0,80,,20,,70.3,,29.7,,0.1,0,9.2,0,110,68,5406,5622,5516,5690,2,1.2,98,98.8,313,2,233,672,1899,2280,,,,,5.7,0,4.2,11.8,34.4,40.1,0,0,55.7,48.1,11.7,7.5,5.5,3.6,82.8,88.8,27.6,20.6,66.6,69.6,43.9,53.2,,,2444,3296,797,991,3241,4287,,,0,0,0,0,37,43,18248,19150,389212,105608,912,,38983,34196,42196,40326,97.5,80.9,105.5,95.4,40329,30994,37624,27505,36182,23112,,,,,,,31134,29486,77.9,69.7,28874,26538,26.2,26.9,23869,8220,59.7,19.4,24.9,1.1,24,,99.6,93.9,68.6,0,0,,0.1,,0,,0,,0,,2.4,,96.9,,0.6,,60.4,,29.7,,16.6,,1.8,,74383,,3235834,,2.3,,10676,,4335,,71.1,,,,0,,4,,0,,1514,,0,,340,,2.2,,0.7,,0.2,,0.3,,0,,0,,19,322,,0,,0,,0,,0,,0,,0,,0,,100
