,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18
_Kerala,565673,470740,83.2,494655,388221,11348,87.4,70.6,392906,69.5,114179,2122,61.3,3.2,795,156,639,19.6,138510,1951,1.4,313617,23637,7.5,452127,79.9,452922,99.8,99.9,0.2,56563,128429,40.9,40.8,41,30.6,69.4,76716,737598,9649.8,162.9,492964,108.8,2057,99.6,480059,97.4,54836,11.4,401343,81.4,964,6.3,13.7,92338,16.3,17928,3.2,62965,11.1,8534,1.5,89862,56,15.9,44.6,66.7,258,23,12175,2811,43.7,79.8,20.2,29.7,70.3,0.5,730,62595,63325,1.2,98.8,,,,,28227,35098,44.6,55.4,21.4,5.1,73,0.6,63.8,34.2,54,33.9,0,0,0,3,105,86,1283,33825,6825,8.7,2.1,39.1,36657,3502,491,69526,16368,3874191,6064,523,86,,41,174980,478209,500958,319159,97,101.6,64.7,1120,888,866,544114,527990,512518,264902,256715,105.8,495624,47.1,99.5,67.3,190,19,2357,100,89.8,6520,8437,211,48,39,10,226,99,304,52,44770,12635,256715,5599,4514,3447,19855,86927,57.7,23,41.6,0.9,3510005,120423894,206845,120630739,2.9,317955,563848,36.1,29976,9.4,0.2,1007283,0.8,0.8,0.3,60.6,0.6,0.4,0.1,0,2665,6.6,6.6,3.7,2.1,2,1.7,81426,,
Alappuzha,29064,24338,83.7,26408,17123,369,90.9,60.2,22609,77.8,3958,30,62.5,3.4,23,10,13,43.5,8580,58,0.7,8315,931,11.2,16895,58.1,16918,99.9,99.9,0.1,4162,4914,53.7,48.5,59.1,50.8,49.2,3936,32706,7113,193.3,19139,113.1,24,99.9,18611,97.2,2166,11.6,15373,80.3,981,2.4,15.6,7070,24.3,1171,4,2198,7.6,217,0.7,2257,2,7.8,0,,2,0,532,316,49.1,64.2,35.8,61.6,38.4,1.1,221,2872,3093,7.1,92.9,,,,,812,2281,26.3,73.7,13.8,6.3,78.8,1,85.1,50.5,71.5,56.7,0,0,0,0,7,6,11,2229,129,15.8,4.1,43.3,1950,363,45,7016,503,228340,279,2,0,,10,4621,17206,17781,13445,89.9,92.9,70.2,3,5,13,24611,25105,24793,13426,9427,119.4,21136,24.5,115.9,101.1,12,1,129,100.3,96.1,429,470,3,0,2,10,4,3,18,10,1882,631,9427,124,38,25,48,2066,61.2,20.6,41.1,0.6,245822,7332870,12768,7345638,3.3,23679,37841,38.5,1787,7.5,0.2,60830,0.8,0.6,0.2,51.8,0.1,0.1,0.8,0,66,13.6,6.1,3,6.1,3,3,1632,,
Ernakulam,64354,50417,78.3,49776,36418,1463,77.3,58.9,28232,43.9,13109,272,75.8,2.6,37,9,28,24.3,7855,30,0.4,32271,275,0.9,40126,62.4,40163,99.9,99.9,0.1,4179,16645,51.9,53.2,51.6,19.6,80.4,8680,82353,3459.5,205,47239,117.6,129,99.7,46327,98.1,6216,13.4,28740,60.8,965,0.9,79.2,12905,20.1,1322,2.1,13291,20.7,1469,2.3,9203,8,14.3,100,,17,11,1023,230,44.9,95.2,4.8,27.6,72.4,0.4,59,5990,6049,1,99,,,,,3521,2528,58.2,41.8,22.2,3.2,73.5,1.1,38.3,5.8,44.4,22.1,0,0,0,0,1,8,17,2700,830,15.9,5.5,36.9,3071,449,10,19381,525,581294,541,19,1,,0,26205,45992,46635,28925,97.4,98.7,61.2,40,20,35,51798,52058,52153,30960,21598,111.3,51441,33.6,97.7,82.5,19,2,287,100,86.4,1716,2727,66,1,4,0,48,0,20,0,5105,2312,21598,2895,2649,2229,283,3453,55,21,40.7,1.3,382363,19837864,28116,19865980,1.9,49833,105256,32.1,2679,5.4,0.1,140912,0.7,0.6,0.5,80.9,0.1,0.3,0,0,116,10.3,7.8,1.7,0.9,0.9,0.9,13232,,
Idukki,14376,12271,85.4,16541,12120,442,115.1,87.4,13119,91.3,6507,145,86.3,4.8,52,12,40,23.1,3391,25,0.7,6654,10,0.2,10045,69.9,10097,99.5,99.6,0.5,1699,3285,49.6,50.1,49.4,33.8,66.2,2588,19815,4976.9,196.2,10838,107.3,49,99.5,10690,98.6,1380,12.9,9941,91.7,954,4.9,4.2,5521,38.4,1926,13.4,1310,9.1,153,1.1,6659,1,46.3,0,0,13,1,668,291,33.4,91.8,8.2,86.9,13.1,2,32,1742,1774,1.8,98.2,,,,,749,1025,42.2,57.8,17,9.7,70.8,2.5,77.7,33.1,54.5,79.1,0,0,0,0,1,4,6,1684,84,7.7,3.8,49.9,1634,134,0,3667,76,204002,61,1,0,,0,10535,11170,11467,9820,103.1,105.8,90.6,47,19,10,15854,15892,15525,8336,8791,158,15879,27.3,147.2,111.3,4,4,22,99.6,83.3,477,482,14,26,0,0,2,1,6,1,2361,493,8791,281,248,121,113,3532,53.5,21.1,38.4,0.9,171211,4118951,2672,4121623,4.2,14258,24216,37.1,1897,13.3,0.1,39545,1,0.5,0.1,105.3,0.1,0.1,0.2,0.1,51,5.9,7.8,3.9,2,2,2,,,
KOZHIKKODE,53077,45163,85.1,44331,41147,1263,83.5,79.9,46227,87.1,7106,82,49.4,1.9,12,5,7,41.7,23427,56,0.2,31230,717,2.3,54657,103,54669,100,100,0,8631,12516,38.7,36.8,40.1,42.9,57.1,3632,60537,266.7,110.7,52624,96.3,551,99,55397,105.3,6680,12.1,52693,100.1,946,3.5,12.2,2839,5.3,283,0.5,1095,2.1,111,0.2,3498,1,6.6,0,,21,8,678,196,60.8,71.4,28.6,18.6,81.4,0.4,14,7165,7179,0.2,99.8,,,,,2946,4233,41,59,11.8,5.4,81.7,1.1,48.2,59.7,61,13.9,0,0,0,1,16,2,90,3088,520,15.2,2,33.4,3041,522,45,6350,671,241601,44,1,0,,1,18866,57349,57769,38116,109,109.8,72.4,39,21,17,51540,49081,47030,22562,24064,88.6,43947,60.9,84.6,28.3,19,0,213,99.9,74.1,102,69,0,8,16,0,9,24,15,5,4988,1192,24064,19,12,14,396,8140,65.5,22.3,45.6,0.5,216394,8556906,14285,8571191,2.5,16189,18856,46.2,4317,26.7,0.2,95585,1.1,0.5,0.1,37.4,0.1,0.1,0.1,0,500,3,0.4,0.6,0.2,0.6,0.2,16578,,
Kannur,45689,37076,81.1,33265,24394,425,72.8,54.3,37683,82.5,5568,123,48.2,1.1,43,19,24,44.2,11078,93,0.8,16188,1522,9.4,27266,59.7,27309,99.8,99.9,0.2,5131,6334,42,46.3,39.1,40.6,59.4,12166,58517,8293,214.3,37878,138.7,181,99.5,36378,96,4044,11.1,26021,68.7,953,11.1,4.2,10833,23.7,959,2.1,4354,9.5,477,1,8382,3,18.3,66.7,,10,0,467,83,56,88,12,13.9,86.1,0.2,46,4621,4667,1,99,,,,,1742,2925,37.3,62.7,19.6,2,78.1,0.3,65.6,31.5,62.4,16.7,0,0,0,0,0,0,6,2600,81,5.1,1.2,36.5,2525,133,23,2072,710,132435,280,0,0,,0,4171,35962,37112,18605,94.9,98,49.1,71,44,53,41124,38799,38104,18528,19987,101.7,36007,50.1,99.2,59.3,15,1,120,99.8,92,273,1111,3,0,1,0,8,6,12,4,3219,598,19987,12,1,15,1581,3074,65.8,31.6,47.9,0.9,156734,7094322,1602,7095924,2.2,9976,37896,20.8,1322,13.3,0,103624,1.5,0.7,0.5,28.4,0.3,0.4,0.1,0,126,4.8,7.9,4,3.2,3.2,3.2,2668,,
Kasaragod,25998,21836,84,24834,21871,949,95.5,87.8,27017,103.9,9149,96,49.5,3.5,24,6,18,25,3880,8,0.2,16347,20,0.1,20227,77.8,20251,99.9,99.9,0.1,1113,3935,25,28.7,24.1,19.2,80.8,4301,39438,7920.8,194.7,20299,100.2,87,99.6,20065,98.8,1838,9.2,14094,69.4,936,4.5,32.2,1285,4.9,700,2.7,1636,6.3,13,0.1,5883,0,22.6,,,7,0,1029,49,30.8,93.9,6.1,10.7,89.3,0.2,33,1166,1199,2.8,97.2,,,,,489,710,40.8,59.2,35.7,8.2,55.8,0.3,64.7,4.2,61.6,100,0,0,0,0,3,1,1,1946,313,3.8,1.9,65.3,2172,78,9,2896,313,240289,31,0,0,,0,7003,27152,27430,8212,133.8,135.1,40.5,9,2,18,33571,33476,31893,15945,15326,154.1,30366,41.9,156.6,87.4,11,0,93,99.8,92.1,19,378,2,0,0,0,3,0,13,1,2453,974,15326,26,5,10,1672,6953,57.5,25.4,38.8,0.9,108573,3731138,458,3731596,2.9,4810,8933,35,705,14.7,0,13967,0.4,0.6,0.3,73.8,4.8,3.2,0.2,0.1,200,12.5,9,7,4.5,6,2.5,1664,,
Kollam,35714,30580,85.6,33412,25493,343,93.6,72.3,28520,79.9,5533,91,91,2.7,25,7,18,28,9842,44,0.4,16499,1439,8.7,26341,73.8,26366,99.9,99.9,0.1,4830,9180,53.2,49.1,55.6,37.4,62.6,5925,42467,3700,161.1,27596,104.7,48,99.8,26658,96.6,2201,8.3,24629,89.2,971,0.8,52,10104,28.3,3793,10.6,5223,14.6,2141,6,12945,8,36.2,0,,64,0,612,133,52.4,88,12,19.7,80.3,0.4,3,6006,6009,0,100,,,,,2740,3269,45.6,54.4,5.6,4.5,89.8,0.1,47.3,44.4,55.3,57.1,0,0,0,0,4,13,14,2299,309,8.7,2,30.3,2341,248,19,3644,194,180812,477,13,0,,1,9594,26696,28650,24859,96.7,103.8,90.1,2,12,11,33331,33412,32859,14282,21435,129.4,30893,50.2,111.5,98.9,23,2,693,100,96.5,256,278,0,0,2,0,4,4,24,0,2668,309,21435,184,69,41,416,6910,60.9,15.5,41.1,0.7,176699,8251939,9724,8261663,2.1,13163,37978,25.7,1692,12.9,0.1,70134,0.8,0.5,0.1,43.2,0.9,0.6,0.1,0,175,9.1,9.7,8,8.6,6.3,6.3,5627,,
Kottayam,20719,17334,83.7,22877,17389,802,110.4,87.8,22707,109.6,1365,24,27.6,4.1,6,3,3,50,9085,584,6.4,14240,1275,9,23325,112.6,23331,100,100,0,3627,6585,43.8,39.9,46.2,38.9,61.1,2269,34967,7816.7,149.9,23600,101.2,138,99.4,23125,98,3030,13.1,21905,92.8,960,6.2,6.1,7770,37.5,1362,6.6,6401,30.9,968,4.7,3713,0,17.9,,,47,2,618,267,46,67.8,32.2,50.8,49.2,1.3,112,3030,3142,3.6,96.4,,,,,735,2407,23.4,76.6,18.4,2.2,79.4,0,67.9,97,77.1,0,0,0,0,2,21,19,21,3115,226,4.5,1.5,51.5,3170,153,18,7092,5594,296653,786,23,2,,5,21941,23943,24422,22432,101.5,103.5,95.1,98,6,12,25865,24307,24145,12344,11555,101.3,23249,49.5,94.6,77.8,3,1,23,100,92.6,290,196,0,10,3,0,0,13,6,19,1661,298,11555,297,147,160,392,700,54.8,26.6,39.3,0.8,270822,7834057,14197,7848254,3.5,22205,50671,30.5,3582,16.1,0.2,59624,0.8,0.6,0.5,109,1.8,1.2,0,0,246,6.5,11.8,4.1,3.3,3.3,3.3,1560,,
Malappuram,109983,89970,81.8,85612,70085,2255,77.8,65.8,54327,49.4,12375,458,73.2,4.5,239,31,208,13,12662,146,1.2,72643,13020,17.9,85305,77.6,85544,99.7,99.8,0.3,3849,22414,30.8,30.4,30.9,14.8,85.2,13854,139292,5796.7,162.8,91363,106.8,285,99.7,88811,97.2,9912,11.2,80362,88,970,9.1,12.1,839,0.8,261,0.2,5092,4.6,273,0.2,10206,17,9.3,64.7,,39,0,2148,117,37.5,97.4,2.6,9.1,90.9,0.1,24,6861,6885,0.3,99.7,,,,,4541,2344,66,34,17.8,5.7,76.3,0.2,31.4,40.2,33.9,38.5,0,0,0,0,1,9,988,3104,1896,5.3,1.3,42.1,4709,253,38,1621,1647,269317,167,12,1,,0,2838,78320,88633,42164,85.7,97,46.1,94,70,60,92896,87429,81676,39020,44174,91.1,80832,56,86.9,19.3,50,1,191,100,92.4,825,558,1,3,6,0,85,15,104,1,6939,1511,44174,53,14,9,13152,29678,61.6,28.5,43.8,0.9,537950,14446883,76691,14523574,3.7,55768,43281,56.3,2360,4.2,0.5,93720,0.6,0.9,0.1,36,0,0.1,0,0,466,3.4,4.1,0.6,0.2,0.6,0.6,3923,,
