,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18
_Kerala,504654,565673,435004,470740,86.2,83.2,507289,494655,415597,388221,15308,11348,100.5,87.4,85.4,70.6,475849,392906,94.3,69.5,136450,114179,3296,2122,52.7,61.3,3.8,3.2,720,795,166,156,554,639,23.1,19.6,143847,138510,3064,1951,2.1,1.4,339989,313617,21770,23637,6.4,7.5,483836,452127,95.9,79.9,484556,452922,99.9,99.8,99.9,99.9,0.1,0.2,57853,56563,139843,128429,40.9,40.9,40.2,40.8,41.1,41,29.7,30.6,70.3,69.4,8468,76716,607428,737598,1176.1,9649.8,125.4,162.9,487790,492964,100.7,108.8,2028,2057,99.6,99.6,479167,480059,98.2,97.4,52549,54836,11,11.4,444365,401343,91.1,81.4,959,964,2.6,6.3,29.5,13.7,170863,92338,33.9,16.3,34567,17928,6.8,3.2,131284,62965,26,11.1,12694,8534,2.5,1.5,184504,89862,1001,56,36.6,15.9,19.5,44.6,300,66.7,150,258,3,23,13123,12175,2019,2811,44.5,43.7,75.8,79.8,24.2,20.2,19.2,29.7,80.8,70.3,0.4,0.5,736,730,74692,62595,75428,63325,1,1.2,99,98.8,,,,,,,,,37041,28227,38387,35098,49.1,44.6,50.9,55.4,17.7,21.4,4.8,5.1,77,73,0.5,0.6,61.6,63.8,35.7,34.2,48.9,54,32.5,33.9,0,0,0,0,0,0,4,3,69,105,66,86,97,1283,34451,33825,6652,6825,9.6,8.7,2.3,2.1,35.3,39.1,37083,36657,3601,3502,419,491,43366,69526,9947,16368,2299794,3874191,4540,6064,1598,523,395,86,,,102,41,191599,174980,459271,478209,480120,500958,321251,319159,94.2,97,98.4,101.6,65.9,64.7,1183,1120,705,888,837,866,507809,544114,489045,527990,478812,512518,10755,264902,466539,256715,97.8,105.8,463420,495624,97.8,47.1,94.3,99.5,68.9,67.3,213,190,19,19,2086,2357,99.2,100,89.8,89.8,14756,6520,16559,8437,273,211,22,48,43,39,1,10,163,226,141,99,241,304,31,52,69627,44770,18763,12635,466539,256715,10433,5599,7793,4514,5734,3447,1255,19855,25264,86927,69,57.7,16.8,23,48.7,41.6,0.7,0.9,4670506,3510005,166498177,120423894,169551,206845,166667728,120630739,2.8,2.9,322097,317955,770699,563848,29.5,36.1,39281,29976,12.2,9.4,0.1,0.2,1382613,1007283,0.8,0.8,0.8,0.8,0.2,0.3,71,60.6,0.1,0.6,0.2,0.4,0.1,0.1,0,0,1765,2665,5.9,6.6,6.2,6.6,4.1,3.7,0.3,2.1,0.2,2,0,1.7,85847,81426,,,,
Alappuzha,24752,29064,21653,24338,87.5,83.7,26086,26408,18867,17123,581,369,105.4,90.9,78.6,60.2,32018,22609,129.4,77.8,3184,3958,31,30,46.3,62.5,2.9,3.4,13,23,2,10,11,13,15.4,43.5,8708,8580,99,58,1.1,0.7,8409,8315,115,931,1.4,11.2,17117,16895,69.2,58.1,17130,16918,99.9,99.9,99.9,99.9,0.1,0.1,4260,4162,5006,4914,54.1,53.7,48.9,48.5,59.5,59.1,50.9,50.8,49.1,49.2,439,3936,24060,32706,3376.9,7113,140.5,193.3,17548,19139,102.4,113.1,42,24,99.8,99.9,16785,18611,95.7,97.2,2140,2166,12.7,11.6,16488,15373,94,80.3,945,981,0.6,2.4,15.3,15.6,11264,7070,45.5,24.3,2505,1171,10.1,4,3536,2198,14.3,7.6,420,217,1.7,0.7,5935,2257,2,2,24,7.8,0,0,,,2,2,0,0,577,532,275,316,49,49.1,80.7,64.2,19.3,35.8,49.5,61.6,50.5,38.4,1.1,1.1,209,221,3170,2872,3379,3093,6.2,7.1,93.8,92.9,,,,,,,,,1223,812,2156,2281,36.2,26.3,63.8,73.7,11.2,13.8,3.5,6.3,84.3,78.8,1,1,83.9,85.1,45.5,50.5,59.3,71.5,45.2,56.7,0,0,0,0,0,0,0,0,2,7,5,6,9,11,1699,2229,73,129,11.8,15.8,2.3,4.1,34.4,43.3,1543,1950,205,363,24,45,2323,7016,309,503,188090,228340,383,279,7,2,1,0,,,0,10,11407,4621,16333,17206,17119,17781,12480,13445,93.1,89.9,97.6,92.9,71.1,70.2,1,3,22,5,8,13,23258,24611,23127,25105,22691,24793,406,13426,23886,9427,138.4,119.4,22981,21136,97.6,24.5,130.1,115.9,79.3,101.1,6,12,0,1,104,129,98.1,100.3,95.9,96.1,1064,429,581,470,0,3,0,0,1,2,0,10,10,4,11,3,18,18,1,10,2596,1882,1013,631,23886,9427,289,124,175,38,145,25,108,48,1153,2066,54.8,61.2,16,20.6,42.2,41.1,0.5,0.6,216025,245822,9234015,7332870,2448,12768,9236463,7345638,2.3,3.3,23455,23679,54920,37841,29.9,38.5,1461,1787,6.2,7.5,0,0.2,85934,60830,0.9,0.8,0.3,0.6,0.1,0.2,68.5,51.8,0.1,0.1,0.1,0.1,0,0.8,0,0,38,66,0,13.6,5.3,6.1,0,3,5.3,6.1,2.6,3,0,3,1615,1632,,,,
Ernakulam,38707,64354,32109,50417,83,78.3,33376,49776,35449,36418,2385,1463,86.2,77.3,97.7,58.9,30538,28232,78.9,43.9,13369,13109,249,272,53.1,75.8,4.3,2.6,27,37,10,9,17,28,37,24.3,8456,7855,2,30,0,0.4,33613,32271,6,275,0,0.9,42069,40126,108.7,62.4,42096,40163,99.9,99.9,100,99.9,0.1,0.1,4308,4179,16747,16645,50,51.9,50.9,53.2,49.8,51.6,20.1,19.6,79.9,80.4,13,8680,61410,82353,48.1,3459.5,145.9,205,43318,47239,102.9,117.6,149,129,99.7,99.7,42155,46327,97.3,98.1,6800,6216,16.1,13.4,30688,28740,70.8,60.8,960,965,1.6,0.9,33.6,79.2,16450,12905,42.5,20.1,2044,1322,5.3,2.1,12329,13291,31.9,20.7,1938,1469,5,2.3,23467,9203,17,8,60.6,14.3,88.2,100,,,9,17,0,11,1175,1023,131,230,46.8,44.9,92.4,95.2,7.6,4.8,12.7,27.6,87.3,72.4,0.3,0.4,45,59,7712,5990,7757,6049,0.6,1,99.4,99,,,,,,,,,4975,3521,2782,2528,64.1,58.2,35.9,41.8,18.1,22.2,2.6,3.2,78,73.5,1.3,1.1,35,38.3,7.4,5.8,37.3,44.4,0,22.1,0,0,0,0,0,0,0,0,3,1,4,8,12,17,2476,2700,820,830,10.8,15.9,3.2,5.5,29.8,36.9,2988,3071,291,449,17,10,9506,19381,262,525,368339,581294,459,541,188,19,75,1,,,5,0,18235,26205,42488,45992,42876,46635,35980,28925,98.1,97.4,99,98.7,83.1,61.2,83,40,9,20,6,35,42647,51798,41286,52058,41778,52153,1376,30960,39462,21598,94.3,111.3,39777,51441,96.8,33.6,86.7,97.7,89.4,82.5,13,19,0,2,79,287,98.4,100,85.5,86.4,3668,1716,2906,2727,13,66,0,1,2,4,0,0,46,48,4,0,23,20,13,0,6734,5105,2772,2312,39462,21598,3938,2895,3114,2649,2638,2229,16,283,292,3453,54.4,55,20.6,21,38.8,40.7,1,1.3,522231,382363,16275306,19837864,3935,28116,16279241,19865980,3.2,1.9,56448,49833,136872,105256,29.2,32.1,4277,2679,7.6,5.4,0,0.1,153593,140912,0.9,0.7,0.8,0.6,0.4,0.5,144.6,80.9,0.1,0.1,0.3,0.3,0.1,0,0,0,132,116,4.5,10.3,3.8,7.8,1.5,1.7,0,0.9,0,0.9,0,0.9,14398,13232,,,,
Idukki,13154,14376,11812,12271,89.8,85.4,18566,16541,11567,12120,591,442,141.1,115.1,92.4,87.4,19716,13119,149.9,91.3,4163,6507,9,145,23.7,86.3,4.7,4.8,72,52,14,12,58,40,19.4,23.1,3937,3391,77,25,2,0.7,7433,6654,31,10,0.4,0.2,11370,10045,86.4,69.9,11442,10097,99.4,99.5,99.5,99.6,0.6,0.5,1979,1699,3671,3285,49.7,49.6,50.3,50.1,49.4,49.4,34.6,33.8,65.4,66.2,641,2588,16669,19815,890.3,4976.9,145.7,196.2,11468,10838,100.2,107.3,52,49,99.5,99.5,11242,10690,98,98.6,1464,1380,13,12.9,11019,9941,96.1,91.7,963,954,0.4,4.9,72,4.2,10111,5521,76.9,38.4,3888,1926,29.6,13.4,2181,1310,16.6,9.1,550,153,4.2,1.1,15481,6659,2,1,117.7,46.3,50,0,0,0,0,13,0,1,688,668,263,291,30.2,33.4,93.9,91.8,6.1,8.2,88.3,86.9,11.7,13.1,2,2,30,32,2486,1742,2516,1774,1.2,1.8,98.8,98.2,,,,,,,,,1195,749,1321,1025,47.5,42.2,52.5,57.8,9.5,17,6.5,9.7,82.5,70.8,1.6,2.5,76.6,77.7,30.2,33.1,50.1,54.5,87.2,79.1,0,0,0,0,0,0,0,0,0,1,0,4,1,6,1643,1684,52,84,4.8,7.7,2,3.8,40.3,49.9,1604,1634,86,134,5,0,665,3667,531,76,83534,204002,203,61,5,1,2,0,,,0,0,4986,10535,11711,11170,11987,11467,9800,9820,102.1,103.1,104.5,105.8,85.5,90.6,10,47,10,19,7,10,14786,15854,14522,15892,13905,15525,65,8336,13081,8791,114.6,158,12881,15879,99.5,27.3,110.8,147.2,126.8,111.3,2,4,0,4,7,22,98.5,99.6,84.3,83.3,457,477,330,482,0,14,12,26,0,0,0,0,2,2,1,1,0,6,0,1,1439,2361,772,493,13081,8791,1019,281,786,248,495,121,19,113,671,3532,51.9,53.5,21.8,21.1,40.5,38.4,0.6,0.9,197676,171211,4802043,4118951,252,2672,4802295,4121623,4.1,4.2,12259,14258,34137,24216,26.4,37.1,3263,1897,26.6,13.3,0,0.1,52255,39545,1.1,1,0.5,0.5,0.2,0.1,109.2,105.3,0.1,0.1,0.1,0.1,0.1,0.2,0,0.1,29,51,0,5.9,10.3,7.8,3.4,3.9,0,2,0,2,0,2,,,,,,
KOZHIKKODE,50915,53077,45441,45163,89.2,85.1,46622,44331,38958,41147,1381,1263,91.6,83.5,79.2,79.9,51722,46227,101.6,87.1,8376,7106,198,82,77,49.4,2.4,1.9,22,12,6,5,16,7,27.3,41.7,23087,23427,7,56,0,0.2,31676,31230,116,717,0.4,2.3,54763,54657,107.6,103,54785,54669,100,100,100,100,0,0,8456,8631,11885,12516,37.1,38.7,36.6,36.8,37.5,40.1,42.2,42.9,57.8,57.1,44,3632,48928,60537,200,266.7,89.3,110.7,54364,52624,99.2,96.3,477,551,99.1,99,54263,55397,99.8,105.3,5948,6680,11,12.1,54204,52693,99.7,100.1,944,946,2,3.5,23.2,12.2,4393,2839,8.6,5.3,138,283,0.3,0.5,22920,1095,45,2.1,675,111,1.3,0.2,4595,3498,6,1,9,6.6,0,0,,,46,21,0,8,648,678,202,196,63.7,60.8,66.3,71.4,33.7,28.6,17.8,18.6,82.2,81.4,0.4,0.4,35,14,7892,7165,7927,7179,0.4,0.2,99.6,99.8,,,,,,,,,3242,2946,4685,4233,40.9,41,59.1,59,9.6,11.8,6,5.4,84,81.7,0.3,1.1,46.4,48.2,54,59.7,60.9,61,18.5,13.9,0,0,0,0,0,0,0,1,6,16,12,2,20,90,4239,3088,417,520,27.8,15.2,5.1,2,37,33.4,3382,3041,1218,522,56,45,4781,6350,1001,671,213736,241601,232,44,149,1,40,0,,,2,1,23590,18866,53700,57349,54443,57769,39850,38116,98.8,109,100.1,109.8,73.3,72.4,17,39,19,21,39,17,48806,51540,47618,49081,46297,47030,2069,22562,42678,24064,82.3,88.6,42502,43947,96.2,60.9,80.4,84.6,37.7,28.3,18,19,3,0,227,213,99.6,99.9,72.2,74.1,70,102,181,69,0,0,3,8,23,16,0,0,10,9,63,24,9,15,1,5,5556,4988,1209,1192,42678,24064,303,19,295,12,241,14,39,396,2318,8140,65.6,65.5,16.7,22.3,47,45.6,0.6,0.5,216378,216394,11367480,8556906,1429,14285,11368909,8571191,1.9,2.5,19909,16189,21189,18856,48.4,46.2,2385,4317,12,26.7,0,0.2,128674,95585,1.1,1.1,0.9,0.5,0.1,0.1,46.6,37.4,0,0.1,0,0.1,0,0.1,0,0,366,500,5.7,3,0,0.4,0,0.6,0,0.2,0,0.6,0,0.2,16449,16578,,,,
Kannur,41188,45689,34364,37076,83.4,81.1,37063,33265,32991,24394,391,425,90,72.8,81,54.3,40360,37683,98,82.5,4436,5568,97,123,82.9,48.2,1.1,1.1,19,43,6,19,13,24,31.6,44.2,9976,11078,45,93,0.5,0.8,33390,16188,6810,1522,20.4,9.4,43366,27266,105.3,59.7,43385,27309,100,99.8,100,99.9,0,0.2,4788,5131,13757,6334,42.8,42,48,46.3,41.2,39.1,23,40.6,77,59.4,15,12166,50594,58517,78.9,8293,116.6,214.3,43431,37878,100.1,138.7,197,181,99.5,99.5,43332,36378,99.8,96,3883,4044,9,11.1,31267,26021,72,68.7,956,953,1.2,11.1,16.6,4.2,7446,10833,18.1,23.7,1687,959,4.1,2.1,3921,4354,9.5,9.5,273,477,0.7,1,10280,8382,3,3,25,18.3,33.3,66.7,,,6,10,0,0,682,467,16,83,54.7,56,100,88,0,12,1.9,13.9,98.1,86.1,0,0.2,66,46,6188,4621,6254,4667,1.1,1,98.9,99,,,,,,,,,3204,1742,3050,2925,51.2,37.3,48.8,62.7,14.4,19.6,5,2,80.6,78.1,0,0.3,60.9,65.6,14.3,31.5,48,62.4,100,16.7,0,0,0,0,0,0,0,0,6,0,0,0,0,6,2476,2600,57,81,3.5,5.1,0.9,1.2,28.8,36.5,2444,2525,87,133,2,23,2756,2072,577,710,87735,132435,136,280,71,0,16,0,,,4,0,8799,4171,40781,35962,41928,37112,21906,18605,93.9,94.9,96.5,98,50.4,49.1,43,71,51,44,86,53,40154,41124,38559,38799,37783,38104,2557,18528,38327,19987,94.1,101.7,38262,36007,93.9,50.1,86.4,99.2,54.8,59.3,17,15,0,1,46,120,99.8,99.8,89.3,92,852,273,1242,1111,38,3,0,0,1,1,0,0,3,8,9,6,10,12,0,4,2867,3219,515,598,38327,19987,273,12,72,1,50,15,69,1581,1045,3074,65.4,65.8,23.9,31.6,43.6,47.9,1,0.9,120266,156734,8399241,7094322,845,1602,8400086,7095924,1.4,2.2,9101,9976,50028,37896,15.4,20.8,1383,1322,15.2,13.3,0,0,180896,103624,2.2,1.5,0.7,0.7,0.3,0.5,33,28.4,0.1,0.3,0.2,0.4,0.1,0.1,0,0,131,126,2.3,4.8,0,7.9,0,4,0,3.2,0,3.2,0,3.2,2028,2668,,,,
Kasaragod,25869,25998,22556,21836,87.2,84,26226,24834,20863,21871,852,949,101.4,95.5,83.9,87.8,33770,27017,130.5,103.9,4528,9149,69,96,31.9,49.5,1.5,3.5,23,24,7,6,16,18,30.4,25,4220,3880,52,8,1.2,0.2,15688,16347,0,20,0,0.1,19908,20227,77,77.8,19931,20251,99.9,99.9,99.9,99.9,0.1,0.1,1160,1113,3761,3935,24.7,25,27.5,28.7,24,24.1,21.2,19.2,78.8,80.8,1087,4301,26813,39438,4726.1,7920.8,134.5,194.7,19920,20299,99.9,100.2,43,87,99.8,99.6,19349,20065,97.1,98.8,1498,1838,7.7,9.2,18724,14094,94,69.4,970,936,0.1,4.5,1323.5,32.2,11634,1285,45,4.9,3800,700,14.7,2.7,4522,1636,17.5,6.3,372,13,1.4,0.1,8982,5883,86,0,34.7,22.6,2.3,,100,,1,7,0,0,907,1029,30,49,26.3,30.8,56.7,93.9,43.3,6.1,9.3,10.7,90.7,89.3,0.1,0.2,31,33,1235,1166,1266,1199,2.4,2.8,97.6,97.2,,,,,,,,,570,489,696,710,45,40.8,55,59.2,30.9,35.7,6.4,8.2,60.7,55.8,1.9,0.3,69.9,64.7,2.5,4.2,52.1,61.6,20.8,100,0,0,0,0,0,0,0,0,2,3,6,1,5,1,2111,1946,221,313,3.8,3.8,1.9,1.9,64.8,65.3,2242,2172,90,78,0,9,3431,2896,645,313,84247,240289,266,31,33,0,4,0,,,1,0,8535,7003,17670,27152,19141,27430,8778,8212,88.7,133.8,96.1,135.1,44.1,40.5,46,9,19,2,23,18,23909,33571,23390,33476,22789,31893,418,15945,23053,15326,117.8,154.1,22965,30366,97.8,41.9,115.8,156.6,82.3,87.4,44,11,0,0,323,93,99.7,99.8,95.1,92.1,390,19,679,378,15,2,0,0,0,0,0,0,10,3,1,0,6,13,5,1,2731,2453,866,974,23053,15326,70,26,11,5,6,10,126,1672,2988,6953,58.5,57.5,24.9,25.4,42.6,38.8,0.6,0.9,113880,108573,3622828,3731138,17035,458,3639863,3731596,3.1,2.9,4551,4810,6808,8933,40.1,35,1811,705,39.8,14.7,0.5,0,21935,13967,0.6,0.4,0.4,0.6,0.3,0.3,22.7,73.8,0.2,4.8,0.2,3.2,0.1,0.2,0,0.1,71,200,4.2,12.5,12.7,9,1.4,7,0,4.5,0,6,0,2.5,1793,1664,,,,
Kollam,33898,35714,30424,30580,89.8,85.6,38829,33412,26616,25493,579,343,114.5,93.6,80.2,72.3,41674,28520,122.9,79.9,14811,5533,133,91,35.5,91,4.8,2.7,18,25,3,7,15,18,16.7,28,9844,9842,2,44,0,0.4,16417,16499,101,1439,0.6,8.7,26261,26341,77.5,73.8,26279,26366,99.9,99.9,99.9,99.9,0.1,0.1,4650,4830,9359,9180,53.3,53.2,47.2,49.1,57,55.6,37.5,37.4,62.5,62.6,334,5925,36892,42467,1855.6,3700,140.4,161.1,26527,27596,100.9,104.7,29,48,99.9,99.8,26351,26658,99.3,96.6,1916,2201,7.3,8.3,25859,24629,97.5,89.2,929,971,0.6,0.8,67.1,52,17878,10104,52.7,28.3,1239,3793,3.7,10.6,11876,5223,35,14.6,1456,2141,4.3,6,19200,12945,609,8,56.6,36.2,0,0,,,5,64,0,0,542,612,98,133,53.4,52.4,99,88,1,12,15.8,19.7,84.2,80.3,0.3,0.4,7,3,6789,6006,6796,6009,0.1,0,99.9,100,,,,,,,,,3280,2740,3516,3269,48.3,45.6,51.7,54.4,5.6,5.6,3.6,4.5,90.6,89.8,0.2,0.1,31.6,47.3,58.6,44.4,52.7,55.3,18.2,57.1,0,0,0,0,0,0,1,0,8,4,5,13,4,14,2218,2299,339,309,5.5,8.7,1.2,2,27.3,30.3,2375,2341,134,248,48,19,1725,3644,1090,194,110275,180812,948,477,199,13,70,0,,,27,1,26501,9594,25163,26696,25592,28650,22258,24859,94.9,96.7,96.5,103.8,83.9,90.1,2,2,2,12,4,11,32227,33331,32360,33412,32686,32859,340,14282,32267,21435,122.9,129.4,31934,30893,98.7,50.2,116.7,111.5,106.5,98.9,18,23,5,2,571,693,100.3,100,96.9,96.5,399,256,2658,278,14,0,0,0,1,2,0,0,3,4,5,4,20,24,2,0,4012,2668,728,309,32267,21435,291,184,195,69,116,41,78,416,2213,6910,57.3,60.9,18.9,15.5,39.9,41.1,0.8,0.7,180278,176699,9155702,8251939,3054,9724,9158756,8261663,2,2.1,18637,13163,65443,37978,22.2,25.7,2280,1692,12.2,12.9,0,0.1,88448,70134,1,0.8,1,0.5,0.1,0.1,47.7,43.2,0.1,0.9,0.1,0.6,0,0.1,0,0,28,175,10.7,9.1,3.6,9.7,7.1,8,0,8.6,3.6,6.3,0,6.3,6226,5627,,,,
Kottayam,20580,20719,17605,17334,85.5,83.7,23571,22877,18419,17389,642,802,114.5,110.4,92.6,87.8,24704,22707,120,109.6,7914,1365,346,24,90.6,27.6,5.3,4.1,12,6,4,3,8,3,33.3,50,9098,9085,553,584,6.1,6.4,14874,14240,1246,1275,8.4,9,23972,23325,116.5,112.6,23984,23331,99.9,100,100,100,0.1,0,3643,3627,7091,6585,44.8,43.8,40,39.9,47.7,46.2,38,38.9,62,61.1,164,2269,31796,34967,1366.7,7816.7,132.6,149.9,24200,23600,100.9,101.2,142,138,99.4,99.4,23938,23125,98.9,98,2880,3030,12,13.1,23368,21905,96.6,92.8,955,960,0.8,6.2,35.6,6.1,5978,7770,29,37.5,1606,1362,7.8,6.6,7768,6401,37.7,30.9,1448,968,7,4.7,10330,3713,171,0,50.2,17.9,0,,,,10,47,1,2,637,618,283,267,46.1,46,66.1,67.8,33.9,32.2,51.9,50.8,48.1,49.2,1.4,1.3,113,112,3385,3030,3498,3142,3.2,3.6,96.8,96.4,,,,,,,,,891,735,2607,2407,25.5,23.4,74.5,76.6,24.7,18.4,2.6,2.2,72.4,79.4,0.3,0,73.7,67.9,67,97,74.2,77.1,0,0,0,0,0,0,0,0,2,2,6,21,2,19,6,21,3225,3115,301,226,5.1,4.5,1.8,1.5,50.2,51.5,3337,3170,166,153,23,18,3501,7092,1297,5594,171658,296653,83,786,107,23,23,2,,,8,5,10599,21941,24820,23943,25060,24422,23212,22432,102.6,101.5,103.6,103.5,95.9,95.1,0,98,3,6,9,12,24967,25865,23435,24307,23163,24145,578,12344,21482,11555,91.2,101.3,21360,23249,97.7,49.5,84.3,94.6,78.2,77.8,1,3,0,1,25,23,99.5,100,93.6,92.6,626,290,658,196,0,0,0,10,2,3,0,0,2,0,16,13,10,6,1,19,2821,1661,502,298,21482,11555,993,297,707,147,403,160,93,392,2049,700,58.4,54.8,28.7,26.6,42.3,39.3,0.8,0.8,180864,270822,7905283,7834057,9071,14197,7914354,7848254,2.3,3.5,18119,22205,31849,50671,36.3,30.5,4183,3582,23.1,16.1,0.1,0.2,78581,59624,1,0.8,0.7,0.6,0.1,0.5,84.9,109,0.1,1.8,0.1,1.2,0.1,0,0,0,118,246,9.3,6.5,17.8,11.8,8.5,4.1,0.8,3.3,0,3.3,0,3.3,1542,1560,,,,
Malappuram,100022,109983,84890,89970,84.9,81.8,81439,85612,82795,70085,2192,2255,81.4,77.8,85,65.8,2271,54327,2.3,49.4,14066,12375,535,458,74.1,73.2,4.2,4.5,304,239,78,31,226,208,25.7,13,15558,12662,35,146,0.2,1.2,75786,72643,10355,13020,13.7,17.9,91344,85305,91.3,77.6,91648,85544,99.7,99.7,99.8,99.8,0.3,0.3,5024,3849,23472,22414,31.2,30.8,32.3,30.4,31,30.9,17,14.8,83,85.2,983,13854,125006,139292,323.4,5796.7,136.4,162.8,92769,91363,101.2,106.8,289,285,99.7,99.7,91819,88811,99,97.2,8013,9912,8.7,11.2,89286,80362,96.2,88,961,970,1.8,9.1,53.9,12.1,21,839,0,0.8,85,261,0.1,0.2,11610,5092,11.6,4.6,589,273,0.6,0.2,15151,10206,13,17,15.1,9.3,7.7,64.7,,,31,39,2,0,2345,2148,4,117,39.8,37.5,100,97.4,0,2.6,0.3,9.1,99.7,90.9,0,0.1,25,24,8993,6861,9018,6885,0.3,0.3,99.7,99.7,,,,,,,,,5818,4541,3200,2344,64.5,66,35.5,34,13.1,17.8,4.8,5.7,81.9,76.3,0.2,0.2,38,31.4,57.6,40.2,33.6,33.9,29.4,38.5,0,0,0,0,0,0,0,0,2,1,3,9,8,988,3878,3104,2335,1896,8.7,5.3,2.2,1.3,40.8,42.1,5741,4709,412,253,60,38,4540,1621,1205,1647,186439,269317,278,167,75,12,20,1,,,31,0,18551,2838,79435,78320,88707,88633,46406,42164,85.6,85.7,95.6,97,50,46.1,117,94,21,70,63,60,95417,92896,86472,87429,83055,81676,402,39020,79778,44174,86.4,91.1,79157,80832,99.5,56,82.5,86.9,23,19.3,43,50,0,1,232,191,98.8,100,94.8,92.4,2513,825,3689,558,4,1,7,3,7,6,1,0,37,85,12,15,43,104,6,1,22213,6939,3868,1511,79778,44174,358,53,218,14,190,9,122,13152,3568,29678,63.2,61.6,25.6,28.5,68.1,43.8,1.7,0.9,560223,537950,17656723,14446883,83474,76691,17740197,14523574,3.2,3.7,52176,55768,72856,43281,41.7,56.3,6025,2360,11.5,4.2,0.5,0.5,187778,93720,1.1,0.6,0.9,0.9,0.2,0.1,52.1,36,0.1,0,0.2,0.1,0,0,0,0,206,466,2.4,3.4,3.4,4.1,1.9,0.6,0,0.2,0,0.6,0,0.6,4684,3923,,,,
