,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18
_Madhya Pradesh,1832836,1150609,62.8,1328819,1212188,387007,72.5,87.3,1699537,92.7,1326069,41515,43.7,2.1,98978,11926,87052,12,1112204,104945,9.4,139415,7578,5.4,1251619,68.3,1350597,92.7,93.6,7.3,71622,58521,10.4,6.4,42,88.9,11.1,145820,318034,147.3,23.5,1336337,98.9,22234,98.4,1299811,97.3,185887,14.3,1249385,93.5,929,8.5,37.7,1422399,77.6,1099112,60,14443,0.8,9223,0.5,516434,1623,28.2,30.3,15.4,1886,267,35996,25330,49.7,93,7,71.1,28.9,1.4,3635,303588,307223,1.2,98.8,,,,,14594,292629,4.8,95.2,82.9,7.7,8.7,0.6,97.4,87.9,82.3,87.3,5,0,5,8,118,136,1720,436493,3757,48.8,19.2,58.9,221862,214536,3852,3725079,44570,18342817,25599,5868,1013,,74,1051201,1174925,1352491,1103469,87.9,101.2,82.6,3460,2437,3166,1515359,1471880,1459670,1491020,407,111.6,1493409,-10.2,115.1,109.6,1474,4,22300,98.4,87.5,33110,5152,3409,202,44,46,1968,234,1376,9810,220217,61685,407,1373052,1216161,1110176,1379884,482,65.6,21,51.6,0.6,4413744,49548275,2651203,52199478,8.5,122392,359009,25.4,10769,8.8,5.1,569932,1.1,3.1,0.7,24,0.3,0.5,0.7,0.2,28802,7.3,9.1,4.6,0.6,2,0.1,301065,,
Agar Malwa,13837,9825,71,7814,12794,359,56.5,95.1,13401,96.8,4810,212,66.3,2.8,27,0,27,0,9687,108,1.1,,,,9687,70,9714,99.7,99.7,0.3,18,,0.2,0.2,,100,0,12,96,44.4,1,9567,98.5,172,98.2,9560,99.9,1024,10.7,9241,96.6,957,6.4,8.9,8773,63.4,9855,71.2,0,0,0,0,2680,0,19.4,,,3,0,151,558,78.7,84.6,15.4,100,0,4,4,2840,2844,0.1,99.9,,,,,,2844,0,100,98.9,0.4,0.6,0.1,100,100,100,100,0,0,0,0,2,0,0,3733,,34.3,13.2,56.8,2431,1281,21,20629,961,174067,0,30,3,,0,13998,9207,9408,9044,96.2,98.3,94.5,0,0,0,12269,12518,12671,12594,0,131.6,12578,-33.9,133.3,104.9,0,0,557,98,74.8,86,30,31,0,0,0,5,1,13,5,2400,241,0,9793,8767,8332,12046,0,67.3,16.7,42.9,0.1,41690,490983,19626,510609,8.2,6,154,3.8,0,0,3.8,9458,1.9,4.3,0,19.5,0,0,0.1,0,62,3.2,3.2,4.8,0,0,3.2,0,,
Alirajpur,22536,10751,47.7,12703,5836,12769,56.4,82.6,19684,87.3,12111,197,24.6,0.9,4107,1,4106,0,12961,504,3.9,163,0,0,13124,58.2,17231,76.2,76.2,23.8,47,0,0.4,0.4,0,98.8,1.2,3408,4103,83,23.8,17103,99.3,170,99,16917,98.9,1804,10.7,16825,98.4,961,1.3,95.5,17046,75.6,11380,50.5,0,0,0,0,1255,19,5.6,100,,32,0,102,100,49.5,100,0,100,0,0.4,2,3161,3163,0.1,99.9,,,,,0,3163,0,100,99.6,0.1,0.3,0,100,100,100,,0,0,0,0,0,0,11,4855,0,30.5,11.4,60.6,3366,1481,8,55038,75,99848,0,0,0,,0,12997,12761,17665,12602,74.6,103.3,73.7,0,0,0,19798,18254,17151,18759,0,109.7,18766,-6.2,107,83.4,0,0,5,95.9,86.8,115,2,0,0,0,0,0,0,6,67,3358,506,0,16637,13592,11768,17432,0,66.2,32.2,66.7,0,55841,408549,28633,437182,12.8,38,6891,0.5,0,0,6.5,3599,0.8,4.4,0.3,21.6,0.1,0.1,0.4,0.2,314,5.7,0.3,14,0.3,2.2,0,163,,
Anuppur,16800,11331,67.4,12798,11077,3871,76.2,89,16138,96.1,13250,142,11.9,1.4,1179,563,616,47.8,9188,958,10.4,241,,0,9429,56.1,10608,88.9,94.2,11.1,489,152,6.8,5.3,63.1,97.4,2.6,4623,2812,392.1,26.5,10390,97.9,232,97.8,10338,99.5,1379,13.3,10301,99.1,942,4.2,95.3,13459,80.1,9975,59.4,0,0,0,0,1992,45,11.9,0,,34,5,544,263,32.6,94.3,5.7,100,0,1.6,48,2231,2279,2.1,97.9,,,,,40,2239,1.8,98.2,89.1,2.2,7.9,0.8,100,100,77.4,100,0,0,0,0,0,1,5,3583,15,56.5,22.1,61.2,1522,2041,35,18974,775,53732,0,11,0,,0,12588,7970,10706,7003,76.7,103,67.4,0,0,0,12075,12130,11834,11373,0,109.5,11344,-6.2,120.8,158.5,35,0,73,98.5,85.7,191,22,9,0,0,0,16,0,4,184,3375,306,0,11049,10243,9310,11601,0,62.3,13.6,44.2,1,32594,440527,31791,472318,6.9,105,2387,4.2,4,3.8,6.7,5906,1.3,4.9,1.4,26.6,0.2,0.6,1.2,1.6,360,7.2,14.7,6.1,0,0.6,0.3,241,,
Ashok Nagar,29229,19201,65.7,19614,22754,3540,67.1,90,26446,90.5,18534,395,27.3,3.1,922,44,878,4.8,14661,1713,11.7,400,32,8,15061,51.5,15983,94.2,94.5,5.8,121,86,1.4,0.8,21.5,97.3,2.7,2460,6117,266.8,38.3,15722,98.4,303,98.1,15563,99,1756,11.3,15188,96.6,939,5.4,21.2,20662,70.7,15755,53.9,9,0,99,0.3,4870,6,16.7,33.3,,22,0,503,245,36.3,84.1,15.9,85.4,14.6,0.8,0,3325,3325,0,100,,,,,12,3313,0.4,99.6,95.8,2,1.9,0.2,100,100,81.3,100,0,0,0,0,0,0,0,5648,3,35.1,13.5,63,3644,1982,25,40810,2955,118404,0,0,0,,0,12470,14012,15083,13288,89.1,95.9,84.5,0,0,0,20020,19495,19599,18955,0,120.6,20333,-25.7,129,124.1,0,0,111,96.2,88.2,257,29,17,0,0,1,19,9,67,390,5811,2035,0,17995,15869,14308,16470,0,64,47.6,32.4,0.1,101233,519458,29310,548768,18.4,442,2711,14,11,2.5,5.3,4209,0.8,1.7,0.1,19.6,0,0,0.5,0.1,395,3.5,1.8,4.3,2,0.3,0,400,,
Balaghat,30877,22428,72.6,26215,28056,1389,84.9,95.4,29485,95.5,30143,283,31.2,2.6,1316,37,1279,2.8,23535,1066,4.5,2765,4,0.1,26300,85.2,27616,95.2,95.4,4.8,3103,2122,19.9,13.2,76.7,89.5,10.5,3753,3915,285.2,14.2,27289,98.8,596,97.9,24326,89.1,4313,17.7,24136,88.4,970,4.5,33.4,21139,68.5,17442,56.5,0,0,344,1.1,3685,9,11.9,33.3,,33,7,340,72,17.5,98.6,1.4,100,0,0.2,479,8258,8737,5.5,94.5,,,,,0,8737,0,100,82.9,0.7,16.1,0.2,100,100,100,100,0,0,0,0,5,1,144,6474,0,71.6,19.7,42.6,1826,4636,12,44921,38,210677,126,31,2,,0,25957,23304,27148,21045,85.4,99.5,77.1,0,0,4,28789,28262,27994,28151,0,103.2,28139,-3.7,101.6,91.3,62,0,315,99.5,87.1,212,25,14,3,0,2,50,16,16,204,4051,908,0,21861,19172,17067,24354,12,64.4,16.1,55.9,1.7,68809,781567,109423,890990,7.7,456,4636,9,76,16.7,12.3,8204,0.9,1.8,0.5,51.7,2.8,1.9,1.2,0.5,726,7.4,6.3,2.3,0.4,1.1,0,5226,,
Barwani,44213,27561,62.3,36157,28596,11682,81.8,91.1,37331,84.4,35454,719,21,1.2,13822,477,13345,3.5,25266,1970,7.8,1161,0,0,26427,59.8,40249,65.7,66.8,34.3,790,152,3.6,3.1,13.1,95.6,4.4,14607,32561,105.7,80.9,39893,99.1,391,99,39428,98.8,5411,13.7,39305,98.5,945,6.1,65,21314,48.2,27298,61.7,78,0.2,0,0,3921,0,8.9,,,60,1,642,925,59,93,7,100,0,2.1,24,9711,9735,0.2,99.8,,,,,,9735,0,100,97.3,0,2.4,0.3,100,100,100,100,0,0,0,0,0,0,0,9462,136,50.7,19,49.6,4571,4827,200,108503,0,531486,0,75,1,,0,25671,25651,39650,25013,64.3,99.4,62.7,0,0,0,40465,39912,39289,38650,0,96.9,38772,2.5,104.1,86.3,0,0,0,97.2,95.4,545,84,24,0,3,0,107,10,60,73,3852,834,0,35810,31813,28151,36311,0,61.8,30,53.7,0.6,142936,1154985,63268,1218253,11.7,4393,15653,21.9,12,0.3,5.2,9503,0.8,5.1,1.5,18.5,0.4,0.8,0.2,0,943,3.4,0.6,7.7,1,1.8,0,4039,,
Betul,30482,22320,73.2,21615,17183,10993,70.9,92.4,27151,89.1,23570,108,16,2.3,2396,27,2369,1.1,20296,864,4.3,1560,75,4.8,21856,71.7,24252,90.1,90.2,9.9,691,831,7,3.4,53.3,92.9,7.1,2817,6802,117.6,28,24077,99.3,415,98.3,23932,99.4,2425,10.1,22953,95.3,913,3.8,37.6,25707,84.3,20281,66.5,398,1.3,0,0,17560,17,57.6,35.3,,37,6,630,120,33,98.3,1.7,38.6,61.4,0.4,44,6956,7000,0.6,99.4,,,,,0,7000,0,100,95.8,0.3,3.9,0,100,100,100,100,0,0,0,0,0,0,15,8399,0,45,18.6,54.5,4623,3776,0,136478,1131,1225020,0,109,30,,0,22818,20926,24462,20616,86.9,101.6,85.6,0,0,0,26008,24914,24421,27163,0,112.8,27163,-11,105.1,92.2,0,0,0,98.5,95.2,140,9,0,0,0,0,23,3,18,178,4897,1189,0,24602,23175,21514,25890,0,63.4,25,50.5,0.2,95630,1229651,86550,1316201,7.3,955,5761,14.2,207,21.7,6.6,9244,0.7,1.6,0.5,27.4,0.2,0.3,0.2,0.3,664,2.1,4.4,2.7,0.3,3.2,0.5,1959,,
Bhind,39952,21533,53.9,26472,28774,4768,66.3,84,37051,92.7,29009,1682,55.5,1.1,1610,27,1583,1.7,25553,1432,5.6,1880,0,0,27433,68.7,29043,94.5,94.5,5.5,286,473,2.8,1.1,25.2,93.1,6.9,1361,6174,84.5,21.3,28604,98.5,312,98.9,28322,99,4258,15,27694,96.8,920,3.1,46.7,35204,88.1,29152,73,0,0,6,0,12976,0,32.5,,,34,0,279,385,63,96.4,3.6,81.1,18.9,1,18,4947,4965,0.4,99.6,,,,,0,4965,0,100,97.4,1,1.2,0.4,100,100,100,100,0,0,0,0,0,0,2,14442,0,27.2,15.4,74.4,10496,3935,11,61509,1346,93162,0,221,0,,0,22344,28705,28789,27422,100.4,100.6,95.9,212,40,34,34055,31929,30201,31416,0,109.8,31789,-9.1,114.3,114.6,30,0,157,100.1,84.8,977,129,62,0,0,1,5,7,24,240,8000,1925,0,32691,28758,25905,27398,0,62.5,17.8,39.9,0.5,84680,1163239,26001,1189240,7.1,573,8286,6.5,0,0,2.2,8058,0.7,3.8,1.5,10.4,0.3,0.7,1.2,0,633,3.5,2.7,3.8,0.9,3.5,0,9096,,
Bhopal,61151,40626,66.4,52605,34445,12852,86,77.3,66212,108.3,25717,2141,81.1,6,1175,434,741,36.9,35156,5511,15.7,14658,1397,9.5,49814,81.5,50989,97.7,98.5,2.3,7734,7797,31.2,22,53.2,70.6,29.4,955,1461,81.3,2.9,50118,98.3,1177,97.7,49939,99.6,6901,13.8,44403,88.6,912,27.7,21.9,63740,104.2,29470,48.2,0,0,0,0,24962,64,40.8,90.6,,135,28,3094,1607,65.5,98,2,27.4,72.6,2.6,337,7911,8248,4.1,95.9,,,,,3298,4950,40,60,56.6,5.6,33.3,4.5,54.6,60,69.7,57.8,0,0,0,2,40,3,6,9650,1421,68.4,18.8,57.3,3838,7046,187,88729,5219,375388,40,149,38,,20,34214,47012,50417,41760,93.8,100.6,83.3,276,234,118,40951,39855,39565,42993,0,85.8,42345,14.7,87.7,58.5,52,0,2095,96.8,65.9,2843,521,543,0,0,0,73,11,49,1043,8479,3743,0,38117,35308,32127,38045,0,56.9,17.8,44.8,1,380585,5503184,214381,5717565,6.7,66111,96658,40.6,4386,6.6,3.7,94198,1.6,2.9,0.3,63.6,0.2,0.3,0.8,0.2,2040,15.7,41.9,0.2,0.1,0.2,0.1,23463,,
