,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18,2018-19,2017-18
_Madhya Pradesh,1875916,1832836,1231587,1150609,65.7,62.8,1399890,1328819,1252906,1212188,406421,387007,74.6,72.5,88.5,87.3,1727497,1699537,92.1,92.7,1286691,1326069,45262,41515,51.3,43.7,1.9,2.1,68512,98978,7115,11926,61397,87052,10.4,12,1172770,1112204,106704,104945,9.1,9.4,134349,139415,9067,7578,6.7,5.4,1307119,1251619,69.7,68.3,1375631,1350597,95,92.7,95.5,93.6,5,7.3,81073,71622,53623,58521,10.3,10.4,6.9,6.4,39.9,42,89.7,88.9,10.3,11.1,55909,145820,176873,318034,81.6,147.3,12.9,23.5,1359708,1336337,98.8,98.9,22979,22234,98.3,98.4,1322228,1299811,97.2,97.3,193013,185887,14.6,14.3,1269795,1249385,93.4,93.5,936,929,9.6,8.5,45.1,37.7,1477845,1422399,78.8,77.6,1176917,1099112,62.7,60,12025,14443,0.6,0.8,1620,9223,0.1,0.5,729700,516434,1911,1623,38.9,28.2,29.1,30.3,46,15.4,2003,1886,497,267,39389,35996,25499,25330,48.4,49.7,94,93,6,7,69,71.1,31,28.9,1.4,1.4,2917,3635,327188,303588,330105,307223,0.9,1.2,99.1,98.8,,,,,,,,,12610,14594,317495,292629,3.8,4.8,96.2,95.2,83.9,82.9,7.2,7.7,8,8.7,0.8,0.6,98.1,97.4,90.1,87.9,84.1,82.3,68.2,87.3,1,5,0,0,1,5,9,8,264,118,263,136,2559,1720,414481,436493,5848,3757,54.3,48.8,19.2,19.2,56,58.9,188432,221862,225367,214536,6530,3852,4060055,3725079,59790,44570,21380401,18342817,91901,25599,45584,5868,17144,1013,,,5889,74,1370601,1051201,1229354,1174925,1369171,1352491,1151763,1103469,90.4,87.9,100.7,101.2,84.7,82.6,1851,3460,1569,2437,1258,3166,1595692,1515359,1540182,1471880,1520115,1459670,1293970,1491020,179956,407,108.4,111.6,1469827,1493409,5.5,-10.2,115.4,115.1,105.6,109.6,826,1474,0,4,22709,22300,97.7,98.4,85.4,87.5,41524,33110,6268,5152,5182,3409,163,202,65,44,17,46,1854,1968,271,234,1147,1376,7136,9810,217577,220217,70400,61685,179956,407,1408940,1373052,1336004,1216161,1311063,1110176,1149055,1379884,124472,482,67.9,65.6,19.4,21,43.8,51.6,0.7,0.6,4488492,4413744,54479563,49548275,3002704,2651203,57482267,52199478,7.8,8.5,131783,122392,399867,359009,24.8,25.4,17288,10769,13.1,8.8,5.2,5.1,664576,569932,1.2,1.1,3.1,3.1,0.8,0.7,23.4,24,0.4,0.3,0.6,0.5,0.4,0.7,0.1,0.2,31952,28802,6.7,7.3,8.3,9.1,4.7,4.6,0.5,0.6,1.3,2,0.1,0.1,301737,301065,,,,
Agar Malwa,14061,13837,10477,9825,74.5,71,9537,7814,12445,12794,911,359,67.8,56.5,95,95.1,13476,13401,95.8,96.8,5795,4810,362,212,72.7,66.3,3,2.8,18,27,0,0,18,27,0,0,10099,9687,78,108,0.8,1.1,171,,0,,0,,10270,9687,73,70,10288,9714,99.8,99.7,99.8,99.7,0.2,0.3,13,18,150,,1.6,0.2,0.1,0.2,87.7,,98.3,100,1.7,0,10,12,92,96,55.6,44.4,0.9,1,10169,9567,98.8,98.5,154,172,98.5,98.2,10162,9560,99.9,99.9,1246,1024,12.3,10.7,9932,9241,97.7,96.6,926,957,3.7,6.4,9.3,8.9,9523,8773,67.7,63.4,10673,9855,75.9,71.2,0,0,0,0,0,0,0,0,11717,2680,0,0,83.3,19.4,,,,,2,3,0,0,208,151,151,558,42.1,78.7,94,84.6,6,15.4,100,100,0,0,1.1,4,4,4,2893,2840,2897,2844,0.1,0.1,99.9,99.9,,,,,,,,,0,,2897,2844,0,0,100,100,99.1,98.9,0.5,0.4,0.4,0.6,0,0.1,100,100,100,100,100,100,,100,0,0,0,0,0,0,0,0,1,2,12,0,1,0,3704,3733,0,,47.5,34.3,17.4,13.2,56.1,56.8,1903,2431,1761,1281,40,21,18685,20629,610,961,167525,174067,2,0,149,30,53,3,,,2,0,19594,13998,9864,9207,9966,9408,9265,9044,97,96.2,98,98.3,91.1,94.5,5,0,4,0,4,0,13071,12269,12943,12518,12815,12671,7710,12594,2748,0,102.8,131.6,10185,12578,22.6,-33.9,119.6,133.3,108.8,104.9,0,0,0,0,221,557,97.6,98,78.1,74.8,41,86,6,30,9,31,0,0,0,0,0,0,8,5,0,1,3,13,30,5,2258,2400,87,241,2748,0,7416,9793,6784,8767,6657,8332,6483,12046,2223,0,73,67.3,22.3,16.7,,42.9,0,0.1,40797,41690,552235,490983,26901,19626,579136,510609,7,8.2,139,6,123,154,53.1,3.8,130,0,93.5,0,4.6,3.8,2749,9458,0.5,1.9,7.1,4.3,0.2,0,24.8,19.5,0,0,0.1,0,0,0.1,0,0,54,62,1.9,3.2,3.7,3.2,7.4,4.8,1.9,0,1.9,0,0,3.2,171,0,,,,
Alirajpur,23231,22536,11206,10751,48.2,47.7,13043,12703,7234,5836,12536,12769,56.1,56.4,85.1,82.6,21559,19684,92.8,87.3,14401,12111,88,197,7.5,24.6,0.7,0.9,3920,4107,0,1,3920,4106,0,0,14573,12961,694,504,4.8,3.9,146,163,0,0,0,0,14719,13124,63.4,58.2,18639,17231,79,76.2,79,76.2,21,23.8,20,47,0,0,0.1,0.4,0.1,0.4,0,0,99,98.8,1,1.2,3172,3408,896,4103,80.9,83,4.8,23.8,18468,17103,99.1,99.3,201,170,98.9,99,18330,16917,99.3,98.9,2686,1804,14.7,10.7,18086,16825,97.9,98.4,936,961,1.9,1.3,82.7,95.5,18663,17046,80.3,75.6,11785,11380,50.7,50.5,0,0,0,0,0,0,0,0,1102,1255,0,19,4.7,5.6,,100,,,31,32,0,0,233,102,375,100,61.7,49.5,100,100,0,0,100,100,0,0,1.6,0.4,0,2,4612,3161,4612,3163,0,0.1,100,99.9,,,,,,,,,0,0,4612,3163,0,0,100,100,98.2,99.6,1.8,0.1,0,0.3,0,0,100,100,100,100,,100,,,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5087,4855,0,0,36.2,30.5,12.7,11.4,52.4,60.6,3204,3366,1844,1481,39,8,53059,55038,51,75,90268,99848,404,0,111,0,35,0,,,16,0,22664,12997,14304,12761,18152,17665,14200,12602,77.5,74.6,98.3,103.3,76.9,73.7,3,0,2,0,0,0,20166,19798,18681,18254,18131,17151,14749,18759,295,0,81.5,109.7,15045,18766,18.7,-6.2,87.4,107,115.5,83.4,1,0,0,0,112,5,95.2,95.9,91.6,86.8,208,115,5,2,11,0,0,0,0,0,0,0,2,0,3,0,13,6,84,67,3866,3358,571,506,295,0,15706,16637,13996,13592,13670,11768,13648,17432,110,0,71.4,66.2,35,32.2,38.9,66.7,0,0,56651,55841,442655,408549,25811,28633,468466,437182,12.1,12.8,42,38,3654,6891,1.1,0.5,20,0,47.6,0,5.5,6.5,3165,3599,0.7,0.8,4.1,4.4,0,0.3,15.1,21.6,0,0.1,0,0.1,0.1,0.4,0,0.2,385,314,4.7,5.7,1.8,0.3,6.8,14,0.8,0.3,5.5,2.2,0.3,0,146,163,,,,
Anuppur,18227,16800,14008,11331,76.9,67.4,12480,12798,12132,11077,3974,3871,68.5,76.2,88.4,89,15683,16138,86,96.1,13836,13250,136,142,12.6,11.9,1.4,1.4,898,1179,427,563,471,616,47.6,47.8,9851,9188,978,958,9.9,10.4,273,241,,,0,0,10124,9429,55.5,56.1,11022,10608,91.9,88.9,95.7,94.2,8.1,11.1,628,489,203,152,8.2,6.8,6.4,5.3,74.4,63.1,97.3,97.4,2.7,2.6,381,4623,2368,2812,42.4,392.1,21.5,26.5,10902,10390,98.9,97.9,236,232,97.9,97.8,10735,10338,98.5,99.5,1303,1379,12.1,13.3,10701,10301,98.2,99.1,988,942,6.3,4.2,89.2,95.3,13914,13459,76.3,80.1,9696,9975,53.2,59.4,0,0,0,0,0,0,0,0,1725,1992,21,45,9.5,11.9,0,0,,,33,34,6,5,529,544,225,263,29.8,32.6,91.6,94.3,8.4,5.7,100,100,0,0,1.2,1.6,36,48,2217,2231,2253,2279,1.6,2.1,98.4,97.9,,,,,,,,,5,40,2248,2239,0.2,1.8,99.8,98.2,85.6,89.1,4.1,2.2,9.6,7.9,0.8,0.8,100,100,100,100,97.6,77.4,100,100,0,0,0,0,0,0,0,0,0,0,5,1,127,5,5171,3583,,15,52.2,56.5,27.4,22.1,69.7,61.2,2324,1522,2699,2041,148,35,19969,18974,1353,775,75410,53732,2224,0,346,11,79,0,,,27,0,15908,12588,9627,7970,12550,10706,9121,7003,88.3,76.7,115.1,103,83.7,67.4,0,0,0,0,0,0,13588,12075,13320,12130,13195,11834,12679,11373,387,0,119.8,109.5,12928,11344,-1,-6.2,131.2,120.8,139.1,158.5,2,35,0,0,210,73,98.1,98.5,88.3,85.7,89,191,15,22,20,9,0,0,0,0,0,0,13,16,1,0,26,4,320,184,2831,3375,348,306,387,0,12226,11049,11874,10243,11658,9310,11665,11601,302,0,64.2,62.3,13,13.6,38.2,44.2,4,1,31001,32594,498243,440527,28767,31791,527010,472318,5.9,6.9,125,105,2716,2387,4.4,4.2,23,4,18.4,3.8,5.5,6.7,7175,5906,1.4,1.3,7.6,4.9,1.1,1.4,13.1,26.6,0.4,0.2,0.7,0.6,0.6,1.2,0.7,1.6,363,360,8.8,7.2,9.9,14.7,6.3,6.1,1.1,0,1.7,0.6,0,0.3,273,241,,,,
Ashok Nagar,27958,29229,18097,19201,64.7,65.7,23563,19614,19994,22754,2832,3540,84.3,67.1,81.6,90,24824,26446,88.8,90.5,17346,18534,348,395,25.9,27.3,2.8,3.1,416,922,3,44,413,878,0.7,4.8,15322,14661,2094,1713,13.7,11.7,258,400,74,32,28.7,8,15580,15061,55.7,51.5,15996,15983,97.4,94.2,97.4,94.5,2.6,5.8,121,121,183,86,2,1.4,0.8,0.8,70.9,21.5,98.3,97.3,1.7,2.7,677,2460,4161,6117,162.7,266.8,26,38.3,15902,15722,99.4,98.4,267,303,98.3,98.1,15524,15563,97.6,99,2376,1756,15.3,11.3,14980,15188,94.2,96.6,931,939,7.6,5.4,28.5,21.2,22339,20662,79.9,70.7,17720,15755,63.4,53.9,133,9,0.5,0,15,99,0.1,0.3,7789,4870,3,6,27.9,16.7,1700,33.3,24.2,,55,22,0,0,525,503,295,245,41.9,36.3,91.5,84.1,8.5,15.9,78,85.4,22,14.6,1.1,0.8,3,0,4238,3325,4241,3325,0.1,0,99.9,100,,,,,,,,,5,12,4236,3313,0.1,0.4,99.9,99.6,99,95.8,0.4,2,0.5,1.9,0.1,0.2,100,100,100,100,90,81.3,100,100,0,0,0,0,0,0,0,0,2,0,0,0,231,0,5312,5648,0,3,43.9,35.1,15.2,13.5,55.6,63,2929,3644,2333,1982,50,25,44184,40810,3361,2955,92779,118404,505,0,143,0,105,0,,,12,0,19509,12470,14863,14012,16302,15083,14160,13288,93.5,89.1,102.5,95.9,89,84.5,10,0,4,0,10,0,20901,20020,20850,19495,20765,19599,16925,18955,3483,0,128.3,120.6,20108,20333,-3.8,-25.7,139.8,129,131.3,124.1,13,0,0,0,98,111,98.8,96.2,79.5,88.2,434,257,4,29,19,17,0,0,0,0,0,1,14,19,15,9,87,67,296,390,4581,5811,1676,2035,3483,0,20560,17995,20447,15869,20261,14308,15616,16470,2809,0,61.9,64,22.3,47.6,48.3,32.4,0.4,0.1,56745,101233,688428,519458,11715,29310,700143,548768,8.1,18.4,578,442,2062,2711,21.9,14,36,11,6.2,2.5,1.7,5.3,4792,4209,0.7,0.8,1.4,1.7,4,0.1,21.4,19.6,0.1,0,0.8,0,0.3,0.5,0.1,0.1,602,395,6.6,3.5,4,1.8,5,4.3,0.3,2,0.7,0.3,0.2,0,258,400,,,,
Balaghat,32880,30877,24145,22428,73.4,72.6,25804,26215,28257,28056,2090,1389,78.5,84.9,92.3,95.4,30025,29485,91.3,95.5,26097,30143,259,283,44.6,31.2,2.1,2.6,953,1316,17,37,936,1279,1.8,2.8,23279,23535,1649,1066,7.1,4.5,2195,2765,34,4,1.5,0.1,25474,26300,77.5,85.2,26427,27616,96.4,95.2,96.5,95.4,3.6,4.8,3830,3103,1604,2122,21.3,19.9,16.5,13.2,73.1,76.7,91.4,89.5,8.6,10.5,660,3753,1983,3915,69.3,285.2,7.5,14.2,26018,27289,98.5,98.8,574,596,97.8,97.9,23739,24326,91.2,89.1,4834,4313,20.4,17.7,23495,24136,90.3,88.4,968,970,7.6,4.5,12,33.4,14452,21139,44,68.5,22097,17442,67.2,56.5,0,0,0,0,0,344,0,1.1,13379,3685,9,9,40.7,11.9,0,33.3,,,31,33,7,7,333,340,80,72,19.4,17.5,95,98.6,5,1.4,100,100,0,0,0.2,0.2,516,479,8672,8258,9188,8737,5.6,5.5,94.4,94.5,,,,,,,,,0,0,9188,8737,0,0,100,100,79.9,82.9,4.6,0.7,15,16.1,0.5,0.2,100,100,100,100,100,100,100,100,0,0,0,0,0,0,1,0,1,5,3,1,77,144,6159,6474,0,0,75.6,71.6,20,19.7,40.1,42.6,1430,1826,4659,4636,70,12,50900,44921,105,38,312301,210677,1033,126,1866,31,847,2,,,165,0,30081,25957,24357,23304,27324,27148,22778,21045,93.6,85.4,105,99.5,87.5,77.1,0,0,0,0,0,4,30733,28789,30062,28262,29832,27994,24999,28151,3662,0,110.2,103.2,29087,28139,8.5,-3.7,128.5,101.6,84.2,91.3,8,62,0,0,414,315,100.5,99.5,89.5,87.1,420,212,99,25,112,14,0,3,0,0,0,2,39,50,13,16,16,16,43,204,2904,4051,880,908,3662,0,24242,21861,23006,19172,22375,17067,20489,24354,2659,12,68.5,64.4,15.4,16.1,42.3,55.9,0.8,1.7,70208,68809,885183,781567,118290,109423,1003473,890990,7,7.7,391,456,8686,4636,4.3,9,17,76,4.3,16.7,11.8,12.3,9361,8204,0.9,0.9,1.1,1.8,0.5,0.5,46,51.7,0.3,2.8,0.4,1.9,0,1.2,0.1,0.5,499,726,5.6,7.4,6.4,6.3,3,2.3,0,0.4,0,1.1,0.2,0,4386,5226,,,,
Barwani,52789,44213,35492,27561,67.2,62.3,37783,36157,31611,28596,14678,11682,71.6,81.8,87.7,91.1,43158,37331,81.8,84.4,41697,35454,2835,719,55.4,21,1.2,1.2,10671,13822,223,477,10448,13345,2.1,3.5,28347,25266,2436,1970,8.6,7.8,1526,1161,19,0,1.2,0,29873,26427,56.6,59.8,40544,40249,73.7,65.7,74.2,66.8,26.3,34.3,610,790,731,152,4.5,3.6,2.2,3.1,47.9,13.1,94.9,95.6,5.1,4.4,7277,14607,8745,32561,68.2,105.7,21.6,80.9,40145,39893,99,99.1,501,391,98.8,99,39941,39428,99.5,98.8,5296,5411,13.3,13.7,39712,39305,98.9,98.5,941,945,13.8,6.1,62.8,65,30313,21314,57.4,48.2,30254,27298,57.3,61.7,0,78,0,0.2,0,0,0,0,21219,3921,59,0,40.2,8.9,0,,,,55,60,4,1,800,642,813,925,50.7,59,91.9,93,8.1,7,98.7,100,1.3,0,1.5,2.1,25,24,10561,9711,10586,9735,0.2,0.2,99.8,99.8,,,,,,,,,0,,10586,9735,0,0,100,100,98.3,97.3,0.2,0,1.5,2.4,0,0.3,100,100,100,100,100,100,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9208,9462,0,136,60.8,50.7,19.8,19,46.5,49.6,3329,4571,5599,4827,280,200,79896,108503,109,0,560114,531486,418,0,1958,75,638,1,,,51,0,37435,25671,28582,25651,42225,39650,28526,25013,71.2,64.3,105.2,99.4,71.1,62.7,3,0,7,0,6,0,43927,40465,43062,39912,41501,39289,33510,38650,4613,0,95,96.9,39000,38772,20.6,2.5,110.5,104.1,86.9,86.3,0,0,0,0,0,0,98.3,97.2,79.6,95.4,641,545,62,84,1,24,0,0,0,3,0,0,19,107,9,10,16,60,109,73,3839,3852,1856,834,4613,0,37167,35810,36508,31813,34840,28151,29948,36311,3563,0,62.8,61.8,19.8,30,36,53.7,0.9,0.6,134295,142936,1276007,1154985,56309,63268,1332316,1218253,10.1,11.7,6534,4393,24299,15653,21.2,21.9,78,12,1.2,0.3,4.2,5.2,19692,9503,1.5,0.8,5.6,5.1,1.6,1.5,11.2,18.5,0.7,0.4,1.1,0.8,0.1,0.2,0,0,1151,943,2.3,3.4,0.5,0.6,8.4,7.7,0.6,1,1.7,1.8,0.3,0,4805,4039,,,,
Betul,31716,30482,24582,22320,77.5,73.2,29492,21615,17379,17183,10044,10993,93,70.9,86.5,92.4,29277,27151,92.3,89.1,21964,23570,553,108,42.5,16,3.1,2.3,2094,2396,0,27,2094,2369,0,1.1,21451,20296,240,864,1.1,4.3,1755,1560,20,75,1.1,4.8,23206,21856,73.2,71.7,25300,24252,91.7,90.1,91.7,90.2,8.3,9.9,744,691,1015,831,7.6,7,3.5,3.4,57.8,53.3,92.4,92.9,7.6,7.1,928,2817,3440,6802,44.3,117.6,13.6,28,25018,24077,98.9,99.3,422,415,98.3,98.3,24825,23932,99.2,99.4,2184,2425,8.8,10.1,24244,22953,96.9,95.3,938,913,6.5,3.8,49.7,37.6,28605,25707,90.2,84.3,22123,20281,69.8,66.5,2658,398,8.4,1.3,437,0,1.4,0,35353,17560,3,17,111.5,57.6,0,35.3,,,26,37,8,6,481,630,421,120,64.6,33,90,98.3,10,1.7,48.1,38.6,51.9,61.4,1.3,0.4,24,44,7841,6956,7865,7000,0.3,0.6,99.7,99.4,,,,,,,,,199,0,7666,7000,2.5,0,97.5,100,94.5,95.8,0.9,0.3,3.7,3.9,0.9,0,100,100,24.3,100,65.1,100,38.9,100,0,0,0,0,0,0,0,0,0,0,0,0,21,15,9571,8399,20,0,47,45,21,18.6,54.9,54.5,5063,4623,4499,3776,29,0,135416,136478,884,1131,992949,1225020,357,0,215,109,95,30,,,66,0,30650,22818,22187,20926,24203,24462,21505,20616,88.7,86.9,96.7,101.6,86,85.6,0,0,0,0,0,0,26734,26008,26230,24914,25621,24421,27000,27163,756,0,110.9,112.8,27775,27163,-11.6,-11,113.4,105.1,87.9,92.2,0,0,0,0,54,0,99.2,98.5,94.7,95.2,313,140,21,9,9,0,2,0,0,0,0,0,11,23,2,3,12,18,50,178,4728,4897,985,1189,756,0,26602,24602,26131,23175,25509,21514,23600,25890,385,0,60.3,63.4,22.1,25,47.6,50.5,0.5,0.2,101628,95630,1385192,1229651,117460,86550,1502652,1316201,6.8,7.3,1059,955,11191,5761,8.6,14.2,254,207,24,21.7,7.8,6.6,10434,9244,0.7,0.7,1.9,1.6,0.5,0.5,31,27.4,0.2,0.2,0.4,0.3,0.1,0.2,0.1,0.3,756,664,2.9,2.1,5.7,4.4,4.4,2.7,0.3,0.3,0.7,3.2,0.9,0.5,2139,1959,,,,
Bhind,41990,39952,23223,21533,55.3,53.9,29824,26472,31367,28774,3296,4768,71,66.3,82.6,84,39641,37051,94.4,92.7,18876,29009,533,1682,32.4,55.5,0.6,1.1,662,1610,42,27,620,1583,6.3,1.7,25580,25553,620,1432,2.4,5.6,1051,1880,0,0,0,0,26631,27433,63.4,68.7,27293,29043,97.6,94.5,97.7,94.5,2.4,5.5,350,286,520,473,3.3,2.8,1.4,1.1,49.5,25.2,96.1,93.1,3.9,6.9,394,1361,1152,6174,59.5,84.5,4.2,21.3,27267,28604,99.9,98.5,138,312,99.5,98.9,26829,28322,98.4,99,4383,4258,16.3,15,26423,27694,96.9,96.8,917,920,8,3.1,49.9,46.7,36017,35204,85.8,88.1,29165,29152,69.5,73,0,0,0,0,0,6,0,0,13380,12976,1,0,31.9,32.5,100,,,,28,34,9,0,296,279,409,385,59.6,63,99.3,96.4,0.7,3.6,93.6,81.1,6.4,18.9,1,1,17,18,4591,4947,4608,4965,0.4,0.4,99.6,99.6,,,,,,,,,0,0,4608,4965,0,0,100,100,97.4,97.4,0.5,1,1.9,1.2,0.2,0.4,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,25,0,68,2,14621,14442,0,0,35.3,27.2,20.2,15.4,76,74.4,9288,10496,5160,3935,173,11,57818,61509,2298,1346,88625,93162,524,0,487,221,228,0,,,43,0,26146,22344,25899,28705,26271,28789,24936,27422,95,100.4,96.3,100.6,91.5,95.9,0,212,0,40,0,34,34473,34055,32454,31929,31837,30201,26541,31416,2282,0,105.7,109.8,29202,31789,-1,-9.1,126.1,114.3,121,114.6,0,30,0,0,167,157,99.3,100.1,82.7,84.8,314,977,66,129,1,62,0,0,0,0,0,1,88,5,0,7,0,24,15,240,8689,8000,2716,1925,2282,0,33401,32691,31371,28758,30565,25905,24969,27398,1672,0,68,62.5,18.8,17.8,48.4,39.9,0.2,0.5,96579,84680,1253345,1163239,28146,26001,1281491,1189240,7.5,7.1,565,573,8314,8286,6.4,6.5,0,0,0,0,2.2,2.2,17363,8058,1.4,0.7,2.7,3.8,1.8,1.5,4.4,10.4,1,0.3,1.4,0.7,0.5,1.2,0,0,296,633,7.1,3.5,12.5,2.7,2.4,3.8,0.3,0.9,1,3.5,0.7,0,8371,9096,,,,
Bhopal,69471,61151,52663,40626,75.8,66.4,79746,52605,43518,34445,15086,12852,114.8,86,84.4,77.3,73408,66212,105.7,108.3,46623,25717,2915,2141,71.5,81.1,5.7,6,675,1175,34,434,641,741,5,36.9,37471,35156,8683,5511,23.2,15.7,13265,14658,640,1397,4.8,9.5,50736,49814,73,81.5,51411,50989,98.7,97.7,98.8,98.5,1.3,2.3,10472,7734,7645,7797,35.7,31.2,27.9,22,57.6,53.2,73.9,70.6,26.1,29.4,292,955,692,1461,43.3,81.3,1.3,2.9,50525,50118,98.3,98.3,1164,1177,97.7,97.7,50812,49939,100.6,99.6,7086,6901,13.9,13.8,40919,44403,81,88.6,885,912,31.2,27.7,23.9,21.9,66850,63740,96.2,104.2,35696,29470,51.4,48.2,0,0,0,0,0,0,0,0,42583,24962,71,64,61.3,40.8,70.4,90.6,,,177,135,136,28,3247,3094,1100,1607,63.5,65.5,97.7,98,2.3,2,19.5,27.4,80.5,72.6,1.6,2.6,122,337,6983,7911,7105,8248,1.7,4.1,98.3,95.9,,,,,,,,,2778,3298,4327,4950,39.1,40,60.9,60,53.5,56.6,4.3,5.6,36.5,33.3,5.8,4.5,52.8,54.6,40.3,60,73.7,69.7,71.1,57.8,0,0,0,0,0,0,0,2,24,40,1,3,18,6,8393,9650,949,1421,68,68.4,15.2,18.8,56.8,57.3,3218,3838,5780,7046,344,187,73836,88729,2662,5219,382110,375388,6312,40,1716,149,396,38,,,321,20,32049,34214,46530,47012,50661,50417,43296,41760,92.1,93.8,100.3,100.6,85.7,83.3,1,276,0,234,6,118,48560,40951,46596,39855,45328,39565,43454,42993,2974,0,91.9,85.8,44516,42345,14.2,14.7,96.8,87.7,58.4,58.5,1,52,0,0,2535,2095,89.9,96.8,59.2,65.9,3259,2843,739,521,399,543,0,0,0,0,0,0,74,73,10,11,106,49,345,1043,6778,8479,3459,3743,2974,0,44236,38117,42104,35308,40709,32127,31917,38045,2847,0,57.8,56.9,25.1,17.8,45,44.8,1.1,1,418136,380585,5638365,5503184,243030,214381,5881395,5717565,7.1,6.7,60200,66111,86213,96658,41.1,40.6,5760,4386,9.6,6.6,4.1,3.7,102984,94198,1.8,1.6,3.4,2.9,0.7,0.3,56.7,63.6,0.2,0.2,0.4,0.3,0.7,0.8,0.1,0.2,1818,2040,11.3,15.7,15.8,41.9,2,0.2,0.2,0.1,0.7,0.2,0,0.1,21430,23463,,,,
