,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13,2013-14,2012-13
_Maharashtra,2223634,2159123,1338318,1292304,628042,614962,60.2,59.9,28.2,28.5,1729226,1600295,1747010,1796082,77.8,74.1,78.6,83.2,1646327,1270520,74,58.8,1638960,1055412,40877,59380,2.5,5.6,1.9,1.8,62338,67276,46758,39530,15580,27746,75,58.8,23303,18306,37.4,27.2,908341,877222,336312,309330,37,35.3,1704355,1767861,76.6,81.9,1766693,1835137,96.5,96.3,99.1,98.5,3.5,3.7,102389,116579,150555,145564,14.8,14.8,11.3,13.3,18.9,16.3,53.3,49.6,44.5,34,33.5,15.6,46.7,50.4,992754,1133249,484062,608836,56.2,61.8,27.4,33.2,1776559,1814425,100.6,98.9,25002,29886,98.6,98.4,1605809,1764057,90.4,97.2,264815,282990,16.5,16,1468654,1656482,82.7,91.3,40560,49680,65.1,73.8,921,910,8.9,6.7,14,12,51.3,37.2,15.4,14.1,1.6,0.9,146672,102023,73741,46880,50.3,46,92.5,94,7.5,6,42.2,31.6,57.8,68.4,3.3,2.2,2.8,2.7,17058,19591,530603,561300,547661,580891,3.1,3.4,96.9,96.6,261566,311744,41699,,137689,163482,,,722,452,47.8,53.7,7.6,0,25.1,28.1,0,0,19.5,18.2,29.5,29.9,56.2,56.4,14.3,13.8,84.3,87,79.3,80.2,74.3,73,20,13,304849,316269,101770,58574,406619,374843,10987,,3.6,0,1.2,0,42.6,39.2,2753535,2655159,19196781,25139454,34638,23262,1563845,1527599,1972611,1913368,88,84.2,111,105.5,2003824,1948856,1951892,1898940,1958179,1907835,1619,,1595,,1660,,1937465,1880349,109.1,103.6,1907412,1811433,1.8,1.7,1774039,1583032,99.9,87.2,59.9,45.2,19726,114478,98.7,96.6,66.4,59.8,0,0.1,0,0,0,0,0,0.2,0,0,4.2,1.3,78.9,95.8,16.9,2.7,63.9,62.4,21.1,19.5,41.6,37.2,1.5,1.1,4339183,4098421,67782596,55646508,6.4,7.4,293345,282274,256680,347049,53.3,44.9,2881,,1,0,3231336,2719272,4.8,4.9,282547,195909,0.4,0.4,716787,278618,9,7.4,2.3,2.6,1.3,1.7,1.6,1.9,0.3,0.2,0.1,0.1,11252,34357,6.8,6.3,16.9,13.8,34.1,29.9,2.4,4.4,1.4,0.8,1.6,1.4,0,0.1,36.9,43.2
Ahmednagar,87947,88271,67222,68555,25407,20020,76.4,77.7,28.9,22.7,76148,76190,73560,80052,86.6,86.3,83.6,90.7,68330,61091,77.7,69.2,72293,42365,1463,1676,2,4,1.6,1.1,1904,1532,1627,733,277,799,85.5,47.8,574,477,30.1,31.1,22328,25087,9463,8825,42.4,35.2,77726,87994,88.4,99.7,79630,89526,97.6,98.3,99.7,99.1,2.4,1.7,2537,2286,6405,9641,11.5,13.6,11.4,9.1,11.6,15.3,28.7,28.5,54.5,27.4,49.4,7.1,71.3,71.5,50530,46337,40335,34619,63.5,51.8,50.7,38.7,86098,88814,108.1,99.2,1031,1246,98.8,98.6,73601,88366,85.5,99.5,6124,6375,8.3,7.2,72436,82133,84.1,92.5,819,1264,43,82.5,909,883,9.7,6.4,2.9,4.4,14.9,25.1,9.6,6.2,0.3,1.8,3445,3509,2390,2081,69.4,59.3,96.5,97.8,3.5,2.2,26.1,32.4,73.9,67.6,2.7,2.4,0,1.8,139,115,25885,29522,26024,29637,0.5,0.4,99.5,99.6,16648,18397,1533,,3298,5192,,,43,7,64,62.1,5.9,0,12.7,17.5,0,0,17.5,20.4,32.9,36.6,53.7,55.5,13.4,7.9,95.4,92.7,78.2,73.3,69,62.3,2,1,23251,22944,4226,2285,27477,25229,1118,,4.8,0,5,0,51.4,46,187732,153922,779353,990492,0,,57621,56835,87496,84522,66.9,64,101.6,95.2,86388,83404,83257,81095,83788,81674,0,,0,,0,,83012,80676,96.4,90.8,80456,76180,5.1,4.6,86086,72663,100,81.8,63.4,64.9,10281,13942,97.9,98.3,79.4,77.4,0,0,0,0,0,0,0,0,0,0,4.5,0,89.7,97.5,5.7,2.5,63.1,63.2,19.3,17.1,41.1,39.2,0.6,0.6,117896,104447,2550566,1974204,4.6,5.3,6048,8063,8158,9635,42.6,45.6,53,,0.9,0,63956,58238,2.5,2.9,2047,1997,0.1,0.1,35307,1258,5.2,6.2,3.7,2.6,1.4,1,2.1,1.4,0,0,0,0,540,1261,3.2,3.7,14.8,11,33.1,30.6,1.2,3.4,1.8,0,2,0.9,0,0,43.9,50.4
Akola,33142,33529,25152,25263,13278,11513,75.9,75.3,40.1,34.3,35914,32207,28433,28589,108.4,96.1,85.8,85.3,24768,17435,74.7,52,52680,39799,957,768,1.8,1.9,6.4,4.4,688,761,514,383,174,378,74.7,50.3,240,123,34.9,16.2,31093,18043,6498,4062,20.9,22.5,41716,32911,125.9,98.2,42404,33672,98.4,97.7,99.6,98.9,1.6,2.3,6934,4837,2301,2954,22.1,23.7,22.3,26.8,21.7,19.9,74.5,54.8,21.1,30.9,17.6,3.3,25.5,45.2,30300,28789,10181,18045,71.5,85.5,24,53.6,42834,32793,101,97.4,758,879,98.3,97.4,39109,32776,91.3,99.9,6768,7310,17.3,22.3,39073,31036,91.2,94.6,420,613,61,80.6,938,892,11.9,12.6,14.5,36,33.5,102.3,24,30.9,2.8,1.1,1868,1457,899,209,48.1,14.3,96.6,87.1,3.4,12.9,74.5,38.7,25.5,61.3,2.7,0.6,0,0.9,603,633,9958,9556,10561,10189,5.7,6.2,94.3,93.8,3722,5267,974,,2422,2015,,,70,26,35.2,51.7,9.2,0,22.9,19.8,0,0,32.6,28.5,22.5,19.9,70.5,67.9,7,12.2,75.3,77.9,64.5,65.9,53.4,78.7,0,,5205,4185,1099,1067,6304,5252,252,,4.8,0,0.8,0,37.4,34,28040,33153,222131,358472,0,287,38477,29513,44823,31108,89.8,90,104.6,94.9,30050,29222,29246,28649,29171,29016,0,,0,,0,,28046,27790,65.5,84.7,27473,25882,37.4,10.7,25757,21988,60.1,67.1,74.7,64.6,67,600,98.7,95.2,72.9,66.9,0,1,0,0.5,0,0,0,0,0,0,6,3.8,91.6,93.3,2.4,1.4,77.9,78.6,16.7,11.1,43.9,38.9,1,0.3,67712,78277,866938,704084,7.8,11.1,7853,6232,3861,4875,67,56.1,0,,0,0,51983,39353,6,5.6,7132,1116,0.8,0.2,16489,418,6.8,4.1,0.5,0.5,0.3,0.2,0.4,0.2,0.1,0.1,0,0,677,979,10.2,12.7,14.1,11.8,51.2,39,0.2,0.7,0,0,0.7,0.7,0,0,23.6,35.1
Amravati,48386,55488,37979,38125,26810,22258,78.5,68.7,55.4,40.1,44404,44107,43489,44128,91.8,79.5,89.9,79.5,24673,16007,51,28.8,53973,43831,1886,2046,3.5,4.7,5.3,4.6,2874,2768,1558,1109,1316,1659,54.2,40.1,1818,1224,63.3,44.2,27899,25873,8025,7449,28.8,28.8,45431,41922,93.9,75.6,48305,44690,94.1,93.8,97.3,96.3,5.9,6.2,4064,3100,6032,5760,22.2,21.1,14.6,12,34.4,35.9,61.4,61.7,40,41.8,27.2,26,38.6,38.3,31716,26775,13016,14051,65.7,59.9,26.9,31.4,47351,43944,98,98.3,839,839,98.3,98.1,43211,43803,91.3,99.7,6232,5612,14.4,12.8,40980,37678,86.5,85.7,2459,2632,85.6,95.1,954,939,11.3,11.4,34.3,16.7,69.1,30.8,30.3,5.6,1.1,1.9,1941,1382,969,95,49.9,6.9,91.4,89.5,8.6,10.5,19.8,1.8,80.2,98.2,2,0.2,0.5,9.1,872,959,16873,14333,17745,15292,4.9,6.3,95.1,93.7,6205,5342,986,,6807,6246,,,11,20,35,34.9,5.6,0,38.4,40.8,0,0,21.1,24.2,11.9,15.4,60.1,60,28.1,24.6,88.8,84.2,77.4,75.6,74.3,64.9,0,,6648,6400,2475,2000,9123,8400,323,,4.9,0,1.2,0,34,35.5,27927,38437,250380,532071,484,863,46591,37124,51652,42444,98.4,84.5,109.1,96.6,47126,45181,45198,43039,44472,42219,85,,108,,135,,44411,43585,93.8,99.2,44220,41285,14,-2.7,35833,30721,75.7,69.9,43.7,39,179,514,99.6,99.8,86.1,89.2,0,0,0,0,0,0,0,0,0,0,2.2,0,69.4,98.3,28.3,1.7,62.3,61.5,27.1,24.5,38.5,40.9,1,1.1,166910,177049,2148416,1868077,7.8,9.5,10758,10713,7725,14434,58.2,42.6,613,,5.7,0,141055,95709,6.6,5.1,8863,7859,0.4,0.4,30807,4945,10.5,11.8,0.8,1.2,0.6,0.4,0.7,0.7,0.2,0.1,0,0,782,1394,6.7,7.6,14.1,12.2,50.4,34.1,1.5,4.9,0.1,0.2,0.6,0.7,0,0,26.6,40.4
Aurangabad,91898,72234,62380,46405,16670,16311,67.9,64.2,18.1,22.6,66828,52762,69296,62206,72.7,73,75.4,86.1,71729,48142,78.1,66.6,41993,37648,1104,2061,2.6,5.5,0.9,1.5,939,1251,730,881,209,370,77.7,70.4,237,177,25.2,14.1,24548,25128,14340,12585,58.4,50.1,43019,44259,46.8,61.3,43958,45510,97.9,97.3,99.5,99.2,2.1,2.7,398,144,1475,1423,4.4,3.5,1.6,0.6,8,7.4,57.1,56.8,31.1,18.6,17.8,1.7,42.9,43.2,28013,27071,11289,17544,63.7,59.5,25.7,38.5,41901,45104,95.3,99.1,447,410,98.9,99.1,42065,44838,100.4,99.4,5183,5420,12.3,12.1,42105,44464,100.5,98.6,645,1020,68.7,81.5,860,894,5.5,3.1,4.6,5.3,12.9,6.7,1.4,0.9,3.5,0.6,4618,4349,2130,1238,46.1,28.5,90.7,100,9.3,0,32.3,18.3,67.7,81.7,2.3,1.7,0.2,1.1,113,63,15885,17561,15998,17624,0.7,0.4,99.3,99.6,6371,5921,1257,,5995,7444,,,5,1,39.8,33.6,7.9,0,37.5,42.2,0,0,14.8,24.2,11,12.3,81.3,80,7.8,7.7,90.4,63.2,84.2,80.1,86.4,50.5,0,,9089,8072,4911,4607,14000,12679,144,,1.6,0,0.6,0,46.7,41.8,56729,56175,970031,928335,768,86,40097,42899,72294,67582,95.7,95.1,172.5,149.8,73598,69994,70656,67940,68469,65853,0,,0,,0,,66077,62719,157.7,139.1,64861,59154,8.6,7.2,64521,58101,154,128.8,48.7,30.2,221,2063,99.7,99.1,61.2,45.6,0,0,0,0,0,0,0,0,0,0,2.5,0.4,94.7,99.5,2.9,0,71.3,72.6,15.3,16.9,,,0,0,78348,74933,1539964,1246314,5.1,6,4602,482,5763,6143,44.4,7.3,45,,1,0,70162,35156,4.6,2.8,7668,5008,0.5,0.4,8463,1773,9.6,4.3,0.7,0.7,1.3,1.1,1.1,1,2,0,0.5,0,87,502,1.2,1.2,7.1,5.8,40,31.1,2.4,4.9,1.2,0,1.2,1,0,0,47.1,56
Bhandara,19512,18748,16826,16332,9287,9156,86.2,87.1,47.6,48.8,18406,17977,18523,18458,94.3,95.9,94.9,98.5,12111,13353,62.1,71.2,22217,13189,221,222,1,1.7,2.7,1.9,143,144,80,96,63,48,55.9,66.7,41,29,28.7,20.1,16756,16407,1251,,7.5,0,19338,18214,99.1,97.2,19481,18358,99.3,99.2,99.7,99.7,0.7,0.8,4073,3392,1124,1130,26.9,24.8,24.3,20.7,43.5,62.5,86.6,90.1,51.6,48.6,60.2,41.7,13.4,9.9,15498,14142,8965,10915,79.6,77,46,59.5,19191,18274,98.5,99.5,453,332,97.7,98.2,18963,18218,98.8,99.7,3780,3823,19.9,21,18652,17649,97.2,96.6,123,144,86,100,942,904,25,5.4,18.2,40.5,167.9,111.9,29.3,27.9,6.8,0.4,762,614,544,82,71.4,13.4,99.4,100,0.6,0,74,60.7,26,39.3,2.8,0.4,0,1.2,1271,1317,5252,4630,6523,5947,19.5,22.1,80.5,77.9,3896,4113,909,,1650,1821,,,6,5,59.7,69.2,13.9,0,25.3,30.6,0,0,1,0.2,6.4,0,84,95.4,9.5,4.6,100,100,99.5,99.8,91.6,100,0,,2697,2955,169,57,2866,3012,55,,2,0,0.3,0,30.5,33.6,24114,29890,257733,349363,311,,14309,13660,19153,18922,74.6,74.8,99.8,103.5,18797,18641,18452,18533,18555,18750,0,,0,,0,,18098,18639,94.3,102,17703,18394,5.5,1.5,18650,18808,97.2,102.9,97,54.1,1318,2849,99.8,99.9,87.3,86.4,0,0,0,0,0,0,0,0,0,0,8.1,1.1,86.3,98.8,5.6,0.1,66,65.1,17.3,27.2,41.4,37.3,1.3,1.4,116967,77832,1475074,1082931,7.9,7.2,10873,9621,7029,7691,60.7,55.6,0,,0,0,71653,91641,4.9,8.5,8202,3644,0.6,0.3,4126,238,8.2,8.1,1.3,0.6,0.6,0.3,0.9,0.4,0,0,0,0,330,509,9,10.8,22,22.6,29,37.3,2.4,3.2,0,0,1.2,0.2,0,0.5,36.3,25.3
Bid,52586,51346,34352,32616,13244,10718,65.3,63.5,25.2,20.9,44587,41732,43484,44113,84.8,81.3,82.7,85.9,42895,25719,81.6,50.1,45392,28286,1461,573,3.2,2,1.5,0.5,669,686,627,505,42,181,93.7,73.6,326,159,48.7,23.2,22689,19241,10605,13618,46.7,70.8,44359,48363,84.4,94.2,45028,49049,98.5,98.6,99.9,99.6,1.5,1.4,1484,1434,25,918,3.4,4.9,6.5,7.5,0.1,3.2,51.1,39.8,32.3,13.7,29.8,7.6,48.9,60.2,22495,23683,10459,15051,50,48.3,23.2,30.7,44540,48553,98.9,99,347,592,99.2,98.8,38307,45900,86,94.5,2945,3836,7.7,8.4,39016,42348,87.6,87.2,421,465,62.9,67.8,916,893,2.9,4,7.7,4.5,12.4,33.5,53,35.4,0.4,0.6,884,1203,826,295,93.4,24.5,67.7,93.6,32.3,6.4,92.8,35.4,7.2,64.6,1.6,0.6,1.1,0,24,96,9718,13705,9742,13801,0.2,0.7,99.8,99.3,5775,9440,733,,2797,3986,,,0,6,59.3,68.4,7.5,0,28.7,28.9,0,0,4.5,2.7,60.1,61,32,34.6,8,4.5,95,96.4,97.5,98.7,91.3,98.5,0,,10821,11093,3140,768,13961,11861,655,,6.1,0,2.9,0,58.9,46.2,111867,117418,295904,806697,2856,205,45044,45190,52449,47730,101.1,93.1,117.8,98.3,54357,51975,54167,50491,53378,49460,0,,0,,0,,50014,47434,112.3,97.7,50919,45940,4.6,0.6,45031,44143,101.1,90.9,50.3,50.4,0,,98,93.3,70.7,64.9,0,0,0,0,0,0,0,0,0,0,2,0,97.4,100,0.7,0,62.3,59.6,22,18.2,38.1,43.8,0.5,0.5,125117,135043,1411293,1200742,8.9,11.2,11414,5908,3993,8369,74.1,41.4,60,,0.5,0,113618,97600,8.1,8.1,10672,3202,0.8,0.3,25329,38557,13,7.9,2.1,2.2,1.1,0.6,1.3,1,0.1,0,0,0,45,937,0,5.5,2.9,12.1,22.9,38.6,5.7,1.6,2.9,0.1,2.9,1.7,0,0,62.9,40.3
Brihan Mumbai,209130,190316,36714,26675,7559,59497,17.6,14,3.6,31.3,61308,52927,187030,190450,29.3,27.8,89.4,100.1,146012,105811,69.8,55.6,30480,17514,2054,2130,6.7,12.2,2.7,3.3,1315,1402,1035,711,280,691,78.7,50.7,,,0,0,86138,83408,34,19,0,0,169526,178650,81.1,93.9,170841,180052,99.2,99.2,99.8,99.6,0.8,0.8,14981,41662,30554,5291,26.9,26.3,17.4,49.9,36.6,5.6,50.8,46.7,8.2,75.2,0,0,49.2,53.3,48845,180691,1541,8006,28.6,100.4,0.9,4.4,170841,178167,100,99,2608,3862,98.5,97.9,165690,171428,97,96.2,42954,46126,25.9,26.9,61799,176877,36.2,99.3,8,,0.6,0,928,930,3.7,9.9,19.4,2.4,22.2,6.7,11.7,0.2,0.2,0.2,30117,26795,30117,26795,100,100,95.6,95.6,4.4,4.4,100,100,0,0,14.4,14.1,5.1,5.1,729,1363,22502,24994,23231,26357,3.1,5.2,96.9,94.8,,,,,13812,26352,,,47,,0,0,0,0,59.5,100,0,0,40.5,0,43,39.7,49.7,50,7.3,10.3,52.3,100,57.5,100,100,99.8,9,3,19109,36882,26195,,45304,36882,,,0,0,0,0,66.1,58.3,228187,204869,5879392,4907409,4558,3131,161306,171234,189833,199833,94.4,96.1,111.1,112.2,201088,200466,194603,193673,209247,208331,,,,,,,192563,193963,112.7,108.9,192568,185722,-1.4,2.9,107686,106732,63,59.9,84.4,88,7,23,99.8,97.4,0,0,0.1,0.5,0.1,0.4,0,0,0.2,0.6,0,0,17.6,18.2,74.3,69.5,7.6,10.7,57.4,58.7,17.9,16.2,37.6,36.6,4,3.9,479949,495790,10379731,9294078,4.6,5.3,71329,72131,62825,62676,53.2,53.5,,,0,0,,,0,0,24849,16739,0.2,0.2,2541,2627,5.2,5.2,4.1,5,1.7,1.9,2.7,3.1,0.7,0.4,0.1,0.1,440,5580,8.2,5.6,12.1,11.9,16.5,14.7,5.1,7.6,0.8,1.1,0.3,0.2,0,0,57.1,59
Buldana,53160,51639,41682,38541,22141,17968,78.4,74.6,41.6,34.8,48263,43547,45712,46286,90.8,84.3,86,89.6,37240,14819,70.1,28.7,43601,24017,1795,2478,4.1,10.3,1.5,1.9,2135,3500,1893,2615,242,885,88.7,74.7,786,664,36.8,19,21879,20568,16157,13940,73.8,67.8,44615,48502,83.9,93.9,46750,52002,95.4,93.3,99.5,98.3,4.6,6.7,1175,1007,1353,2712,5.7,7.7,5.4,4.9,6,9.7,49,42.4,41,31.7,15.4,4,51,57.6,27183,25897,15322,16500,58.1,49.8,32.8,31.7,47851,51204,102.4,98.5,775,883,98.4,98.3,41200,49383,86.1,96.4,4121,6077,10,12.3,41178,44208,86.1,86.3,1616,3173,75.7,90.7,962,875,7.7,6.6,21.2,33.3,92.1,107.3,40.6,45,1.7,1.7,2144,1720,718,321,33.5,18.7,92.5,95,7.5,5,33.4,11.5,66.6,88.5,1.4,0.6,1.5,2,304,191,14088,14158,14392,14349,2.1,1.3,97.9,98.7,8100,9151,1363,,2917,4069,,,39,7,56.3,63.8,9.5,0,20.3,28.4,0,0,14,7.9,16.7,13.1,69.4,78.2,13.8,8.7,98.9,95.3,83,92.4,85.4,84.4,0,4,6483,5484,1140,451,7623,5935,295,,4.6,0,1.3,0,34.6,29.3,23957,25665,424873,353619,4016,303,39400,37104,49074,47269,82.3,72.5,102.6,92.3,54671,49226,53530,48223,54065,48185,193,,170,,104,,54573,52295,114,102.1,53030,50331,-11.2,-10.6,55950,47240,116.9,92.3,57.8,74.6,0,3467,98.6,84.8,69,50.4,0,0.9,0,1.2,0,0,0,0,0,0,0,0.4,87.3,96.3,12.7,1.2,62,62,24.1,19.1,45,31.5,0.6,0.7,176697,147715,2001373,1305475,8.8,11.3,6602,5833,3742,6487,63.8,47.3,157,,2.4,0,143218,237497,7.2,18.2,9215,5748,0.5,0.4,12336,4431,12.7,7.5,1.8,0.7,0.7,0.9,1.1,0.9,0.2,0,0,0,432,1132,12.3,3.4,22.3,13,34.9,36.5,2.4,2.5,4.4,6.4,1.7,12.5,0,0,22,25.7
Chandrapur,40640,36325,31365,27864,20765,16877,77.2,76.7,51.1,46.5,38566,32388,33650,31568,94.9,89.2,82.8,86.9,24333,19995,59.9,55,28204,27653,642,2007,2.3,7.3,2,2,712,981,465,475,247,506,65.3,48.4,259,383,36.4,39,20833,18880,11257,9697,54,51.4,31139,28840,76.6,79.4,31851,29821,97.8,96.7,99.2,98.3,2.2,3.3,1944,1606,4241,4167,19.9,20,9.3,8.5,41.2,41.8,66.9,65.5,48.6,50.5,41.5,27.7,33.1,34.5,25951,24642,9330,9355,81.5,82.6,29.3,31.4,32188,29187,101.1,97.9,637,708,98.1,97.6,30105,28597,93.5,98,6574,5715,21.8,20,28704,28082,89.2,96.2,596,895,83.7,91.2,942,936,10.9,15.5,11.1,3.5,45.7,21.4,18.3,28.5,2.4,0.7,1186,957,602,165,50.8,17.2,94.7,90.9,5.3,9.1,45,5.1,55,94.9,1.5,0.5,0,3,966,1450,14595,13492,15561,14942,6.2,9.7,93.8,90.3,8479,8323,2570,,2466,4937,,,31,3,54.5,55.7,16.5,0,15.8,33,0,0,13.1,11.3,8.6,6.3,66.4,73.8,25,19.8,99.4,100,85.6,90.3,83.1,73.3,0,,6752,5710,955,611,7707,6321,51,,0.8,0,0.2,0,33.1,29.7,30465,29419,221380,339368,229,143,23470,20816,32522,29187,72.9,71.3,101,100,35102,34898,34854,34812,34933,35404,1,,0,,0,,34888,33944,108.4,116.3,34029,32668,-7.3,-16.3,28027,32609,87.1,111.7,60.9,52.8,537,1835,97,99.3,76.5,85.8,0,0,0,0,0,0,0,0,0,0,3.1,0,93.7,95.8,3.2,4.2,64.6,61.1,22.1,24.3,39.6,36.9,1.4,1.1,94641,125476,2218545,1791185,4.3,7,1352,9287,5458,8340,19.9,52.7,39,,2.9,0,215340,152999,9.7,8.5,11884,2222,0.5,0.1,32655,27239,7.7,9.7,1.2,1.5,0.6,0.6,0.9,0.9,0.2,0.2,0.1,0.1,408,611,6,11.8,23.2,16.8,29.6,30.9,3,3.1,0.9,0,0,0.6,0,0,37.3,36.7
