,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18,2017-18
_Maharashtra,2180670,1559211,71.5,1825859,1294007,648685,83.7,89.1,1823041,83.6,1730169,48860,64.6,1.6,16266,5739,10527,35.3,953344,299815,31.4,788882,139555,17.7,1742226,79.9,1758492,99.1,99.4,0.9,161836,188963,20.1,17,24,54.7,45.3,12519,1137186,77,64.7,1753959,99.7,16639,99.1,1704790,97.2,205582,12.1,1612614,91.9,940,5.3,30.8,1539293,70.6,909345,41.7,205597,9.4,4894,0.2,397321,3973,18.2,2.3,100,1250,748,60109,42947,72.8,92.8,7.2,26.7,73.3,2,11592,409917,421509,2.8,97.2,,,,,89438,332071,21.2,78.8,25.7,59.2,12.6,2.6,77.4,80.7,66.8,86.9,14,0,14,47,564,2,25,373342,46717,31.5,12.3,49.9,292415,120714,6930,3151899,28776,22045706,37322,6300,1343,,92,815225,1588834,1962112,1095728,90.6,111.9,62.5,1294,862,861,1929755,1906252,1923883,1866238,18210,107.4,1857101,4.9,103,76,42,18,5124,99.7,83.2,11602,4185,2959,22,11,6,1475,349,2401,2993,76578,25281,18210,25832,24535,23320,1552700,23023,63.9,22.5,38.2,0.7,5433918,90946872,5871519,96818391,5.6,303680,458915,39.8,47860,15.8,6.1,980534,1,4,1.1,45.7,1,1.1,0.1,0,17265,8.5,10.1,3.9,0.3,1.7,0,291295,,
Ahmadnagar,85789,75488,88,81803,48345,33464,95.4,95.4,77507,90.3,68302,1963,76.2,0.5,115,76,39,66.1,32720,12121,37,42961,12795,29.8,75681,88.2,75796,99.8,99.9,0.2,2953,9386,16.3,9,21.8,43.2,56.8,93,64386,80.9,84.9,75919,100.2,446,99.4,75919,100,5834,7.7,76381,100.6,902,2.2,51.6,62522,72.9,41436,48.3,440,0.5,1,0,14858,135,17.3,0.7,,41,0,5128,1830,59.8,97.4,2.6,24,76,2.1,62,19757,19819,0.3,99.7,,,,,3633,16186,18.3,81.7,34.2,57.7,6.3,1.8,91,76.9,70.3,100,0,0,0,0,54,0,4,27529,1262,14.4,12.1,59.2,24518,3952,321,219372,1282,1052351,0,96,20,,0,42282,59342,78612,27028,78.2,103.5,35.6,93,90,63,79529,78618,79459,76735,0,101.1,76735,2.4,96.1,79.1,0,0,1,100,94.3,100,90,55,0,0,0,0,0,19,0,2148,323,0,0,0,0,70645,0,64.8,19.8,37.8,0.4,125742,2428898,141012,2569910,4.9,4433,7141,38.3,1557,35.1,5.5,18536,0.7,2.2,1.1,41.6,1,1.1,0,0,737,3.3,7.3,2.8,0.7,0.7,0,4691,,
Akola,33056,26523,80.2,32250,21662,11394,97.6,100,33056,100,33056,1145,84.2,5.3,164,140,24,85.4,25398,377,1.5,9908,0,0,35306,106.8,35470,99.5,99.9,0.5,10107,2185,34.8,39.8,22.1,71.9,28.1,141,25105,86,70.8,35045,98.8,670,98.1,34903,99.6,5212,14.9,32740,93.4,911,24.4,22.3,21311,64.5,11686,35.4,144,0.4,1,0,7130,0,21.6,,,37,32,628,1000,65,94.7,5.3,85.6,14.4,3,249,5961,6210,4,96,,,,,1176,5034,18.9,81.1,7.6,74.1,14.6,3.8,84.7,75,100,100,1,0,1,2,14,0,0,8013,523,34.6,10.9,57.9,5320,2769,447,41486,1026,159192,0,423,31,,0,13660,35045,36079,23140,100,103,66,0,0,0,32799,32330,32319,30627,0,87.4,30439,15.1,74.2,87.4,0,0,2,99.9,82.2,85,0,8,0,0,0,7,1,15,8,346,336,0,0,0,0,30559,0,78.3,27.1,36,0,116390,1606583,62552,1669135,7,7472,5212,58.9,177,2.4,3.7,9680,0.6,2.6,0.9,62.2,0.5,0.7,0,0,939,12.8,9.9,1.6,0,1.2,0,2223,,
Amravati,46886,37298,79.6,39499,27293,17672,84.2,95.9,32899,70.2,43043,1030,40.1,1.3,1853,655,1198,35.3,27163,5524,20.3,13581,3056,22.5,40744,86.9,42597,95.6,97.2,4.4,4834,7269,29.7,17.8,53.5,66.7,33.3,1406,36185,75.9,84.9,42237,99.2,778,98.2,41010,97.1,10210,24.9,39513,93.6,947,9.8,41.3,23958,51.1,19028,40.6,1308,2.8,0,0,2958,32,6.3,0,,28,4,1676,655,41.2,92.8,7.2,55.8,44.2,1.4,602,10412,11014,5.5,94.5,,,,,2177,8837,19.8,80.2,13.1,60.7,24.9,1.3,83.4,82.1,68.8,95.7,1,0,1,11,8,0,1,5341,889,10.5,2.1,36.1,5474,586,170,34318,580,291621,480,81,15,,74,21806,35854,53944,26065,84.9,127.7,61.7,0,0,0,46409,44705,43939,43260,60,102.6,42879,19.8,78,78.1,1,0,0,100,89.8,416,61,213,2,0,0,48,0,24,7,987,1017,60,0,0,0,43302,59,59.2,29.4,38.6,0.6,222996,2444972,192985,2637957,8.5,11007,22427,32.9,358,3.3,7.3,15723,0.6,7.4,0.4,88.9,0.2,0.3,0,0,678,8.7,10.9,2.2,0,0.4,0,5165,,
Aurangabad,84940,77308,91,80676,52001,30974,95,97.7,82092,96.6,64690,2033,95.8,1.5,157,111,46,70.7,36300,14935,41.1,42805,14332,33.5,79105,93.1,79262,99.8,99.9,0.2,4708,6168,13.7,13,14.4,45.9,54.1,157,78112,100,98.5,79140,99.8,501,99.4,79117,100,8827,11.2,79065,99.9,981,0.9,24.2,70723,83.3,30673,36.1,5538,6.5,235,0.3,5328,2,6.3,50,,47,37,1181,942,87.8,86.4,13.6,11.1,88.9,1.1,50,17466,17516,0.3,99.7,,,,,8086,9430,46.2,53.8,25.7,68.1,6,0.1,67.7,52,13,100,2,0,2,0,19,0,1,15129,2994,11.4,4.7,50.9,16346,1728,49,91381,845,768486,0,0,0,,0,37522,79045,79423,63289,99.9,100.4,80,0,0,0,79071,78189,78135,77648,0,98.1,77559,2.2,94.3,78.3,0,0,13,100,95.5,0,0,0,0,0,0,0,0,0,0,2165,1771,0,0,0,0,77129,0,67.1,23.6,62.5,0,110581,2318282,145432,2463714,4.5,2291,22199,9.4,494,21.6,5.9,18890,0.8,2.1,0.6,24.3,0.3,0.5,0,0,390,4.4,11.3,3.6,0.3,2.1,0,828,,
Bhandara,17535,16213,92.5,17383,12538,4703,99.1,98.3,16783,95.7,18644,404,76.4,3.7,38,15,23,39.5,14196,452,3.2,3482,0,0,17678,100.8,17716,99.8,99.9,0.2,4703,2424,40.3,33.1,69.6,80.3,19.7,33,8710,86.8,49.2,17623,99.5,259,98.6,17568,99.7,3923,22.3,17536,99.5,948,32.5,28.3,15310,87.3,13417,76.5,611,3.5,0,0,3195,0,18.2,,,9,8,895,396,33.4,96.7,3.3,88.4,11.6,2.3,1219,4775,5994,20.3,79.7,,,,,69,5925,1.2,98.8,0,65.8,34,0.2,,99.5,96.9,100,0,0,0,5,1,0,0,4800,6,74.8,25.3,44.5,1170,3594,42,26359,242,174980,21,27,0,,0,15046,14933,17634,13664,84.7,100.1,77.5,0,0,0,17067,16702,16700,15996,91,91.3,15956,9.3,95.4,70.8,0,0,10,100,93.3,40,47,15,0,0,0,3,2,2,0,120,46,91,0,0,0,16916,84,64.4,21.7,38.5,0.8,118900,1991996,191309,2183305,5.4,11000,7606,59.1,4638,42.2,8.8,26987,1.2,2.7,0.6,75.5,0.6,0.6,0,0,316,9.5,12,0.9,0,0.3,0.3,1733,,
Bid,48621,39401,81,43009,29281,18306,88.5,97.9,41627,85.6,42011,1185,71.6,0.5,65,24,41,36.9,34948,17873,51.1,12362,0,0,47310,97.3,47375,99.9,99.9,0.1,8157,3433,24.5,23.3,27.8,73.9,26.1,53,23022,81.5,48.6,47347,99.9,198,99.6,47044,99.4,4019,8.5,45957,97.1,936,2,70.3,35072,72.1,25569,52.6,1283,2.6,4,0,14742,40,30.3,0,,7,8,936,3961,80.9,92.3,7.7,100,0,8.1,27,11192,11219,0.2,99.8,,,,,1295,9924,11.5,88.5,46,45.5,5.6,2.9,81.3,93.5,100,100,0,0,0,0,10,0,0,17364,,42.4,21.1,60.7,9581,7366,417,115780,959,516697,0,162,34,,0,22240,45656,50304,20967,96.4,106.2,44.3,0,0,0,50357,48303,48571,44967,0,95,44464,10.6,91,85.1,1,0,0,100,89.6,216,20,14,0,0,0,22,4,331,0,2581,1190,0,0,0,0,43065,0,66.5,20.7,40.6,0.4,144091,2016993,151271,2168264,6.6,8292,16891,32.9,664,8,7,22799,1.1,6.1,0.8,58.4,0.6,0.7,0,0,363,5.8,8.5,2.5,0.8,1.4,0.6,,,
Brihan Mumbai,283307,99719,35.2,186532,125451,64084,65.8,66.9,188352,66.5,73752,2941,54.7,2,26,1,25,3.8,73820,10679,14.5,78403,18695,23.8,152223,53.7,152249,100,100,0,23823,25588,32.5,32.3,32.6,48.5,51.5,17,47028,65.4,30.9,153958,101.1,1989,98.7,147792,96,21147,14.3,120462,78.2,944,7,26.4,156510,55.2,73447,25.9,19831,7,998,0.4,103097,3363,36.4,1.6,100,240,217,10500,4154,72.9,91.5,8.5,14.7,85.3,1.5,914,20750,21664,4.2,95.8,,,,,11418,10246,52.7,47.3,39.1,32.1,21.3,7.5,19.8,32.9,92.5,98,2,0,2,0,11,0,0,23483,24103,32.7,10.4,68.7,38064,8444,1078,320610,574,5978295,532,4084,1013,,0,34989,170898,178938,139970,111,116.2,90.9,0,0,0,180702,180653,187880,187013,13,121.5,185649,-4.5,118.6,90.1,1,8,94,99.6,44.5,4384,1836,950,5,4,5,722,124,628,1436,11253,1842,13,0,0,0,6373,2,56.4,21.4,38.2,3.1,544517,14508899,189003,14697902,3.7,73047,49547,59.6,10759,14.7,1.3,199810,1.4,4.3,2.1,45.4,2,2.1,0.7,0.1,1796,17.4,8.3,6.1,0.8,0.6,0.1,120789,,
Buldana,50137,40145,80.1,39508,31866,14857,78.8,93.2,36432,72.7,37945,1334,82.8,1.2,295,261,34,88.5,19607,5840,29.8,13861,1844,13.3,33468,66.8,33763,99.1,99.9,0.9,1453,2920,13.1,7.4,21.1,58.6,41.4,292,30777,99,91.2,33729,99.9,245,99.3,33585,99.6,2627,7.8,30700,91,943,6,73,12432,24.8,7866,15.7,0,0,0,0,2398,0,4.8,,,15,1,682,330,72,96.4,3.6,18.8,81.2,0.7,64,9432,9496,0.7,99.3,,,,,49,9447,0.5,99.5,6.6,86.4,7.1,0,100,99.7,96.2,,0,0,0,1,69,0,1,5622,59,36.8,10.6,37.4,3588,2069,24,46903,626,282316,0,10,0,,0,17096,33488,47505,17910,99.3,140.8,53.1,0,0,0,46644,45624,46632,46520,0,137.9,46329,2.1,119.7,62.8,0,0,6,99.6,88.2,318,6,47,0,0,0,6,1,13,0,679,496,0,0,0,0,42647,0,62.6,20.3,31.8,0.2,163939,1994813,319082,2313895,7.1,5550,6490,46.1,560,10.1,13.8,29259,1.3,3.6,0.3,71.4,0.2,0.3,0,0,394,6.3,11.7,1.8,0,1.8,0,4677,,
Chandrapur,32558,27416,84.2,34600,22508,9628,106.3,98.7,27843,85.5,34575,1150,54.6,2.7,160,62,98,38.8,22475,602,2.7,5560,794,14.3,28035,86.1,28195,99.4,99.7,0.6,4147,2823,24.9,18.5,50.8,80.2,19.8,160,17516,100,62.1,27804,98.6,471,98.3,23249,83.6,6532,28.1,23037,82.9,932,15.1,23.9,26080,80.1,20735,63.7,559,1.7,0,0,15497,16,47.6,0,,20,0,997,1078,76.2,90,10,33.8,66.2,3.3,1008,9538,10546,9.6,90.4,,,,,439,10107,4.2,95.8,0.1,82.2,16.8,0.9,37.5,94.9,98.1,100,0,0,0,0,1,0,0,10957,118,36.4,17.7,51.2,6968,4016,91,44038,193,276430,69,198,43,,10,26483,23164,28375,21341,83.3,102.1,76.8,0,0,0,32188,31502,31990,30436,0,109.5,29989,-7.3,105.4,88.6,1,0,100,100,91.2,239,51,155,0,0,0,21,5,11,43,523,322,0,0,0,0,27865,21,63.2,23.3,38.6,0.7,132523,2509569,268118,2777687,4.8,11445,17009,40.2,4857,42.4,9.7,36690,1.3,2.5,0.7,77.5,0.7,0.7,0,0,560,10.4,14.5,3.2,0,0.4,0,4500,,
