,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19,2019-20,2018-19
_Maharashtra,2051346,2100266,1758392,1635676,85.7,77.9,1943469,1870511,1303138,1289413,645162,648652,94.7,89.1,95,92.3,1997614,1977951,97.4,94.2,1764448,1754388,79243,69304,91.6,85,2,2,11225,12680,4145,5050,7080,7630,36.9,39.8,876508,890351,219748,250095,25.1,28.1,910695,823513,175720,179206,19.3,21.8,1787203,1713864,87.1,81.6,1798428,1726544,99.4,99.3,99.6,99.6,0.6,0.7,185891,175366,240401,225528,23.9,23.4,21.2,19.7,26.4,27.4,49,51.9,51,48.1,9418,10117,1099585,1046501,83.9,79.8,61.1,60.6,1796217,1720964,99.9,99.7,14614,16392,99.2,99.1,1762571,1678830,98.1,97.6,213241,211772,12.1,12.6,1657146,1573276,92.3,91.4,942,929,6.8,6.6,33.4,31.4,1915867,1772263,93.4,84.4,1342881,1145786,65.5,54.6,255782,199332,12.5,9.5,6030,8363,0.3,0.4,803256,668100,435,1343,39.2,31.8,63.2,19.4,58.1,100,1336,1265,749,635,53288,54588,35819,38599,73,74,91.3,92.5,8.7,7.5,24.9,24.9,75.1,75.1,1.7,1.8,8943,8698,362799,390936,371742,399634,2.4,2.2,97.6,97.8,,,,,,,,,78685,80547,293057,319087,21.2,20.2,78.8,79.8,27,27.9,55.2,56.7,14.7,12.3,3.2,3.1,78.4,78.7,80.2,81.3,71,72.2,81.4,81.7,13,5,0,0,13,5,22,34,545,501,0,5,33,25,342842,354527,53826,63895,35.3,31.8,13.8,12.7,51.6,51.1,261046,289518,127122,120671,8500,8233,3017971,3183029,37549,20758,17059963,21815358,148855,69472,29368,10633,10691,3395,4647,,2831,1493,1218179,1002399,1669899,1630334,1921037,1942587,1111457,1077004,93,94.7,106.9,112.9,61.9,62.6,0,176,0,137,3,162,1925088,1902732,1894615,1865069,1919876,1895469,499,1138659,1914414,705923,106.6,107.2,1902253,1825376,100,41.4,103.7,94.8,66.6,101,92,68,14,40,1540,641,99.8,99.8,87.6,87.4,17032,17078,7111,6413,4432,4027,10,11,3,12,1,7,1780,1852,529,477,549,2068,1871,2772,94528,94849,29712,28436,1914414,705923,1188481,32001,1006186,30470,901378,29439,3303,860418,1679133,441190,62.5,63.5,21,21.2,36.8,37,0.8,0.9,6003820,5539942,104951740,93114366,5769766,5785920,110721506,98900286,5.4,5.6,324213,348435,501377,526346,39.3,39.8,28764,41267,8.9,11.8,5.2,5.9,1122537,1096279,1,1.1,3.3,4.3,0.7,1,73.2,55.6,0.5,0.8,0.6,0.9,0.1,0.1,0,0,16630,17353,10.7,11,11.7,11,4,4.2,0.4,0.4,1.1,1.1,0,0.1,276752,276055,,,,
Ahmadnagar,81343,81525,73269,72855,90.1,89.4,79837,79941,46689,48204,31736,32814,98.1,98.1,96.4,99.4,81498,82977,100.2,101.8,78655,70450,3723,3626,91.6,91.9,1.7,1.8,67,82,38,52,29,30,56.7,63.4,22408,24607,6008,6435,26.8,26.2,51066,49006,5134,14390,10.1,29.4,73474,73613,90.3,90.3,73541,73695,99.9,99.9,100,100,0.1,0.1,3795,3510,7826,9558,15.8,17.8,16.9,14.3,15.3,19.5,30.5,33.4,69.5,66.6,55,68,61624,45152,82.1,82.9,83.8,61.3,73144,73402,99.5,99.6,589,510,99.2,99.3,72883,73343,99.6,99.9,5075,5985,7,8.2,72897,73093,99.7,99.6,916,912,2.4,4,36.9,52.6,79686,79060,98,97,74379,69592,91.4,85.4,3538,1503,4.3,1.8,224,399,0.3,0.5,20070,18743,10,133,24.7,23,100,84.2,,,27,32,0,0,2899,3246,1359,2053,67.6,49,97.2,98.4,2.8,1.6,22.5,65.9,77.5,34.1,1.7,2.5,64,62,19948,20347,20012,20409,0.3,0.3,99.7,99.7,,,,,,,,,2842,2069,17170,18340,14.2,10.1,85.8,89.9,51.2,51.3,39.6,39.3,6.8,6.2,2.4,3.2,91.3,93.6,82.3,87.7,67.5,70.2,77.9,94,0,0,0,0,0,0,0,0,43,50,0,0,2,0,32774,31861,1289,1337,22.1,19.4,32.3,25.1,63,61.9,25886,26122,7895,6670,282,406,215468,206737,1552,1090,1124534,1151848,8259,1810,2008,165,444,41,157,,54,12,69650,55830,72650,73891,78904,80069,26808,25683,99.3,100.7,107.9,109.1,36.7,35,0,0,0,0,0,0,74046,74108,72798,73278,72837,73978,0,46427,73141,27155,100,100.2,72918,72816,100,42,99.4,90,62.9,123.2,0,0,0,0,5,2,100,100,92.9,93.6,172,564,76,72,217,89,0,0,0,0,0,0,16,32,14,47,3,21,0,0,3322,5393,481,892,73141,27155,42588,0,35101,0,30484,0,0,40582,71354,23332,65.1,66.3,20.7,19.2,35.7,35.9,0.5,0.6,121386,118545,2972120,2595372,112280,118656,3084400,2714028,3.9,4.4,4977,4214,7449,6959,40.1,37.7,2051,2124,41.2,50.4,3.6,4.4,10744,17852,0.3,0.7,2.3,2.4,0.6,1.3,71.3,47.9,0.5,0.9,0.5,1.1,0,0,0,0,738,792,2.6,3.3,5,11.4,2.2,4.5,0,1,0.7,0.6,0,0,4660,5054,,,,
Akola,32361,32406,29809,27633,92.1,85.3,30870,32160,20135,20171,10379,10411,95.4,99.2,94.3,94.4,33831,31513,104.5,97.2,34774,33106,2425,1279,67.6,72.9,3.5,5,27,74,18,55,9,19,66.7,74.3,23840,24042,423,558,1.8,2.3,8846,9176,0,0,0,0,32686,33218,101,102.5,32713,33292,99.9,99.8,100,99.9,0.1,0.2,10546,10124,2805,3266,40.8,40.3,44.2,42.1,31.7,35.6,72.9,72.4,27.1,27.6,21,69,20977,23015,77.8,93.2,64.1,69.1,32429,32967,99.1,99,549,584,98.3,98.3,32251,32831,99.5,99.6,5893,5172,18.3,15.8,30190,30899,93.1,93.7,926,924,43.1,45.4,14.6,10.2,29428,25890,90.9,79.9,15679,16155,48.5,49.9,2297,1018,7.1,3.1,4,4,0,0,9043,8144,0,0,27.9,25.1,,,,,28,32,19,26,516,583,972,958,66.3,62.8,90.7,92.5,9.3,7.5,95.8,97.4,4.2,2.6,3,3,94,143,5122,4565,5216,4708,1.8,3,98.2,97,,,,,,,,,758,1017,4458,3691,14.5,21.6,85.5,78.4,6.2,2.3,63.9,85.5,24.7,10.3,5.2,1.9,100,100,76.9,73.9,100,100,100,100,0,1,0,0,0,1,0,1,11,15,0,0,0,1,5456,6056,107,256,41.3,30.7,9.5,7.7,51.6,57.3,2989,4031,2255,1857,319,424,29935,40833,1273,882,67347,143546,1396,1304,594,611,114,62,22,,2,8,16179,16017,28088,31744,32427,32902,21433,18748,86.6,96.3,100,99.8,66.1,56.9,0,0,0,0,0,0,30948,31385,29960,30239,29942,30618,0,16246,29968,12454,92.4,87.1,29509,28554,100,50.6,89.7,75.1,78.6,93,3,2,0,2,18,4,99,99.3,87.4,83.5,383,130,27,10,26,70,0,0,0,0,0,0,15,12,9,0,14,51,3,6,444,247,429,244,29968,12454,18195,0,15135,0,12963,0,347,13254,28917,9102,70.4,74,25,28.2,43,35.6,0.1,0.1,138892,112973,1568057,1343429,67400,80298,1635457,1423727,8.5,7.9,7225,6959,2887,4183,71.4,62.5,48,433,0.7,6.2,4.1,5.6,10274,10241,0.6,0.7,4,2.5,0.3,0.4,86.6,67.1,0.1,0.3,0.2,0.3,0,0,0,0,907,871,12.7,11.6,12.9,13.8,7.1,4.4,0,0,0.1,0.1,0,0,1937,1875,,,,
Amravati,45498,46202,38537,37791,84.7,81.8,38983,39275,26950,27853,14607,16184,85.7,85,91.3,95.3,43750,38990,96.2,84.4,41234,45358,2347,1309,64.3,47,1.2,4.2,1217,1528,629,546,588,982,51.7,35.7,25200,25505,5313,5542,21.1,21.7,14787,13153,4270,2698,28.9,20.5,39987,38658,87.9,83.7,41204,40186,97,96.2,98.6,97.6,3,3.8,5892,5283,8320,6995,35.5,31.8,23.4,20.7,56.3,53.2,63,66,37,34,1071,1426,23897,28893,88,93.3,58,71.9,41561,40103,100.9,99.8,683,683,98.4,98.3,40645,38769,97.8,96.7,8547,8378,21,21.6,39886,38280,96,95.5,952,926,19,15,33.9,36.6,39982,26130,87.9,56.6,27640,25744,60.7,55.7,3093,4705,6.8,10.2,100,5,0.2,0,21511,23863,1,1,47.3,51.6,0,0,,,39,38,34,23,1794,1367,774,605,43.9,42,96.9,90.2,3.1,9.8,55.1,61.1,44.9,38.9,1.7,1.3,217,339,8760,8240,8977,8579,2.4,4,97.6,96,,,,,,,,,2488,1654,6489,6925,27.7,19.3,72.3,80.7,6.9,4.3,55.3,59.1,35.8,33,2,3.7,10.9,44.7,83.3,90.8,64.8,70.9,83.7,29.9,3,0,0,0,3,0,3,12,13,14,0,0,1,4,6545,5265,984,907,31.5,17.2,8.2,3.6,45.6,41.8,5096,5041,2172,933,261,198,29575,32418,941,254,196577,293329,1552,633,2277,627,1358,119,516,,180,42,23928,20795,35953,31979,52492,52100,25802,20703,86.5,79.7,126.3,129.9,62.1,51.6,0,0,0,0,0,0,48512,46503,46885,44801,46864,45732,0,22439,45480,21789,109.4,110.3,44980,43663,100,56.9,81.4,81.9,69.1,80.2,0,0,0,0,0,5,99.9,99.9,91.6,92.3,1022,1283,230,286,148,213,0,0,0,0,0,0,26,21,1,8,18,52,0,1,1628,2077,1042,1905,45480,21789,28507,0,23848,0,21033,0,0,21301,45121,11727,52.8,54.8,21.8,24.2,34.3,35.8,0.7,0.8,216558,203323,2797127,2509013,253686,243050,3050813,2752063,7.1,7.4,12279,11371,27337,24572,31,31.6,362,439,2.9,3.9,8.3,8.8,17855,15878,0.6,0.6,10,6.6,0.3,0.3,111.8,97,0.2,0.2,0.3,0.3,0,0,0,0,487,601,9,8.3,8.4,9.5,2.9,4.5,0.6,0.3,0.4,0.3,0,0,5066,5050,,,,
Aurangabad,76900,77675,68985,68181,89.7,87.8,76900,77675,47606,49067,29294,28608,100,100,100,100,76900,77675,100,100,65489,63257,1550,2316,100,100,1.8,1.3,33,126,17,98,16,28,51.5,77.8,38428,37071,20906,18447,54.4,49.8,32884,33776,20407,17125,62.1,50.7,71312,70847,92.7,91.2,71345,70973,100,99.8,100,100,0,0.2,5683,5406,7881,4624,19,14.2,14.8,14.6,24,13.7,53.9,52.3,46.1,47.7,33,126,71345,70116,100,100,100,98.8,71021,70086,99.5,98.8,373,939,99.5,98.7,71021,70086,100,100,6932,9648,9.8,13.8,71021,70086,100,100,959,945,9.5,9.5,58.2,24.2,76900,66780,100,86,45068,30344,58.6,39.1,4888,7222,6.4,9.3,0,236,0,0.3,25801,14375,0,0,33.6,18.5,,,,,66,70,57,56,2347,2764,1247,927,68.9,59.4,84.6,90.2,15.4,9.8,23.9,22.9,76.1,77.1,1.6,1.2,26,34,11046,13488,11072,13522,0.2,0.3,99.8,99.7,,,,,,,,,3854,3959,7218,9563,34.8,29.3,65.2,70.7,23,25.5,66.1,66.5,9.4,6.3,1.5,1.7,77.2,85.7,61.3,64.2,59.1,72.1,90.6,89.2,0,0,0,0,0,0,0,0,41,3,0,0,4,0,12128,11035,4454,5231,27.5,23.2,8.7,6.9,60,54.6,12808,13083,3447,3008,327,175,91820,90976,763,338,643756,639668,1320,0,1317,276,313,217,105,,38,173,52486,44121,71021,70086,71021,70619,66461,70028,100,100,100,100.8,93.6,99.9,0,0,0,0,0,0,74917,70611,73325,70545,73200,70471,0,50193,73062,20266,102.9,100.5,73062,70459,100,28.9,102.9,96.3,69.9,99.9,0,1,1,2,0,6,100,100,93,95.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6458,3181,6334,2790,73062,20266,43683,0,32874,0,26911,0,0,47841,71888,19840,60.1,60.8,18.3,31.3,54.3,0,0.2,0,204862,176844,3572255,2824837,121527,100651,3693782,2925488,5.5,6,6248,16961,15449,19865,28.8,46.1,282,445,4.5,2.6,3.3,3.4,79402,17575,2.1,0.6,2.2,2.7,0.2,0.3,67.3,65.8,0.2,0.2,0.2,0.3,0,0,0,0,995,1013,11,33.2,11.8,12.3,4.1,0.8,0,0,1.6,0.2,0,0,708,704,,,,
Bhandara,16413,16856,15352,15619,93.5,92.7,17801,16969,11972,12154,4232,4438,108.5,100.7,98.7,98.4,16386,18835,99.8,111.7,18537,17520,789,1048,100.1,90.2,6.6,7.3,20,31,9,9,11,22,45,29,11927,13146,12,100,0.1,0.8,4556,3613,0,210,0,5.8,16483,16759,100.4,99.4,16503,16790,99.9,99.8,99.9,99.9,0.1,0.2,4786,5274,2964,2313,47,45.3,40.1,40.1,65.1,64,72.4,78.4,27.6,21.6,19,31,12369,10172,95,100,75,60.6,16454,16690,99.7,99.4,225,211,98.7,98.8,16415,16690,99.8,100,3261,3543,19.9,21.2,16380,16661,99.6,99.8,942,924,27.8,32.5,35.1,31,16442,18005,100.2,106.8,15851,15606,96.6,92.6,2025,191,12.3,1.1,3,0,0,0,5415,4642,0,0,33,27.5,,,,,7,9,3,8,644,1009,392,479,40.1,36.1,89.5,96.5,10.5,3.5,90.7,84.2,9.3,15.8,2.4,2.8,738,832,4043,4474,4781,5306,15.4,15.7,84.6,84.3,,,,,,,,,19,0,4762,5306,0.4,0,99.6,100,0,0,57.5,64.1,41.9,35.2,0.5,0.7,,,100,100,98.9,100,100,100,0,0,0,0,0,0,8,10,13,7,0,0,0,0,3081,5200,0,0,74.5,80.8,19.3,31.9,39.2,49.5,780,960,2296,4199,5,41,27739,23451,320,136,185526,206336,1292,73,640,190,181,61,68,,44,5,20363,17068,15370,14925,16465,16690,14397,13001,93.4,89.4,100.1,100,87.5,77.9,0,0,0,0,0,0,16085,16806,15915,16561,16118,16750,0,9559,15807,6268,96.1,94.8,15807,15827,100,42.7,103,105.9,92.6,113.4,4,0,0,2,10,12,100,100,90.7,93.7,129,145,23,35,39,122,0,0,0,0,0,0,3,10,13,3,6,7,0,0,822,3007,146,234,15807,6268,10594,0,9226,0,8130,0,0,8032,16121,6970,66.4,66.4,19.5,20.7,33.9,34.6,0.6,0.8,107963,103534,1992093,1663176,195609,150971,2187702,1814147,4.9,5.7,10301,10780,7204,6499,58.8,62.4,147,190,1.4,1.8,8.9,8.3,27461,23408,1.3,1.3,3.2,4.2,0.3,0.6,136.5,81.3,0.3,0.5,0.3,0.5,0,0,0,0,239,269,4.2,10.4,9.2,10.8,1.3,1.5,0,0,1.3,0.4,0,0,1979,2267,,,,
Bid,46024,47530,41603,39453,90.4,83,43870,47312,28194,29780,16865,19082,95.3,99.5,97.9,102.8,45308,48361,98.4,101.7,43256,42735,2436,1483,89.8,78.4,1.5,1,18,18,7,6,11,12,38.9,33.3,31350,32665,7478,16173,23.9,49.5,14828,14320,1263,2298,8.5,16,46178,46985,100.3,98.9,46196,47003,100,100,100,100,0,0,9336,8591,2466,2436,25.6,23.5,29.8,26.3,16.6,17,67.9,69.5,32.1,30.5,18,16,22867,30081,100,88.9,49.5,64,46023,46789,99.6,99.5,369,328,99.2,99.3,45676,46417,99.2,99.2,4872,3279,10.7,7.1,44742,42966,97.2,91.8,947,961,4.7,3.6,30.1,30.8,43940,43336,95.5,91.2,36389,29639,79.1,62.4,218,830,0.5,1.7,7,12,0,0,14071,16565,0,0,30.6,34.9,,,,,12,13,0,2,1054,877,4203,4102,84.4,86.1,90.1,92.9,9.9,7.1,73.9,75.2,26.1,24.8,9.1,8.6,41,32,12799,13943,12840,13975,0.3,0.2,99.7,99.8,,,,,,,,,810,681,12030,13294,6.3,4.9,93.7,95.1,46.4,51.8,37.9,32.9,8.1,10,7.6,5.2,93.4,94.9,94.3,93.8,90,99.1,96.3,97.8,0,0,0,0,0,0,0,0,17,23,0,0,1,0,13702,13938,448,371,42.1,35.6,18.4,15.2,52.4,50.6,7986,8815,5802,4995,362,499,82680,106275,567,216,312290,449979,857,130,1036,461,359,175,168,,85,33,40634,22949,41070,46911,46189,47573,17719,15998,89.2,100.3,100.4,101.7,38.5,34.2,0,0,0,0,0,0,48338,47825,47078,45764,47432,45179,0,29703,45529,14472,98.9,94.4,45051,43528,100,37.6,95.2,79.8,75.8,90.2,0,0,1,1,0,0,100,100,91.1,89.6,763,245,52,87,58,48,0,0,0,0,0,0,8,30,0,4,24,112,0,31,4998,2954,952,909,45529,14472,26966,134,21648,103,19433,74,0,25948,43173,9355,66.1,69.6,19.4,16.3,38.5,37.5,0.3,0.4,171431,143667,2432129,2066437,160080,156516,2592209,2222953,6.6,6.5,10551,10284,17014,14243,38.3,41.9,473,924,4.5,9,6.2,7,23324,23045,0.9,1,3.7,4.9,0.5,0.6,113,74.7,0.3,0.4,0.4,0.5,0,0,0,0,367,356,15.5,7,16.6,16.6,3.3,2.5,0,0,0,1.1,0,0,0,,,,,
Brihan Mumbai,191247,220969,106164,97363,55.5,44.1,159686,159671,103684,110566,62358,58194,83.5,72.3,86.8,76.4,160879,187817,84.1,85,97385,106378,4778,4741,94,79.5,3.7,3.2,41,31,4,2,37,29,9.8,6.5,68936,68739,9495,8235,13.8,12,78886,78718,8504,10624,10.8,13.5,147822,147457,77.3,66.7,147863,147488,100,100,100,100,0,0,23136,22309,24228,25811,32,32.6,33.6,32.5,30.7,32.8,46.6,46.6,53.4,53.4,85,29,47453,63942,207.3,93.5,32.1,43.4,148692,146609,100.6,99.4,1646,1690,98.9,98.9,148182,146623,99.7,100,22229,22169,15,15.1,120144,119103,80.8,81.2,940,930,5.4,5.7,38,40.4,157736,178129,82.5,80.6,103263,116400,54,52.7,50482,27453,26.4,12.4,2128,1709,1.1,0.8,223486,200782,123,474,116.9,90.9,93.5,17.1,100,100,238,224,238,211,5292,7609,3131,3981,79.3,75.9,85.6,90.4,14.4,9.6,15.4,16.6,84.6,83.4,1.6,1.8,116,185,17659,19263,17775,19448,0.7,1,99.3,99,,,,,,,,,10781,11011,6994,8437,60.7,56.6,39.3,43.4,33.5,37.1,31.4,31,27.7,23,7.5,8.9,12.7,16.9,16,22.4,84.4,94.6,86,90.1,0,0,0,0,0,0,0,0,4,11,0,0,0,0,20039,22182,19565,22862,35.2,32.5,10.2,10.5,69,69.8,29699,35411,8510,8438,1395,1195,374090,368930,1928,522,3919138,5372124,5746,1423,1552,2993,600,1192,315,,496,765,90065,72240,162510,159737,165359,166126,145106,130725,109.3,109,111.2,113.3,97.6,89.2,0,0,0,0,0,0,174405,168488,172880,162557,178586,168127,0,139058,181346,31385,122,116.3,181027,168942,100,16.3,124.1,113.8,89.9,110.5,6,0,5,8,76,93,99.5,99.4,82.5,79.3,5685,5185,3939,2435,1433,918,4,6,2,7,0,3,797,816,165,161,60,632,633,706,22795,18462,2490,2248,181346,31385,99878,0,85346,0,78756,0,0,416,125,466,56.3,56.2,20.5,19.5,38.1,38.2,2.8,2.9,640949,607062,14215166,14593520,120994,159338,14336160,14752858,4.5,4.1,65737,72925,57944,79713,53.2,47.8,5273,8403,8,11.5,0.8,1.1,191301,217985,1.3,1.5,6.3,4.7,1.6,1.5,83.6,70.6,1.3,1.5,1.5,1.5,0.5,0.6,0,0,1835,1850,18.4,15.1,12.6,8.6,8.3,6.4,1.6,0.6,1.6,0.6,0,0.1,117895,118850,,,,
Buldana,49066,50358,43679,41713,89,82.8,45737,42982,33052,32381,15878,15311,93.2,85.4,99.7,94.7,48335,47203,98.5,93.7,39815,41244,2818,1704,91.8,86.5,1.4,1.8,193,233,157,186,36,47,81.3,79.8,17402,18263,2088,4033,12,22.1,24513,22889,4018,5124,16.4,22.4,41915,41152,85.4,81.7,42108,41385,99.5,99.4,99.9,99.9,0.5,0.6,2543,1840,2355,2067,11.7,9.5,14.6,10.1,9.6,9,41.5,44.4,58.5,55.6,187,221,38688,39360,96.9,94.8,91.9,95.1,41977,41156,99.7,99.4,303,405,99.3,99,41737,40921,99.4,99.4,2818,2799,6.8,6.8,38739,38305,92.3,93.1,889,922,4.4,4.4,31.1,34.7,38472,25805,78.4,51.2,17627,15775,35.9,31.3,397,0,0.8,0,0,0,0,0,3290,2377,0,0,6.7,4.7,,,,,8,10,3,1,841,902,114,271,46.2,52.9,100,95.2,0,4.8,15.8,26.7,84.2,73.3,0.2,0.5,47,38,7401,8926,7448,8964,0.6,0.4,99.4,99.6,,,,,,,,,142,273,7306,8691,1.9,3,98.1,97,12.8,10.7,81,85.8,5.3,2.9,0.8,0.6,100,99.2,99.2,97.9,80,71.6,78.7,49.1,0,0,0,0,0,0,0,1,58,55,0,0,2,2,4986,5613,129,287,31.1,21.6,8.9,6.6,40.7,39.7,3488,4592,1560,1272,67,36,40984,44413,1416,1083,242237,319238,4598,638,527,171,164,25,72,,20,4,18613,19777,42944,37807,47494,48744,17117,13336,102.3,91.9,113.1,118.4,40.8,32.4,0,0,0,0,0,0,46979,46829,46930,44509,46990,46373,0,26441,46957,19943,111.9,112.7,46776,46351,100,45.8,108.3,88,68.9,88.9,1,8,0,0,2,1,99.9,98.8,88.1,90.7,348,279,52,40,28,70,0,0,0,0,0,0,6,2,18,12,14,46,1,0,858,718,818,611,46957,19943,28598,0,24573,0,21789,0,0,20311,43423,3827,55.4,59.9,20.5,18.6,36.6,36.8,0.2,0.2,191694,170128,2408002,2042252,287940,273648,2695942,2315900,7.1,7.3,3636,4168,10002,7638,26.7,35.3,459,953,12.6,22.9,10.7,11.8,28071,31933,1,1.4,3.4,3.1,0.2,0.2,86.2,67.6,0.2,0.2,0.2,0.2,0,0,0,0,296,410,4.7,8.5,9.1,10.5,1.7,3.4,0,0.2,0.7,1,0,0,5015,5150,,,,
Chandrapur,32027,31366,28725,27475,89.7,87.6,34803,36016,21626,21332,8739,8465,108.7,114.8,94.8,95,34035,32705,106.3,104.3,39758,38194,805,1571,93.6,82,2.7,2.2,72,102,63,34,9,68,87.5,33.3,19316,20331,276,1417,1.4,7,8102,10535,877,0,10.8,0,27418,30866,85.6,98.4,27490,30968,99.7,99.7,100,99.8,0.3,0.3,4075,3813,4499,5528,31.3,30.3,21.1,18.8,55.5,52.5,70.5,65.9,29.5,34.1,74,99,18341,17042,102.8,97.1,66.7,55,27244,30908,99.1,99.8,492,557,98.2,98.2,26849,27532,98.6,89.1,5801,5413,21.6,19.7,24525,26205,90,84.8,945,900,20.1,17.3,9.6,10.9,33287,32392,103.9,103.3,29287,24891,91.4,79.4,3965,989,12.4,3.2,16,90,0,0.3,19069,15996,0,376,59.5,51,,0.3,,,20,24,3,1,2768,905,283,335,61,81.8,88.3,82.7,11.7,17.3,6.5,8.2,93.5,91.8,0.9,1.1,917,753,9689,9050,10606,9803,8.6,7.7,91.4,92.3,,,,,,,,,1332,1161,9274,8642,12.6,11.8,87.4,88.2,4.7,0,74.9,80.3,19.3,18.4,1.1,1.2,99.6,50,89.6,88.5,71,85.4,88.5,100,1,0,0,0,1,0,0,2,9,1,0,1,2,3,8966,9096,252,220,30.6,28.7,14.2,12.8,46.5,48.7,6368,6563,2748,2691,102,62,50243,47093,361,33,229986,305704,3407,507,957,253,291,94,94,,34,20,33205,28626,24232,23962,28949,30958,21118,18536,88.9,77.5,106.3,100.2,77.5,60,0,11,0,0,3,0,33462,32239,32422,31432,33103,31849,23,15394,32410,15472,119,99.9,32206,30865,99.9,50.3,98.2,98.3,50.2,114.3,1,0,2,0,12,7,99.9,99.9,89.2,91.5,212,1033,79,340,196,138,0,0,0,0,0,1,59,19,39,9,21,37,14,47,414,750,213,402,32410,15472,20802,0,17774,0,16725,0,30,14520,31749,11239,64.9,64.2,22.4,22.4,40.5,37.1,0.4,0.8,158843,135450,3077157,2679909,362642,323947,3439799,3003856,4.6,4.5,12181,13422,16506,17294,42.5,43.7,5340,4842,43.8,36.1,10.5,10.8,34742,34132,1,1.1,1.8,2.5,0.5,0.5,100,79.5,0.5,0.6,0.5,0.6,0,0,0,0,626,605,13.9,7.8,14.1,10.7,2.2,1.2,0.2,0.3,0.3,0.2,0,0,2969,3189,,,,
